,names,scores,logfoldchanges,pvals,pvals_adj
0,PRSS8,5.255785,4.012666,6.787048176594055e-07,0.006027664097446203
1,PSAP,5.05312,2.3097606,2.5975712550942484e-06,0.006027664097446203
2,MUC13,5.0219393,2.1029189,2.5284274775266947e-06,0.006027664097446203
3,REG1A,4.991492,2.0544472,7.39727835910423e-06,0.011443589621534245
4,RHOA,4.987294,3.1187613,2.056292798767219e-06,0.006027664097446203
5,MIGA2,4.9486737,27.382618,3.4599754131734223e-06,0.006423098357015141
6,TBC1D10C,4.6340857,27.49573,1.2057367630223704e-05,0.015283145964189249
7,TFF3,4.5872498,1.7559495,1.4641942694025538e-05,0.015283145964189249
8,NUCB1,4.57835,27.214375,1.4973711235936849e-05,0.015283145964189249
9,PSMD3,4.5470514,27.04267,1.6900014444307327e-05,0.015283145964189249
10,LGALS3,4.519573,2.2009645,1.8982758559499572e-05,0.015283145964189249
11,VWF,4.4897313,27.507423,2.106809235436002e-05,0.015283145964189249
12,LAPTM4A,4.4625354,27.145258,2.3378339702277737e-05,0.015283145964189249
13,NEDD8,4.4369516,27.194262,2.5774067355622715e-05,0.015283145964189249
14,RAB5B,4.4369516,27.194262,2.5774067355622715e-05,0.015283145964189249
15,S100A6,4.3856344,1.6024685,3.7285010647009295e-05,0.020357615813267074
16,TNFRSF6B,4.3723984,3.5697198,2.63445739524917e-05,0.015283145964189249
17,LFNG,4.2978616,27.057972,4.356304870914393e-05,0.02040735604749096
18,CAPG,4.2734036,27.10959,4.7727601397191296e-05,0.02040735604749096
19,CEBPB,4.2734036,27.10959,4.7727601397191296e-05,0.02040735604749096
20,PTPRC,4.2148128,3.5323195,4.8811957926654e-05,0.02040735604749096
21,CRAT,4.2146363,26.850885,5.9362057022436535e-05,0.02040735604749096
22,SDF4,4.2146363,26.850885,5.9362057022436535e-05,0.02040735604749096
23,VPS51,4.2146363,26.850885,5.9362057022436535e-05,0.02040735604749096
24,IFI30,4.20342,2.3945425,5.341023078334569e-05,0.02040735604749096
25,ABCA7,4.1997766,3.361371,5.1107186011712825e-05,0.02040735604749096
26,NLRC5,4.184171,3.3979821,5.436281732132112e-05,0.02040735604749096
27,GMFG,4.161569,27.228176,7.21773396283094e-05,0.022231868064330997
28,PRELID1,4.1538506,27.122742,7.42499364354946e-05,0.022231868064330997
29,ANXA2,4.152284,2.11042,6.76487138914951e-05,0.02165225387382267
30,PDIA6,4.149392,3.38774,6.21233212266471e-05,0.020593880986633513
31,IGKC,4.1385717,1.560576,0.0001429331321232462,0.031588222199237403
32,BIRC3,4.091061,2.1908033,8.290721216535648e-05,0.024048273228713713
33,LINC02739,4.085558,1.526415,0.00011464910419576925,0.029293768995402304
34,CFB,4.0693474,2.3610532,9.254856818817738e-05,0.02603138817947462
35,ELOVL1,4.0451994,26.745754,0.00011023808120260055,0.029235139134929665
36,KLF6,4.0451994,26.745754,0.00011023808120260055,0.029235139134929665
37,SERPINA1,4.0381923,1.5351774,0.00013439344806689697,0.03118599962392344
38,ACTB,4.0039625,1.3583378,0.0001758079556509008,0.03222298915238839
39,UNC93B1,3.996121,26.80808,0.00013151286333108956,0.03118599962392344
40,ISG15,3.981606,3.2624707,0.00011677111105687192,0.029293768995402304
41,IGLC3,3.9748173,1.9476842,0.0001287886591577598,0.03118599962392344
42,TXNDC17,3.9625037,26.868088,0.00014829852009435156,0.03201178752362258
43,RARRES1,3.9406538,26.925951,0.0001602880365445235,0.03222298915238839
44,IGHA1,3.932056,1.6453485,0.0002746444072175875,0.03921922135067149
45,HMGB1,3.9283311,3.3262262,0.0001426044568510774,0.031588222199237403
46,SPI1,3.9279597,26.981825,0.00016767372627452266,0.03222298915238839
47,OAZ1,3.9232893,1.9105235,0.00015502973393997615,0.03222298915238839
48,SOD2,3.9025152,2.2372165,0.00019009645709875303,0.03222298915238839
49,ETNK1,3.8939285,26.909353,0.00018911385984276972,0.03222298915238839
50,LIME1,3.887209,27.124287,0.00019364625503779474,0.03222298915238839
51,RRBP1,3.8861115,2.1017826,0.00017816833523466311,0.03222298915238839
52,CLPTM1L,3.8829734,26.96579,0.00019655624677081826,0.03222298915238839
53,TAGLN2,3.8821776,2.2963712,0.00017695783356435295,0.03222298915238839
54,HMGA1,3.8729835,26.63325,0.00020358629599879005,0.03222298915238839
55,MXD1,3.8729835,26.63325,0.00020358629599879005,0.03222298915238839
56,JCHAIN,3.8628948,1.4631444,0.00030332633048607365,0.042022014918981124
57,SEMA3B,3.8493314,2.5402484,0.00020293601670574662,0.03222298915238839
58,GPA33,3.8286111,3.196285,0.00020482184442910094,0.03222298915238839
59,KDELR2,3.8286111,3.196285,0.00020482184442910094,0.03222298915238839
60,DCAF11,3.8236742,26.700016,0.0002419484927414034,0.03564707793056677
61,ENPP2,3.8236742,26.700016,0.0002419484927414034,0.03564707793056677
62,CTDNEP1,3.8236742,26.700016,0.0002419484927414034,0.03564707793056677
63,MTCH1,3.8140955,3.2783153,0.0002163000055218955,0.03346161085423723
64,IGHG4,3.804565,1.3863348,0.0003385147252496267,0.045371205720774216
65,SRSF4,3.79096,26.764109,0.00027110478316997417,0.03921922135067149
66,FTL,3.7492797,1.330402,0.0003882098598735248,0.04741268314929022
67,NFE2L2,3.7416575,26.745754,0.00032144734232678756,0.043877562227606505
68,SAMHD1,3.7340353,3.2892153,0.00028881511415013644,0.04061790741729646
69,B2M,3.7267897,1.1554615,0.00048202029902114654,0.051978682812142143
70,TMEM256,3.7234757,26.80808,0.0003421659556619473,0.045371205720774216
71,CARHSP1,3.697416,26.51219,0.00037408738151001856,0.04629705433567989
72,TSC22D4,3.697416,26.51219,0.00037408738151001856,0.04629705433567989
73,FURIN,3.697416,26.51219,0.00037408738151001856,0.04629705433567989
74,CAP1,3.674751,3.1274555,0.00035499059490202235,0.04629705433567989
75,EHBP1L1,3.6688716,2.5032837,0.0003709218693099984,0.04629705433567989
76,NAMPT,3.6538653,26.841381,0.00043383781558617934,0.04893056873068502
77,MAGED1,3.647823,26.584122,0.0004428105767482808,0.04893056873068502
78,HIGD1A,3.647823,26.584122,0.0004428105767482808,0.04893056873068502
79,FBLIM1,3.647823,26.584122,0.0004428105767482808,0.04893056873068502
80,P4HA2,3.647823,26.584122,0.0004428105767482808,0.04893056873068502
81,SPSB3,3.6456149,3.0858717,0.00039346928415468066,0.047430933708100594
82,MORF4L2,3.6175988,3.0432465,0.0004344615799671161,0.04893056873068502
83,SDCBP2,3.6175988,3.0432465,0.0004344615799671161,0.04893056873068502
84,CSNK1A1,3.6161523,26.652935,0.0004927950966891304,0.051978682812142143
85,XPO1,3.6161523,26.652935,0.0004927950966891304,0.051978682812142143
86,DMBT1,3.614234,1.5109495,0.0005193189565380917,0.05355909505096186
87,FABP1,3.5944068,1.2515436,0.0005612347730032717,0.05662370829365618
88,ASS1,3.5910296,2.2282703,0.0004892117009277175,0.051978682812142143
89,AL627171.2,3.5851083,1.0085722,0.0007568923260713298,0.0632925636990458
90,UQCRQ,3.5811539,2.0236712,0.0005142828293395741,0.05355909505096186
91,MYH14,3.5657265,2.2109172,0.000547024538334649,0.0557965029101342
92,TAPBP,3.560085,1.6095756,0.0006111490574924981,0.05936140053944133
93,PPCS,3.54988,26.700016,0.0006152155250822848,0.05936140053944133
94,CXCL10,3.5438976,26.825743,0.0006275810355661893,0.05936140053944133
95,RTCA,3.543199,26.764109,0.0006290402426947035,0.05936140053944133
96,STAT1,3.5290687,1.8412279,0.0006457130478588693,0.05936140053944133
97,TMEM45B,3.519832,3.0557394,0.0006079348072121863,0.05936140053944133
98,ERCC5,3.5178118,26.381084,0.0006842997045593862,0.05936140053944133
99,PPP6R3,3.5178118,26.381084,0.0006842997045593862,0.05936140053944133
100,POLR2H,3.5178118,26.381084,0.0006842997045593862,0.05936140053944133
101,FAM3A,3.5178118,26.381084,0.0006842997045593862,0.05936140053944133
102,PSENEN,3.5178118,26.381084,0.0006842997045593862,0.05936140053944133
103,UHMK1,3.5178118,26.381084,0.0006842997045593862,0.05936140053944133
104,OFD1,3.5178118,26.381084,0.0006842997045593862,0.05936140053944133
105,ANXA4,3.508906,2.8641496,0.000648005119719967,0.05936140053944133
106,PLAC8,3.5077834,3.1796675,0.0006347111683649776,0.05936140053944133
107,SEC61B,3.499965,26.80808,0.0007258590146788748,0.06124930340226651
108,GBP4,3.4768956,2.6390097,0.0007036239496010963,0.060472569446272
109,GUK1,3.4744294,2.4852035,0.0007168937235397937,0.06104777561372812
110,RAP1B,3.4678845,26.459095,0.0008066197869127698,0.06399183642841307
111,FERMT3,3.4678845,26.459095,0.0008066197869127698,0.06399183642841307
112,ZNF664,3.4678845,26.459095,0.0008066197869127698,0.06399183642841307
113,MON2,3.4678845,26.459095,0.0008066197869127698,0.06399183642841307
114,CHCHD1,3.4678845,26.459095,0.0008066197869127698,0.06399183642841307
115,TUG1,3.4678845,26.459095,0.0008066197869127698,0.06399183642841307
116,ZDHHC6,3.4374475,26.533424,0.0008910191639052383,0.0683507428046977
117,G3BP1,3.4374475,26.533424,0.0008910191639052383,0.0683507428046977
118,CHFR,3.4374475,26.533424,0.0008910191639052383,0.0683507428046977
119,UQCR10,3.4142997,2.4165063,0.000883648089880446,0.0683507428046977
120,SECTM1,3.401119,3.0858717,0.0009082800966450232,0.06907054335477035
121,IER2,3.3986926,3.0557394,0.0009152851575777584,0.06907054335477035
122,ATP13A2,3.386595,26.51219,0.001050855145186732,0.07866159240018748
123,SLC25A3,3.36863,1.7377485,0.0010948677413856103,0.08065525694873996
124,ACTG1,3.3684695,1.2071667,0.0012589305758326503,0.08171603919495567
125,FXYD3,3.3537965,3.066837,0.0010628880922277553,0.07892581817646419
126,MMS19,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
127,DHX38,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
128,RNF7,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
129,PHF11,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
130,PPP1R18,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
131,AC073111.4,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
132,CHMP5,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
133,ALKBH7,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
134,WFS1,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
135,ZNF276,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
136,CHST5,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
137,SLC35A4,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
138,AC009133.1,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
139,TRAP1,3.3333333,26.238014,0.0012469478379362065,0.08150823825157655
140,VDAC1,3.3299415,2.9354632,0.001150691676967679,0.08150823825157655
141,DNASE2,3.3275666,26.700016,0.0012701273206619666,0.0818702902110026
142,LRP10,3.3177555,2.1110547,0.0012274755570934955,0.08150823825157655
143,KRT18,3.3085997,2.3436518,0.0012814085401856063,0.08202782117243308
144,GPBP1L1,3.307931,26.552181,0.0013521226637072338,0.0848000173279091
145,HLA-DQB1,3.303039,1.5073117,0.001334681601544715,0.08456541115219991
146,TAP1,3.2885685,1.6593957,0.0013835304241653558,0.08542104602353955
147,PPA1,3.2871716,2.3816738,0.0013392712173425324,0.08456541115219991
148,FGR,3.2830288,26.323286,0.0014632564444885573,0.08542104602353955
149,PMEPA1,3.2830288,26.323286,0.0014632564444885573,0.08542104602353955
150,CYTOR,3.2830288,26.323286,0.0014632564444885573,0.08542104602353955
151,C3orf85,3.2830288,26.323286,0.0014632564444885573,0.08542104602353955
152,NDUFV3,3.2830288,26.323286,0.0014632564444885573,0.08542104602353955
153,STX12,3.2830288,26.323286,0.0014632564444885573,0.08542104602353955
154,PPP2R5C,3.2830288,26.323286,0.0014632564444885573,0.08542104602353955
155,ZBTB17,3.2830288,26.323286,0.0014632564444885573,0.08542104602353955
156,RHOG,3.2830288,26.323286,0.0014632564444885573,0.08542104602353955
157,TMPRSS2,3.265264,2.8408048,0.0014265399000479011,0.08542104602353955
158,CSNK1E,3.2540877,26.404148,0.0016031530108353853,0.09018464391863058
159,NBR1,3.2540877,26.404148,0.0016031530108353853,0.09018464391863058
160,TTYH3,3.2540877,26.404148,0.0016031530108353853,0.09018464391863058
161,CLDN7,3.2540088,1.9738169,0.0015157383636462997,0.08793177182103096
162,CCNL1,3.2427652,2.948777,0.0015270781321648826,0.0880393740543754
163,UQCR11,3.237337,2.391863,0.0015672077883596416,0.08979520179971724
164,HNRNPA1,3.2319632,2.0774648,0.0016860988198141573,0.09385923664088572
165,FCER1G,3.211468,2.9677975,0.0016886977503800813,0.09385923664088572
166,PRR15L,3.2077825,2.9354632,0.0017088835579522747,0.09441581657686317
167,TMSB10,3.2034373,1.076769,0.0021317993766726646,0.10256552258614707
168,RETREG3,3.2022238,26.381084,0.0018856412384310362,0.10117064725501086
169,SYNGR2,3.1992164,2.2510562,0.0018469032763981498,0.10025120591536624
170,CYBB,3.1908185,26.459095,0.0019537047393740083,0.1018780190498289
171,ENG,3.1908185,26.459095,0.0019537047393740083,0.1018780190498289
172,PSMD4,3.1908185,26.459095,0.0019537047393740083,0.1018780190498289
173,CLSTN1,3.1893315,3.0123405,0.001813736616664625,0.09923673453517903
174,BTNL3,3.1885993,2.6729136,0.0018763449162216533,0.10117064725501086
175,MYO1A,3.1832764,1.970287,0.001989402129590479,0.10256552258614707
176,ANXA11,3.1748157,2.310995,0.001927837565203137,0.1018780190498289
177,SMIM5,3.1702578,2.888805,0.0019270544576914135,0.1018780190498289
178,SEM1,3.1683402,26.70858,0.0020946110616347938,0.10256552258614707
179,ATP5MG,3.1623952,1.9116437,0.0020152615464197397,0.10256552258614707
180,HDLBP,3.1603515,2.2848167,0.0020250587187798986,0.10256552258614707
181,PHGR1,3.1561787,1.0535568,0.0023841159849374532,0.10403703552401379
182,S100A11,3.1496727,2.1888065,0.0022548714651545363,0.10256552258614707
183,PSMB4,3.1460054,2.6833992,0.002131499407097883,0.10256552258614707
184,NUBP2,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
185,VPS25,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
186,CCT8,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
187,DAP,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
188,PRRC1,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
189,RUVBL2,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
190,ALAS1,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
191,RNF34,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
192,TRADD,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
193,NAA38,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
194,AKAP8,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
195,ITPR2,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
196,TRPT1,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
197,UNK,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
198,CC2D1A,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
199,HEBP1,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
200,SULT1B1,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
201,MAP3K12,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
202,SF3B6,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
203,STAT5B,3.1429362,26.08045,0.0022652372473777366,0.10256552258614707
204,IL32,3.1335785,1.6872456,0.0023731474379412067,0.10403703552401379
205,CALR,3.128224,1.5412085,0.0024738103208576325,0.10403703552401379
206,UBB,3.1237233,1.4225174,0.0024613295221587823,0.10403703552401379
207,TMBIM6,3.1221008,1.8050333,0.00234423921135814,0.10403703552401379
208,SNRNP200,3.0994062,2.7553906,0.0024204879942550084,0.10403703552401379
209,UQCRC2,3.0967717,2.7913773,0.002434684538839626,0.10403703552401379
210,CTSA,3.095178,1.5684632,0.0025744520616324744,0.10403703552401379
211,TGM2,3.0925465,2.9605978,0.002461083837592711,0.10403703552401379
212,DAPK1,3.092227,26.17455,0.002645199351827974,0.10403703552401379
213,KLHDC8B,3.092227,26.17455,0.002645199351827974,0.10403703552401379
214,UBA2,3.092227,26.17455,0.002645199351827974,0.10403703552401379
215,DNMT3A,3.092227,26.17455,0.002645199351827974,0.10403703552401379
216,IKZF1,3.092227,26.17455,0.002645199351827974,0.10403703552401379
217,UBE2N,3.092227,26.17455,0.002645199351827974,0.10403703552401379
218,GK,3.092227,26.17455,0.002645199351827974,0.10403703552401379
219,EPS8L1,3.092227,26.17455,0.002645199351827974,0.10403703552401379
220,VAC14,3.092227,26.17455,0.002645199351827974,0.10403703552401379
221,SYNCRIP,3.092227,26.17455,0.002645199351827974,0.10403703552401379
222,ODF2L,3.092227,26.17455,0.002645199351827974,0.10403703552401379
223,RAD23A,3.092227,26.17455,0.002645199351827974,0.10403703552401379
224,FLII,3.092227,26.17455,0.002645199351827974,0.10403703552401379
225,SULF2,3.092227,26.17455,0.002645199351827974,0.10403703552401379
226,STAU1,3.092227,26.17455,0.002645199351827974,0.10403703552401379
227,PDGFRA,3.092227,26.17455,0.002645199351827974,0.10403703552401379
228,TSC22D1,3.092227,26.17455,0.002645199351827974,0.10403703552401379
229,IFI6,3.092227,26.17455,0.002645199351827974,0.10403703552401379
230,DLD,3.092227,26.17455,0.002645199351827974,0.10403703552401379
231,BTN2A2,3.092227,26.17455,0.002645199351827974,0.10403703552401379
232,UQCRB,3.0893779,1.8208947,0.002570234342421585,0.10403703552401379
233,RALY,3.088413,1.7739549,0.0026774522458358147,0.10486123099513937
234,SPINK4,3.0831616,1.3032681,0.002736749168336024,0.10597929543472875
235,ZMIZ2,3.0788958,2.2848167,0.0025985120323033504,0.10403703552401379
236,SLC25A6,3.068779,1.8208947,0.0027324635052273214,0.10597929543472875
237,GGA1,3.0651467,26.263268,0.002871597523900079,0.10661667286736214
238,LEPROTL1,3.0651467,26.263268,0.002871597523900079,0.10661667286736214
239,GABARAPL2,3.0651467,26.263268,0.002871597523900079,0.10661667286736214
240,SLC12A9,3.0651467,26.263268,0.002871597523900079,0.10661667286736214
241,CHMP4A,3.0651467,26.263268,0.002871597523900079,0.10661667286736214
242,OAF,3.0651467,26.263268,0.002871597523900079,0.10661667286736214
243,KIAA0930,3.0651467,26.263268,0.002871597523900079,0.10661667286736214
244,SURF1,3.0651467,26.263268,0.002871597523900079,0.10661667286736214
245,EZH1,3.0651467,26.263268,0.002871597523900079,0.10661667286736214
246,ARL6IP4,3.0626454,2.2582393,0.0027402532756232384,0.10597929543472875
247,PIGR,3.0623388,1.001316,0.003344203353142986,0.11763962985115331
248,BRK1,3.054043,26.426876,0.0029695252473461715,0.10853202769292984
249,ITGA5,3.053995,26.347208,0.0029699563708256984,0.10853202769292984
250,HNRNPF,3.053995,26.347208,0.0029699563708257036,0.10853202769292984
251,CR2,3.053995,26.347208,0.0029699563708257036,0.10853202769292984
252,IRAK1,3.0509133,2.8548915,0.002800275263115182,0.10661667286736214
253,HLA-B,3.048144,0.8595414,0.003402546087192811,0.11780901186996079
254,SRSF5,3.0334234,2.2086422,0.003116183420218701,0.11298599416589838
255,CDX2,3.01716,2.9010549,0.003106633923379322,0.11298599416589838
256,KSR1,3.0120726,26.238014,0.003368334852132553,0.11763962985115331
257,SNRK,3.0120726,26.238014,0.003368334852132553,0.11763962985115331
258,MRPS34,3.0107725,2.805888,0.0031701144938347356,0.11361004915742863
259,NT5C,3.0107725,2.805888,0.0031701144938347356,0.11361004915742863
260,TIMM13,3.0107725,2.805888,0.0031701144938347356,0.11361004915742863
261,CNOT1,3.0075274,2.7702193,0.0032051834156885373,0.11442504794008078
262,COPE,3.006315,26.404148,0.003426757327648085,0.11780901186996079
263,MUC1,3.0050507,1.5041344,0.0034380990733216673,0.11780901186996079
264,PRCC,3.0038283,26.323286,0.003452278736116067,0.11780901186996079
265,PERP,3.0038283,26.323286,0.003452278736116067,0.11780901186996079
266,SIRPA,3.0038283,26.323286,0.003452278736116067,0.11780901186996079
267,PARP12,3.00259,2.23617,0.0032924030203177828,0.11664154517018954
268,DAZAP2,3.00259,2.23617,0.0032924030203177828,0.11664154517018954
269,UBE2Z,3.0022936,2.550711,0.003371271443698209,0.11763962985115331
270,ARHGDIA,2.9982982,1.5257843,0.0034659754090698917,0.11784316390837632
271,CD24,2.995391,1.7747213,0.003490825714424761,0.11800391029208789
272,POLD4,2.9915614,1.7715505,0.0036253653343512287,0.11800391029208789
273,LYZ,2.9908013,1.1684138,0.0036644232841716645,0.11800391029208789
274,CD68,2.9883223,1.8338916,0.0037401925107716266,0.11800391029208789
275,CYP4F12,2.9689884,2.7186015,0.003609925659368268,0.11800391029208789
276,GOLGA8A,2.9689884,2.7186015,0.003609925659368268,0.11800391029208789
277,SPINT2,2.9680307,1.709859,0.003877116909108921,0.11800391029208789
278,STAT2,2.964776,1.428626,0.004063303034360437,0.11800391029208789
279,PHB2,2.9587193,26.381084,0.003946873547730717,0.11800391029208789
280,TMSB4X,2.9544926,1.1984662,0.003988806079943722,0.11800391029208789
281,CCND1,2.954351,26.446934,0.003998092302129232,0.11800391029208789
282,HLA-C,2.946858,0.99363923,0.004511323849646478,0.12469219976757341
283,SSB,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
284,SIGLEC10,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
285,NSMCE1,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
286,SEMA4G,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
287,METTL17,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
288,EHMT1,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
289,TOR4A,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
290,ANKRD52,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
291,ADAM8,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
292,FAM214B,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
293,VRK3,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
294,PCNX1,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
295,ARAF,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
296,C16orf72,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
297,DVL3,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
298,MRPL34,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
299,PNRC2,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
300,PRKDC,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
301,GATD3B,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
302,TM2D3,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
303,MLKL,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
304,ZC3HAV1,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
305,HES1,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
306,RPP21,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
307,VPS11,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
308,OAZ2,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
309,SH3D21,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
310,DYRK1A,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
311,MAN2B2,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
312,HERC4,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
313,ZC3H4,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
314,ID2,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
315,MCM5,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
316,ADRM1,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
317,MTG2,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
318,KARS,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
319,MTRES1,2.9452841,25.90497,0.004106363178662399,0.11800391029208789
320,YPEL5,2.9364045,26.285519,0.004215015724347992,0.12075239491789524
321,TGOLN2,2.9310923,2.6653106,0.004056186454056687,0.11800391029208789
322,RAB1B,2.9273267,2.784916,0.0040812569980604625,0.11800391029208789
323,SEPTIN9,2.908794,1.8655711,0.004470874021267322,0.12469219976757341
324,TRBC1,2.894394,2.1515918,0.004582562595310902,0.12469219976757341
325,PAM16,2.894173,26.01003,0.004768986308714562,0.12469219976757341
326,NME1,2.894173,26.01003,0.004768986308714562,0.12469219976757341
327,CD3D,2.894173,26.01003,0.004768986308714562,0.12469219976757341
328,SLC33A1,2.894173,26.01003,0.004768986308714562,0.12469219976757341
329,PRPF19,2.894173,26.01003,0.004768986308714562,0.12469219976757341
330,PPT1,2.894173,26.01003,0.004768986308714562,0.12469219976757341
331,PPP4R3A,2.894173,26.01003,0.004768986308714562,0.12469219976757341
332,BZW1,2.894173,26.01003,0.004768986308714562,0.12469219976757341
333,RANBP2,2.894173,26.01003,0.004768986308714562,0.12469219976757341
334,TSG101,2.894173,26.01003,0.004768986308714562,0.12469219976757341
335,CREBBP,2.894173,26.01003,0.004768986308714562,0.12469219976757341
