,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,5.0432606,2.5044734,0.00013543475292083137,0.0015386846714946839
1,IGHA1,4.458553,3.4636793,0.0004434440844060027,0.0038648337947948517
2,MTRNR2L1,4.268814,2.458961,0.0006304708411087845,0.004925951470683281
3,PLA2G2A,4.1653237,3.2949371,0.0008018237811035279,0.00618700538595788
4,IGHM,4.0122685,2.8514526,0.001088336227939049,0.007561329990816058
5,BIRC3,3.8679328,2.0840902,0.0013917257095547363,0.009444888733914907
6,S100A6,3.8564684,1.8487592,0.001340463864548531,0.00921643377091812
7,REG1A,3.8305647,3.8874679,0.0016151737582810225,0.010275560537604148
8,DMBT1,3.7169342,2.8788936,0.001985154111706207,0.012043268277684323
9,HLA-B,3.6367433,1.2757221,0.002025363636394168,0.012279180452652297
10,SERPINA1,3.6070786,1.9155096,0.0023621282798682204,0.01424644229612529
11,PHGR1,3.592897,1.7547773,0.002364329292035678,0.014250457460178678
12,ACE2,3.5327775,1.656958,0.002634459414854772,0.014802089763124693
13,CFB,3.510176,2.136994,0.002967840593322165,0.01631772737458494
14,PLAAT4,3.5100143,2.4673195,0.0030343389757247585,0.0165285999839655
15,EIF4A1,3.4346106,1.6025478,0.0033735667627455045,0.018142205499306938
16,IGHG4,3.4159873,1.7682927,0.0036451574650657355,0.019591402194985615
17,HLA-DRA,3.3969433,1.7634419,0.0037084603737265616,0.019920097910260386
18,IGKC,3.3551543,2.1962764,0.004245017809485064,0.02254709735612389
19,MYL12B,3.3395567,1.6318144,0.004037602303580268,0.0215881478005945
20,RARRES1,3.2946618,4.6094437,0.004883943911690234,0.024281075194594937
21,PET100,3.2613842,3.3951886,0.005163696644323799,0.02528863963721574
22,ACTG1,3.0818896,1.5139681,0.007133049420930267,0.03426965047881715
23,MT-CO2,3.0751758,1.3913257,0.007198001161039429,0.034563811058855656
24,HLA-A,3.0439882,1.4932266,0.007644557622035404,0.03523419899259443
25,APOA4,3.0254817,2.3550777,0.008279298026752362,0.03657707962128292
26,MT-CO1,2.9634035,1.3606011,0.008994562435095619,0.03939285953951608
27,KRT8,2.9556947,1.3996383,0.00902459609453267,0.03939285953951608
28,SERPINB6,2.9426482,1.7126666,0.009630680502452572,0.041481195556271354
29,ANPEP,2.8987842,1.6177908,0.010445754829926426,0.04488772978304495
30,MTTP,2.8599849,1.5467352,0.011252071520725972,0.048196459554858545
31,C19orf33,2.8386095,1.6556665,0.011865921072914473,0.05080234289612184
32,CTSB,2.8373327,2.1142673,0.01219500342184498,0.05218719306665058
33,LCN2,2.8151903,4.245083,0.012976471766102542,0.05545470116618959
34,TMSB4X,2.8121006,1.6617877,0.012564592233918898,0.05371927458094666
35,MT-ND1,2.8062463,1.0115445,0.012370345018253522,0.05291315320711022
36,PSME2,2.7938657,1.5861584,0.0130322691886183,0.055667520758746
37,HLA-C,2.7400908,1.5300937,0.014646616909446223,0.05782641350637169
38,PLEC,2.7191272,1.4287704,0.015109839873115356,0.059629903784973105
39,CD74,2.7150612,1.445707,0.015379832698192103,0.060643843289982624
40,ETS2,2.7141294,2.2037005,0.015620288952703796,0.06156582677664401
41,FCGBP,2.7138498,1.3705648,0.015258693938370161,0.060191753988929814
42,JCHAIN,2.695963,2.6251228,0.016441948381951357,0.0636688213939393
43,PDZK1,2.694292,1.8767564,0.016099529593753947,0.062394920120761636
44,HLA-E,2.6801004,1.3243732,0.01635787371906454,0.06336969276308724
45,SPINK4,2.6731572,2.229405,0.017082833037470116,0.06598537505359867
46,POLD4,2.66233,1.4453319,0.016907536560242915,0.06536266320373792
47,GAS5,2.6613605,1.2605382,0.01696243647681524,0.06554760007402126
48,PRSS8,2.6544995,1.6207885,0.017419420838408174,0.06725751423548447
49,UBE2D3,2.6520734,1.8196727,0.01766250843294145,0.06816773524929835
50,TRIP10,2.644979,2.6408923,0.01809035203773831,0.06973199651756104
51,CLDN7,2.6393297,1.8502442,0.01807844889575611,0.06973173411935793
52,SOD2,2.6377974,2.0642092,0.018082771388202388,0.06973173411935793
53,ACTB,2.6208751,1.4994179,0.01870422950723704,0.07203844742164904
54,LINC02739,2.6098113,1.6073929,0.01927984988965431,0.07419385019725178
55,ACTN4,2.6039445,1.5420605,0.019217852848904374,0.07398594365140207
56,ARPC5L,2.6007946,3.4651835,0.019911793783148012,0.07649886998972676
57,VAMP8,2.5923252,1.8156953,0.019827943282249696,0.07620826896308143
58,HMOX1,2.5487359,3.356385,0.02211276891803496,0.08491961981679788
59,SNHG1,2.5350547,1.3726437,0.022261473241666753,0.08545533276639818
60,FGL2,2.53279,3.199878,0.022848187305341352,0.08763507213561092
61,ALPI,2.5224152,2.1758707,0.023137576184926293,0.08789138856662715
62,MUC13,2.5191226,1.4000816,0.022893684499358264,0.08777330835317777
63,TAP1,2.514791,1.8681438,0.023365185068612584,0.08789138856662715
64,EPS8L2,2.510166,1.1688578,0.02282357015081703,0.08757684090115075
65,MMP15,2.4810042,2.188244,0.025038069354041615,0.08789138856662715
66,MISP,2.4696565,1.4180483,0.02521450989492591,0.08811787682405961
67,VMP1,2.465016,1.9276537,0.025735942397870422,0.08987246701919988
68,GABARAPL2,2.450708,2.8866777,0.02670205687763295,0.09321116658074052
69,CDHR2,2.4432223,1.5104663,0.026794059687051078,0.09346203006960095
70,CD63,2.4407167,1.6468376,0.026879193930181143,0.09372377087150315
71,TMBIM6,2.4345791,1.3283788,0.026737826496039736,0.09330094193091762
72,MYL6,2.4140549,1.2065248,0.02801700691712983,0.09765447172542212
73,SMIM5,2.4090734,2.0164971,0.028925656937063563,0.09936637590296964
74,AGPAT2,2.378702,1.8593074,0.030594991230954858,0.10490680037152678
