Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	innate immune response in mucosa (GO:0002227)	2/21	1.590322e-04	2.837670e-02	0	0	1.313355e+02	1.148714e+03	DEFA6;DEFA5
GO_Biological_Process_2021	mucosal immune response (GO:0002385)	2/28	2.851929e-04	2.837670e-02	0	0	9.594231e+01	7.831142e+02	DEFA6;DEFA5
GO_Biological_Process_2021	antibacterial humoral response (GO:0019731)	2/44	7.076806e-04	4.694281e-02	0	0	5.934524e+01	4.304617e+02	DEFA6;DEFA5
GO_Biological_Process_2021	triglyceride metabolic process (GO:0006641)	2/55	1.104406e-03	4.825911e-02	0	0	4.700236e+01	3.200131e+02	FABP6;APOB
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	2/64	1.492147e-03	4.825911e-02	0	0	4.016129e+01	2.613512e+02	DEFA6;DEFA5
GO_Biological_Process_2021	defense response to Gram-positive bacterium (GO:0050830)	2/70	1.781768e-03	4.825911e-02	0	0	3.660662e+01	2.317254e+02	DEFA6;DEFA5
GO_Biological_Process_2021	defense response to Gram-negative bacterium (GO:0050829)	2/73	1.935824e-03	4.825911e-02	0	0	3.505458e+01	2.189937e+02	DEFA6;DEFA5
GO_Biological_Process_2021	peptide metabolic process (GO:0006518)	2/83	2.493396e-03	4.825911e-02	0	0	3.071142e+01	1.840876e+02	ACE;GSTA1
GO_Biological_Process_2021	cellular response to oxygen-containing compound (GO:1901701)	3/323	2.844431e-03	4.825911e-02	0	0	1.228875e+01	7.204147e+01	DEFA6;DEFA5;AKAP9
GO_Biological_Process_2021	protein transport (GO:0015031)	3/369	4.137398e-03	4.825911e-02	0	0	1.071913e+01	5.882322e+01	RCN3;GOLGA4;APOB
GO_Biological_Process_2021	positive regulation of membrane permeability (GO:1905710)	1/5	4.492293e-03	4.825911e-02	0	0	2.937941e+02	1.588072e+03	DEFA5
GO_Biological_Process_2021	cellular response to molecule of bacterial origin (GO:0071219)	2/115	4.721828e-03	4.825911e-02	0	0	2.197898e+01	1.177097e+02	DEFA6;DEFA5
GO_Biological_Process_2021	cellular response to lipopolysaccharide (GO:0071222)	2/120	5.129574e-03	4.825911e-02	0	0	2.104237e+01	1.109508e+02	DEFA6;DEFA5
GO_Biological_Process_2021	epithelium development (GO:0060429)	2/122	5.297081e-03	4.825911e-02	0	0	2.068958e+01	1.084258e+02	RCN3;GSTA1
GO_Biological_Process_2021	regulation of hematopoietic stem cell proliferation (GO:1902033)	1/6	5.388466e-03	4.825911e-02	0	0	2.350235e+02	1.227644e+03	ACE
GO_Biological_Process_2021	positive regulation of cholesterol storage (GO:0010886)	1/6	5.388466e-03	4.825911e-02	0	0	2.350235e+02	1.227644e+03	APOB
GO_Biological_Process_2021	regulation of peptidyl-cysteine S-nitrosylation (GO:2000169)	1/6	5.388466e-03	4.825911e-02	0	0	2.350235e+02	1.227644e+03	ACE
GO_Biological_Process_2021	negative regulation of cell cycle phase transition (GO:1901988)	1/7	6.283878e-03	4.825911e-02	0	0	1.958431e+02	9.928793e+02	SUSD2
GO_Biological_Process_2021	regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081)	1/7	6.283878e-03	4.825911e-02	0	0	1.958431e+02	9.928793e+02	ACE
GO_Biological_Process_2021	surfactant homeostasis (GO:0043129)	1/7	6.283878e-03	4.825911e-02	0	0	1.958431e+02	9.928793e+02	RCN3
GO_Biological_Process_2021	chemical homeostasis within a tissue (GO:0048875)	1/7	6.283878e-03	4.825911e-02	0	0	1.958431e+02	9.928793e+02	RCN3
GO_Biological_Process_2021	chylomicron remnant clearance (GO:0034382)	1/7	6.283878e-03	4.825911e-02	0	0	1.958431e+02	9.928793e+02	APOB
GO_Biological_Process_2021	regulation of cardiac muscle cell action potential involved in regulation of contraction (GO:0098909)	1/8	7.178529e-03	4.825911e-02	0	0	1.678571e+02	8.286538e+02	AKAP9
GO_Biological_Process_2021	myeloid leukocyte mediated immunity (GO:0002444)	1/8	7.178529e-03	4.825911e-02	0	0	1.678571e+02	8.286538e+02	ACE
GO_Biological_Process_2021	regulation of gap junction assembly (GO:1903596)	1/9	8.072419e-03	4.825911e-02	0	0	1.468676e+02	7.077996e+02	ACE
GO_Biological_Process_2021	positive regulation of blood pressure (GO:0045777)	1/9	8.072419e-03	4.825911e-02	0	0	1.468676e+02	7.077996e+02	ACE
GO_Biological_Process_2021	chylomicron remodeling (GO:0034371)	1/9	8.072419e-03	4.825911e-02	0	0	1.468676e+02	7.077996e+02	APOB
