,names,scores,logfoldchanges,pvals,pvals_adj
0,LINC02739,6.659809,2.1158156,7.816080439095971e-10,7.254885863568881e-06
1,IGHA1,5.9758244,2.1235375,2.8592919915721437e-08,0.0001326997413288632
2,IGKC,5.7652655,1.7952666,7.526686960923952e-08,0.00023287569457098708
3,IGHG4,5.346388,1.7021385,3.85914040589002e-07,0.0008955135311867793
4,IGHG3,5.14115,1.9507315,8.981552714915021e-07,0.0016673354459968244
5,IGHM,4.8184295,1.7665367,4.017602707613685e-06,0.0046614235415087775
6,IGLC1,4.540038,1.7237142,1.1864487058570269e-05,0.01223624098640547
7,IRF1,4.468107,2.2437682,1.5475203981844524e-05,0.014074055839427876
8,LIMD1-AS1,4.357212,1.6853667,2.5671220298581903e-05,0.01832925129318748
9,MUC1,4.3504286,2.085886,2.5037308939355368e-05,0.01832925129318748
10,C1R,4.283964,4.106984,3.8483875248837244e-05,0.025514809289979092
11,AL049543.1,4.1818786,3.036289,5.1468547838648574e-05,0.03184873740255574
12,C1QA,4.138805,1.4236232,6.125674827444726e-05,0.035536571092713715
13,REG1A,3.9632258,1.5523049,0.0001271262509690469,0.06555477008303852
14,JCHAIN,3.927983,1.3460498,0.00014464999166199645,0.06713206113033254
15,CXCL14,3.8443615,1.3326381,0.0001815483170283807,0.08024435612654426
16,TMC6,3.816746,2.7756288,0.00020078428379604642,0.08471271464522287
17,FMNL1,3.6789787,26.400497,0.00038456653369482643,0.14873110690647412
18,PIM2,3.6597235,3.4568489,0.000368103986271569,0.14855396524229147
19,C1QB,3.5954328,1.7101187,0.0004389530426961919,0.16297448569224213
20,DNM2,3.5566988,1.7333573,0.000506573634674942,0.1808467875789543
21,IGHG2,3.5204096,2.0576518,0.0005728096700780008,0.19691923546903714
22,IQCE,3.5020518,26.269794,0.0006997265543401864,0.20742363350383874
23,SLC66A1,3.5020518,26.269794,0.0006997265543401864,0.20742363350383874
24,TNFRSF6B,3.5000312,2.7955601,0.0006250275541991632,0.2071966342170226
25,SDF2L1,3.458842,3.2133107,0.0007258144922117618,0.20742363350383874
26,FLNA,3.4563327,2.0651755,0.000712645627962174,0.20742363350383874
27,UBD,3.4477086,2.546791,0.000737446660808735,0.20742363350383874
28,UBA7,3.4249492,2.397649,0.0008024004850662665,0.21905533242309078
29,ITGAV,3.4227996,26.421661,0.000909155639677808,0.2280752066889031
30,DNAJB6,3.4217494,3.385677,0.0008379525420070767,0.22222501414027673
31,NKTR,3.4036257,2.6473436,0.0008647018149104109,0.2229489512777343
32,IGLC3,3.3571587,1.7145535,0.0010007302694552535,0.2444415358179911
33,FURIN,3.3200493,26.127127,0.0012690694911616333,0.2741620762920549
34,PIGQ,3.3200493,26.127127,0.0012690694911616333,0.2741620762920549
35,AL627171.2,3.3125458,0.90874934,0.0012314068877311726,0.2741620762920549
36,TYMP,3.2873168,1.1859442,0.001300825465286926,0.2744150447453011
37,SULF2,3.2703736,26.212162,0.0014874933302727385,0.27613826183183116
38,LINC01089,3.2703736,26.212162,0.0014874933302727385,0.27613826183183116
39,LAT,3.2703736,26.212162,0.0014874933302727385,0.27613826183183116
40,KDM4B,3.2703736,26.212162,0.0014874933302727385,0.27613826183183116
41,MXRA5,3.2464404,2.5728753,0.0014567548998238446,0.27613826183183116
42,SNHG1,3.195707,0.8762772,0.001813061400872374,0.32997717495877205
43,WDR6,3.1695056,2.1813576,0.0018548735266455355,0.33109492450622807
44,IFI30,3.1475234,1.4882165,0.0020089903115525173,0.35183864286472577
45,COL3A1,3.1382146,2.09545,0.0020476137411266195,0.35196205083587556
46,SFSWAP,3.1319306,25.969963,0.0022959666489142244,0.37388004272319003
47,ARHGEF1,3.1189263,3.1732366,0.0022338081931577813,0.37025370801590224
48,AUP1,3.1154597,1.8723718,0.0022076838645468237,0.37025370801590224
49,SEMA6D,3.0949755,3.1150062,0.00240080337854314,0.37769927050232927
50,PARP14,3.0821962,1.4747208,0.002447031698202084,0.3785558037118624
51,PSMB10,3.073898,2.0609236,0.0025179097671431984,0.38313505669874043
52,CCDC107,3.0549943,26.152311,0.002906256956905531,0.4087254102120778
53,FNDC3B,3.0549943,26.152311,0.002906256956905531,0.4087254102120778
54,TAP1,3.0545511,1.3100891,0.0027275942445529697,0.3955864027803229
55,TIMP1,3.0152323,1.7666352,0.0030164329100462123,0.41630542330168985
56,CASP10,3.0129325,2.3987963,0.0030498565809647608,0.41630542330168985
57,STAT1,3.0003293,1.330465,0.003183235356933648,0.4282143562762047
58,C1S,2.9786942,1.7248659,0.003377591240289429,0.44512463822384357
59,SNHG14,2.9767876,2.3485389,0.0034048534059354547,0.44512463822384357
60,HLA-DMB,2.9666443,1.1631467,0.003518566986795062,0.44762625165181813
61,IGLC2,2.945341,1.1874329,0.0037788174582497305,0.44762625165181813
62,EXOSC8,2.936362,25.794886,0.004147366692744706,0.44762625165181813
63,INPP5K,2.936362,25.794886,0.004147366692744706,0.44762625165181813
64,ORAI2,2.936362,25.794886,0.004147366692744706,0.44762625165181813
65,PRDX4,2.936362,25.794886,0.004147366692744706,0.44762625165181813
66,APBA2,2.936362,25.794886,0.004147366692744706,0.44762625165181813
