,names,scores,logfoldchanges,pvals,pvals_adj
0,TNNC2,-3.0731454,-2.6370864,0.0022789011745605646,0.04896472384784991
1,RNF113A,-3.0804317,-24.571844,0.002243490810788485,0.04865439650873531
2,LMBRD1,-3.0851474,-1.8286376,0.0022505913023846144,0.04869461181523075
3,AKTIP,-3.0906081,-24.496195,0.0021701552846184386,0.04750797488638762
4,CPSF7,-3.1025558,-1.6663841,0.0021399353441456446,0.04695716279990514
5,ECHDC2,-3.121831,-1.1457945,0.0020796819631521534,0.04585180043225247
6,ABCA5,-3.1277206,-1.3138425,0.0019647956469369433,0.04383950287228055
7,SLC22A5,-3.1281903,-1.7048266,0.001953160542900242,0.04368490640771095
8,CNNM2,-3.1367795,-24.518572,0.0018643504869630724,0.04190048721547515
9,TEP1,-3.146035,-1.7048266,0.0018445016885593978,0.041656118426297635
10,STBD1,-3.1462798,-2.7117574,0.0017854757993895317,0.04071937683030377
11,AP1G2,-3.1554394,-1.5724546,0.001801942523420391,0.04088901391158067
12,DHX16,-3.158222,-2.6370864,0.001725683762140993,0.03964801158463539
13,SNX13,-3.1624694,-24.440067,0.0017119342555622764,0.039429711563595655
14,IKZF5,-3.1624694,-24.440067,0.001711934255562272,0.039429711563595655
15,BTD,-3.1624694,-24.440067,0.001711934255562272,0.039429711563595655
16,PITX2,-3.1624694,-24.440067,0.001711934255562272,0.039429711563595655
17,SLC34A3,-3.1624694,-24.440067,0.001711934255562272,0.039429711563595655
18,GMNN,-3.1624694,-24.440067,0.001711934255562272,0.039429711563595655
19,PEPD,-3.1686833,-1.14983,0.0017479170446491206,0.04005966915662503
20,DGKA,-3.1912334,-1.2231659,0.0016445587322486716,0.038547459981646895
21,SLC36A1,-3.201229,-1.6951122,0.0015902754488644633,0.037464306386700376
22,FBXO44,-3.206994,-24.357151,0.0014747461435931962,0.03518918690188187
23,CLASP2,-3.206994,-24.357151,0.0014747461435931962,0.03518918690188187
24,LRRC58,-3.206994,-24.357151,0.0014747461435931962,0.03518918690188187
25,GTF3C2,-3.206994,-24.357151,0.0014747461435931962,0.03518918690188187
26,PNPT1,-3.206994,-24.357151,0.0014747461435931962,0.03518918690188187
27,CDC42EP3,-3.206994,-24.357151,0.0014747461435931962,0.03518918690188187
28,CTBS,-3.206994,-24.357151,0.0014747461435931962,0.03518918690188187
29,MFSD9,-3.206994,-24.357151,0.0014747461435931962,0.03518918690188187
30,PRR12,-3.206994,-24.357151,0.0014747461435931962,0.03518918690188187
31,ADPRHL2,-3.206994,-24.357151,0.0014747461435931962,0.03518918690188187
32,PEX5,-3.206994,-24.357151,0.0014747461435931962,0.03518918690188187
33,MOGAT3,-3.2197542,-1.43565,0.0014561061282192707,0.03518918690188187
34,ABCD1,-3.2241385,-1.7631611,0.0014110111168142913,0.034740066807082894
35,MICA,-3.2324388,-2.1834922,0.0013583822164631451,0.03371257682676715
36,TMEM25,-3.234381,-2.7373881,0.0013277816578960645,0.033111031585677506
37,CIAO1,-3.2386425,-2.198102,0.0013275772511260296,0.033111031585677506
38,SLC7A7,-3.2440126,-1.3574202,0.0013305768995321816,0.033111031585677506
39,TMEM253,-3.2450938,-1.2164409,0.001388380553870698,0.034365195469407514
40,GATM,-3.24724,-1.7549067,0.0013100878723723008,0.03286550170637756
41,CYP4V2,-3.2558634,-1.6231064,0.0012937278983480305,0.03263147378387614
42,TKFC,-3.2964354,-1.2822219,0.0011216924047433951,0.02876118480891766
43,CNNM4,-3.3014612,-2.2023017,0.001074229229087531,0.027774361293566748
44,ARHGEF10L,-3.3023078,-1.9158823,0.0010991357878248331,0.02826088194623297
45,IDH1,-3.3224523,-1.7760994,0.001014278877354606,0.026445327358442284
46,FAM229A,-3.3252735,-24.571844,0.0009843189335145032,0.02588228991751167
47,MGAT3,-3.3252735,-24.571844,0.0009843189335145032,0.02588228991751167
48,CBWD5,-3.3252735,-24.571844,0.0009843189335145032,0.02588228991751167
49,BST1,-3.3252735,-24.571844,0.0009843189335145032,0.02588228991751167
50,CRYZ,-3.3252735,-24.571844,0.0009843189335145032,0.02588228991751167
51,NFIA,-3.3252735,-24.571844,0.0009843189335145032,0.02588228991751167
52,TTC13,-3.3252735,-24.571844,0.0009843189335145032,0.02588228991751167
53,TMEM14A,-3.3252735,-24.571844,0.0009843189335145032,0.02588228991751167
54,ENTPD5,-3.3293402,-2.0047026,0.0009734316268538512,0.02588228991751167
55,MMP28,-3.3378522,-2.841224,0.0009256112598383285,0.025343727769378658
56,IRF6,-3.3467882,-2.8647802,0.000896258830242393,0.024685680897061992
57,PRAG1,-3.3467882,-2.8647802,0.0008962588302423925,0.024685680897061992
58,DNASE1,-3.366893,-1.1240355,0.0008920454346944062,0.024685680897061992
59,CDK5RAP2,-3.3688583,-24.496195,0.0008455691515542413,0.02364027971303153
60,TIMELESS,-3.3688583,-24.496195,0.0008455691515542413,0.02364027971303153
61,PDE4D,-3.3688583,-24.496195,0.0008455691515542413,0.02364027971303153
62,ALKBH3,-3.3688583,-24.496195,0.0008455691515542413,0.02364027971303153
63,CENPC,-3.3688583,-24.496195,0.0008455691515542413,0.02364027971303153
64,ZRANB1,-3.3688583,-24.496195,0.0008455691515542413,0.02364027971303153
65,MLH3,-3.3688583,-24.496195,0.0008455691515542413,0.02364027971303153
66,BAX,-3.3749225,-2.2541256,0.0008284805520328719,0.02364027971303153
67,GRAMD1C,-3.3842754,-1.8314476,0.0008107569103629044,0.023226684080211352
68,TLCD4,-3.3967648,-24.804684,0.0007665421044569082,0.022234511917403194
69,CAMK2N1,-3.4030433,-1.0915881,0.0007867918476177147,0.022657549464660566
70,WDR34,-3.4041755,-2.0047026,0.0007529739171593724,0.021978314148029227
71,TNRC6A,-3.412527,-1.9631739,0.0007391077728494649,0.02164163516589506
