,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,10.99677,3.153377,1.3397281796322433e-17,6.217678481673241e-14
1,IGHA1,10.792233,3.8230255,5.751446670740852e-17,1.7794975999272196e-13
2,IGHG4,10.357718,3.247225,4.3071030319203714e-18,3.997853034228489e-14
3,AL627171.2,10.209154,2.8422194,3.3776101473815995e-15,5.225162897999335e-12
4,JCHAIN,9.486527,3.3781745,4.849398868433581e-16,1.1253030074200124e-12
5,IGHG3,9.232246,3.6389623,6.204119637819623e-16,1.1517327695648347e-12
6,IGHM,8.630559,3.0210733,3.8277316360622076e-14,5.075572149418487e-11
7,LCN2,7.958453,29.191067,2.38691992574852e-12,2.7694238438497208e-09
8,CXCL14,7.691393,3.8329325,3.6557851915578675e-12,3.770333127560014e-09
9,IGLC3,7.6900897,29.320322,9.092133679779106e-12,8.439318481570966e-09
10,IGLC2,7.1759324,3.2258081,4.5886765875338243e-11,3.872008735044451e-08
11,IGLC1,7.1307487,2.9620888,9.946406912636957e-11,7.693545746924687e-08
12,REG1A,6.910218,3.387392,2.5792354232621226e-09,1.710033085622787e-06
13,PSAP,6.8114314,2.9889872,8.804409925487285e-10,6.286348686797922e-07
14,LINC02739,6.7625146,2.203278,4.337787477325431e-09,2.3684319626196852e-06
15,IGHG2,6.4946947,29.099255,2.992518447200511e-09,1.8517704151276762e-06
16,TIMP1,6.445243,28.081432,3.776213560077417e-09,2.1906758915399114e-06
17,LYZ,6.102936,2.5314798,3.53389722553464e-08,1.8223130026340292e-05
18,COL1A2,5.7281146,3.1409106,7.734865295603924e-08,3.778685245989243e-05
19,MUC1,5.6666994,2.9340467,1.0476996335430798e-07,4.862373999273433e-05
20,C1QA,5.5794554,2.3645031,3.5847854452744607e-07,0.00015124535683198884
21,ACP5,5.459826,28.091352,3.314333720725415e-07,0.00014649355045606333
22,PLA2G2A,5.4013195,3.0392206,1.012007360142576e-06,0.00034790564136457
23,UBD,5.280123,27.370031,7.216197432343458e-07,0.00028936316222210424
24,CFB,5.2432337,2.8051355,7.481917575232172e-07,0.00028936316222210424
25,SH3BGRL3,5.1724644,2.9723582,8.44270460331368e-07,0.0003134607365118303
26,SOD2,5.1699514,2.8147218,9.16458098362572e-07,0.0003271755411154382
27,PLCG2,5.090288,2.5163589,1.450834860980432e-06,0.0004643672130903575
28,SLC40A1,5.064807,3.672911,1.3382724492699209e-06,0.00044363731693297876
29,IDO1,5.0521474,28.01785,1.8990074170647254e-06,0.0005875528948398261
30,PDZK1IP1,4.846315,3.2677264,3.44985939531756e-06,0.001032954674430245
31,PIM2,4.842841,27.217268,4.523560643321106e-06,0.0013121153091033282
32,IFI30,4.7558393,2.3458745,5.685482720623861e-06,0.0015991712306918388
33,HLA-DQB1,4.737767,2.5903006,6.843983461564566e-06,0.0018684074850071266
34,SRGN,4.7226043,27.429148,7.3788302764586e-06,0.0019568657893168206
35,S100A6,4.69919,2.1628692,1.32988093645981e-05,0.0032484091716368305
36,CD24,4.6882286,2.6344411,8.104129448792276e-06,0.002089514709546942
37,SNHG1,4.6643233,1.5544941,1.992255743366191e-05,0.0043004925139360425
38,CTSB,4.6578293,2.123033,1.37810002920276e-05,0.0032798780695025686
39,TYROBP,4.6507535,27.270199,9.851879157975264e-06,0.0024714903336304434
40,DMBT1,4.5317197,2.6915014,3.001986252005769e-05,0.006057486171982076
41,FKBP1A,4.518259,27.113276,1.6674875794058667e-05,0.003775029198059818
42,TNFRSF6B,4.4850254,3.6574783,1.566916665799127e-05,0.003636030122986874
43,C1QC,4.4603667,27.187437,2.0926635793302364e-05,0.0044145689416689214
44,VIM,4.4256487,3.5873017,1.9875326425466676e-05,0.0043004925139360425
45,ATP6V0B,4.391425,2.7043235,2.7348002934344743e-05,0.005640981405257509
46,MMP2,4.3212433,27.022064,3.586012614840173e-05,0.006715509688969203
47,SERPING1,4.316603,27.217268,3.650362882757504e-05,0.006715509688969203
48,STOM,4.3137956,27.199715,3.689840488444617e-05,0.006715509688969203
49,UBA52,4.2831564,1.8956002,8.235357587499312e-05,0.01253124411920797
50,CD53,4.2805595,26.80042,4.189518603242761e-05,0.007478290706788329
51,CD55,4.2755103,2.8746333,3.672769480826781e-05,0.006715509688969203
52,SLC6A8,4.205592,2.8836281,4.8017595141175685e-05,0.008409421096233825
53,AC004687.1,4.2005873,26.838112,5.672935176483503e-05,0.009456440807171826
54,HAPLN3,4.19908,27.002295,5.705243322577271e-05,0.009456440807171826
55,PGK1,4.198328,2.397212,5.453791191339031e-05,0.009374461081112756
56,PLEKHM2,4.1664796,26.647753,6.448902512665104e-05,0.010501528617992544
57,ICAM1,4.1575184,26.98845,6.66909554742187e-05,0.010672852563994794
58,RASGRP2,4.1192813,26.705807,7.692488379943565e-05,0.011900279523772697
59,IL7R,4.1192813,26.705807,7.692488379943565e-05,0.011900279523772697
60,LBH,4.0860386,26.761826,8.703140416741086e-05,0.012822626880665199
61,MADD,4.063598,26.815958,9.45608485763406e-05,0.013275998697049264
62,EHD1,4.063598,26.815958,9.45608485763406e-05,0.013275998697049264
63,RARRES1,4.0495768,3.3512936,8.672280221617383e-05,0.012822626880665199
64,MYH9,4.046287,1.9294064,0.00013142305531936628,0.01648471350641024
65,VSIR,4.030571,3.191232,9.446916023021152e-05,0.013275998697049264
66,FGL2,4.0268335,2.7866995,9.582976866001947e-05,0.013275998697049264
67,SPINK1,4.0264306,2.2556708,0.00011557914364736664,0.015242518975210333
68,TRAC,4.0064483,26.853294,0.00011665854203189889,0.015242518975210333
69,FCER1G,4.0064483,26.853294,0.00011665854203189889,0.015242518975210333
70,BTAF1,4.0027766,26.543333,0.00011823544130738462,0.015242518975210333
71,RARRES2,4.001623,3.2237847,0.00010474129751679155,0.014297187111042046
72,C1QB,3.9949114,2.3082378,0.000125738800036818,0.01598777454714719
73,ADGRE5,3.9552734,26.605244,0.00014056898393970964,0.01716791195958401
74,ETV7,3.9552734,26.605244,0.00014056898393970964,0.01716791195958401
75,SUB1,3.9227126,26.664835,0.0001581478835094767,0.018581375376391936
76,MYDGF,3.9227126,26.664835,0.00015814788350947668,0.018581375376391936
77,CTSC,3.9123297,3.1624513,0.00014673021364071983,0.017687660298872226
78,TYMP,3.908029,1.514618,0.00020343319941868387,0.022214905376520277
79,TGFBI,3.90154,26.722282,0.00017068435338952283,0.019559162569895688
80,CYGB,3.90154,26.722282,0.00017068435338952283,0.019559162569895688
81,GAS5,3.8981187,1.667605,0.0002818352769638233,0.027366262581850657
82,ABCA7,3.8627453,3.0499642,0.000179304704483816,0.02029641789047293
83,RASAL3,3.8562384,26.705807,0.00020076731615041533,0.022184788434620892
84,JAK3,3.8487515,3.1955414,0.0001843705301197191,0.02061840072977389
85,TINAGL1,3.8359203,26.431538,0.00021584376037765438,0.022510806559835818
86,FXYD5,3.8359203,26.431538,0.00021584376037765438,0.022510806559835818
87,CNN2,3.8161502,3.095377,0.0002098364722682279,0.022387380868893005
88,PTPRC,3.8161502,3.095377,0.0002098364722682279,0.022387380868893005
89,SEC24C,3.7880614,26.49789,0.0002557325499645439,0.02552375837388068
90,CHID1,3.7880614,26.49789,0.0002557325499645439,0.02552375837388068
91,AKR1B1,3.7880614,26.49789,0.00025573254996454466,0.02552375837388068
92,HLA-C,3.7873135,1.4452868,0.00041111445717842475,0.033769596385222464
93,TNFAIP2,3.7671082,2.5906744,0.00025519683397645713,0.02552375837388068
94,RNF114,3.7562888,26.561567,0.0002859865837577584,0.027366262581850657
95,R3HDM4,3.7562888,26.561567,0.0002859865837577584,0.027366262581850657
96,SDC3,3.7562888,26.561567,0.0002859865837577584,0.027366262581850657
97,CD6,3.7365623,26.622786,0.0003064506300872429,0.0287320681663615
98,COL3A1,3.7313764,2.460135,0.0003030677612521644,0.028704846530026428
99,SLC25A6,3.713323,2.4182692,0.00034595976783456764,0.03148233887294565
100,CXCL10,3.7046268,26.883236,0.000342556662750448,0.031481296471778795
101,NCF1,3.6994216,2.231083,0.0003386437726692715,0.031432914979161786
102,IRF1,3.6806376,1.6523595,0.000397894459954297,0.03297550336871236
103,MPEG1,3.665349,26.311186,0.00039251043466849477,0.03282235905038711
104,FNBP4,3.665349,26.311186,0.00039251043466849477,0.03282235905038711
105,SNHG9,3.665349,26.311186,0.00039251043466849477,0.03282235905038711
106,FMNL1,3.665349,26.311186,0.00039251043466849477,0.03282235905038711
107,INPP5D,3.665349,26.311186,0.00039251043466849477,0.03282235905038711
