Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	89/1025	1.033986e-06	1.900626e-03	0	0	1.812152e+00	2.497524e+01	PIGS;ERO1A;ST6GALNAC1;PRAG1;GPAA1;PRKCSH;MPI;PTEN;PIK3CD;PTPRK;DCAF5;DUSP16;CDC14B;PSMD8;IKBKB;PPP1CB;PPP2R1A;PDK4;AKT1;TLK1;PDK3;PDK2;FBXW4;DUSP5;WSB2;IGFBP5;DUSP1;DAPK2;MINK1;APOA1;RABGGTB;PHKA2;CDC25B;DDB1;CTDNEP1;PPM1A;CDC34;SDHAF2;DAD1;PEAK1;MAPKAPK2;RARA;ATG4B;BIRC6;CUL9;RAB1A;ROCK2;EPAS1;PSMD13;CUL3;TULP4;NEDD8;PSMA7;PSMB10;UGCG;PAK1;CAND1;MAN2A2;MAPK1;PSMF1;APOL1;MAPK6;ATG5;LHPP;CDK18;USP25;MCRS1;INSR;WWP2;CDC42BPA;CLK3;FBXO31;KTN1;CUL4A;COPS6;PSMC6;STK25;WNK1;PSMC1;MGAT4A;STT3A;CPE;FBXL3;MAP3K13;FRK;METAP1;BAP1;ENGASE;CDK16
GO_Biological_Process_2021	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	38/321	1.771089e-06	1.900626e-03	0	0	2.516085e+00	3.332282e+01	PSMD13;CUL3;FAF2;DERL1;ARRB2;RNF4;RNF5;PSMA7;PSMB10;PSMD8;MAEA;TRIM2;PCBP2;TRIM25;PSMF1;UBXN4;RFFL;ANKZF1;FBXW4;SMURF2;SGTA;HUWE1;WWP2;DNAJB14;RAD23A;FBXO31;DDB1;CUL4A;CDC34;RNF103;PSMC6;NEMF;TBL1XR1;PSMC1;DNAJC10;MDM2;FBXL3;STUB1
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	32/251	2.373796e-06	1.900626e-03	0	0	2.730949e+00	3.536857e+01	SRRT;DDX23;SRSF1;DDX42;HNRNPR;YBX1;PRPF8;PQBP1;RBM4;RBM15B;PCF11;PCBP2;DHX16;SNRPD3;SRSF10;SRSF11;HNRNPA0;RBM17;IK;CPSF7;PRPF40A;PLRG1;LSM3;U2SURP;CHERP;PRPF3;RNPS1;PRPF31;SNRNP200;SLU7;SUGP1;SRSF9
GO_Biological_Process_2021	mRNA processing (GO:0006397)	36/300	2.400560e-06	1.900626e-03	0	0	2.552689e+00	3.303131e+01	SRRT;DDX23;SRSF1;DDX42;HNRNPR;YBX1;PRPF8;PQBP1;RBM4;RBM15B;PCF11;PCBP2;DHX16;SNRPD3;SRSF10;CMTR1;SRSF11;HNRNPA0;RBM17;IK;CHTOP;CPSF7;SCAF11;PRPF40A;GTF2H1;PLRG1;LSM3;U2SURP;CHERP;PRPF3;RNPS1;PRPF31;SNRNP200;SLU7;SUGP1;SRSF9
GO_Biological_Process_2021	protein modification by small protein removal (GO:0070646)	34/276	2.531468e-06	1.900626e-03	0	0	2.627876e+00	3.386468e+01	OTUD4;PSMD13;PTEN;TNFAIP3;NEDD8;ARRB2;TOMM20;MYSM1;PSMA7;PSMB10;PSMD8;SENP7;PSMF1;SUDS3;USP47;USP25;SMAD4;TOR1A;SMURF2;DDX58;MCRS1;USP3;TAF10;RAD23A;ASXL1;RNF123;COPS6;PSMC6;TRAF3;PSMC1;MDM2;USP40;STAMBP;BAP1
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	33/274	5.773649e-06	3.612380e-03	0	0	2.558750e+00	3.086417e+01	SRRT;DDX23;SRSF1;DDX42;HNRNPR;YBX1;PRPF8;PQBP1;RBM4;RBM15B;PCF11;PCBP2;DHX16;SNRPD3;SRSF10;SRSF11;HNRNPA0;RBM17;IK;CPSF7;SCAF11;PRPF40A;PLRG1;LSM3;U2SURP;CHERP;PRPF3;RNPS1;PRPF31;SNRNP200;SLU7;SUGP1;SRSF9
GO_Biological_Process_2021	ubiquitin-dependent protein catabolic process (GO:0006511)	39/354	7.464043e-06	3.661890e-03	0	0	2.318321e+00	2.736874e+01	PSMD13;CUL3;VPS4B;CBLC;TNFAIP3;NEDD8;RNF6;UBE3B;ARRB2;PTPN23;RNF4;RNF5;PSMA7;PSMB10;PSMD8;MAEA;TRIM2;PCBP2;ARIH2;TRIM25;PSMF1;RFFL;FBXW4;NDFIP1;SMURF2;HUWE1;WWP2;RAD23A;CHFR;DDB1;CUL4A;CDC34;PSMC6;TBL1XR1;PSMC1;MDM2;UBA1;BIRC6;STUB1
GO_Biological_Process_2021	proteasomal protein catabolic process (GO:0010498)	27/205	7.803709e-06	3.661890e-03	0	0	2.827097e+00	3.324923e+01	PSMD13;CUL3;DERL1;ARRB2;RNF4;RNF5;PSMA7;PSMB10;PSMD8;MAEA;TRIM2;PCBP2;PSMF1;RFFL;SMURF2;HUWE1;WWP2;RAD23A;DDB1;RCN3;CUL4A;CDC34;PSMC6;TBL1XR1;PSMC1;MDM2;STUB1
GO_Biological_Process_2021	protein deubiquitination (GO:0016579)	32/267	8.811410e-06	3.675337e-03	0	0	2.542840e+00	2.959729e+01	OTUD4;PSMD13;PTEN;TNFAIP3;NEDD8;ARRB2;TOMM20;MYSM1;PSMA7;PSMB10;PSMD8;PSMF1;SUDS3;ATXN7L3;USP47;USP25;SMAD4;SMURF2;DDX58;MCRS1;USP3;TAF10;RAD23A;ASXL1;RNF123;PSMC6;TRAF3;PSMC1;MDM2;USP40;STAMBP;BAP1
GO_Biological_Process_2021	intracellular protein transport (GO:0006886)	37/336	1.282538e-05	4.814648e-03	0	0	2.314468e+00	2.607037e+01	VPS29;RAB1A;C2CD5;TBC1D9B;SAR1A;SAR1B;PPP1R10;STX16;STXBP2;CLTC;SNX13;VPS26B;GABARAP;HDAC6;ARFRP1;NUP85;NUP42;AKT1;TLK1;STX3;CCHCR1;RAB6A;APPL2;YWHAH;RABGAP1L;TMED9;STAT3;STX7;HPS4;AP4B1;ARCN1;GIPC1;SGSM3;SNX15;RAB18;SLU7;RAB7A
