,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,8.027255,1.8735684,1.4846176527112176e-13,1.3780221052465523e-09
1,IGHA1,7.3748846,1.964644,5.420492251152794e-12,2.5156504537600118e-08
2,LINC02739,7.3306255,1.7275513,1.0322140645271102e-11,3.193670315646879e-08
3,IGHM,7.2928267,2.192656,1.845745794197752e-11,4.283053115435883e-08
4,IGHG4,6.868803,1.8138679,1.5591763197678062e-10,2.412045766680796e-07
5,AL627171.2,6.523477,1.4144932,6.562678001349512e-10,6.76830857872513e-07
6,IGHG3,6.4666615,2.1426084,1.4733241820926588e-09,1.2432177325621874e-06
7,REG1A,5.9208326,1.8399807,1.952132137818766e-08,9.536679212228308e-06
8,IGLC3,5.5849795,2.9936068,1.7608616840694799e-07,5.272360694042875e-05
9,IGLC1,5.4182434,1.7346635,2.3076803528534074e-07,6.693715323495416e-05
10,IGLC2,5.407725,2.0914173,3.00271198728275e-07,8.197403725281907e-05
11,JCHAIN,5.370658,1.4526383,2.607018238962267e-07,7.332831301226595e-05
12,LCN2,5.2361236,2.7427816,7.738161459629374e-07,0.0001795640366706996
13,MUC1,5.0156617,2.087746,1.9132425535735733e-06,0.00037784505068659373
14,ISG20,4.25631,2.2946467,4.0993678519054783e-05,0.0038826869797333316
15,CD24,4.0858197,1.7488636,7.875497739123369e-05,0.006142888236516228
16,PSAP,4.0001874,1.1648034,9.848189571651372e-05,0.007197708315280948
17,IFI30,3.9910731,1.6031175,0.0001092723586384041,0.007457838477071079
18,C1QA,3.846214,1.0775442,0.00017051550484391116,0.010150476795382939
19,TIMP1,3.8171566,1.9091899,0.00021129532156032374,0.011814717920017622
20,TYROBP,3.7977018,3.6469767,0.00025079291137196797,0.013302056019169181
21,CD55,3.760448,2.112492,0.00026880926902849627,0.013861597972902791
22,IGHG2,3.757433,2.0975082,0.00026413491789861255,0.013767534709920811
23,TNFRSF6B,3.7060602,2.4131458,0.0003325785795650034,0.015467119784183964
24,S100A11,3.595816,1.6641179,0.00045083512915795345,0.018949208950331663
25,ABCA7,3.5812669,1.932352,0.00048597619355318503,0.020048137904714058
26,ELOB,3.5762196,1.5088191,0.00048094398036270514,0.02002707045275032
27,C1QB,3.5691922,1.3955703,0.0004991549940393963,0.020410381738650556
28,ACP5,3.4424264,1.8755449,0.0007957917751005648,0.027459253741574135
29,DMBT1,3.442161,1.1287656,0.0007337870331676683,0.02619619708408576
30,CD53,3.4394019,3.2473614,0.0008402523055893114,0.02856857839003659
31,ITGB2,3.2018638,1.8746649,0.0017429611515103816,0.044567948783248934
32,STAT1,3.19558,1.1781284,0.0016913514784702092,0.043975138440225436
33,MXRA5,3.1776757,2.3426373,0.001914915971659594,0.04669532048858642
34,ICAM1,3.1727762,2.8428152,0.0019681799866888643,0.047698816283148926
