,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,8.027255,1.8735684,1.4846176527112176e-13,1.3780221052465523e-09
1,IGHA1,7.3748846,1.964644,5.420492251152794e-12,2.5156504537600118e-08
2,LINC02739,7.3306255,1.7275513,1.0322140645271102e-11,3.193670315646879e-08
3,IGHM,7.2928267,2.192656,1.845745794197752e-11,4.283053115435883e-08
4,IGHG4,6.868803,1.8138679,1.5591763197678062e-10,2.412045766680796e-07
5,AL627171.2,6.523477,1.4144932,6.562678001349512e-10,6.76830857872513e-07
6,IGHG3,6.4666615,2.1426084,1.4733241820926588e-09,1.2432177325621874e-06
7,REG1A,5.9208326,1.8399807,1.952132137818766e-08,9.536679212228308e-06
8,IGLC3,5.5849795,2.9936068,1.7608616840694799e-07,5.272360694042875e-05
9,IGLC1,5.4182434,1.7346635,2.3076803528534074e-07,6.693715323495416e-05
10,IGLC2,5.407725,2.0914173,3.00271198728275e-07,8.197403725281907e-05
11,JCHAIN,5.370658,1.4526383,2.607018238962267e-07,7.332831301226595e-05
12,LCN2,5.2361236,2.7427816,7.738161459629374e-07,0.0001795640366706996
13,MUC1,5.0156617,2.087746,1.9132425535735733e-06,0.00037784505068659373
14,ISG20,4.25631,2.2946467,4.0993678519054783e-05,0.0038826869797333316
15,SNHG1,4.2222414,0.8798465,3.903173302401866e-05,0.0037641690895384968
16,CD24,4.0858197,1.7488636,7.875497739123369e-05,0.006142888236516228
17,PSAP,4.0001874,1.1648034,9.848189571651372e-05,0.007197708315280948
18,IFI30,3.9910731,1.6031175,0.0001092723586384041,0.007457838477071079
19,C1QA,3.846214,1.0775442,0.00017051550484391116,0.010150476795382939
20,TIMP1,3.8171566,1.9091899,0.00021129532156032374,0.011814717920017622
21,TYROBP,3.7977018,3.6469767,0.00025079291137196797,0.013302056019169181
22,CD55,3.760448,2.112492,0.00026880926902849627,0.013861597972902791
23,IGHG2,3.757433,2.0975082,0.00026413491789861255,0.013767534709920811
24,TNFRSF6B,3.7060602,2.4131458,0.0003325785795650034,0.015467119784183964
25,S100A11,3.595816,1.6641179,0.00045083512915795345,0.018949208950331663
26,ABCA7,3.5812669,1.932352,0.00048597619355318503,0.020048137904714058
27,ELOB,3.5762196,1.5088191,0.00048094398036270514,0.02002707045275032
28,C1QB,3.5691922,1.3955703,0.0004991549940393963,0.020410381738650556
29,ACP5,3.4424264,1.8755449,0.0007957917751005648,0.027459253741574135
30,DMBT1,3.442161,1.1287656,0.0007337870331676683,0.02619619708408576
31,CD53,3.4394019,3.2473614,0.0008402523055893114,0.02856857839003659
32,CXCL14,3.330966,0.9648679,0.0010601931827791931,0.03319089762934668
33,ITGB2,3.2018638,1.8746649,0.0017429611515103816,0.044567948783248934
34,S100A6,3.2008364,0.94281816,0.0016679410249242248,0.043724662089234874
35,STAT1,3.19558,1.1781284,0.0016913514784702092,0.043975138440225436
36,MXRA5,3.1776757,2.3426373,0.001914915971659594,0.04669532048858642
37,ICAM1,3.1727762,2.8428152,0.0019681799866888643,0.047698816283148926
38,PLA2G2A,3.142609,0.95883954,0.00198609601074469,0.04799683196840631
39,PIM2,3.1162827,2.0999763,0.0022932314532226813,0.05361656007257665
40,IL7R,3.078152,2.7214856,0.0026363387937800953,0.05771343557515766
41,PDZK1IP1,3.0671787,1.4658421,0.00266804395597202,0.05799715222326063
42,GPNMB,3.0569952,1.9111339,0.002728743395936645,0.05883865721068526
43,LIMD2,3.002581,1.9817252,0.0032261673180493887,0.06426026833934426
44,SLC40A1,2.9850323,1.3317245,0.0033245362285208133,0.06579604535848654
45,IDO1,2.9770389,2.013181,0.003563320642095661,0.06851009108471016
46,RALY,2.9424348,1.1363591,0.0037705020394188165,0.07139984367368991
47,HAPLN3,2.8991454,2.4774187,0.004509865801450961,0.07694958523725702
48,LYZ,2.87877,0.79874396,0.004494511466583283,0.07682883136800374
49,RALB,2.8271327,2.131096,0.005542155958869637,0.08713329169343577
50,MFGE8,2.776668,1.519338,0.006289957686872637,0.09577177771632023
51,C1R,2.755188,1.5615388,0.006780390416034394,0.10102019878271469
52,NCF1,2.7255497,1.1796905,0.007202208871363711,0.10527701219527237
53,GM2A,2.722424,1.7763886,0.0074328689002851715,0.10649391721062569
54,MMP12,2.7209313,2.4202206,0.007565222271619257,0.10649391721062569
55,APOE,2.714139,1.3297564,0.007458658716690489,0.10649391721062569
56,CXCL9,2.7050354,1.4508379,0.007737844389067626,0.10649391721062569
57,CD81,2.7041337,1.3032321,0.007688292108711158,0.10649391721062569
58,FMNL1,2.6755805,2.4028687,0.00856112538739431,0.11271541254722553
59,TRIB2,2.6726835,3.1082675,0.008725363581904306,0.11374834939218506
60,COL3A1,2.6656678,1.1975818,0.008559440032532414,0.11271541254722553
