,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHA1,9.691786,3.3859265,8.115084423070636e-16,3.7662106807470824e-12
1,REG1A,9.615454,4.193002,4.672116790829129e-14,1.4455529350825325e-10
2,AL627171.2,8.359353,2.2056472,2.8272517078298415e-13,6.560637588019147e-10
3,IGKC,7.4136376,2.40674,2.87214374638996e-11,5.3318476507983215e-08
4,LINC02739,6.941999,2.4851215,1.26660110504825e-09,1.959431909509643e-06
5,DMBT1,6.217423,3.5729818,6.527127282566078e-08,7.573099429597293e-05
6,S100A6,6.0682406,2.502213,6.081418306432598e-08,7.573099429597293e-05
7,MUC1,5.772576,4.141924,4.33201753264413e-07,0.0002872127624143058
8,PLA2G2A,5.7243104,2.9877245,3.3794197452020765e-07,0.00026139811729138064
9,HLA-C,5.6871347,2.0866401,1.6678872714274886e-07,0.00014073936048536318
10,JCHAIN,5.6596737,1.9560639,1.535588348779877e-07,0.00014073936048536318
11,IGHG4,5.640427,1.939484,1.5089762345240907e-07,0.00014073936048536318
12,IGHG3,5.5294065,2.4152088,4.1577493578147453e-07,0.0002872127624143058
13,PSAP,5.1024036,2.3623652,2.7831817812653527e-06,0.0017222328862470005
14,IGLC3,5.0016613,3.4533792,6.331595495223254e-06,0.003457051140391897
15,LYZ,4.828406,1.9757087,7.291454193029827e-06,0.003759959878872381
16,IGLC1,4.611171,1.8101889,1.434798414891765e-05,0.007001799476853813
17,CXCL14,4.5929403,2.0410123,1.687166732254282e-05,0.007457276956563926
18,IGLC2,4.4644866,2.2395997,2.8572045789609653e-05,0.010608229160766272
19,B2M,4.4443946,1.1311089,2.2157013693181617e-05,0.009097537371863754
20,LCN2,4.366283,4.729529,6.332453551009782e-05,0.019592611286824265
21,SPINK4,4.3525176,2.6741524,5.458698589467041e-05,0.01809558582408324
22,IGHM,4.257762,1.66535,4.691310087460094e-05,0.016127681567335034
23,IGHG2,4.2539654,3.1180613,7.702571375857187e-05,0.021570898696913438
24,SNHG1,4.2229533,1.1203302,5.6735588202823415e-05,0.018159301024089892
25,COL1A2,4.197356,2.0360107,7.072881546013477e-05,0.02101074110333961
26,ANXA2,4.1966248,2.1416254,7.901428094107486e-05,0.021570898696913438
27,P4HB,4.1915374,1.7075117,7.243522035195728e-05,0.02101074110333961
28,RNASEK,4.0709143,2.6076648,0.00012803350075847242,0.03127386721158266
29,BRI3,4.0321574,2.964402,0.00015873201190375006,0.03593537889001483
30,PHGR1,4.020947,1.3258721,0.0001231180302795985,0.030885988028519825
31,IFI30,3.994497,2.35785,0.00017486083488991788,0.03794771253281882
32,CTSB,3.9940941,1.9190874,0.0001540414861023746,0.035745326850056026
33,C1QB,3.9737759,2.5159023,0.00018350012599191375,0.03871018566947599
34,PIGR,3.960168,1.1381352,0.00013582746426818432,0.03232693649582787
35,IFI27,3.935554,1.7574302,0.0001757974185424703,0.03794771253281882
36,C1QA,3.87035,1.4873294,0.00021913476439815952,0.04180496357422695
37,TMSB10,3.8379648,1.2916859,0.00022068985295594924,0.04180496357422695
