,names,scores,logfoldchanges,pvals,pvals_adj
0,HLA-A,-6.0126185,-2.6333237,4.532982122946267e-05,0.04207514006518724
1,PIGR,-6.767849,-2.6757834,2.1207921061275742e-06,0.010676176587747934
2,MT-CO2,-6.8795633,-2.294796,2.128553004067686e-05,0.02531766375492748
3,NEAT1,-7.171457,-3.5049663,4.242146712123795e-05,0.04207514006518724
4,MT-ND2,-7.2849846,-2.6748762,5.7510108746756815e-06,0.010676176587747934
5,MT-ND4,-7.903413,-2.809662,1.0187680143205419e-05,0.015760341181538785
6,MT-ND3,-8.377981,-2.7666366,5.109098818674227e-06,0.010676176587747934
7,MT-CO3,-9.158623,-3.1923163,2.743347659074596e-06,0.010676176587747934
8,MT-ATP6,-9.289362,-2.9456923,5.21088844247178e-06,0.010676176587747934
9,DEFA5,-10.763041,-5.992065,2.1820869428939865e-05,0.02531766375492748
