,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,9.427298,4.2969346,1.2018092085816342e-09,1.1155193074054729e-05
1,IGHA1,8.671477,3.337069,4.9472036591763885e-09,2.295997218223762e-05
2,IGHM,6.8067656,4.587591,1.778721139134361e-08,5.503363204481714e-05
3,TNFRSF14-AS1,6.2653694,29.024712,1.5027774307940596e-07,0.00034871950281576157
4,DMBT1,5.7193627,3.093027,4.3078524713587286e-06,0.006664247773191953
5,LCN2,5.6712046,29.327765,1.0976097738828826e-06,0.0020376027842361833
6,PARP14,5.209452,28.73842,5.084025828956191e-06,0.006741418249195909
7,RARRES1,5.021384,28.985266,9.437610878975242e-06,0.009866758568999575
8,CRACR2B,5.0172296,28.539154,9.566992794763647e-06,0.009866758568999575
9,NPC2,4.8705235,28.526806,1.5451174827559488e-05,0.014341780474940715
10,GSKIP,4.6999316,28.408007,2.687168168526038e-05,0.022674813582053352
11,UQCRC2,4.630381,28.279865,3.362611242519671e-05,0.026009797960889654
12,TCIRG1,4.4848003,28.210474,5.361149975826481e-05,0.038278610827401076
13,IGLC3,4.4267154,28.356716,6.450254771399472e-05,0.042765189134378497
