Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	3/64	1.109240e-05	2.584530e-03	0	0	8.908346e+01	1.016375e+03	REG3A;DEFA6;DEFA5
GO_Biological_Process_2021	innate immune response in mucosa (GO:0002227)	2/21	9.482727e-05	1.104738e-02	0	0	1.751491e+02	1.622486e+03	DEFA6;DEFA5
GO_Biological_Process_2021	mucosal immune response (GO:0002385)	2/28	1.702127e-04	1.321985e-02	0	0	1.279487e+02	1.110398e+03	DEFA6;DEFA5
GO_Biological_Process_2021	antibacterial humoral response (GO:0019731)	2/44	4.232677e-04	2.465534e-02	0	0	7.914286e+01	6.147426e+02	DEFA6;DEFA5
GO_Biological_Process_2021	triglyceride metabolic process (GO:0006641)	2/55	6.615177e-04	3.082673e-02	0	0	6.268239e+01	4.588961e+02	FABP6;APOB
GO_Biological_Process_2021	defense response to Gram-positive bacterium (GO:0050830)	2/70	1.069372e-03	3.804806e-02	0	0	4.881863e+01	3.339528e+02	DEFA6;DEFA5
GO_Biological_Process_2021	defense response to Gram-negative bacterium (GO:0050829)	2/73	1.162296e-03	3.804806e-02	0	0	4.674883e+01	3.158986e+02	DEFA6;DEFA5
GO_Biological_Process_2021	cellular response to molecule of bacterial origin (GO:0071219)	2/115	2.850864e-03	3.804806e-02	0	0	2.931121e+01	1.717676e+02	DEFA6;DEFA5
GO_Biological_Process_2021	cellular response to lipopolysaccharide (GO:0071222)	2/120	3.099094e-03	3.804806e-02	0	0	2.806215e+01	1.621051e+02	DEFA6;DEFA5
GO_Biological_Process_2021	establishment of T cell polarity (GO:0001768)	1/5	3.495399e-03	3.804806e-02	0	0	3.842692e+02	2.173545e+03	CCL21
GO_Biological_Process_2021	negative regulation of keratinocyte differentiation (GO:0045617)	1/5	3.495399e-03	3.804806e-02	0	0	3.842692e+02	2.173545e+03	REG3A
GO_Biological_Process_2021	negative regulation of leukocyte adhesion to vascular endothelial cell (GO:1904995)	1/5	3.495399e-03	3.804806e-02	0	0	3.842692e+02	2.173545e+03	CCL21
GO_Biological_Process_2021	positive regulation of glycoprotein metabolic process (GO:1903020)	1/5	3.495399e-03	3.804806e-02	0	0	3.842692e+02	2.173545e+03	CCL21
GO_Biological_Process_2021	disaccharide biosynthetic process (GO:0046351)	1/5	3.495399e-03	3.804806e-02	0	0	3.842692e+02	2.173545e+03	FBP1
GO_Biological_Process_2021	response to prostaglandin (GO:0034694)	1/5	3.495399e-03	3.804806e-02	0	0	3.842692e+02	2.173545e+03	CCL21
GO_Biological_Process_2021	positive regulation of membrane permeability (GO:1905710)	1/5	3.495399e-03	3.804806e-02	0	0	3.842692e+02	2.173545e+03	DEFA5
GO_Biological_Process_2021	positive regulation of antigen processing and presentation (GO:0002579)	1/6	4.193120e-03	3.804806e-02	0	0	3.074000e+02	1.682803e+03	CCL21
GO_Biological_Process_2021	establishment of lymphocyte polarity (GO:0001767)	1/6	4.193120e-03	3.804806e-02	0	0	3.074000e+02	1.682803e+03	CCL21
GO_Biological_Process_2021	cellular response to magnesium ion (GO:0071286)	1/6	4.193120e-03	3.804806e-02	0	0	3.074000e+02	1.682803e+03	FBP1
GO_Biological_Process_2021	negative regulation of cellular extravasation (GO:0002692)	1/6	4.193120e-03	3.804806e-02	0	0	3.074000e+02	1.682803e+03	CCL21
GO_Biological_Process_2021	positive regulation of cholesterol storage (GO:0010886)	1/6	4.193120e-03	3.804806e-02	0	0	3.074000e+02	1.682803e+03	APOB
GO_Biological_Process_2021	positive regulation of dendritic cell antigen processing and presentation (GO:0002606)	1/6	4.193120e-03	3.804806e-02	0	0	3.074000e+02	1.682803e+03	CCL21
GO_Biological_Process_2021	negative regulation of dendritic cell apoptotic process (GO:2000669)	1/7	4.890388e-03	3.804806e-02	0	0	2.561538e+02	1.362862e+03	CCL21
GO_Biological_Process_2021	negative regulation of epidermal cell differentiation (GO:0045605)	1/7	4.890388e-03	3.804806e-02	0	0	2.561538e+02	1.362862e+03	REG3A
GO_Biological_Process_2021	chylomicron remnant clearance (GO:0034382)	1/7	4.890388e-03	3.804806e-02	0	0	2.561538e+02	1.362862e+03	APOB
GO_Biological_Process_2021	response to lipopolysaccharide (GO:0032496)	2/159	5.367810e-03	3.804806e-02	0	0	2.104989e+01	1.100349e+02	DEFA6;DEFA5
GO_Biological_Process_2021	fructose metabolic process (GO:0006000)	1/8	5.587202e-03	3.804806e-02	0	0	2.195495e+02	1.138864e+03	FBP1
GO_Biological_Process_2021	positive regulation of dendritic cell chemotaxis (GO:2000510)	1/8	5.587202e-03	3.804806e-02	0	0	2.195495e+02	1.138864e+03	CCL21
GO_Biological_Process_2021	immunological synapse formation (GO:0001771)	1/8	5.587202e-03	3.804806e-02	0	0	2.195495e+02	1.138864e+03	CCL21
GO_Biological_Process_2021	fructose 1,6-bisphosphate metabolic process (GO:0030388)	1/9	6.283564e-03	3.804806e-02	0	0	1.920962e+02	9.738925e+02	FBP1
GO_Biological_Process_2021	chylomicron remodeling (GO:0034371)	1/9	6.283564e-03	3.804806e-02	0	0	1.920962e+02	9.738925e+02	APOB
GO_Biological_Process_2021	response to magnesium ion (GO:0032026)	1/9	6.283564e-03	3.804806e-02	0	0	1.920962e+02	9.738925e+02	FBP1
GO_Biological_Process_2021	regulation of dendritic cell antigen processing and presentation (GO:0002604)	1/9	6.283564e-03	3.804806e-02	0	0	1.920962e+02	9.738925e+02	CCL21
GO_Biological_Process_2021	defense response to bacterium (GO:0042742)	2/176	6.536519e-03	3.804806e-02	0	0	1.897701e+01	9.546102e+01	DEFA6;DEFA5
GO_Biological_Process_2021	regulation of glycoprotein biosynthetic process (GO:0010559)	1/10	6.979474e-03	3.804806e-02	0	0	1.707436e+02	8.477047e+02	CCL21
GO_Biological_Process_2021	lipoprotein transport (GO:0042953)	1/10	6.979474e-03	3.804806e-02	0	0	1.707436e+02	8.477047e+02	APOB
GO_Biological_Process_2021	fructose 6-phosphate metabolic process (GO:0006002)	1/10	6.979474e-03	3.804806e-02	0	0	1.707436e+02	8.477047e+02	FBP1
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	1/10	6.979474e-03	3.804806e-02	0	0	1.707436e+02	8.477047e+02	APOB
GO_Biological_Process_2021	regulation of leukocyte tethering or rolling (GO:1903236)	1/10	6.979474e-03	3.804806e-02	0	0	1.707436e+02	8.477047e+02	CCL21
GO_Biological_Process_2021	negative regulation of glycolytic process (GO:0045820)	1/10	6.979474e-03	3.804806e-02	0	0	1.707436e+02	8.477047e+02	FBP1
GO_Biological_Process_2021	regulation of carbohydrate biosynthetic process (GO:0043255)	1/10	6.979474e-03	3.804806e-02	0	0	1.707436e+02	8.477047e+02	FBP1
GO_Biological_Process_2021	negative regulation of purine nucleotide metabolic process (GO:1900543)	1/10	6.979474e-03	3.804806e-02	0	0	1.707436e+02	8.477047e+02	FBP1
GO_Biological_Process_2021	lipoprotein localization (GO:0044872)	1/11	7.674931e-03	3.804806e-02	0	0	1.536615e+02	7.483003e+02	APOB
GO_Biological_Process_2021	response to prostaglandin E (GO:0034695)	1/11	7.674931e-03	3.804806e-02	0	0	1.536615e+02	7.483003e+02	CCL21
GO_Biological_Process_2021	positive regulation of keratinocyte proliferation (GO:0010838)	1/11	7.674931e-03	3.804806e-02	0	0	1.536615e+02	7.483003e+02	REG3A
GO_Biological_Process_2021	positive regulation of lipid localization (GO:1905954)	1/11	7.674931e-03	3.804806e-02	0	0	1.536615e+02	7.483003e+02	APOB
GO_Biological_Process_2021	regulation of dendritic cell apoptotic process (GO:2000668)	1/11	7.674931e-03	3.804806e-02	0	0	1.536615e+02	7.483003e+02	CCL21
GO_Biological_Process_2021	regulation of pseudopodium assembly (GO:0031272)	1/12	8.369936e-03	3.823912e-02	0	0	1.396853e+02	6.681301e+02	CCL21
GO_Biological_Process_2021	positive regulation of pseudopodium assembly (GO:0031274)	1/12	8.369936e-03	3.823912e-02	0	0	1.396853e+02	6.681301e+02	CCL21
GO_Biological_Process_2021	negative regulation of leukocyte apoptotic process (GO:2000107)	1/12	8.369936e-03	3.823912e-02	0	0	1.396853e+02	6.681301e+02	CCL21
GO_Biological_Process_2021	very-low-density lipoprotein particle assembly (GO:0034379)	1/12	8.369936e-03	3.823912e-02	0	0	1.396853e+02	6.681301e+02	APOB
GO_Biological_Process_2021	triglyceride-rich lipoprotein particle remodeling (GO:0034370)	1/13	9.064489e-03	3.934678e-02	0	0	1.280385e+02	6.022149e+02	APOB
GO_Biological_Process_2021	low-density lipoprotein particle remodeling (GO:0034374)	1/14	9.758591e-03	3.934678e-02	0	0	1.181834e+02	5.471429e+02	APOB
GO_Biological_Process_2021	positive regulation of T cell chemotaxis (GO:0010820)	1/14	9.758591e-03	3.934678e-02	0	0	1.181834e+02	5.471429e+02	CCL21
GO_Biological_Process_2021	response to chemokine (GO:1990868)	1/14	9.758591e-03	3.934678e-02	0	0	1.181834e+02	5.471429e+02	CCL21
GO_Biological_Process_2021	positive regulation of glycoprotein biosynthetic process (GO:0010560)	1/14	9.758591e-03	3.934678e-02	0	0	1.181834e+02	5.471429e+02	CCL21
GO_Biological_Process_2021	positive regulation of lymphocyte migration (GO:2000403)	1/14	9.758591e-03	3.934678e-02	0	0	1.181834e+02	5.471429e+02	CCL21
GO_Biological_Process_2021	cellular response to lipid (GO:0071396)	2/219	9.959666e-03	3.934678e-02	0	0	1.518356e+01	6.998426e+01	DEFA6;DEFA5
GO_Biological_Process_2021	regulation of T cell chemotaxis (GO:0010819)	1/15	1.045224e-02	3.934678e-02	0	0	1.097363e+02	5.005004e+02	CCL21
GO_Biological_Process_2021	killing by host of symbiont cells (GO:0051873)	1/16	1.114544e-02	3.934678e-02	0	0	1.024154e+02	4.605338e+02	DEFA5
GO_Biological_Process_2021	dendritic cell chemotaxis (GO:0002407)	1/16	1.114544e-02	3.934678e-02	0	0	1.024154e+02	4.605338e+02	CCL21
GO_Biological_Process_2021	heme catabolic process (GO:0042167)	1/16	1.114544e-02	3.934678e-02	0	0	1.024154e+02	4.605338e+02	GSTA1
GO_Biological_Process_2021	regulation of cholesterol storage (GO:0010885)	1/16	1.114544e-02	3.934678e-02	0	0	1.024154e+02	4.605338e+02	APOB
GO_Biological_Process_2021	porphyrin-containing compound catabolic process (GO:0006787)	1/16	1.114544e-02	3.934678e-02	0	0	1.024154e+02	4.605338e+02	GSTA1
GO_Biological_Process_2021	eosinophil chemotaxis (GO:0048245)	1/16	1.114544e-02	3.934678e-02	0	0	1.024154e+02	4.605338e+02	CCL21
GO_Biological_Process_2021	eosinophil migration (GO:0072677)	1/16	1.114544e-02	3.934678e-02	0	0	1.024154e+02	4.605338e+02	CCL21
GO_Biological_Process_2021	negative regulation of ATP metabolic process (GO:1903579)	1/17	1.183819e-02	3.945410e-02	0	0	9.600962e+01	4.259394e+02	FBP1
GO_Biological_Process_2021	negative regulation of execution phase of apoptosis (GO:1900118)	1/17	1.183819e-02	3.945410e-02	0	0	9.600962e+01	4.259394e+02	MTRNR2L8
GO_Biological_Process_2021	ruffle organization (GO:0031529)	1/17	1.183819e-02	3.945410e-02	0	0	9.600962e+01	4.259394e+02	CCL21
GO_Biological_Process_2021	positive regulation of cell adhesion mediated by integrin (GO:0033630)	1/18	1.253049e-02	3.945410e-02	0	0	9.035747e+01	3.957287e+02	CCL21
GO_Biological_Process_2021	dendritic cell migration (GO:0036336)	1/18	1.253049e-02	3.945410e-02	0	0	9.035747e+01	3.957287e+02	CCL21
GO_Biological_Process_2021	prostanoid metabolic process (GO:0006692)	1/18	1.253049e-02	3.945410e-02	0	0	9.035747e+01	3.957287e+02	GSTA1
GO_Biological_Process_2021	positive regulation of lymphocyte chemotaxis (GO:0140131)	1/18	1.253049e-02	3.945410e-02	0	0	9.035747e+01	3.957287e+02	CCL21
GO_Biological_Process_2021	positive regulation of macrophage derived foam cell differentiation (GO:0010744)	1/18	1.253049e-02	3.945410e-02	0	0	9.035747e+01	3.957287e+02	APOB
GO_Biological_Process_2021	positive regulation of neutrophil chemotaxis (GO:0090023)	1/19	1.322233e-02	4.107738e-02	0	0	8.533333e+01	3.691390e+02	CCL21
GO_Biological_Process_2021	regulation of T cell migration (GO:2000404)	1/20	1.391373e-02	4.143926e-02	0	0	8.083806e+01	3.455729e+02	CCL21
GO_Biological_Process_2021	negative regulation of small GTPase mediated signal transduction (GO:0051058)	1/21	1.460468e-02	4.143926e-02	0	0	7.679231e+01	3.245560e+02	FBP1
GO_Biological_Process_2021	linoleic acid metabolic process (GO:0043651)	1/21	1.460468e-02	4.143926e-02	0	0	7.679231e+01	3.245560e+02	GSTA1
GO_Biological_Process_2021	sterol transport (GO:0015918)	1/21	1.460468e-02	4.143926e-02	0	0	7.679231e+01	3.245560e+02	APOB
GO_Biological_Process_2021	positive regulation of lipid storage (GO:0010884)	1/21	1.460468e-02	4.143926e-02	0	0	7.679231e+01	3.245560e+02	APOB
GO_Biological_Process_2021	positive regulation of neutrophil migration (GO:1902624)	1/22	1.529518e-02	4.143926e-02	0	0	7.313187e+01	3.057071e+02	CCL21
GO_Biological_Process_2021	regulation of lipid storage (GO:0010883)	1/22	1.529518e-02	4.143926e-02	0	0	7.313187e+01	3.057071e+02	APOB
