,names,scores,logfoldchanges,pvals,pvals_adj
0,APOB,-3.0290961,-1.6970502,0.0037923195735478114,0.04930015445612154
1,MT-ATP8,-3.1015737,-3.2377024,0.003165308888360446,0.042092259458111264
2,FBP1,-3.1665044,-2.340736,0.0025985722235536317,0.03676821246802563
3,MTRNR2L8,-3.4038856,-1.6982795,0.001274242432919723,0.023750036671407366
4,MT-ND5,-3.456768,-1.2878956,0.0010559881973482212,0.020044340384020837
5,GSTA1,-3.584703,-2.7200167,0.0007616179056693457,0.01679177529791655
6,FABP6,-3.7467782,-2.5659955,0.00045901306283177156,0.011603841281534381
7,MT-ND4L,-3.8451002,-1.841029,0.0003181789348781956,0.009035288289416523
8,CCL21,-3.9003751,-3.4528248,0.00028890974228674597,0.008486266544004988
9,REG3A,-5.5558805,-2.8359869,1.0205140833411353e-06,0.0001297590646790742
10,MTRNR2L12,-6.2634196,-2.5257297,6.657956547390109e-08,1.3148755887845743e-05
11,DEFA6,-6.7683516,-3.278872,1.338859909282442e-08,3.550656479417036e-06
12,DEFA5,-7.204333,-3.600231,2.8082455844369673e-09,8.98832259129101e-07
13,MALAT1,-8.519685,-2.6237822,1.169804723880732e-11,7.755805319329253e-09
