,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,18.420053,4.2512403,2.9351958603046843e-29,1.362224398767404e-25
1,IGKC,18.328077,4.1180634,3.0974461732298584e-23,2.6136813981745044e-20
2,JCHAIN,16.269539,3.910768,2.807378475586291e-28,6.514521752597988e-25
3,IGHG4,15.626643,3.4749634,5.3690257501188584e-24,6.2294121265754056e-21
4,IGHA1,14.240521,4.1622224,2.415824772767841e-18,1.3190403259312412e-15
5,AL627171.2,14.034097,2.9568632,1.5720022895982467e-17,6.94825012002425e-15
6,IGHG3,13.273784,3.536635,2.3451852173488794e-25,3.1097155982046137e-22
7,IGHM,13.21753,3.8665953,1.338579209229686e-21,8.283128146713297e-19
8,IGLC1,12.770118,4.1841283,8.868571354561989e-27,1.6463615862608875e-23
9,LCN2,12.699741,29.069107,4.694611992282402e-30,4.3575388512365257e-26
10,MUC1,12.406751,5.3430047,4.772797251155211e-29,1.4767034695074222e-25
11,PLA2G2A,12.07438,3.6967926,3.2654700627060635e-22,2.16500665157412e-19
12,IGHG2,11.76978,29.147722,1.0674976332714567e-26,1.6514188386709436e-23
13,IGLC2,11.569203,3.879505,1.8954614879889842e-23,1.954852614612639e-20
14,IGLC3,10.831407,4.922915,3.672162508586752e-23,2.840417700391853e-20
15,PDZK1IP1,10.807923,28.549236,2.5003782292996755e-23,2.3208510724359587e-20
16,PSME2,10.695386,3.9600623,8.446623534101906e-19,4.900097477720868e-16
17,HM13,10.618791,28.119606,1.1123460249709706e-22,7.94215061829273e-20
18,C1QA,10.169544,3.6398277,6.7369962814892245e-15,2.084426649492766e-12
19,RARRES2,9.278633,27.827314,3.0115400861100186e-18,1.5529508377373996e-15
20,ATOX1,9.14676,27.815872,7.907491892532585e-18,3.863017881394076e-15
21,SYNGR2,9.117448,27.558472,9.78989942566185e-18,4.543492323449664e-15
22,CYBA,9.103143,4.2194877,1.4876371601862483e-16,5.310864661864906e-14
23,UBD,8.9491,27.57744,3.312626433441307e-17,1.3976272070546461e-14
24,RARRES1,8.908465,27.69095,4.43727845790295e-17,1.790731245489356e-14
25,VOPP1,8.87136,27.475525,5.790955782531959e-17,2.239652148894235e-14
26,SCO2,8.752277,27.51698,1.355109362694177e-16,5.0312500418109407e-14
27,CTSB,8.705455,2.7257545,1.5125277259610168e-12,3.190745989175036e-10
28,IDO1,8.64113,27.913437,2.9783363551977284e-16,1.0238858536646412e-13
29,TRABD,8.584221,27.33198,4.447232184511119e-16,1.474257469165436e-13
30,CD81,8.4949,27.505663,8.317581585362274e-16,2.6621997336321595e-13
31,SNHG1,8.436528,2.1659155,3.92581169705983e-11,6.0732306953515576e-09
32,TYMP,8.306947,2.6122825,1.4576031326865456e-11,2.434037624147449e-09
33,CD24,8.074066,3.1649218,7.174230003813021e-13,1.6241756803754259e-10
34,HLA-DQB1,8.011788,3.0326307,4.268723500357224e-12,8.086181944962398e-10
35,ATP5PB,7.9999056,27.06388,2.4847948261995947e-14,7.439956637672464e-12
36,DMBT1,7.945959,2.6528132,5.7399530017066846e-11,8.348324135017577e-09
37,SERPING1,7.8423986,27.431103,7.130068295972048e-14,2.0681654351003923e-11
38,RHOG,7.83383,27.11901,7.548011679021033e-14,2.1230498304446433e-11
39,TAP1,7.7898455,2.7164085,1.1689991515395798e-11,2.009379652701922e-09
40,ACP5,7.7621207,4.077525,3.3427548163249215e-13,8.864985772893691e-11
41,IFITM3,7.6718416,3.8965404,1.3612876929798781e-12,2.93848194563703e-10
42,TRIM22,7.6176705,26.999245,3.1341876879756595e-13,8.55633238817355e-11
43,SEL1L3,7.6015773,26.930286,3.481025001960637e-13,8.975242796721842e-11
44,SRGN,7.574544,27.167246,4.150824109787442e-13,1.0412959293796497e-10
45,ANKRD13D,7.550286,26.995121,4.859169714119287e-13,1.1869161391172426e-10
46,MXRA5,7.5358887,27.129475,5.334651241810782e-13,1.2668606612036054e-10
47,C2,7.53232,27.166368,5.459429697063587e-13,1.2668606612036054e-10
48,S100A6,7.479323,2.8031244,1.1997721530147846e-09,1.1722405393982347e-07
49,CDK2AP2,7.473322,26.932455,7.992928021765771e-13,1.766437092810235e-10
50,IRF1,7.4393983,2.9156046,6.730780861768505e-11,9.465925448323525e-09
51,TMSB10,7.4346557,2.126503,2.0509787671368247e-09,1.8663906780945103e-07
52,S100A11,7.404453,3.8503072,6.008069835922281e-12,1.093468710137855e-09
53,IL2RG,7.352542,26.84825,1.733527721845344e-12,3.526411388905925e-10
54,GM2A,7.351271,27.01502,1.7476290011815616e-12,3.526411388905925e-10
55,TNFRSF25,7.345168,26.769497,1.8169371260063317e-12,3.588257532678887e-10
56,HLA-C,7.334456,2.3132215,4.188015220870258e-09,3.40992607720331e-07
57,CCDC88B,7.274374,3.731766,2.1844200836695975e-11,3.4365741045120683e-09
58,AC004687.1,7.237092,26.939865,3.6047865214494286e-12,6.970755935852833e-10
59,HLA-DRA,7.20741,2.4131854,5.78314030933461e-09,4.5108494412809957e-07
60,CD74,7.202362,1.6271003,1.2278557532880955e-09,1.1871830314604274e-07
61,PRELID1,7.1605983,26.857792,5.82994636786311e-12,1.0822712437301077e-09
62,R3HDM4,7.117029,26.74337,7.65434694468091e-12,1.3663009296255423e-09
63,TMBIM4,7.085231,26.780073,9.330281419092738e-12,1.6340315496607322e-09
64,PLCG2,7.0739245,2.8853106,2.395479806146218e-10,2.8145371595758477e-08
65,WARS,7.060897,3.1704867,3.629332647313824e-10,4.058730799080351e-08
66,C1QB,7.0551887,3.143743,1.9192506323056892e-10,2.3135693985794034e-08
67,MICOS10,7.0107365,26.925522,1.4801318559157872e-11,2.434037624147449e-09
