,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG3,8.384218,30.319181,1.363426890030399e-10,1.2655328393262163e-06
1,AL627171.2,8.275146,2.1188006,2.347547238303303e-09,7.26331115531042e-06
2,REG1A,7.3555784,2.7375631,1.5921269877499614e-09,7.26331115531042e-06
3,IGHG4,6.636363,2.7469335,2.6375253473773454e-08,6.12037756858913e-05
4,LINC02739,6.2344694,3.1682608,5.259807873523809e-08,9.764307336409598e-05
5,IGHM,5.8185134,3.090491,2.3577330815751936e-07,0.00036474130771968244
6,IGKC,5.7911105,2.399349,1.719825113229691e-06,0.0016124368406772432
7,IGLC2,5.4746737,3.7910142,1.0051893516725587e-06,0.001332881080317813
8,MUC1,5.1003275,28.606691,7.282998200939833e-06,0.005633399108426961
9,PDZK1IP1,4.5588303,3.9257083,2.8171379779324764e-05,0.02011436516243788
10,IGLC3,4.4267154,28.356716,6.450254771399472e-05,0.042765189134378497
11,DMBT1,4.3073125,1.9391794,7.656248170646751e-05,0.04441580969996447
12,MTRNR2L1,4.280534,2.302871,7.270998030611014e-05,0.04441580969996447
