Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	5/10	3.305029e-08	6.167184e-05	0	0	9.419048e+01	1.622453e+03	MTTP;APOA1;APOC3;APOA4;APOB
GO_Biological_Process_2021	RNA processing (GO:0006396)	12/179	5.629022e-07	5.251878e-04	0	0	6.944220e+00	9.992843e+01	IVNS1ABP;RBM39;MBNL1;SCAF11;FUS;HNRNPH1;HNRNPA2B1;LUC7L3;PRPF4B;SRSF5;HNRNPH3;SRSF11
GO_Biological_Process_2021	chylomicron remodeling (GO:0034371)	4/9	1.568607e-06	9.756734e-04	0	0	7.499526e+01	1.002336e+03	APOA1;APOC3;APOA4;APOB
GO_Biological_Process_2021	very-low-density lipoprotein particle assembly (GO:0034379)	4/12	6.008021e-06	2.318559e-03	0	0	4.686493e+01	5.634296e+02	DGAT1;MTTP;APOC3;APOB
GO_Biological_Process_2021	triglyceride-rich lipoprotein particle remodeling (GO:0034370)	4/13	8.605212e-06	2.318559e-03	0	0	4.165561e+01	4.858353e+02	APOA1;APOC3;APOA4;APOB
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	13/274	8.964059e-06	2.318559e-03	0	0	4.814157e+00	5.595152e+01	SRRM2;DDX5;SCAF11;FUS;BUD31;PRPF4B;HNRNPH1;PCBP2;HNRNPA2B1;HNRNPH3;SRSF5;HNRNPA1;SRSF11
GO_Biological_Process_2021	RNA splicing (GO:0008380)	8/98	1.074908e-05	2.318559e-03	0	0	8.457327e+00	9.675766e+01	IVNS1ABP;MBNL1;SCAF11;FUS;LUC7L3;PRPF4B;HNRNPH3;SRSF11
GO_Biological_Process_2021	fructose catabolic process (GO:0006001)	3/5	1.205724e-05	2.318559e-03	0	0	1.399741e+02	1.585324e+03	TKFC;ALDOB;KHK
GO_Biological_Process_2021	fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate (GO:0061624)	3/5	1.205724e-05	2.318559e-03	0	0	1.399741e+02	1.585324e+03	TKFC;ALDOB;KHK
GO_Biological_Process_2021	epithelial cell differentiation (GO:0030855)	8/101	1.342945e-05	2.318559e-03	0	0	8.183263e+00	9.180034e+01	VIL1;CBR1;MAF;GSTA1;GATA6;HNRNPH3;PCK1;PCK2
GO_Biological_Process_2021	aflatoxin metabolic process (GO:0046222)	4/15	1.615288e-05	2.318559e-03	0	0	3.407841e+01	3.760012e+02	ACY1;MGST1;DPEP1;CYP3A5
GO_Biological_Process_2021	mycotoxin metabolic process (GO:0043385)	4/15	1.615288e-05	2.318559e-03	0	0	3.407841e+01	3.760012e+02	ACY1;MGST1;DPEP1;CYP3A5
GO_Biological_Process_2021	organic heteropentacyclic compound metabolic process (GO:1901376)	4/15	1.615288e-05	2.318559e-03	0	0	3.407841e+01	3.760012e+02	ACY1;MGST1;DPEP1;CYP3A5
