Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	deoxyribonucleotide metabolic process (GO:0009262)	1/5	1.748917e-03	3.822587e-02	0	0	8.328750e+02	5.287722e+03	SAMHD1
GO_Biological_Process_2021	purine deoxyribonucleotide catabolic process (GO:0009155)	1/6	2.098387e-03	3.822587e-02	0	0	6.662667e+02	4.108591e+03	SAMHD1
GO_Biological_Process_2021	somatic hypermutation of immunoglobulin genes (GO:0016446)	1/8	2.797015e-03	3.822587e-02	0	0	4.758571e+02	2.797661e+03	SAMHD1
GO_Biological_Process_2021	nucleotide catabolic process (GO:0009166)	1/16	5.587342e-03	4.286273e-02	0	0	2.219778e+02	1.151455e+03	SAMHD1
GO_Biological_Process_2021	negative regulation of type I interferon-mediated signaling pathway (GO:0060339)	1/16	5.587342e-03	4.286273e-02	0	0	2.219778e+02	1.151455e+03	SAMHD1
GO_Biological_Process_2021	carbohydrate derivative catabolic process (GO:1901136)	1/19	6.631989e-03	4.286273e-02	0	0	1.849537e+02	9.277001e+02	SAMHD1
GO_Biological_Process_2021	innate immune response in mucosa (GO:0002227)	1/21	7.327898e-03	4.286273e-02	0	0	1.664417e+02	8.182383e+02	DEFA6
GO_Biological_Process_2021	mucosal immune response (GO:0002385)	1/28	9.760292e-03	4.286273e-02	0	0	1.232469e+02	5.705633e+02	DEFA6
GO_Biological_Process_2021	regulation of response to biotic stimulus (GO:0002831)	1/29	1.010736e-02	4.286273e-02	0	0	1.188393e+02	5.460061e+02	SAMHD1
GO_Biological_Process_2021	regulation of type I interferon-mediated signaling pathway (GO:0060338)	1/30	1.045432e-02	4.286273e-02	0	0	1.147356e+02	5.232793e+02	SAMHD1
GO_Biological_Process_2021	negative regulation of innate immune response (GO:0045824)	1/38	1.322628e-02	4.637205e-02	0	0	8.989189e+01	3.888318e+02	SAMHD1
GO_Biological_Process_2021	replication fork processing (GO:0031297)	1/39	1.357231e-02	4.637205e-02	0	0	8.752193e+01	3.763201e+02	SAMHD1
GO_Biological_Process_2021	antibacterial humoral response (GO:0019731)	1/44	1.530088e-02	4.710435e-02	0	0	7.732558e+01	3.232089e+02	DEFA6
GO_Biological_Process_2021	protein homotetramerization (GO:0051289)	1/52	1.806120e-02	4.710435e-02	0	0	6.516993e+01	2.615914e+02	SAMHD1
GO_Biological_Process_2021	negative regulation of cytokine-mediated signaling pathway (GO:0001960)	1/55	1.909461e-02	4.710435e-02	0	0	6.154012e+01	2.435973e+02	SAMHD1
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1/64	2.218924e-02	4.710435e-02	0	0	5.272487e+01	2.007841e+02	DEFA6
GO_Biological_Process_2021	regulation of innate immune response (GO:0045088)	1/64	2.218924e-02	4.710435e-02	0	0	5.272487e+01	2.007841e+02	SAMHD1
GO_Biological_Process_2021	cellular response to type I interferon (GO:0071357)	1/65	2.253257e-02	4.710435e-02	0	0	5.189844e+01	1.968401e+02	SAMHD1
GO_Biological_Process_2021	type I interferon signaling pathway (GO:0060337)	1/65	2.253257e-02	4.710435e-02	0	0	5.189844e+01	1.968401e+02	SAMHD1
GO_Biological_Process_2021	defense response to Gram-positive bacterium (GO:0050830)	1/70	2.424768e-02	4.710435e-02	0	0	4.812560e+01	1.790000e+02	DEFA6
GO_Biological_Process_2021	protein tetramerization (GO:0051262)	1/71	2.459039e-02	4.710435e-02	0	0	4.743571e+01	1.757683e+02	SAMHD1
