,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,13.4659605,3.4658,3.731451152903747e-23,3.4635329601252576e-19
1,IGHA1,9.421079,2.6200638,3.594265263871004e-14,1.668098508962533e-10
2,JCHAIN,7.9098153,2.5895395,1.4799642149695477e-11,3.149717198528384e-08
3,IGKC,7.38968,2.1295578,4.985529816826198e-10,5.784460969972597e-07
4,IGLC3,7.329015,3.5324836,4.8078085888187225e-12,1.4875359773805127e-08
5,IGHG2,7.116752,3.5553575,1.6966802405345745e-11,3.149717198528384e-08
6,S100A6,6.8006597,2.1241596,8.660371222755809e-10,7.307778699056311e-07
7,DMBT1,6.777715,2.3151674,3.051554748446202e-10,4.0463615964396637e-07
8,AL627171.2,6.753938,1.3241948,3.1511679823475374e-09,2.08825690831846e-06
9,SPINK1,6.623255,4.2278953,2.86655111133102e-10,4.0463615964396637e-07
10,CXCL9,6.4861045,4.5537977,6.681351362563325e-10,6.320026645895643e-07
11,AL049543.1,6.466373,4.080388,6.808906104175441e-10,6.320026645895643e-07
12,FTL,6.415559,1.7592559,5.598521985951693e-09,3.247842567100226e-06
13,ACP5,6.3731847,3.7252254,1.1403020091526012e-09,8.820236040795371e-07
14,COL1A2,6.2161183,3.0358245,3.3746879578514224e-09,2.08825690831846e-06
15,LCN2,6.2096744,3.4099543,2.8665232888613368e-09,2.0466976282469945e-06
16,IGHM,6.033617,1.9312718,3.7254954798287045e-08,1.767530326236705e-05
17,IGHG4,5.981312,2.1272223,1.1725742439562315e-07,4.5349308885007255e-05
18,CLTC,5.9537086,27.172308,1.4888160069747095e-08,8.128935398081914e-06
19,COL18A1,5.854026,3.8717594,1.8112197178749128e-08,9.339856345174967e-06
20,MUC1,5.7812243,2.5092368,3.808511799691242e-08,1.767530326236705e-05
21,CD63,5.7179646,2.483825,6.140600555915142e-08,2.7141454457144923e-05
22,CTSB,5.7124844,1.8721057,8.844981584999841e-08,3.6832942323132145e-05
23,PLA2G2A,5.7121735,1.9376116,9.126887238009474e-08,3.6832942323132145e-05
24,LINC02739,5.521163,1.5818775,3.3493766440094855e-07,0.0001140336194152816
25,TMSB10,5.398097,1.5750915,7.999644396455985e-07,0.00023203968527470142
26,GRINA,5.3970404,27.299097,2.2766884794537024e-07,8.452888986515707e-05
27,KRT8,5.382538,1.9540921,4.4469440287032696e-07,0.00014233287749801292
28,CXCL14,5.3767886,1.9806862,4.990967925093048e-07,0.00015442054760237892
29,COL4A2,5.353169,27.071571,2.8022255388101543e-07,0.0001000394517355225
30,PDLIM1,5.2682924,3.5953956,3.439928187489641e-07,0.0001140336194152816
31,GAS5,5.2591863,1.4923217,9.791583437041917e-07,0.00026111626637231606
32,PSMA6,5.201676,26.696444,5.692066612702301e-07,0.00017043149128742827
33,IGHG3,5.152548,2.039629,1.756242562601808e-06,0.00040753608665174953
34,HLA-C,5.126034,1.4923701,2.569879828905494e-06,0.0005475556087725718
35,CALR,5.106041,2.3997233,9.366510590711897e-07,0.00026111626637231606
36,TIMM13,5.0825057,26.917328,9.846013060796232e-07,0.00026111626637231606
37,AGR2,5.0496264,2.2714684,1.1984454545940297e-06,0.00030899918637616067
38,IGLC2,5.0157967,2.0452778,1.9699527085357566e-06,0.0004459780741616803
39,LYZ,4.992437,1.6267394,2.198283375345883e-06,0.00048582062595144013
40,COL4A1,4.9777975,26.73135,1.5824044678896994e-06,0.00037661226335774844
41,S100A16,4.9629593,3.6531668,1.4250989038067344e-06,0.0003575072439225435
42,TIMP1,4.9470587,3.1236956,1.547312954351049e-06,0.00037661226335774844
43,STAT1,4.90427,2.3198094,2.617192605941027e-06,0.0005475556087725718
44,C1QA,4.882964,1.6454905,4.953200292478145e-06,0.0009195121022956428
45,NID1,4.8619013,26.634947,2.6546005596601736e-06,0.0005475556087725718
46,IGLC1,4.842822,1.8314779,5.273434013549195e-06,0.0009597649904659534
47,TMEM176A,4.755102,3.4033782,3.74315150564574e-06,0.0007553028755522557
48,ARF1,4.7454896,3.4624345,3.862861375546228e-06,0.0007628740274004274
49,COL7A1,4.731696,26.933243,4.699904079092561e-06,0.0008902961155538194
50,IDO1,4.729995,3.5445235,4.1043074540782235e-06,0.0007936704539323765
51,MT-CO2,4.6734185,0.98993427,1.1695704091085988e-05,0.0019847695079943067
52,CSNK1E,4.597483,26.504328,8.373766117767539e-06,0.0014945048068568962
53,LRP10,4.583089,2.753726,8.533587024716171e-06,0.0014945048068568962
54,ETS2,4.5125647,2.6990538,1.1760646729119464e-05,0.0019847695079943067
55,PLCG2,4.4757633,1.9958382,1.8319459395516462e-05,0.002631502049878191
56,ANXA2,4.4754934,1.7626624,1.8482813597256884e-05,0.002631502049878191
57,FLCN,4.4750967,26.191214,1.4035681405245808e-05,0.002246193013853303
