,names,scores,logfoldchanges,pvals,pvals_adj
0,RAP1GAP,-2.7308106,-1.6010464,0.006528805439914813,0.04964461312403624
1,RAB3IP,-2.73322,-1.9514753,0.0064956818759104185,0.04946096732748195
2,CLU,-2.755956,-1.1763465,0.006038729929549341,0.04674853311599414
3,MCTP2,-2.7667563,-2.035495,0.005882900983151676,0.04577123799297055
4,DDHD2,-2.7667806,-2.0011938,0.005877685510841266,0.045769024254722006
5,CYB5A,-2.7721944,-1.1065499,0.005761685075392184,0.044978941017485494
6,PBX1,-2.7801945,-1.8669598,0.00564094265015944,0.044185003948337485
7,RAB40C,-2.783987,-1.7926712,0.005578981638920176,0.043778574121303857
8,STBD1,-2.783987,-1.7926712,0.005578981638920176,0.043778574121303857
9,TMED4,-2.7842093,-1.0661063,0.005548946926301752,0.04375983463885545
10,ATOH1,-2.7939136,-1.7146959,0.005401541594338223,0.04302540185476103
11,PNPLA7,-2.8146644,-1.5993838,0.005072319314291829,0.04129935778531295
12,BAZ2B,-2.8594453,-1.1917443,0.004395294077665482,0.036887088272053344
13,BDH2,-2.8690612,-1.2833587,0.004278837493237063,0.03620582818873105
14,FBXL12,-2.8692226,-3.466922,0.004344743353878956,0.036562019773984114
15,SLC25A10,-2.869754,-1.6830068,0.004279012445920918,0.03620582818873105
16,CACNA1D,-2.8716538,-2.8040924,0.00429710917780952,0.03632583550858649
17,PDK2,-2.8735323,-1.3298339,0.004224443368458421,0.0358527719607348
18,DDC,-2.8760586,-1.1917019,0.00417928501115094,0.03565452525138146
19,WDR34,-2.8796186,-1.1747788,0.004137647038204661,0.035364309216036525
20,MAOB,-2.888187,-1.4199091,0.004030961006542868,0.034611822444709436
21,RSF1,-2.8898678,-1.8669598,0.004019540399252863,0.03454571665357877
22,SARM1,-2.8903747,-2.035495,0.004018910797544706,0.03454571665357877
23,PHLPP2,-2.900242,-1.2174621,0.0038697471875761675,0.033600555093622066
24,VPS13A,-2.9031856,-1.0125198,0.0038309513725724685,0.03338862970912456
25,NAAA,-2.9055147,-1.491314,0.0038132421810230187,0.03326552060550344
26,C8G,-2.9181137,-1.3643094,0.003670382003176302,0.0321704303621175
27,DCUN1D4,-2.920172,-1.6473516,0.0036476302788481653,0.03203150827650773
28,STRADB,-2.9262724,-1.5967321,0.003577243050260778,0.03147295733888203
29,KIAA2026,-2.9315956,-2.331934,0.0035420569263335242,0.03125225512379066
30,ABCD1,-2.933589,-1.18243,0.003486540526666351,0.030850399588672136
31,PRRG2,-2.937034,-1.781592,0.003463767693289104,0.03072095650724492
32,MMP28,-2.9490373,-1.8505541,0.0033385896701119975,0.02985432496915179
33,DENND5B,-2.950688,-1.2549815,0.003304862904547272,0.029638393700490605
34,ANKIB1,-2.9512923,-2.128166,0.0033231984031530225,0.029745349641336887
35,ABHD6,-2.9556434,-1.3846385,0.0032670577883196147,0.029413026567587455
36,ENPP3,-2.9769764,-2.2560077,0.00307200424253027,0.027955238607025458
37,SEMA4G,-2.987764,-1.0566267,0.0029334628888544228,0.027282968471289328
38,CNNM4,-2.9938564,-1.4092922,0.0028763168669877592,0.026886176394139358
39,CHDH,-3.0058482,-1.3612697,0.002770211073036496,0.02623785630604567
40,VPS35,-3.0109785,-1.3268129,0.0027254158623374876,0.02586637017813554
