,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHA1,5.4543653,3.8971176,1.261656778647434e-05,0.11710698219405483
1,REG1A,4.9198446,3.3608444,4.832140543000172e-05,0.224259642600638
2,DMBT1,4.410543,29.504704,0.00030042960249471043,0.9118587459504527
3,IGKC,3.8668175,1.9432485,0.0012979965308408032,0.9118587459504527
4,AL627171.2,3.8149598,2.2613182,0.0030991138391806747,0.9118587459504527
5,PLA2G2A,3.652404,29.107584,0.0016938339878555487,0.9118587459504527
6,ITM2B,3.559026,28.251276,0.002094821763962355,0.9118587459504527
7,TAP1,3.559026,28.251276,0.002094821763962355,0.9118587459504527
8,CBR1,3.4663842,28.368412,0.002585126759673935,0.9118587459504527
9,IFI27,3.4663842,28.368412,0.002585126759673935,0.9118587459504527
10,IGHG4,3.4250436,2.139232,0.002706178076566061,0.9118587459504527
11,CXCL14,3.4090877,28.58352,0.002943330034102081,0.9118587459504527
12,SPINK1,3.3314872,28.654604,0.003507352259774043,0.9118587459504527
13,STAT2,3.3199375,28.553682,0.003599908327418157,0.9118587459504527
14,LGALS4,3.2365992,3.0906832,0.0033473092325674476,0.9118587459504527
15,PFDN5,3.2117949,28.775078,0.004591138426969337,0.9118587459504527
16,CFB,3.1985574,28.032549,0.004729458789911815,0.9118587459504527
17,IGLC3,3.1142116,28.163576,0.0057112326556845346,0.9118587459504527
18,BAIAP2L2,2.99018,28.251276,0.007523484059759459,0.9118587459504527
19,NR2F6,2.8535693,27.78422,0.010162572120690622,0.9118587459504527
20,XPNPEP1,2.8535693,27.78422,0.010162572120690622,0.9118587459504527
21,OGA,2.8535693,27.78422,0.010162572120690622,0.9118587459504527
22,PTGES3,2.8535693,27.78422,0.010162572120690622,0.9118587459504527
23,BIRC3,2.8535693,27.78422,0.010162572120690622,0.9118587459504527
24,PLCG2,2.776394,27.933588,0.012025796513096687,0.9118587459504527
25,CYP4F12,2.776394,27.933588,0.012025796513096687,0.9118587459504527
26,GLYCTK,2.776394,27.933588,0.012025796513096687,0.9118587459504527
