,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG4,15.54211,3.4751935,1.1489866138845484e-23,2.6662234375190948e-20
1,IGKC,15.304255,3.4082859,1.6523152739924698e-19,1.5336790373198103e-16
2,IGHA1,14.398054,4.076616,1.718036946275086e-18,1.4497108123023045e-15
3,AL627171.2,13.701936,3.1576397,1.3891542276518428e-16,8.596086360709604e-14
4,JCHAIN,13.696775,3.4900525,3.6067587572153405e-21,5.579655797412132e-18
5,IGLC3,12.77154,29.211359,2.667829866726912e-30,2.4762796822959197e-26
6,IGHG3,12.711504,3.5366366,4.9756729195140004e-23,9.23683920778579e-20
7,LCN2,12.639728,29.065933,8.078637819517438e-30,3.7492958120380433e-26
8,IGHM,12.255813,3.2000284,9.154051838843211e-20,1.0620988646017837e-16
9,IGHG2,11.614617,29.126097,3.911861003308127e-26,1.2103297944235345e-22
10,CXCL14,10.426723,3.5687287,8.105150998960708e-17,5.3737151123109496e-14
11,ACP5,10.051358,28.35894,9.271444686569578e-21,1.229393565439126e-17
12,IGLC2,9.885771,3.2024167,2.006571756548133e-17,1.552083253689981e-14
13,TIMP1,9.730845,28.045452,1.0569704570157155e-19,1.0900888646688746e-16
14,REG1A,9.401743,3.6941576,1.1834981038081575e-11,3.23094982339627e-09
15,UBD,8.952761,27.582506,3.267176368425583e-17,2.3327639270558662e-14
16,IDO1,8.57017,27.90265,4.962170120166212e-16,2.878678940961424e-13
17,IGLC1,8.384522,2.8059337,2.2842442508890802e-12,8.154751975674016e-10
18,LBH,8.329865,27.198322,2.6432930542417235e-15,1.443238007615981e-12
19,RASGRP2,8.026341,27.134838,2.0971776236626493e-14,1.0814445946020394e-11
20,MMP2,7.925037,27.199585,4.1419580845307294e-14,2.0234555231902224e-11
21,PSAP,7.923659,2.8465917,1.0193658353544021e-10,2.2004078334324558e-08
22,STOM,7.7929277,27.249804,9.978461409584256e-14,4.631003940188053e-11
23,SERPING1,7.7624073,27.41508,1.2209492571204173e-13,5.396595716472244e-11
24,FKBP1A,7.7538657,27.147106,1.291763526096298e-13,5.450067749648109e-11
25,COL1A2,7.5266337,3.2807758,1.5069749407549296e-11,3.996497542882073e-09
26,SRGN,7.489153,27.147552,7.266189246100333e-13,2.932381242708839e-10
27,AC004687.1,7.3243213,26.988733,2.0877680469510145e-12,7.751465204719727e-10
28,FCER1G,7.3243213,26.988733,2.0877680469510145e-12,7.751465204719727e-10
