,names,scores,logfoldchanges,pvals,pvals_adj
0,MNX1,-2.8709002,-27.363783,0.007200858666661194,0.04218770570770022
1,SI,-2.913579,-1.5962056,0.006248196024544257,0.03732030598444003
2,APOA1,-2.9881732,-1.6005323,0.004999146645948667,0.031247191358717532
3,MLXIPL,-3.0018373,-2.3442795,0.005026203892445916,0.03136226060786755
4,APOB,-3.2821348,-1.6766878,0.0023074539350358162,0.018352859832906982
5,PRRG3,-3.4796886,-1.9190699,0.0013993504129845413,0.012475596652921023
6,SLC5A12,-3.788113,-4.7285314,0.0006260220184412052,0.006756670203687519
7,DEFA6,-4.2360997,-2.4410028,0.00016805740564911805,0.0025282152985982393
8,AC073140.1,-4.5558863,-1.0564443,5.5741837316485794e-05,0.001086965827671473
9,MALAT1,-5.721983,-2.2510204,1.7893819490600928e-06,7.834454363762161e-05
10,MTRNR2L12,-6.87258,-1.8632667,2.148188348419836e-08,2.1673352445687957e-06
