Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	124/485	1.796310e-18	7.622767e-15	0	0	2.752682e+00	1.124768e+02	ATP8A1;TMEM179B;LGALS3;PNP;LAMP1;ANPEP;FTH1;LAMP2;PRSS3;ACAA1;GOLGA7;KCMF1;DGAT1;ADAM10;MIF;SCAMP1;OLFM4;UNC13D;EEF1A1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;RAB5B;VCP;RAB5C;BRI3;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;NCSTN;DPP7;NEU1;MLEC;LTA4H;RAB6A;SLC15A4;AP1M1;ATP6V0A1;CTSA;HSPA8;MGAM;TRAPPC1;JUP;XRCC5;FUCA1;FUCA2;ARPC5;EEF2;PRDX6;NFKB1;DIAPH1;MAN2B1;HSP90AB1;DDX3X;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;HMGB1;SLC2A5;ALAD;ACTR1B;STBD1;CTSH;CD36;CTSD;DSP;ACTR2;SERPINB1;HSP90AA1;DBNL;ANXA2;MME;SYK;NME2;NDUFC2;ANO6;RHOF;DYNLL1;DDOST;RHOA;SERPINB6;VAMP8;TMBIM1;CAT;ALDOC;DNASE1;PAFAH1B2;CD63;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;CREG1;PSMB1;AGA;METTL7A;CD58;AOC1;GSN;TUBB4B;MAPK14;RAB10;GALNS;PFKL;VAPA;RAB18;LAMTOR1;YPEL5;CD68;FRK;HSPA1A
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	124/488	3.062582e-18	7.622767e-15	0	0	2.729523e+00	1.100742e+02	ATP8A1;TMEM179B;LGALS3;PNP;LAMP1;ANPEP;FTH1;LAMP2;PRSS3;ACAA1;GOLGA7;KCMF1;DGAT1;ADAM10;MIF;SCAMP1;OLFM4;UNC13D;EEF1A1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;KMT2E;RAB5B;VCP;RAB5C;BRI3;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;NCSTN;DPP7;NEU1;MLEC;LTA4H;RAB6A;SLC15A4;AP1M1;ATP6V0A1;CTSA;HSPA8;MGAM;ACE;TRAPPC1;JUP;XRCC5;FUCA1;FUCA2;ARPC5;EEF2;PRDX6;NFKB1;DIAPH1;MAN2B1;HSP90AB1;DDX3X;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;HMGB1;SLC2A5;ALAD;ACTR1B;STBD1;CTSH;CD36;CTSD;DSP;ACTR2;SERPINB1;HSP90AA1;DBNL;ANXA2;MME;NME2;NDUFC2;ANO6;RHOF;DYNLL1;DDOST;RHOA;SERPINB6;VAMP8;TMBIM1;CAT;ALDOC;PAFAH1B2;CD63;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;CREG1;PSMB1;AGA;METTL7A;CD58;AOC1;GSN;TUBB4B;MAPK14;RAB10;GALNS;PFKL;VAPA;RAB18;LAMTOR1;YPEL5;CD68;FRK;HSPA1A
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	122/481	6.732889e-18	1.117211e-14	0	0	2.721172e+00	1.075939e+02	ATP8A1;TMEM179B;LGALS3;PNP;LAMP1;ANPEP;FTH1;LAMP2;PRSS3;ACAA1;GOLGA7;KCMF1;DGAT1;ADAM10;MIF;SCAMP1;OLFM4;UNC13D;EEF1A1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;RAB5B;VCP;RAB5C;BRI3;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;NCSTN;DPP7;NEU1;MLEC;LTA4H;RAB6A;SLC15A4;AP1M1;ATP6V0A1;CTSA;HSPA8;MGAM;TRAPPC1;JUP;XRCC5;FUCA1;FUCA2;ARPC5;EEF2;PRDX6;NFKB1;DIAPH1;MAN2B1;HSP90AB1;DDX3X;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;HMGB1;SLC2A5;ALAD;ACTR1B;STBD1;CTSH;CD36;CTSD;DSP;ACTR2;SERPINB1;HSP90AA1;DBNL;ANXA2;MME;NME2;NDUFC2;ANO6;RHOF;DYNLL1;DDOST;RHOA;SERPINB6;VAMP8;TMBIM1;CAT;ALDOC;PAFAH1B2;CD63;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;CREG1;PSMB1;AGA;METTL7A;CD58;AOC1;GSN;TUBB4B;MAPK14;RAB10;GALNS;PFKL;VAPA;RAB18;LAMTOR1;YPEL5;CD68;FRK;HSPA1A
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	35/71	3.018120e-15	3.756051e-12	0	0	7.623792e+00	2.548950e+02	NDUFB9;COX7B;NDUFA13;NDUFB7;NDUFB10;UQCRB;COX4I1;NDUFA10;NDUFB2;NDUFB1;UQCR11;COX6A1;COX5B;COX7C;UQCRH;UQCRFS1;CYC1;NDUFV2;COA6;NDUFA6;NDUFA5;NDUFA4;NDUFA2;NDUFC2;NDUFC1;SDHD;COX6C;COX6B1;NDUFS8;NDUFS5;UQCRC1;NDUFS2;CYCS;NDUFS1;UQCRC2
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	34/70	1.320486e-14	1.314676e-11	0	0	7.402685e+00	2.365764e+02	NDUFB9;COX7B;NDUFA13;NDUFB7;NDUFB10;UQCRB;COX4I1;NDUFA10;NDUFB2;NDUFB1;UQCR11;COX6A1;COX5B;COX7C;UQCRH;UQCRFS1;CYC1;NDUFV2;NDUFA6;NDUFA5;NDUFA4;NDUFA2;NDUFC2;NDUFC1;SDHD;COX6C;COX6B1;NDUFS8;NDUFS5;UQCRC1;NDUFS2;CYCS;NDUFS1;UQCRC2
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	149/742	2.836693e-12	2.353510e-09	0	0	2.009883e+00	5.343954e+01	MTCH1;MTCH2;TFRC;ARL6IP1;ZFAND6;CIB1;UBE2Z;PHB2;AQP1;FAM162A;ARHGDIA;CFL1;PIM1;UNC13B;PCID2;ADAM10;MIF;OLFM4;PRAP1;DPEP1;NSMF;VDAC1;RAF1;SQSTM1;PPIA;ATF4;SLC27A4;VCP;GLO1;GATA6;PSEN1;HIGD1A;KALRN;NDRG1;RTN4;MTDH;HSP90B1;PRDX3;ABR;PRDX2;NCSTN;SCIN;UBB;DDRGK1;BAG1;UBC;IP6K2;MCL1;HSPA9;MOAP1;CREBBP;JUN;PRELID1;CRADD;GADD45B;HSPA5;API5;GADD45A;SIAH2;OSGIN1;TNFRSF10B;CIDEB;DHCR24;NFKB1;CIDEC;PTK2;SETX;NET1;GCLC;HNRNPK;SON;BCL3;NF1;CALR;BCL2L2;MAP3K11;ITGB1;ARF4;DDX3X;CITED2;FHL2;HMGB1;AATF;IKBKB;AIFM1;OPA1;CASP6;SMPD1;CTSH;CTSD;HTATIP2;HSP90AA1;ARHGEF12;TNFRSF12A;ANXA4;ARHGEF16;NME2;PAWR;ARHGEF18;ANO6;YWHAZ;TMIGD1;TMBIM4;CAT;TMEM219;ITGA6;TMBIM6;ANGPTL4;GAS6;SGK1;PTMA;PRKAA1;SRC;GSTP1;TAF9;IFI6;HSPD1;GNA13;BCLAF1;MIEN1;PERP;PTK2B;HS1BP3;EGLN3;GZMA;DAB2IP;NR1H4;CFLAR;HIPK3;TBX3;VEGFA;FABP1;TJP1;CAPN13;SH3RF2;PINK1;GOLPH3;KRT18;APC;STK17B;NEURL1;CTNNB1;BAX;NAA16;QRICH1;TARDBP;BCAR1;TPT1;HSPA1A
GO_Biological_Process_2021	protein transport (GO:0015031)	89/369	4.331118e-12	3.080044e-09	0	0	2.518440e+00	6.589547e+01	ARF3;ARF4;ARF1;TFRC;MIA2;GCC2;SCAMP5;GOLGA4;CHMP1B;CHMP1A;LAMP2;TMED2;VPS35;CD36;TMED7;GOLGA7;ARL5A;RAB8A;TMED5;TMED4;YWHAH;ATP6V1G1;AMN;ATP6V0E1;ARRDC1;STX7;GOLPH3L;LMTK2;SCAMP1;SCAMP3;SCAMP2;RUFY1;RCN3;TBC1D1;ARL4A;CTTN;ATP6V1B2;PICK1;CHMP3;MYH9;ZG16;ABCG1;ARF6;COPB2;RAB1A;COPA;RAB5B;TBC1D9B;RAB5C;TMED10;SAR1A;LRP1;SAR1B;STX16;UNC93B1;RAB1B;MTTP;STXBP2;SNX33;STX10;HSP90B1;GGA1;SCFD1;SNX1;KIF3B;ATP6V0A2;SNX9;STX3;APOB;RAB6A;SPTBN1;TBC1D15;ATP6V0A1;SEC31A;SNX6;CTSA;RABGAP1L;GRTP1;AP3D1;ARCN1;RAB11B;RAB10;GOLPH3;CHMP2B;CHMP2A;RAB18;RAB17;RAB5A;MON1A
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	26/52	7.282346e-12	4.531440e-09	0	0	7.814848e+00	2.004162e+02	ACADVL;ABCD3;ACAA2;ECHS1;ECI2;ETFDH;CROT;MTLN;SCP2;ACAA1;ACAD11;HADH;DECR2;ACADS;ACOT8;HADHB;HADHA;BDH2;ACOX2;ACOX1;EHHADH;IVD;ECHDC1;ECHDC2;SLC27A2;CRAT
GO_Biological_Process_2021	membrane organization (GO:0061024)	65/242	2.590980e-11	1.367989e-08	0	0	2.895252e+00	7.057581e+01	SCARB2;MTCH1;TFRC;SNAP23;CLTB;PIK3C2A;ACTG1;BAIAP2L2;SERP1;OPA1;CHMP1B;CHMP1A;CHP1;LDLRAP1;AP2M1;AGFG1;ACTR3;ACTR2;SUN2;PDCD6IP;GAPVD1;TMEM170A;LEMD2;EPN1;VAMP8;CTDNEP1;OXA1L;CTTN;TMEM33;CPTP;PICK1;CHMP4B;CHMP3;TLCD2;STAM2;CHMP5;SAR1A;SAR1B;VPS4A;TOR1AIP2;TGOLN2;SLC9A3R1;UBB;UBC;FCHO2;AP2S1;MFN2;SNX9;APOB;SPTBN1;HSPA8;AP3D1;PLEKHA3;ARPC5;TOR1B;NSFL1C;VAPA;LPCAT3;REEP3;CHMP2B;AAK1;CHMP2A;GRB2;RAB5A;PICALM
GO_Biological_Process_2021	negative regulation of programmed cell death (GO:0043069)	89/381	2.748069e-11	1.367989e-08	0	0	2.413280e+00	5.868502e+01	ARF4;DDX3X;ARL6IP1;TFRC;CITED2;ZFAND6;FHL2;CIB1;AATF;UBE2Z;PHB2;AQP1;IKBKB;OPA1;ARHGDIA;CFL1;PIM1;CTSH;HTATIP2;PCID2;GPX4;ANXA4;NME2;ADAM10;MIF;PRAP1;YWHAZ;TMIGD1;TMBIM4;CAT;DPEP1;VDAC1;TMBIM6;ANGPTL4;GAS6;RAF1;PTMA;SQSTM1;PRKAA1;SRC;GSTP1;GLO1;TAF9;GATA6;IFI6;PSEN1;HIGD1A;MTDH;HSP90B1;HSPD1;PRDX3;PRDX2;MIEN1;UBB;DDRGK1;BAG1;UBC;PTK2B;MCL1;HSPA9;PRELID1;HSPA5;API5;SIAH2;NR1H4;DHCR24;CFLAR;PTK2;HIPK3;NFKB1;TBX3;VEGFA;SETX;FABP1;TJP1;CAPN13;SH3RF2;PSMC5;GCLC;GOLPH3;HNRNPK;KRT18;SON;BCL3;CTNNB1;NAA16;BCL2L2;TPT1;HSPA1A
