Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	51/71	2.222674e-22	1.210246e-18	0	0	1.123328e+01	5.600706e+02	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COA6;COX8A;NDUFC2;NDUFC1;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS6;NDUFS5;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB4;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV2;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	50/70	8.644613e-22	2.353496e-18	0	0	1.101003e+01	5.339859e+02	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COX8A;NDUFC2;NDUFC1;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS6;NDUFS5;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB4;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV2;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	172/485	7.637833e-19	1.386267e-15	0	0	2.457742e+00	1.025272e+02	GHDC;ATP8A1;TMEM179B;APEH;SRP14;LGALS3;PSMD7;PNP;LAMP1;ANPEP;FTH1;LAMP2;TOM1;PSMD1;CAPN1;OSTF1;PRSS3;ACAA1;B2M;GOLGA7;KCMF1;ARSA;DGAT1;IST1;PRKCD;HLA-B;ADAM10;ATP11B;OLFM4;EEF1A1;DYNC1LI1;ACLY;CSNK2B;SLC27A2;PPIA;KPNB1;FTL;RAB5B;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;SDCBP;NCSTN;RAP1A;ALDH3B1;NEU1;MLEC;RAB6A;SLC15A4;AP1M1;ATP6V0A1;CTSA;HSPA8;XRCC6;MGAM;TRAPPC1;JUP;XRCC5;FUCA1;IDH1;FUCA2;SURF4;PA2G4;ARPC5;EEF2;PRDX6;IGF2R;DIAPH1;TOLLIP;SERPINA1;HSP90AB1;DDX3X;HEXB;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;HMGB1;SLC2A5;AP2A2;ALAD;HEBP2;ACTR1B;STBD1;NAPRT;CTSH;ITGAV;CD36;CTSD;SPTAN1;DSP;ACTR2;SERPINB1;HSP90AA1;MME;SYK;DYNLT1;PGAM1;ATP6AP2;RHOG;NDUFC2;COMMD3;ANO6;RHOF;DYNLL1;RHOA;SERPINB6;PSMA5;VAMP8;DNAJC3;CEACAM1;PSMA2;DNAJC5;TMBIM1;CAT;ALDOC;DNASE1;PAFAH1B2;VAMP2;RAB7A;CD63;PDXK;CANT1;ROCK1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;CREG1;PSMB1;ORMDL3;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;PTGES2;HUWE1;PDAP1;TUBB4B;MAPK14;CPPED1;RAB10;GALNS;ERP44;PFKL;TSPAN14;RAB14;VAPA;GLB1;PSMC2;RAB18;LAMTOR2;LAMTOR1;YPEL5;CD68;LAMTOR3;FRK;HSPA1A
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	172/488	1.550816e-18	1.966530e-15	0	0	2.433951e+00	9.981084e+01	GHDC;ATP8A1;TMEM179B;APEH;SRP14;LGALS3;PSMD7;PNP;LAMP1;ANPEP;FTH1;LAMP2;TOM1;PSMD1;CAPN1;OSTF1;PRSS3;ACAA1;B2M;GOLGA7;KCMF1;ARSA;DGAT1;IST1;PRKCD;HLA-B;ADAM10;ATP11B;OLFM4;EEF1A1;DYNC1LI1;ACLY;CSNK2B;SLC27A2;PPIA;KPNB1;FTL;KMT2E;RAB5B;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;SDCBP;NCSTN;RAP1A;ALDH3B1;NEU1;MLEC;RAB6A;SLC15A4;AP1M1;ATP6V0A1;CTSA;HSPA8;XRCC6;MGAM;ACE;TRAPPC1;JUP;XRCC5;FUCA1;IDH1;FUCA2;SURF4;PA2G4;ARPC5;EEF2;PRDX6;IGF2R;DIAPH1;TOLLIP;SERPINA1;HSP90AB1;DDX3X;HEXB;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;HMGB1;SLC2A5;AP2A2;ALAD;HEBP2;ACTR1B;STBD1;NAPRT;CTSH;ITGAV;CD36;CTSD;SPTAN1;DSP;ACTR2;SERPINB1;HSP90AA1;MME;DYNLT1;PGAM1;ATP6AP2;RHOG;NDUFC2;COMMD3;ANO6;RHOF;DYNLL1;RHOA;SERPINB6;PSMA5;VAMP8;DNAJC3;CEACAM1;PSMA2;DNAJC5;TMBIM1;CAT;ALDOC;PAFAH1B2;VAMP2;RAB7A;CD63;PDXK;CANT1;ROCK1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;CREG1;PSMB1;ORMDL3;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;PTGES2;HUWE1;PDAP1;TUBB4B;MAPK14;CPPED1;RAB10;GALNS;ERP44;PFKL;TSPAN14;RAB14;VAPA;GLB1;PSMC2;RAB18;LAMTOR2;LAMTOR1;YPEL5;CD68;LAMTOR3;FRK;HSPA1A
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	170/481	1.805812e-18	1.966530e-15	0	0	2.443721e+00	9.983949e+01	GHDC;ATP8A1;TMEM179B;APEH;SRP14;LGALS3;PSMD7;PNP;LAMP1;ANPEP;FTH1;LAMP2;TOM1;PSMD1;CAPN1;OSTF1;PRSS3;ACAA1;B2M;GOLGA7;KCMF1;ARSA;DGAT1;IST1;PRKCD;HLA-B;ADAM10;ATP11B;OLFM4;EEF1A1;DYNC1LI1;ACLY;CSNK2B;SLC27A2;PPIA;KPNB1;FTL;RAB5B;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;SDCBP;NCSTN;RAP1A;ALDH3B1;NEU1;MLEC;RAB6A;SLC15A4;AP1M1;ATP6V0A1;CTSA;HSPA8;XRCC6;MGAM;TRAPPC1;JUP;XRCC5;FUCA1;IDH1;FUCA2;SURF4;PA2G4;ARPC5;EEF2;PRDX6;IGF2R;DIAPH1;TOLLIP;SERPINA1;HSP90AB1;DDX3X;HEXB;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;HMGB1;SLC2A5;AP2A2;ALAD;HEBP2;ACTR1B;STBD1;NAPRT;CTSH;ITGAV;CD36;CTSD;SPTAN1;DSP;ACTR2;SERPINB1;HSP90AA1;MME;DYNLT1;PGAM1;ATP6AP2;RHOG;NDUFC2;COMMD3;ANO6;RHOF;DYNLL1;RHOA;SERPINB6;PSMA5;VAMP8;DNAJC3;CEACAM1;PSMA2;DNAJC5;TMBIM1;CAT;ALDOC;PAFAH1B2;VAMP2;RAB7A;CD63;PDXK;CANT1;ROCK1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;CREG1;PSMB1;ORMDL3;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;PTGES2;HUWE1;PDAP1;TUBB4B;MAPK14;CPPED1;RAB10;GALNS;ERP44;PFKL;TSPAN14;RAB14;VAPA;GLB1;PSMC2;RAB18;LAMTOR2;LAMTOR1;YPEL5;CD68;LAMTOR3;FRK;HSPA1A
GO_Biological_Process_2021	endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	85/185	1.769285e-17	1.605626e-14	0	0	3.760662e+00	1.450614e+02	ARF4;MCFD2;PGAP1;SERPINA1;GOLT1A;KDELR1;CTSZ;MIA2;MIA3;IER3IP1;GOLGA2;ACTR1A;TFG;CAPZB;TRAPPC12;TMED2;TMED7;SPTAN1;TMED5;TMED4;RAB2A;SEC13;COG2;ARFGAP3;DYNLL1;DYNLL2;NRBP1;BET1L;COPZ1;DYNC1LI1;DYNC1LI2;TBC1D20;KDELR2;PREB;MPPE1;ERGIC3;GAS6;ERGIC1;NAPA;COPB2;DCTN5;RAB1A;COPA;SEC23A;TMED10;SAR1A;DCTN2;SAR1B;COPB1;GOSR2;RAB1B;ATL2;USO1;KLHL12;LMAN1;SCFD1;LMAN2;YKT6;SPTBN1;SEC31A;VTI1B;BCAP31;SEC16B;TRAPPC3;DYNC1H1;SEC24B;TRAPPC1;SEC24A;SEC16A;TRAPPC4;TRAPPC5;YIF1A;ARCN1;CNIH1;VAPA;VAPB;GOLGB1;CAPZA1;CAPZA2;COPG1;SEC24D;SEC24C;CNIH4;COPE;BET1
GO_Biological_Process_2021	membrane organization (GO:0061024)	101/242	6.688105e-17	5.202390e-14	0	0	3.175053e+00	1.182504e+02	GLTP;SCARB2;MTCH1;TFRC;FNBP1L;ACTG1;BAIAP2L2;CHP1;AP2M1;AGFG1;SH3GLB1;TMEM170A;LEMD2;CTDNEP1;OXA1L;HGS;CHMP4B;STAM2;SAR1A;SAR1B;TOR1AIP2;SNX3;TGOLN2;SLC9A3R1;SYNGR2;UBB;UBC;PACSIN2;SNX9;APOB;CERT1;SPTBN1;VTI1B;HSPA8;TOR1A;OSBPL2;ARPC5;TOR1B;IGF2R;NSFL1C;DAB2;ARPC3;REEP4;REEP3;CHMP2B;AAK1;CHMP2A;GRB2;RAB5A;PICALM;ARPC1A;CLTC;SNAP23;CLTB;CLTA;AP2A1;ARRB1;WASL;PIK3C2A;AP2A2;SERP1;OPA1;CHMP1B;CHMP1A;EMD;ACTR3;ACTR2;SUN2;SUN1;PDCD6IP;EPN1;GAK;VAMP8;RABEP1;CTTN;NPC1;TMEM33;CPTP;PICK1;CHMP3;TLCD2;VAMP2;VAMP3;CHMP5;NAPA;VPS4B;USO1;VPS4A;EGFR;FCHO2;AP2S1;MFN2;REPS1;MX1;AP3D1;HUWE1;PLEKHA3;VAPA;VAPB;LPCAT3;TRIP10
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	101/251	1.253496e-15	8.531608e-13	0	0	2.982883e+00	1.023512e+02	HNRNPU;HNRNPR;CWC25;CCAR1;PNN;MAGOH;RAVER2;PAPOLA;MTREX;SNRPD3;TXNL4A;SRRM2;AQR;IK;PRPF4B;WBP11;SRRM1;HNRNPUL1;PSPC1;PRPF3;SRSF2;CD2BP2;SRSF3;SRSF4;SRSF5;SRSF6;SRSF7;SRSF8;SF1;SRSF9;ZCCHC8;DDX5;DHX9;YTHDC1;SNU13;PCBP1;PCBP2;DHX38;HSPA8;CPSF7;FUS;NONO;CWC15;LSM4;CHERP;HNRNPL;HNRNPM;LSM7;HNRNPK;HNRNPF;HNRNPD;RNPS1;HNRNPC;DDX46;DDX42;YBX1;SYNCRIP;UBL5;PTBP1;SART3;PCF11;SNRNP70;DHX15;DHX16;RBM5;RBM6;RBM17;RBM14;NCBP2;BUD31;PRPF40A;WDR33;SFPQ;HNRNPH1;SYF2;FRG1;HNRNPH3;PABPC1;SF3B4;SF3B6;DDX23;PRCC;SRSF1;PABPN1;POLR2A;PUF60;POLR2C;TRA2B;TRA2A;RALY;POLR2H;HNRNPA1;SF3B1;SRSF10;SMNDC1;SRSF11;HNRNPA0;POLR2L;SF3A1;HNRNPA3;HNRNPA2B1
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	291/1025	5.256821e-15	3.180377e-12	0	0	1.785958e+00	5.872095e+01	APP;PGAP1;ARAF;ZDHHC6;DCAF8;PPP2R2A;DCAF7;DCAF6;PSMD8;GOLGA2;LIPE;PPP4R1;PSMD7;PPP4R2;PPP2R1B;CDK20;PSMD1;PDK3;PDK2;SKP1;ATG3;WSB1;WSB2;DAPK2;PRKCD;CSNK1D;PRKCA;PHKA2;PRKAB1;BCR;PSME1;TRIB1;RPN2;EPAS1;CTBP1;DCUN1D1;MTMR4;PRKCZ;TGOLN2;UGCG;NUAK2;STK38L;PSMF1;APOB;ATG5;LHPP;NUS1;ICMT;INSR;FUCA2;EIF2AK2;PTK6;SRPK1;WNK2;CDK10;FBXL3;BAP1;CDK16;PIGS;ARF4;PIGT;SERPINA1;GPAA1;PRKAG2;AATK;MIA3;PTPRJ;PTPRK;PTPRH;PRSS23;TRIOBP;PTPRF;DDA1;IKBKB;ANKRD9;PPP3CA;UBL5;SERP1;FASTK;RAB8A;DUSP5;BRD2;PARP6;PARP3;PARP4;RIPK3;SYK;DUSP1;STRADB;MINK1;SIRT7;SUMF2;PSMA5;PSMA3;PSMA4;B3GNT8;MMP15;PSMA2;RARA;PICK1;FAM20C;SGK3;GAS6;SGK1;CHST5;PIGH;NEDD8;PSMA7;CAMKK2;PSMB6;CST3;PPP2CA;PPP2CB;PSMB4;PAK1;PSMB3;PSMB1;GCNT2;MGAT1;MAP4K5;PAK4;EGLN3;CSNK1A1;GLYCTK;KRT10;HIPK1;HIPK3;RAB11A;PPP1CA;KTN1;RAB11B;SPSB3;PDP1;PSMC5;PSMC6;TAOK3;STK17B;PSMC2;TAOK2;NUCB1;PKN2;COQ8A;FRK;ENGASE;PNPLA2;PRAG1;UBE2D3;MPI;FBXO22;CDC14B;PPP1CB;PPP1CC;STK11;PIM1;PIM3;LARGE1;MEN1;RAB2A;MORC3;FBXW5;IGFBP4;APLP2;DYRK1A;SHISA5;ADAM10;LMTK2;DYRK1B;PRPF4B;LMO7;FBXO11;PDIA6;FBXW2;NRBP1;RBX1;CTDNEP1;ERN2;ILF3;MAPKAPK2;TNIK;PHPT1;CSNK1G2;UBA7;CUL5;STK39;FUT4;HSP90B1;MTM1;FUT6;IRAK1;MAN2A2;OARD1;MAN2A1;STK38;NAE1;MARK3;UBE2I;OGA;B3GALT5;BTBD6;FBXO32;SSH2;CLK3;FBXO31;CLK2;PTPRD;BMP2;COPS5;STK24;STK25;CDK3;COPS2;AAK1;STT3A;MELTF;STT3B;MAP3K13;RAB5A;MAP3K11;UBE2M;BMPR1A;ST6GALNAC1;GSK3A;DYRK2;BMPR2;PRKCSH;MAST2;PTEN;ILK;DUSP16;UFL1;ILKAP;DSP;PDPK1;APOA1;PPP2R5D;OXSR1;PPP2R5C;RABGGTA;YWHAZ;TGFBR2;DNAJC3;LATS1;PPM1A;PTP4A2;PPM1B;NPC1;CTDSP1;DAD1;PEAK1;CTDSP2;ATG4B;BIRC6;B4GALT5;RAB1A;PRKAA1;CAMK2D;ROCK1;ROCK2;RAB1B;ASB13;TULP4;PDXP;GLRX;RNF7;ACVR1B;THBS1;TNKS2;MKNK2;ERBB2;PTK2B;DCAF11;MAPK6;MAPK3;ATE1;USP25;CDK11A;FEM1B;CDC42BPG;LAMB1;FBXL15;CDC42BPB;BCKDK;CUL4A;PINK1;SNRK;ASB8;MGAT4A;P4HB;METAP1;CUL4B;METAP2
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	106/274	5.930695e-15	3.229263e-12	0	0	2.795856e+00	9.158841e+01	HNRNPU;HNRNPR;CWC25;CCAR1;PNN;MAGOH;RAVER2;PAPOLA;MTREX;SNRPD3;TXNL4A;DDX17;SRRM2;AQR;IK;SCAF11;PRPF4B;WBP11;SRRM1;HNRNPUL1;PSPC1;CLNS1A;PRPF3;SRSF2;CD2BP2;SRSF3;SRSF4;SRSF5;SRSF6;SRSF7;SRSF8;SF1;SRSF9;ZCCHC8;DDX5;DHX9;YTHDC1;DDX1;SNU13;PCBP1;PCBP2;DHX38;HSPA8;CPSF7;FUS;NONO;CWC15;LSM4;SRPK1;CHERP;HNRNPL;HNRNPM;LSM7;HNRNPK;HNRNPF;HNRNPD;RNPS1;HNRNPC;DDX46;DDX42;YBX1;SYNCRIP;UBL5;PTBP1;SART3;PCF11;SNRNP70;DHX15;DHX16;RBM5;RBM6;RBM17;RBM14;NCBP2;BUD31;PRPF40A;WDR33;SFPQ;HNRNPH1;SYF2;FRG1;HNRNPH3;PABPC1;SF3B4;SF3B6;DDX23;PRCC;SRSF1;PABPN1;POLR2A;PUF60;POLR2C;TRA2B;TRA2A;RALY;POLR2H;HNRNPA1;SF3B1;SRSF10;SMNDC1;SRSF11;HNRNPA0;POLR2L;SF3A1;HNRNPA3;HNRNPA2B1
