,names,scores,logfoldchanges,pvals,pvals_adj
0,KRT18,8.110766,28.21194,1.1780658392854608e-13,1.0934807120247647e-09
1,REG1A,7.5402884,3.0018833,8.011637753964528e-09,6.197001802691563e-06
2,ABCA7,7.3207145,27.748962,1.090030181936534e-11,3.842872817395643e-08
3,ATP6V0B,7.29738,27.846813,1.2420403417568335e-11,3.842872817395643e-08
4,MTRNR2L1,6.960467,4.039817,8.147653568390403e-11,1.890663010544993e-07
5,ANXA4,6.8822484,27.649298,1.224700762427881e-10,2.273534495371118e-07
6,PTPRC,6.6645765,27.746454,3.956755965453078e-10,6.121101478555912e-07
7,GPA33,6.5093274,27.382826,9.021580591304519e-10,1.196261586406979e-06
8,UQCR10,6.4522896,27.580093,1.2179840567432465e-09,1.4131660018363517e-06
9,SECTM1,6.2179637,27.316246,4.116033581776458e-09,4.245002634005453e-06
10,CFB,6.2144856,3.7639163,5.008965420171122e-09,4.649321703002835e-06
11,LINC02739,6.1915584,2.119834,1.1060698818132352e-07,3.540186428617396e-05
12,SERPINA1,6.117442,2.1343226,1.3102361571918828e-07,4.053870670351686e-05
13,MZT2B,6.0945797,27.379726,7.735093395585538e-09,6.197001802691563e-06
14,DMBT1,6.0926876,2.5275524,6.363145948124847e-08,2.2716431034805705e-05
15,MYH14,6.0731697,3.7252097,1.024343171356315e-08,6.791395226092368e-06
16,RAB5B,6.068536,27.155138,8.828618105854167e-09,6.303633327579875e-06
17,PSME1,6.0175557,27.409868,1.1425857822765961e-08,7.070320820727577e-06
18,NUCB1,5.9458475,27.189552,1.638636158358481e-08,9.506138013677139e-06
19,KDELR2,5.8886747,27.19038,2.1803959502286552e-08,1.1904961888248458e-05
20,NR2F6,5.8493433,27.028433,2.651316153271231e-08,1.278115566915956e-05
21,HPGD,5.8493433,27.028433,2.651316153271231e-08,1.278115566915956e-05
22,MUC13,5.8428445,2.261072,2.598210403153061e-07,5.8623529249391414e-05
23,ITGB4,5.8416843,27.378986,2.753965884326559e-08,1.278115566915956e-05
24,TAGLN2,5.7959027,3.5397642,5.030008611440299e-08,1.9453558304745356e-05
25,PSMB4,5.7911477,27.22408,3.5358230157177735e-08,1.562833772947256e-05
26,CCNL1,5.766495,27.143532,3.9923244260924064e-08,1.6843979692268053e-05
27,SLC12A7,5.7518015,27.319534,4.291346174304535e-08,1.731838051734552e-05
28,STUB1,5.6772537,27.15074,6.179892935672768e-08,2.2716431034805705e-05
29,UQCRQ,5.604088,3.5519798,1.0928228480786863e-07,3.540186428617396e-05
30,UNC93B1,5.5725045,26.954697,1.0265523198658505e-07,3.5290587529610455e-05
31,TMEM256,5.4984517,27.007149,1.464361659658657e-07,4.384582233855373e-05
32,IFI30,5.4784336,2.7911897,2.4120166352780366e-07,5.6008308976157915e-05
33,CAP1,5.4660096,27.123693,1.7093230592088321e-07,4.9581051986176186e-05
34,CCDC88B,5.451828,3.4643443,2.41363106986244e-07,5.6008308976157915e-05
35,PLS1,5.446359,26.900503,1.8766802318549994e-07,5.278589670326698e-05
36,TM9SF3,5.425094,26.932423,2.075801711990578e-07,5.6008308976157915e-05
37,CISD3,5.417363,26.741081,2.1531789682409555e-07,5.6008308976157915e-05
38,FAM3B,5.40608,27.014975,2.2711892177091747e-07,5.6008308976157915e-05
39,RAB1B,5.395493,26.994446,2.387637171026274e-07,5.6008308976157915e-05
40,PLD3,5.3953543,27.186073,2.389196764951323e-07,5.6008308976157915e-05
41,NAGK,5.373163,26.954697,2.6526483823254036e-07,5.8623529249391414e-05
42,NORAD,5.3267374,26.976671,3.2985974886159705e-07,7.120367881240334e-05
43,PARP12,5.3112707,27.066452,3.5460518151763275e-07,7.480557488287881e-05
44,CSNK1A1,5.282203,26.90984,4.0609380753599006e-07,8.376361603442355e-05
