,names,scores,logfoldchanges,pvals,pvals_adj
0,DDX5,-5.06605,-3.5599167,5.129541706176422e-05,0.04871198769455501
1,DEFA5,-5.3079367,-5.627168,3.99244096532253e-05,0.04871198769455501
2,MT-CYB,-5.5648584,-2.2798607,5.248005569333658e-05,0.04871198769455501
3,MT1G,-5.594461,-4.1705656,1.5163019249344323e-05,0.0281486289344828
4,ANO9,-5.8120027,-30.33944,4.5077587837774635e-05,0.04871198769455501
5,CTBP1,-5.8509736,-30.250916,4.211784578970984e-05,0.04871198769455501
6,DEFA6,-6.109932,-5.722112,9.861238100816647e-06,0.02433587367431042
7,REG3A,-6.321413,-5.2662888,4.538214323843005e-06,0.021061852676955387
8,PSMC5,-6.677152,-29.96454,1.0487340518987468e-05,0.02433587367431042
9,MALAT1,-6.876039,-4.5390477,1.0854284828987977e-06,0.01007494717826664
