Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to copper ion (GO:0071280)	9/19	5.475984e-11	1.289047e-07	0	0	4.296073e+01	1.015079e+03	AOC1;MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;AQP1;MT1E
GO_Biological_Process_2021	response to copper ion (GO:0046688)	9/23	4.497039e-10	5.293014e-07	0	0	3.067997e+01	6.603075e+02	AOC1;MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;AQP1;MT1E
GO_Biological_Process_2021	cellular zinc ion homeostasis (GO:0006882)	9/28	3.463737e-09	2.717879e-06	0	0	2.260051e+01	4.402787e+02	MT2A;MT1M;MT1F;SLC39A5;MT1G;MT1X;MT1H;SLC39A14;MT1E
GO_Biological_Process_2021	response to zinc ion (GO:0010043)	9/29	4.930009e-09	2.901311e-06	0	0	2.146939e+01	4.106649e+02	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;CRIP1;KHK;MT1E
GO_Biological_Process_2021	zinc ion homeostasis (GO:0055069)	9/30	6.913303e-09	3.254783e-06	0	0	2.044599e+01	3.841765e+02	MT2A;MT1M;MT1F;SLC39A5;MT1G;MT1X;MT1H;SLC39A14;MT1E
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	11/52	8.356625e-09	3.278583e-06	0	0	1.284912e+01	2.389963e+02	HADHB;BDH2;SCP2;ECI2;ECHDC1;ECHDC2;CROT;HADH;DECR2;ACADS;SLC27A2
GO_Biological_Process_2021	fatty acid oxidation (GO:0019395)	11/59	3.394380e-08	1.141482e-05	0	0	1.097135e+01	1.886915e+02	HADHB;BDH2;SCP2;CYP4V2;ECI2;ECHDC1;ECHDC2;CROT;HADH;ACADS;SLC27A2
GO_Biological_Process_2021	cellular response to zinc ion (GO:0071294)	7/18	4.392809e-08	1.292584e-05	0	0	3.022727e+01	5.120715e+02	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;MT1E
GO_Biological_Process_2021	retinoid metabolic process (GO:0001523)	12/92	4.886422e-07	1.278071e-04	0	0	7.187101e+00	1.044403e+02	RBP2;RETSAT;CYP4V2;RDH10;APOA1;APOC3;APOA4;CYP3A4;APOB;CYP2C18;CYP3A5;DHRS3
GO_Biological_Process_2021	cellular transition metal ion homeostasis (GO:0046916)	12/96	7.801869e-07	1.691032e-04	0	0	6.843454e+00	9.624450e+01	MT2A;MT1M;FLVCR1;MT1F;SLC39A5;MT1G;CYBRD1;MT1X;MT1H;SLC39A14;ABCG2;MT1E
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	5/10	9.106170e-07	1.691032e-04	0	0	4.728502e+01	6.576942e+02	LPCAT3;APOA1;APOC3;APOA4;APOB
GO_Biological_Process_2021	fructose catabolic process (GO:0006001)	4/5	9.338748e-07	1.691032e-04	0	0	1.887229e+02	2.620214e+03	TKFC;GLYCTK;ALDOB;KHK
GO_Biological_Process_2021	fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate (GO:0061624)	4/5	9.338748e-07	1.691032e-04	0	0	1.887229e+02	2.620214e+03	TKFC;GLYCTK;ALDOB;KHK
GO_Biological_Process_2021	cellular response to cadmium ion (GO:0071276)	7/27	1.041328e-06	1.750919e-04	0	0	1.661735e+01	2.289043e+02	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;MT1E
