,names,scores,logfoldchanges,pvals,pvals_adj
0,BICDL2,-2.9450514,-1.0218351,0.0035282227242866217,0.04961964140428549
1,TASOR,-2.9486866,-2.353507,0.0035749454289322855,0.049898711986991695
2,FOXP1,-2.9503307,-1.4918059,0.003510363937144711,0.04944339615262096
3,HNRNPA0,-2.9504077,-1.332605,0.0035088129989782387,0.04944339615262096
4,TM6SF2,-2.9508305,-1.0674036,0.003471202002349013,0.04927943434474069
5,SHTN1,-2.9509044,-2.1914077,0.0035410017041388507,0.04967267750049117
6,ECHDC1,-2.9511273,-1.58584,0.003502014126322394,0.04944339615262096
7,NFIB,-2.9526474,-2.567122,0.003542696887020594,0.04967267750049117
8,SLC3A1,-2.9555397,-1.213432,0.0034436768552230075,0.04922097086661818
9,ATAD3B,-2.9563818,-1.5815823,0.0034543701450603986,0.04922097086661818
10,TMEM80,-2.9584765,-2.5132408,0.0034882316781706317,0.04935635127557897
11,CARNMT1,-2.9585328,-2.6324666,0.0034862563982163675,0.04935635127557897
12,EMC2,-2.960678,-2.4144087,0.0034521925814378508,0.04922097086661818
13,DCUN1D4,-2.960678,-2.4144087,0.0034521925814378455,0.04922097086661818
14,HOXA9,-2.9624407,-2.9357967,0.0034574523814948346,0.04922097086661818
15,RESF1,-2.9628885,-1.408184,0.0033556863617283388,0.04890360190750244
16,NOL11,-2.9645185,-2.8652859,0.00342830647294035,0.04922097086661818
17,FGD4,-2.9645185,-2.8652859,0.00342830647294035,0.04922097086661818
18,ACLY,-2.9657829,-1.638031,0.0033561295426717363,0.04890360190750244
19,PRAG1,-2.9658887,-2.1399255,0.0033949686905052024,0.04908426695524811
20,MUTYH,-2.9676557,-2.2484481,0.0033690401402520463,0.04893807602788653
21,PLA2R1,-2.9688954,-3.003188,0.003394600253048732,0.04908426695524811
22,TYSND1,-2.9691572,-1.959746,0.003331287271244191,0.04877047367766275
23,TMEM131,-2.9699378,-1.1399286,0.0032829771060648963,0.048139958133482416
24,PDZK1,-2.9702408,-1.2252402,0.003261503908041446,0.048139958133482416
25,SIDT2,-2.9737644,-1.4120053,0.0032720628622454283,0.048139958133482416
26,DNAJC16,-2.9777071,-2.4729886,0.003280453302279214,0.048139958133482416
27,ERMARD,-2.9777071,-2.4729886,0.003280453302279214,0.048139958133482416
28,CDCA7,-2.9842813,-4.347729,0.0032687905848800933,0.048139958133482416
