Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mRNA processing (GO:0006397)	45/300	3.146996e-10	8.078373e-07	0	0	3.228496e+00	7.063756e+01	SF3B4;SF3B3;DDX46;RNMT;YTHDC1;CELF1;POLDIP3;SRSF1;SUPT4H1;HNRNPU;HNRNPR;CCAR1;PNN;FIP1L1;TRA2B;RAVER2;TRA2A;DHX15;PAPOLA;TXNL4A;CMTR2;SPEN;RBM17;AQR;CHTOP;SCAF11;NCBP2;THOC1;UPF3B;PRPF40A;GTF2H1;U2SURP;SRRM1;WDR33;LSM7;SNW1;PRPF6;SON;HNRNPUL1;SARNP;RNPS1;SRSF4;SLU7;SRSF7;RBMX
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	94/908	4.111131e-10	8.078373e-07	0	0	2.152759e+00	4.652575e+01	ZNF451;APP;CALCOCO1;CCNT2;ELL;CD81;HMGB2;HNRNPU;ETS1;MYSM1;IKBKB;MED13;KAT5;NFATC2IP;CHP2;EPC1;EP300;IKBKG;SOX4;HTATIP2;MEF2A;NCOA1;SREBF1;OSR2;SUPT16H;NCOA6;ZBTB38;ATRX;MRTFB;TET2;SREBF2;GNL3;KAT2B;TAF6L;MED25;PRPF6;IRF3;SUB1;SQSTM1;ATF4;GLYR1;KMT2D;CASZ1;TMF1;AKNA;KMT2A;EPAS1;WBP2;KMT2C;SUPT4H1;GPS2;ZNF24;HIF1A;MLLT6;SBNO2;BCLAF1;ZNF827;DHX36;NRIP1;GCN1;BRD4;BPTF;MLXIP;STAT5B;TCF7L2;JUN;XRCC6;ZFHX3;SMAD3;AUTS2;PHF10;CDX1;NR1H4;LARP7;SMAD5;SMARCA4;VEGFA;FOSL2;SETX;ASXL1;NFKBIA;AHI1;REST;SNW1;NFIB;AGO1;NFIC;CAPRIN2;TCF4;ATM;CDK13;PAXBP1;RBMX;NFE2L2
GO_Biological_Process_2021	regulation of mRNA splicing, via spliceosome (GO:0048024)	21/90	7.569228e-09	9.915689e-06	0	0	5.494279e+00	1.027385e+02	SF3B4;RBM25;RBFOX2;WTAP;CELF1;YTHDC1;HNRNPU;LARP7;SRPK1;FXR1;REST;SNW1;SON;NCL;TRA2B;TRA2A;SRSF4;RNPS1;NSRP1;SRSF7;RBMX
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	108/1183	2.300466e-08	2.260207e-05	0	0	1.872867e+00	3.293918e+01	ZNF451;APP;CCNT2;ICE1;CD81;ICE2;HNRNPU;ETS1;KAT5;ZXDC;NFATC2IP;CHP2;EPC1;EP300;SOX4;MEF2A;OSR2;SUPT16H;ZBTB38;MRTFB;THOC1;PRPF6;SQSTM1;ATF4;GLYR1;KMT2D;CASZ1;AKNA;KMT2A;SHC1;EPAS1;KMT2C;SUPT4H1;ZNF24;MRPL12;HIF1A;SBNO2;ZNF827;DHX36;BPTF;STAT5B;JUN;XRCC6;ZFHX3;SMAD3;AUTS2;PHF10;SMAD5;SMARCA4;FOSL2;SETX;NFKBIA;AHI1;SNW1;AGO1;ID2;CAPRIN2;TCF4;ATM;NFE2L2;CALCOCO1;ELL;HMGB2;MYSM1;IKBKB;ING5;MED13;SPIN1;IKBKG;CEP290;HTATIP2;NCOA1;SREBF1;NCOA6;ATRX;TET2;RGMB;PARP9;SREBF2;PPM1A;TAF6L;KAT2B;MED25;ELF2;IRF3;TMF1;WBP2;ZBTB48;GPS2;MLLT6;BCLAF1;NRIP1;BRD7;BRD4;ATF7IP;MLXIP;TCF7L2;CDX1;NR1H4;GTF2H1;MTOR;VEGFA;ASXL1;REST;NFIB;NFIC;PAXBP1;RBMX
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	37/274	1.904430e-07	1.496882e-04	0	0	2.836677e+00	4.389450e+01	SF3B4;SF3B3;DDX46;YTHDC1;SRSF1;HNRNPU;HNRNPR;CCAR1;PNN;FIP1L1;TRA2B;RAVER2;TRA2A;DHX15;PAPOLA;TXNL4A;SPEN;RBM17;AQR;SCAF11;NCBP2;UPF3B;PRPF40A;U2SURP;SRRM1;SRPK1;WDR33;LSM7;SNW1;PRPF6;HNRNPUL1;RNPS1;SRSF4;CDK13;SLU7;SRSF7;RBMX
GO_Biological_Process_2021	RNA splicing, via transesterification reactions (GO:0000375)	10/25	2.782776e-07	1.504011e-04	0	0	1.194381e+01	1.802876e+02	SF3B4;SF3B3;PRPF6;SCAF11;KHSRP;TRA2B;SRSF4;TXNL4A;SLU7;SRRM1
GO_Biological_Process_2021	RNA processing (GO:0006396)	28/179	2.883384e-07	1.504011e-04	0	0	3.355434e+00	5.052992e+01	SF3B4;SF3B3;CELF1;SRSF1;SUPT4H1;HNRNPU;HNRNPR;TENT4A;KHSRP;DHX15;SCAF11;NCBP2;THOC1;DDX54;DICER1;SRRM1;SRPK1;SETX;PRPF6;SON;HNRNPUL1;RRAGC;LUC7L3;SRSF4;RNPS1;PPIG;SRSF7;SLU7
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	50/437	3.061599e-07	1.504011e-04	0	0	2.358517e+00	3.537577e+01	PPP1R13B;ZFAND6;ARAF;ARHGAP1;PTEN;ARHGAP5;ING5;KAT5;MCF2L;ARHGDIB;EP300;PIP4K2B;IKBKG;KMT5A;TOPBP1;SUPT16H;CSNK2A1;ENTPD5;PJA2;VAV2;ARHGAP45;RCN3;RRAGC;TRAF5;CSNK2B;MAPKAPK5;RHOU;EZR;ARHGEF7;SGK1;SQSTM1;BIRC2;ARHGAP12;ARHGAP21;RBBP4;BRD7;PAK2;LYN;CARD8;TAF11;SSRP1;MTOR;VEGFA;NFKBIA;RAD50;TAOK1;TAOK2;CCNG1;ATM;RAD9A
GO_Biological_Process_2021	RNA 3'-end processing (GO:0031123)	16/69	5.014059e-07	2.160299e-04	0	0	5.428500e+00	7.874500e+01	CHTOP;NCBP2;POLDIP3;SRSF1;THOC1;UPF3B;TENT4A;SRRM1;WDR33;FIP1L1;SARNP;PAPOLA;SRSF4;RNPS1;SLU7;SRSF7
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	34/251	5.496945e-07	2.160299e-04	0	0	2.841684e+00	4.095975e+01	SF3B4;SF3B3;DDX46;YTHDC1;SRSF1;HNRNPU;HNRNPR;CCAR1;PNN;FIP1L1;TRA2B;RAVER2;TRA2A;DHX15;PAPOLA;TXNL4A;SPEN;RBM17;AQR;NCBP2;UPF3B;PRPF40A;U2SURP;SRRM1;WDR33;LSM7;SNW1;PRPF6;HNRNPUL1;RNPS1;SRSF4;SLU7;SRSF7;RBMX
