,names,scores,logfoldchanges,pvals,pvals_adj
0,AATF,-2.9096088,-24.31169,0.0038469024744106632,0.04966195934280915
1,OAZ2,-2.91185,-24.390118,0.003820057907733913,0.04938409122505039
2,TSFM,-2.9170375,-24.22885,0.0037585754275573447,0.04876669523705531
3,LY6G5B,-2.9547482,-24.334906,0.00333809628427305,0.043763008065850914
4,NPFF,-2.9547482,-24.334906,0.00333809628427305,0.043763008065850914
5,PRR22,-2.9547913,-24.412138,0.0033376399977825535,0.043763008065850914
6,NMD3,-2.964761,-24.253397,0.0032339214833116002,0.0426968701015126
7,NIPSNAP3A,-2.964761,-24.253397,0.0032339214833116002,0.0426968701015126
8,PTGFRN,-2.964761,-24.253397,0.0032339214833116002,0.0426968701015126
9,ATXN3,-2.964761,-24.253397,0.0032339214833116002,0.0426968701015126
10,MMGT1,-2.964761,-24.253397,0.0032339214833116002,0.0426968701015126
11,CRADD,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
12,WEE1,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
13,FAM210B,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
14,ZDHHC13,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
15,CSRNP2,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
16,PRKD3,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
17,STARD3NL,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
18,MSI2,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
19,CNTRL,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
20,RAB12,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
21,CNNM2,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
22,AASDHPPT,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
23,ITFG2,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
24,ZC3H12C,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
25,AL159169.2,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
26,ALG8,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
27,ZNF561,-2.9890425,-24.167109,0.002993532318869068,0.04015313147939695
28,PRAG1,-3.0169091,-2.3363557,0.0031688545188261704,0.04219986749461193
29,BCAS1,-3.0196185,-1.5268965,0.003383799899781135,0.04429962012661282
30,ENTPD5,-3.0253756,-1.8998884,0.0032331020262613684,0.0426968701015126
31,YWHAH,-3.0275292,-2.3300495,0.0030879620666163115,0.041240955255154824
32,GRPEL2,-3.034385,-24.075438,0.0025879536782177164,0.03623135149504803
33,MYNN,-3.034385,-24.075438,0.0025879536782177164,0.03623135149504803
