Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	nitrogen compound transport (GO:0071705)	16/143	7.838546e-09	1.706451e-05	0	0	7.062721e+00	1.318201e+02	ARRDC4;SLC12A2;CUBN;AMN;EDN1;SLC22A5;ABCC2;SLC23A1;SLC6A20;AQP1;SLC6A4;RCN3;FLVCR1;ZG16;CEP290;ABCG2
GO_Biological_Process_2021	organic substance transport (GO:0071702)	14/136	1.950012e-07	2.122588e-04	0	0	6.398033e+00	9.885127e+01	ARRDC4;CUBN;AMN;SLC22A5;ATP8A1;ABCA5;SLC23A1;APOA1;SLC6A4;RCN3;FLVCR1;ZG16;CEP290;ABCG2
GO_Biological_Process_2021	cation transport (GO:0006812)	14/174	3.847815e-06	2.792231e-03	0	0	4.869000e+00	6.070672e+01	KCNG1;SLC34A3;KCNK5;SLC12A2;SLC23A1;KCNJ13;SLC1A1;SLC5A12;SLC6A20;AQP1;SLC5A9;TRPM6;TRPM4;SLC17A4
GO_Biological_Process_2021	transepithelial transport (GO:0070633)	5/16	7.194029e-06	3.915350e-03	0	0	2.484806e+01	2.942572e+02	SLC12A2;ABCC2;SLC23A1;SLC1A1;ABCG2
GO_Biological_Process_2021	response to zinc ion (GO:0010043)	6/29	1.162661e-05	4.982198e-03	0	0	1.429172e+01	1.623856e+02	MT1M;MT1F;MT1X;MT1H;CRIP1;KHK
GO_Biological_Process_2021	vitamin transport (GO:0051180)	6/31	1.747615e-05	4.982198e-03	0	0	1.314704e+01	1.440215e+02	CUBN;AMN;SLC23A1;SLC2A2;APOA1;ABCG2
GO_Biological_Process_2021	cellular response to copper ion (GO:0071280)	5/19	1.830849e-05	4.982198e-03	0	0	1.952049e+01	2.129324e+02	MT1M;MT1F;MT1X;MT1H;AQP1
GO_Biological_Process_2021	epoxygenase P450 pathway (GO:0019373)	5/19	1.830849e-05	4.982198e-03	0	0	1.952049e+01	2.129324e+02	CYP2J2;CYP2C9;CYP4F2;EPHX2;CYP2C18
GO_Biological_Process_2021	sodium ion transport (GO:0006814)	9/90	3.830866e-05	9.266439e-03	0	0	6.120501e+00	6.224448e+01	SLC34A3;SLC12A2;SLC5A9;SLC23A1;SCNN1A;SLC5A12;SLC6A20;SLC6A4;SLC17A4
GO_Biological_Process_2021	response to copper ion (GO:0046688)	5/23	4.989993e-05	1.086321e-02	0	0	1.517951e+01	1.503605e+02	MT1M;MT1F;MT1X;MT1H;AQP1
GO_Biological_Process_2021	fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	4/15	1.256733e-04	2.453611e-02	0	0	1.982323e+01	1.780488e+02	ACOX2;ECI2;CROT;DECR2
GO_Biological_Process_2021	cellular zinc ion homeostasis (GO:0006882)	5/28	1.352473e-04	2.453611e-02	0	0	1.187659e+01	1.058015e+02	MT1M;MT1F;MT1X;MT1H;SLC39A14
GO_Biological_Process_2021	regulation of systemic arterial blood pressure by hormone (GO:0001990)	4/16	1.651667e-04	2.765908e-02	0	0	1.817037e+01	1.582377e+02	EDN1;ENPEP;ACE;EDN2
GO_Biological_Process_2021	zinc ion homeostasis (GO:0055069)	5/30	1.903400e-04	2.959786e-02	0	0	1.092535e+01	9.359417e+01	MT1M;MT1F;MT1X;MT1H;SLC39A14
GO_Biological_Process_2021	cellular response to zinc ion (GO:0071294)	4/18	2.698143e-04	3.915905e-02	0	0	1.557302e+01	1.279756e+02	MT1M;MT1F;MT1X;MT1H
GO_Biological_Process_2021	positive regulation of triglyceride catabolic process (GO:0010898)	3/8	3.128359e-04	4.256524e-02	0	0	3.262770e+01	2.633001e+02	AADAC;APOA1;ABHD5
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	6/52	3.504227e-04	4.441359e-02	0	0	7.137479e+00	5.678843e+01	ACOX2;ECI2;ECHDC2;CROT;DECR2;SLC27A2
GO_Biological_Process_2021	cellular transition metal ion homeostasis (GO:0046916)	8/96	3.672231e-04	4.441359e-02	0	0	4.991828e+00	3.948307e+01	MT1M;FLVCR1;MT1F;CYBRD1;MT1X;MT1H;SLC39A14;ABCG2
GO_Biological_Process_2021	exogenous drug catabolic process (GO:0042738)	4/22	6.089579e-04	6.977376e-02	0	0	1.210988e+01	8.965864e+01	CYP2J2;CYP2C9;CYP3A4;CYP2C18
GO_Biological_Process_2021	regulation of heart rate by cardiac conduction (GO:0086091)	5/39	6.725511e-04	7.167938e-02	0	0	8.029658e+00	5.865209e+01	DSP;CACNB2;AKAP9;CACNA1D;TRPM4
GO_Biological_Process_2021	fatty acid oxidation (GO:0019395)	6/59	6.971198e-04	7.167938e-02	0	0	6.192579e+00	4.501109e+01	PHYH;CYP4V2;ECI2;ECHDC2;CROT;SLC27A2
GO_Biological_Process_2021	drug catabolic process (GO:0042737)	4/23	7.266550e-04	7.167938e-02	0	0	1.147193e+01	8.290831e+01	CYP2J2;CYP2C9;CYP3A4;CYP2C18
GO_Biological_Process_2021	carboxylic acid metabolic process (GO:0019752)	5/40	7.572924e-04	7.167938e-02	0	0	7.799841e+00	5.604779e+01	CYP2J2;CYB5A;CYP2C9;SLC23A1;CYP4F2
GO_Biological_Process_2021	long-chain fatty acid metabolic process (GO:0001676)	7/83	7.919057e-04	7.183244e-02	0	0	5.046440e+00	3.603697e+01	CYP2J2;CYP2C9;CYP4F2;EPHX2;GSTA1;CYP3A4;SLC27A2
GO_Biological_Process_2021	vascular transport (GO:0010232)	7/84	8.506434e-04	7.407403e-02	0	0	4.980647e+00	3.521077e+01	SLC12A2;ABCC2;SLC22A5;ATP8A1;SLC1A1;SLC6A20;ABCG2
GO_Biological_Process_2021	transport across blood-brain barrier (GO:0150104)	7/86	9.784078e-04	8.012879e-02	0	0	4.854058e+00	3.363660e+01	SLC12A2;ABCC2;SLC22A5;ATP8A1;SLC1A1;SLC6A20;ABCG2
GO_Biological_Process_2021	lipid homeostasis (GO:0055088)	6/64	1.075093e-03	8.012879e-02	0	0	5.657291e+00	3.866956e+01	RCN3;MLXIPL;ACOX2;TLCD4;APOA1;ABHD5
GO_Biological_Process_2021	angiotensin maturation (GO:0002003)	3/12	1.164155e-03	8.012879e-02	0	0	1.812281e+01	1.224333e+02	ENPEP;ACE;MME
GO_Biological_Process_2021	regulation of angiotensin levels in blood (GO:0002002)	3/12	1.164155e-03	8.012879e-02	0	0	1.812281e+01	1.224333e+02	ENPEP;ACE;MME
GO_Biological_Process_2021	regulation of triglyceride catabolic process (GO:0010896)	3/12	1.164155e-03	8.012879e-02	0	0	1.812281e+01	1.224333e+02	AADAC;APOA1;ABHD5
GO_Biological_Process_2021	regulation of potassium ion transmembrane transporter activity (GO:1901016)	4/26	1.175179e-03	8.012879e-02	0	0	9.906061e+00	6.682960e+01	KCNG1;NEDD4;AKAP9;CACNA1D
GO_Biological_Process_2021	cation transmembrane transport (GO:0098655)	5/44	1.177823e-03	8.012879e-02	0	0	6.998429e+00	4.719801e+01	SLC22A5;SFXN1;SLC6A20;TRPM6;TRPM4
GO_Biological_Process_2021	cellular response to cadmium ion (GO:0071276)	4/27	1.359947e-03	8.707659e-02	0	0	9.474879e+00	6.253714e+01	MT1M;MT1F;MT1X;MT1H
GO_Biological_Process_2021	monovalent inorganic cation homeostasis (GO:0055067)	4/27	1.359947e-03	8.707659e-02	0	0	9.474879e+00	6.253714e+01	SLC12A2;CYP4F2;SCNN1A;PDK2
GO_Biological_Process_2021	retinoid metabolic process (GO:0001523)	7/92	1.454098e-03	9.044489e-02	0	0	4.510035e+00	2.946572e+01	RETSAT;CYP4V2;APOA1;CYP3A4;APOB;CYP2C18;ADH6
GO_Biological_Process_2021	internal peptidyl-lysine acetylation (GO:0018393)	4/28	1.564064e-03	9.458245e-02	0	0	9.079630e+00	5.865865e+01	PHF20L1;TAF6L;TRRAP;KAT6B
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	6/70	1.716551e-03	1.009982e-01	0	0	5.125349e+00	3.263534e+01	PHYH;ECI2;NUDT19;ECHDC2;CROT;SLC27A2
GO_Biological_Process_2021	response to cadmium ion (GO:0046686)	4/29	1.788555e-03	1.020350e-01	0	0	8.716000e+00	5.514044e+01	MT1M;MT1F;MT1X;MT1H
GO_Biological_Process_2021	carbohydrate transport (GO:0008643)	3/14	1.874782e-03	1.020350e-01	0	0	1.482624e+01	9.309786e+01	SLC23A1;SLC2A2;AQP1
GO_Biological_Process_2021	nucleoside phosphate catabolic process (GO:1901292)	3/14	1.874782e-03	1.020350e-01	0	0	1.482624e+01	9.309786e+01	ENTPD5;ENTPD8;ENPP3
GO_Biological_Process_2021	Golgi to plasma membrane protein transport (GO:0043001)	4/30	2.034436e-03	1.080236e-01	0	0	8.380342e+00	5.193748e+01	GOLGA4;AMN;KIF13A;GCC2
GO_Biological_Process_2021	positive regulation of secretion (GO:0051047)	3/15	2.312061e-03	1.198418e-01	0	0	1.359003e+01	8.248625e+01	SCIN;CYP4F2;AQP1
GO_Biological_Process_2021	cellular response to metal ion (GO:0071248)	8/131	2.771471e-03	1.328680e-01	0	0	3.564995e+00	2.099203e+01	SLC12A2;MT1M;MT1F;MT1X;MT1H;CPNE2;FBP1;AQP1
GO_Biological_Process_2021	chromatin remodeling (GO:0006338)	7/103	2.776245e-03	1.328680e-01	0	0	3.991013e+00	2.349372e+01	TAF6L;KDM4C;ATRX;BAZ2B;BAZ1A;MYSM1;BPTF
GO_Biological_Process_2021	heme catabolic process (GO:0042167)	3/16	2.807500e-03	1.328680e-01	0	0	1.254400e+01	7.370179e+01	ABCC2;GSTA1;ABCG2
GO_Biological_Process_2021	porphyrin-containing compound catabolic process (GO:0006787)	3/16	2.807500e-03	1.328680e-01	0	0	1.254400e+01	7.370179e+01	ABCC2;GSTA1;ABCG2
GO_Biological_Process_2021	cellular response to nutrient (GO:0031670)	2/5	3.185427e-03	1.355984e-01	0	0	3.615654e+01	2.078700e+02	CDKN2B;PDK2
GO_Biological_Process_2021	regulation of systemic arterial blood pressure by endothelin (GO:0003100)	2/5	3.185427e-03	1.355984e-01	0	0	3.615654e+01	2.078700e+02	EDN1;EDN2
GO_Biological_Process_2021	membrane depolarization during AV node cell action potential (GO:0086045)	2/5	3.185427e-03	1.355984e-01	0	0	3.615654e+01	2.078700e+02	CACNB2;TRPM4
GO_Biological_Process_2021	tonic smooth muscle contraction (GO:0014820)	2/5	3.185427e-03	1.355984e-01	0	0	3.615654e+01	2.078700e+02	EDN1;EDN2
GO_Biological_Process_2021	reverse cholesterol transport (GO:0043691)	3/17	3.363489e-03	1.355984e-01	0	0	1.164741e+01	6.632939e+01	ABCA5;APOA1;CLU
GO_Biological_Process_2021	membrane depolarization during cardiac muscle cell action potential (GO:0086012)	3/17	3.363489e-03	1.355984e-01	0	0	1.164741e+01	6.632939e+01	CACNB2;CACNA1D;TRPM4
GO_Biological_Process_2021	monosaccharide transmembrane transport (GO:0015749)	3/17	3.363489e-03	1.355984e-01	0	0	1.164741e+01	6.632939e+01	SLC5A9;SLC23A1;SLC2A2
GO_Biological_Process_2021	positive regulation of heart rate (GO:0010460)	3/17	3.363489e-03	1.355984e-01	0	0	1.164741e+01	6.632939e+01	EDN1;EDN2;TRPM4
