,names,scores,logfoldchanges,pvals,pvals_adj
0,PRRG3,15.422353,5.2446537,1.1775304648598059e-27,5.464918887414359e-24
1,AL049796.1,11.772578,27.58704,3.9815800160396322e-28,3.695702570887987e-24
2,MAVS,11.143121,27.438671,1.1251080163046179e-25,3.481084202446488e-22
3,AC067930.8,9.582089,27.038698,6.12583131786905e-20,1.421499157311513e-16
4,CFLAR,9.178416,27.061014,1.5182210233573747e-18,2.81842550776063e-15
5,NLRC5,8.944777,26.963566,9.33208152368774e-18,1.4436730117144934e-14
6,SIDT2,8.90757,27.028152,1.2425055616693032e-17,1.647562374773496e-14
7,MIB2,8.832552,26.90116,2.2074227010083596e-17,2.561162188844949e-14
8,IGHG1,8.801883,3.0825882,1.3397279083956607e-09,1.351668961492231e-07
9,AL049543.1,8.651875,26.869785,8.690445860909454e-17,8.962746497884617e-14
10,A1CF,8.394004,26.803213,5.937572803789458e-16,5.511255076477375e-13
11,CYTH1,8.3793,26.684551,6.617011971926303e-16,5.583555011219995e-13
12,SPIRE2,8.306292,26.806747,1.1308966901603317e-15,8.532162724513354e-13
13,SEMA6D,8.298757,26.686235,1.1949807737413661e-15,8.532162724513354e-13
14,TSC22D1,8.261956,26.779037,1.5633715566970935e-15,1.0365153420901729e-12
15,COX14,7.8115854,26.50038,3.9071842200304634e-14,2.4177655953548508e-11
16,NPLOC4,7.7794175,26.42943,4.892316952882932e-14,2.838155372291211e-11
17,GOSR2,7.7280188,26.508915,6.997254606686346e-14,3.820501015250745e-11
18,EMC9,7.6116433,26.459951,1.563121185061646e-13,8.060494910967888e-11
19,SP1,7.5075407,26.513165,3.183504759112731e-13,1.5552258512675983e-10
20,MS4A1,7.4091115,26.279875,6.195131949485315e-13,2.8751607377561346e-10
21,BTN2A1,7.399735,26.369146,6.598505277682541e-13,2.9165393327356826e-10
22,NUDT16,7.3632765,26.380466,8.427833085972242e-13,3.455809113961334e-10
23,ADAM10,7.3545413,26.329924,8.935511606881277e-13,3.455809113961334e-10
24,SOS1,7.3545413,26.329924,8.935511606881277e-13,3.455809113961334e-10
25,LAPTM5,7.346985,26.233252,9.398889994055348e-13,3.4896198769928695e-10
26,YIPF4,7.304414,26.267801,1.24869251803252e-12,4.449349734685316e-10
27,HNRNPUL1,7.2990303,26.245596,1.2942517004579136e-12,4.449349734685316e-10
28,EPSTI1,7.2592816,26.385077,1.6852523437706909e-12,5.519522996914992e-10
29,ZNF224,7.255809,26.318232,1.7244792815183665e-12,5.519522996914992e-10
30,SF3B6,7.228424,26.377934,2.0669875302974683e-12,6.395259418740367e-10
31,PUF60,7.2013226,26.25563,2.4716178556205035e-12,7.400502237377263e-10
32,SBNO2,7.160833,26.389675,3.225268380045469e-12,9.355294094869388e-10
33,CASP10,7.133676,26.208263,3.853107627016785e-12,1.0837740907263575e-09
34,CEBPD,7.1144423,26.334686,4.3690296417722e-12,1.1927450922038107e-09
35,MAEA,7.0997887,26.243366,4.807132425497635e-12,1.2748515192419729e-09
36,TMEM41A,7.09095,26.329924,5.091986733855737e-12,1.3128839128791375e-09
37,SUGP2,7.083276,26.327309,5.352736680214752e-12,1.3428135639392793e-09
38,SFSWAP,7.062512,26.29458,6.12585384584373e-12,1.4963204051874078e-09
39,IL17RC,6.9887652,26.208263,9.867211975659513e-12,2.3483964502069643e-09
40,PLEKHA7,6.969356,26.329924,1.1178993622135715e-11,2.5940854700165924e-09
41,SAFB2,6.960518,26.146355,1.1831749697575903e-11,2.678592699826818e-09
42,RIC8A,6.9427276,26.164719,1.326131281748495e-11,2.8970111113761414e-09
43,ZMYM2,6.940861,26.056816,1.3420758219044826e-11,2.8970111113761414e-09
44,DHX16,6.8764544,26.334686,2.0242325256774476e-11,4.270210523485925e-09
45,PNPLA7,6.853325,26.294065,2.344461202564004e-11,4.835841973822019e-09
46,CSAD,6.8144417,26.146355,2.998406287294231e-11,5.921533438013991e-09
47,UACA,6.8144417,26.146355,2.998406287294307e-11,5.921533438013991e-09
48,SLC66A1,6.80472,26.06249,3.18810581848424e-11,6.164999626493899e-09
49,FTX,6.7847347,26.081871,3.6158053758896254e-11,6.849368469185204e-09
50,HPS1,6.7671194,26.101011,4.039169221515951e-11,7.498313742822212e-09
51,MPND,6.751675,26.119917,4.450129246347293e-11,8.099235228352073e-09
52,COL6A3,6.740708,3.4724119,1.8328242620990686e-08,1.1089078651963983e-06
53,TPRA1,6.701894,26.151712,6.074309013940952e-11,1.08426415898846e-08
54,FLNA,6.689005,26.022985,6.581969603095248e-11,1.1527139972817e-08
55,SREBF1,6.678271,26.068146,7.036326301190788e-11,1.2094663097713498e-08
56,ARHGEF1,6.648622,25.973806,8.457299056594965e-11,1.4017973186306154e-08
57,DDX58,6.648622,25.973806,8.457299056594965e-11,1.4017973186306154e-08
