,names,scores,logfoldchanges,pvals,pvals_adj
0,LINC02739,9.266415,27.994495,2.010641854364157e-17,1.8662777692208106e-13
1,IGHG1,7.574401,3.833671,1.619546010752069e-06,0.0007158393367524145
2,GPM6A,6.4404626,26.95705,7.614306212823392e-10,3.5337995133713365e-06
3,SYNE2,6.2827735,26.986956,1.8077445718451437e-09,5.593161705288875e-06
4,HMGN1,5.964306,26.661589,9.929438105251473e-09,2.3041261123236046e-05
5,HSP90AB1,5.772274,26.532352,2.6949994909010812e-08,5.002997054908767e-05
6,BAZ2B,5.544409,26.600649,8.560381782937872e-08,0.00013242910618204887
7,EIF3G,5.3552036,26.43403,2.1804635171832848e-07,0.00028912946237850354
8,MCRIP2,5.303301,26.308878,2.806729159257829e-07,0.0002894673339581241
9,DCTN2,5.303301,26.308878,2.806729159257829e-07,0.0002894673339581241
10,SULT1A1,5.235736,26.377592,3.888694672151124e-07,0.0003609486394690673
11,Z93241.1,5.1451473,26.283758,5.992711742027692e-07,0.0005056759126318277
12,ARFGAP2,5.1147885,26.319048,6.91895256091081e-07,0.0005183199320382141
13,GBP2,5.090502,26.35356,7.758573708962917e-07,0.0005183199320382141
14,NAP1L1,5.060459,26.183918,8.934624986653119e-07,0.0005183199320382141
15,UACA,5.060459,26.183918,8.934624986653119e-07,0.0005183199320382141
16,MDH2,5.060459,26.183918,8.934624986653119e-07,0.0005183199320382141
17,PARP12,5.0225863,26.221516,1.0665282882436907e-06,0.0005499730873043325
18,SMIM5,5.0225863,26.221516,1.066528288243696e-06,0.0005499730873043325
19,MGAT4A,4.9922376,26.258226,1.22825529776174e-06,0.0006000350354644458
20,CBLC,4.935557,26.363443,1.5961865072812924e-06,0.0007158393367524145
21,SLC26A3,4.8982744,26.156677,1.8941600338572668e-06,0.0007644171058375283
22,EIF3A,4.8982744,26.156677,1.8941600338572668e-06,0.0007644171058375283
23,YPEL3,4.826111,26.26873,2.6310088859665906e-06,0.0010070704214485227
24,PRPF40A,4.8107023,26.04801,2.820925550275974e-06,0.0010070704214485227
25,AKAP13,4.8107023,26.04801,2.820925550275974e-06,0.0010070704214485227
26,CORO1A,4.718394,26.167889,4.2680837476058525e-06,0.00141486976233134
27,TUBB,4.682834,25.975292,4.99834327970331e-06,0.0014966007200711653
28,AQP3,4.682834,25.975292,4.99834327970331e-06,0.0014966007200711653
29,OGFR,4.682834,25.975292,4.99834327970331e-06,0.0014966007200711653
30,AATK,4.653712,26.23227,5.68479247552254e-06,0.0015751885356065818
31,GPT,4.6437573,26.018246,5.939624945726176e-06,0.0015751885356065818
32,FXYD3,4.6437573,26.018246,5.939624945726176e-06,0.0015751885356065818
33,LPP,4.6437573,26.018246,5.939624945726176e-06,0.0015751885356065818
34,ARPC5,4.5527215,25.898964,8.841248958490839e-06,0.0021595913903345253
35,GRAMD4,4.5131817,25.94407,1.0489399556116909e-05,0.0021636134817750547
36,CRACR2B,4.5131817,25.94407,1.0489399556116909e-05,0.0021636134817750547
37,TAX1BP1,4.5131817,25.94407,1.0489399556116943e-05,0.0021636134817750547
38,YBX1,4.5131817,25.94407,1.0489399556116943e-05,0.0021636134817750547
39,ITM2C,4.5131817,25.94407,1.0489399556116943e-05,0.0021636134817750547
40,ATP5MG,4.5131817,25.94407,1.0489399556116943e-05,0.0021636134817750547
41,MS4A1,4.5131817,25.94407,1.0489399556116943e-05,0.0021636134817750547
42,PRR5,4.444249,26.071962,1.4093336540826715e-05,0.0027345035618580506
43,AD000090.1,4.423122,26.018246,1.541799927999724e-05,0.0027345035618580506
44,KMT2B,4.4201455,25.818634,1.5613950525584645e-05,0.0027345035618580506
45,NSD3,4.4201455,25.818634,1.5613950525584645e-05,0.0027345035618580506
46,MAP2K3,4.4201455,25.818634,1.5613950525584645e-05,0.0027345035618580506
47,TRA2B,4.4201455,25.818634,1.5613950525584645e-05,0.0027345035618580506
48,DYRK2,4.4201455,25.818634,1.5613950525584645e-05,0.0027345035618580506
49,OSER1,4.380109,25.866133,1.849380115450498e-05,0.0030653475413592005
50,VARS2,4.380109,25.866133,1.849380115450498e-05,0.0030653475413592005
51,KCNK6,4.3500404,25.912203,2.0984733840910613e-05,0.003193119664120202
52,SNHG17,4.3500404,25.912203,2.0984733840910613e-05,0.003193119664120202
53,SLC22A23,4.3500404,25.912203,2.0984733840910613e-05,0.003193119664120202
54,BTG1,4.2848573,25.733847,2.7535274270581564e-05,0.003993475246555283
55,KMT2A,4.2848573,25.733847,2.7535274270581564e-05,0.003993475246555283
56,RASSF1,4.2848573,25.733847,2.7535274270581564e-05,0.003993475246555283
57,PSMB8,4.244285,25.784014,3.2557116429213086e-05,0.004379639923129795
58,FCSK,4.244285,25.784014,3.2557116429213086e-05,0.004379639923129795
59,ALDH3B1,4.244285,25.784014,3.2557116429213086e-05,0.004379639923129795
60,CALML4,4.244285,25.784014,3.2557116429213086e-05,0.004379639923129795
61,SLC17A4,4.244285,25.784014,3.2557116429213086e-05,0.004379639923129795
62,CCDC57,4.214358,25.832584,3.681095721848001e-05,0.00488113292717045
63,AC073111.4,4.1465683,25.644058,4.84973668141694e-05,0.005825679030787252
64,WDR34,4.1465683,25.644058,4.84973668141694e-05,0.005825679030787252
65,TECR,4.1465683,25.644058,4.84973668141694e-05,0.005825679030787252
66,YWHAB,4.1465683,25.644058,4.84973668141694e-05,0.005825679030787252
67,PIN4,4.1465683,25.644058,4.84973668141694e-05,0.005825679030787252
68,STK17B,4.1465683,25.644058,4.84973668141694e-05,0.005825679030787252
69,PEX26,4.1465683,25.644058,4.84973668141694e-05,0.005825679030787252
70,RHOA,4.141089,25.912203,4.958291784445086e-05,0.005825679030787252
71,HMGB2,4.1054215,25.697222,5.7237112303830726e-05,0.006400902125351323
72,CHDH,4.1054215,25.697222,5.7237112303830726e-05,0.006400902125351323
73,LIME1,4.1054215,25.697222,5.7237112303831044e-05,0.006400902125351323
74,ERAP2,4.1054215,25.697222,5.7237112303831044e-05,0.006400902125351323
75,LAPTM5,4.075684,25.74859,6.446780548875697e-05,0.006878047937317754
76,FLVCR1,4.075684,25.74859,6.446780548875723e-05,0.006878047937317754
77,NAPRT,4.075684,25.74859,6.446780548875723e-05,0.006878047937317754
78,PTPN6,4.0350575,25.733847,7.576391793538669e-05,0.007689343044625406
79,CTBP2,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
80,BDP1,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
81,AGO4,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
82,LPGAT1,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
83,DEK,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
84,BLVRB,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
85,BAZ1B,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
86,CYP2C9,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
87,TNRC6B,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
88,RNF44,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
89,CMIP,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
90,CLU,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
91,SPG11,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
92,TMBIM4,4.0049477,25.548626,8.532668967856247e-05,0.007689343044625406
93,SARAF,3.9631824,25.605177,0.00010050756162137527,0.008638066546014863
94,KPNB1,3.9631824,25.605177,0.00010050756162137527,0.008638066546014863
95,PDK2,3.9631824,25.605177,0.00010050756162137527,0.008638066546014863
96,BSG,3.9631824,25.605177,0.00010050756162137527,0.008638066546014863
97,HEPACAM2,3.9336987,25.659695,0.00011273454365222077,0.009512745765271939
98,YIPF4,3.9336987,25.659695,0.00011273454365222077,0.009512745765271939
99,TMEM176A,3.8628795,25.74859,0.00014813113798133474,0.010877299647996674
100,DVL3,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
101,GIGYF2,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
102,NFE2L2,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
103,COL3A1,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
104,CD47,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
105,CDK3,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
106,NONO,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
107,PANK3,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
108,RBM17,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
109,TRPM6,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
110,PAN3,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
111,IRAK1,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
112,BDH1,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
113,CHD3,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
114,RESF1,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
115,PPM1A,3.859605,25.446768,0.0001499993918275775,0.010877299647996674
116,PHF3,3.8171766,25.507181,0.0001763184981738119,0.012033737500362721
117,ITFG1,3.8171766,25.507181,0.0001763184981738119,0.012033737500362721
118,HECTD1,3.8171766,25.507181,0.00017631849817381276,0.012033737500362721
119,AGAP3,3.8171766,25.507181,0.00017631849817381276,0.012033737500362721
120,DNAJB1,3.8171766,25.507181,0.00017631849817381276,0.012033737500362721
121,KLHL24,3.8171766,25.507181,0.00017631849817381276,0.012033737500362721
122,DPP9,3.8171766,25.507181,0.00017631849817381276,0.012033737500362721
123,MTPN,3.7283623,25.605177,0.000246221212364052,0.016640793171091434
124,RNF103,3.7100816,25.337532,0.00026354197329782813,0.016640793171091434
125,PMM1,3.7100816,25.337532,0.00026354197329782813,0.016640793171091434
126,PCSK7,3.7100816,25.337532,0.00026354197329782813,0.016640793171091434
127,SLC6A4,3.7100816,25.337532,0.00026354197329782813,0.016640793171091434
128,SLC12A6,3.7100816,25.337532,0.00026354197329782813,0.016640793171091434
129,GALNT1,3.7100816,25.337532,0.00026354197329782813,0.016640793171091434
130,ZC3H15,3.7100816,25.337532,0.00026354197329782813,0.016640793171091434
131,CAPN9,3.7100816,25.337532,0.00026354197329782813,0.016640793171091434
132,XIAP,3.7100816,25.337532,0.00026354197329782813,0.016640793171091434
133,ATRN,3.7100816,25.337532,0.00026354197329782813,0.016640793171091434
134,DNAJB6,3.666942,25.40239,0.0003090855759117085,0.01793082697257799
135,COL16A1,3.666942,25.40239,0.0003090855759117085,0.01793082697257799
136,ABLIM1,3.666942,25.40239,0.0003090855759117085,0.01793082697257799
137,AL021155.5,3.666942,25.40239,0.0003090855759117085,0.01793082697257799
138,SEC63,3.666942,25.40239,0.0003090855759117085,0.01793082697257799
139,ANKS4B,3.666942,25.40239,0.0003090855759117085,0.01793082697257799
140,LARP1,3.666942,25.40239,0.0003090855759117085,0.01793082697257799
141,PCED1A,3.666942,25.40239,0.0003090855759117085,0.01793082697257799
142,LAMTOR5,3.666942,25.40239,0.0003090855759117085,0.01793082697257799
143,SLC10A2,3.666942,25.40239,0.0003090855759117085,0.01793082697257799
144,LTA4H,3.666942,25.40239,0.0003090855759117085,0.01793082697257799
145,DDC,3.666942,25.40239,0.0003090855759117085,0.01793082697257799
146,CYSTM1,3.666942,25.40239,0.0003090855759117085,0.01793082697257799
147,CLCN3,3.6382413,25.46457,0.00034339186643278226,0.019554376099564938
148,ANO10,3.6382413,25.46457,0.00034339186643278226,0.019554376099564938
149,CD58,3.6382413,25.46457,0.00034339186643278226,0.019554376099564938
150,RNASEK,3.5948682,25.446768,0.0004021087607264094,0.02275837510403983
151,RBX1,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
152,USP48,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
153,RDH5,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
154,RPRD1B,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
155,SNHG11,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
156,SMC1A,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
157,ADAM28,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
158,MED4,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
159,CELF1,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
160,APC,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
161,PLAC8,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
162,GABARAPL2,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
163,NDUFB5,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
164,NT5C2,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
165,BCAT2,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
166,PSMA6,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
167,CEPT1,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
168,OTUB1,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
169,SLF2,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
170,ERCC5,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
171,MAX,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
172,ODF3B,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
173,STRADB,3.5558267,25.219736,0.0004629210697051235,0.022855496643632744
174,USF2,3.511927,25.289759,0.0005415813929786379,0.02452174872989137
175,ABCC2,3.511927,25.289759,0.0005415813929786379,0.02452174872989137
176,HECTD4,3.511927,25.289759,0.0005415813929786379,0.02452174872989137
177,EMB,3.511927,25.289759,0.0005415813929786379,0.02452174872989137
178,SLC27A4,3.511927,25.289759,0.0005415813929786379,0.02452174872989137
179,TOP1,3.511927,25.289759,0.0005415813929786394,0.02452174872989137
180,LCP1,3.511927,25.289759,0.0005415813929786394,0.02452174872989137
181,DNAJC5,3.511927,25.289759,0.0005415813929786394,0.02452174872989137
182,LINC01578,3.511927,25.289759,0.0005415813929786394,0.02452174872989137
183,GBP4,3.511927,25.289759,0.0005415813929786394,0.02452174872989137
184,ID2,3.511927,25.289759,0.0005415813929786394,0.02452174872989137
185,NDUFB8,3.511927,25.289759,0.0005415813929786394,0.02452174872989137
186,SLC25A25-AS1,3.511927,25.289759,0.0005415813929786394,0.02452174872989137
187,NAMPT,3.511927,25.289759,0.0005415813929786394,0.02452174872989137
188,ANKLE2,3.511927,25.289759,0.0005415813929786394,0.02452174872989137
189,KIAA0895L,3.4838178,25.356663,0.0005983577512769705,0.02683070844131807
190,CD52,3.4838178,25.356663,0.0005983577512769705,0.02683070844131807
191,IGLC3,3.4673412,25.420717,0.0006341836986118826,0.02830044755055526
192,EIF2B5,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
193,IDS,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
194,PIP4K2B,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
195,DIDO1,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
196,P2RX4,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
197,EXOC7,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
198,TBC1D13,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
199,CCNG1,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
200,UBE2J1,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
201,GAS2L1,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
202,RSF1,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
203,PA2G4,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
204,SORBS3,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
205,PRMT2,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
206,STX7,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
207,STAU2,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
208,MYO5C,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
209,ZFR,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
210,ALG13,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
211,DSG2,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
212,C1orf52,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
213,PJA2,3.3961716,25.091887,0.0008132667521842861,0.02881199234265093
