,names,scores,logfoldchanges,pvals,pvals_adj
0,TFF3,-4.4713216,-1.9770508,0.0016790393013667723,0.04258153769203929
1,FAM192A,-4.5245886,-4.161257,0.0018436502253082665,0.04637604713092502
2,JCHAIN,-4.550575,-2.7655182,0.0016464159208853396,0.04228774328261168
3,MUC2,-4.5986767,-2.8031492,0.0015839379072292736,0.041767362655971925
4,FCGBP,-4.7048807,-2.6077213,0.0013353105789799034,0.037807354878995385
5,C1QA,-4.736817,-3.29707,0.0013236667075244707,0.037807354878995385
6,GPX2,-4.973959,-3.5433745,0.0009994322766919178,0.03277996605036884
7,AL627171.2,-5.048876,-1.7878484,0.0007348893555494656,0.02881199234265093
8,EIF4G2,-5.385418,-2.610844,0.0004734979512108546,0.023254010492799747
9,B2M,-5.469482,-2.0785286,0.0004861161954532667,0.02374805540103801
10,DDX5,-5.519708,-2.462591,0.0004110247036030825,0.022855496643632744
11,SPINK4,-6.4890356,-4.3217425,0.0001687824931056025,0.012033737500362721
12,DEFA6,-6.494827,-3.0891817,0.00013825051630154218,0.010877299647996674
13,TPT1,-6.723622,-2.0335205,7.688198448108392e-05,0.007689343044625406
14,PIGR,-6.903933,-3.2255182,8.936789548208222e-05,0.007976084671775838
15,MT-ND1,-7.039208,-2.0192382,6.413361854632831e-05,0.006878047937317754
16,MT-ND2,-7.482048,-1.5653497,1.7008718899373e-05,0.0029236097930366704
17,MT-CO3,-7.595233,-2.7191958,4.896903757215076e-05,0.005825679030787252
18,DEFA5,-8.117731,-3.197614,1.952066255116234e-05,0.0031725938638474363
19,MT-CO1,-8.241198,-2.5239995,1.9824439140611003e-05,0.0031725938638474363
20,MT-ND3,-8.56985,-1.96296,1.2638861853274294e-05,0.0025503025156976525
21,MT-ND4,-9.147643,-2.0270176,6.437634216093123e-06,0.0016149762376696318
22,MT-ATP6,-9.2898245,-2.1516693,6.399947650166551e-06,0.0016149762376696318
23,MT-CYB,-9.696809,-1.8943541,3.1675241235243275e-06,0.0010889244042426966
