Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	5/10	9.885828e-09	1.618310e-05	0	0	1.208902e+02	2.228269e+03	MTTP;APOC3;APOA4;P4HB;APOB
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	17/481	7.226329e-07	3.251177e-04	0	0	4.668203e+00	6.601009e+01	CD63;PIGR;MGAM;RAB5C;IDH1;OLFM4;EEF2;EEF1A1;CST3;FTH1;PSMD3;PSAP;ACAA1;PPIA;B2M;SPTAN1;FTL
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	17/485	8.099451e-07	3.251177e-04	0	0	4.627348e+00	6.490456e+01	CD63;PIGR;MGAM;RAB5C;IDH1;OLFM4;EEF2;EEF1A1;CST3;FTH1;PSMD3;PSAP;ACAA1;PPIA;B2M;SPTAN1;FTL
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	17/488	8.815910e-07	3.251177e-04	0	0	4.597162e+00	6.409150e+01	CD63;PIGR;MGAM;RAB5C;IDH1;OLFM4;EEF2;EEF1A1;CST3;FTH1;PSMD3;PSAP;ACAA1;PPIA;B2M;SPTAN1;FTL
GO_Biological_Process_2021	modulation by symbiont of host process (GO:0044003)	4/10	9.930289e-07	3.251177e-04	0	0	8.010101e+01	1.107197e+03	UBB;ENO1;B2M;UBA52
GO_Biological_Process_2021	very-low-density lipoprotein particle assembly (GO:0034379)	4/12	2.309981e-06	5.513612e-04	0	0	6.006970e+01	7.796008e+02	MTTP;APOC3;P4HB;APOB
GO_Biological_Process_2021	interleukin-12-mediated signaling pathway (GO:0035722)	6/46	2.357684e-06	5.513612e-04	0	0	1.821258e+01	2.359955e+02	CFL1;HNRNPA2B1;PSME2;P4HB;PPIA;SOD1
GO_Biological_Process_2021	cellular response to interleukin-12 (GO:0071349)	6/48	3.045991e-06	6.232858e-04	0	0	1.734356e+01	2.202924e+02	CFL1;HNRNPA2B1;PSME2;P4HB;PPIA;SOD1
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	18/621	5.562579e-06	1.011771e-03	0	0	3.801127e+00	4.599154e+01	HLA-DRB5;ACTN4;HLA-A;YWHAZ;HSP90B1;SOD1;IFI27;UBB;TMSB4X;PSMD3;CFL1;HNRNPA2B1;CANX;PSME2;P4HB;PPIA;B2M;UBA52
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled proton transport (GO:0042776)	4/17	1.074583e-05	1.759092e-03	0	0	3.695664e+01	4.228207e+02	ATP5F1A;ATP5F1B;ATP5PB;ATP5F1E
GO_Biological_Process_2021	retina homeostasis (GO:0001895)	5/36	1.238105e-05	1.842525e-03	0	0	1.947286e+01	2.200305e+02	PIGR;PRDX1;B2M;ACTB;SOD1
GO_Biological_Process_2021	amyloid fibril formation (GO:1990000)	6/63	1.519012e-05	2.072186e-03	0	0	1.276978e+01	1.416790e+02	CST3;UBB;APOA4;B2M;UBA52;ITM2B
GO_Biological_Process_2021	ATP synthesis coupled proton transport (GO:0015986)	4/19	1.727089e-05	2.174803e-03	0	0	3.202586e+01	3.512112e+02	ATP5F1A;ATP5F1B;ATP5PB;ATP5F1E
GO_Biological_Process_2021	response to host defenses (GO:0052200)	3/7	2.023429e-05	2.208236e-03	0	0	8.957982e+01	9.681905e+02	UBB;B2M;UBA52
GO_Biological_Process_2021	modulation by symbiont of host defense response (GO:0052031)	3/7	2.023429e-05	2.208236e-03	0	0	8.957982e+01	9.681905e+02	UBB;B2M;UBA52
GO_Biological_Process_2021	triglyceride catabolic process (GO:0019433)	4/23	3.842932e-05	3.931800e-03	0	0	2.527847e+01	2.569984e+02	FABP1;FABP2;FABP6;APOC3
GO_Biological_Process_2021	chylomicron remodeling (GO:0034371)	3/9	4.796092e-05	4.618354e-03	0	0	5.971386e+01	5.938617e+02	APOC3;APOA4;APOB
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	18/742	5.912818e-05	5.377380e-03	0	0	3.145933e+00	3.062819e+01	CD74;ACTN4;OLFM4;YWHAZ;HSP90B1;SOD1;FABP1;UBB;ARHGDIA;CFL1;DPEP1;CTNNB1;CALR;PPIA;PTMA;UBA52;TPT1;TGM2
GO_Biological_Process_2021	removal of superoxide radicals (GO:0019430)	3/10	6.809021e-05	5.866509e-03	0	0	5.118072e+01	4.910625e+02	PRDX1;APOA4;SOD1
GO_Biological_Process_2021	cristae formation (GO:0042407)	4/28	8.597888e-05	6.319809e-03	0	0	2.000707e+01	1.872944e+02	ATP5F1A;ATP5F1B;ATP5PB;ATP5F1E
GO_Biological_Process_2021	mucosal immune response (GO:0002385)	4/28	8.597888e-05	6.319809e-03	0	0	2.000707e+01	1.872944e+02	PIGR;DEFA6;DEFA5;APOA4
GO_Biological_Process_2021	cellular response to superoxide (GO:0071451)	3/11	9.304295e-05	6.319809e-03	0	0	4.478087e+01	4.156762e+02	PRDX1;APOA4;SOD1
GO_Biological_Process_2021	glycolytic process (GO:0006096)	4/29	9.908103e-05	6.319809e-03	0	0	1.920582e+01	1.770694e+02	LDHA;ENO1;ALDOB;GAPDH
GO_Biological_Process_2021	negative regulation of programmed cell death (GO:0043069)	12/381	9.987335e-05	6.319809e-03	0	0	4.031278e+00	3.713455e+01	FABP1;CD74;UBB;ARHGDIA;CFL1;DPEP1;CTNNB1;PTMA;YWHAZ;UBA52;TPT1;HSP90B1
GO_Biological_Process_2021	pyruvate metabolic process (GO:0006090)	5/55	1.003757e-04	6.319809e-03	0	0	1.206159e+01	1.110461e+02	LDHA;ENO1;ALDOB;GAPDH;PCK2
GO_Biological_Process_2021	triglyceride metabolic process (GO:0006641)	5/55	1.003757e-04	6.319809e-03	0	0	1.206159e+01	1.110461e+02	FABP1;FABP2;FABP6;APOC3;APOB
GO_Biological_Process_2021	entry into host (GO:0044409)	3/13	1.592797e-04	9.312174e-03	0	0	3.582108e+01	3.132500e+02	CTNND1;CTNNB1;PPIA
GO_Biological_Process_2021	triglyceride-rich lipoprotein particle remodeling (GO:0034370)	3/13	1.592797e-04	9.312174e-03	0	0	3.582108e+01	3.132500e+02	APOC3;APOA4;APOB
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	4/33	1.662701e-04	9.385661e-03	0	0	1.655340e+01	1.440459e+02	CANX;HLA-A;CALR;B2M
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	5/64	2.069412e-04	1.108803e-02	0	0	1.021703e+01	8.667186e+01	REG3A;DEFA6;REG1A;DEFA5;GAPDH
GO_Biological_Process_2021	acylglycerol catabolic process (GO:0046464)	4/35	2.099749e-04	1.108803e-02	0	0	1.548387e+01	1.311255e+02	FABP1;FABP2;FABP6;APOC3
GO_Biological_Process_2021	cell-cell junction assembly (GO:0007043)	5/66	2.392899e-04	1.224117e-02	0	0	9.881048e+00	8.238654e+01	CTNND1;CTNNA1;CTNNB1;RHOC;ACTB
GO_Biological_Process_2021	negative regulation of apoptotic process (GO:0043066)	13/485	2.530756e-04	1.255408e-02	0	0	3.417903e+00	2.830646e+01	CD74;YWHAZ;HSP90B1;SOD1;FABP1;UBB;ARHGDIA;CFL1;DPEP1;CTNNB1;PTMA;UBA52;TPT1
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	5/70	3.153831e-04	1.518477e-02	0	0	9.271107e+00	7.474109e+01	COX8A;NDUFA11;UQCRB;COX6A1;COX7C
