,names,scores,logfoldchanges,pvals,pvals_adj
0,IGLC3,13.531674,27.40382,1.1704368317674557e-38,1.0863994672465523e-34
1,MS4A1,12.282318,26.779736,1.4844548515887178e-32,6.88935496622324e-29
2,IGHG1,9.371192,2.7468204,2.0176083419056417e-12,1.2484960419712112e-09
3,OTUD4,8.895005,25.645397,2.403866138244817e-18,7.437561831729464e-15
4,CD79B,8.675199,25.680626,1.491346910588539e-17,3.460670506020705e-14
5,WDR81,8.478375,25.553217,7.398081126578672e-17,1.3733797803380646e-13
6,POU2AF1,8.19381,25.536438,7.090544364041448e-16,1.096907213117212e-12
7,C1QC,7.990918,25.540173,3.4119103340323392e-15,4.524193102926881e-12
8,ISCA1,7.5113187,25.083475,1.2220715012764263e-13,1.2603630749830875e-10
9,DHX58,7.5113187,25.083475,1.2220715012764263e-13,1.2603630749830875e-10
10,MUS81,7.4471173,25.11013,1.9444820239609893e-13,1.80486821464059e-10
11,CXCR4,7.3150496,25.244946,5.000296904461229e-13,4.219341442473557e-10
12,CIAO3,7.222569,25.028692,9.603368394937415e-13,7.379100081230129e-10
13,BCAR3,7.2121015,24.971823,1.0334874063347519e-12,7.379100081230129e-10
14,AIF1,7.1284924,25.017069,1.8514437897073228e-12,1.2275072325759549e-09
15,TNFRSF13C,6.921368,24.988682,7.6494245286759e-12,4.437622404698107e-09
16,PGM3,6.840606,24.905285,1.3168733695774638e-11,6.790677009121121e-09
17,EXOSC7,6.8001084,24.838018,1.7255510077138967e-11,8.429770765052837e-09
18,LINC02739,6.745372,2.270885,2.0612455623896794e-08,2.33762136796295e-06
19,ACVRL1,6.719961,24.805964,2.933796468989302e-11,1.361574941257935e-08
20,RAI1,6.688538,24.733932,3.606996475274908e-11,1.5942924420715092e-08
21,SPIB,6.610374,24.900126,6.007634220152603e-11,2.5346754923389304e-08
22,FMNL1,6.5572195,24.7397,8.473451094283418e-11,3.4195901329190735e-08
23,NFRKB,6.5364122,24.75939,9.688022906013754e-11,3.7468428589008195e-08
24,PRKRA,6.518043,24.77882,1.0900818286334472e-10,4.047255813350263e-08
25,WAS,6.435324,24.745447,1.8473465111655088e-10,6.123953684513661e-08
26,KLHDC4,6.391007,24.670338,2.4446784698404155e-10,6.876213805169314e-08
27,DROSHA,6.391007,24.670338,2.4446784698404155e-10,6.876213805169314e-08
28,IVD,6.391007,24.670338,2.4446784698404155e-10,6.876213805169314e-08
29,PRPSAP2,6.391007,24.670338,2.4446784698404155e-10,6.876213805169314e-08
30,WRNIP1,6.330448,24.612965,3.5750637796731624e-10,9.759924118507733e-08
31,GTPBP2,6.3065133,24.634398,4.15086670710781e-10,1.0702317993159637e-07
32,CYBB,6.3065133,24.634398,4.15086670710781e-10,1.0702317993159637e-07
33,LST1,6.2855134,24.655527,4.730018679372827e-10,1.186595496809151e-07
34,ACER3,6.2725954,24.553276,5.124743402368787e-10,1.2517860068628178e-07
35,TCL1A,6.2662306,24.736542,5.330904057783033e-10,1.268755165752362e-07
36,CD48,6.2451363,24.575586,6.073743359233918e-10,1.375036240497786e-07
