Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of necroptotic process (GO:0060544)	6/23	1.590754e-06	3.638054e-03	0	0	2.127499e+01	2.840488e+02	HSP90AA1;RIPK3;FLOT2;STUB1;SLC25A4;BIRC2
GO_Biological_Process_2021	regulation of programmed necrotic cell death (GO:0062098)	5/20	1.544784e-05	1.766460e-02	0	0	2.003364e+01	2.219335e+02	HSP90AA1;RIPK3;FLOT2;STUB1;BIRC2
GO_Biological_Process_2021	regulation of cellular response to stress (GO:0080135)	10/118	2.771972e-05	2.113167e-02	0	0	5.624569e+00	5.902066e+01	YWHAE;RANBP2;CHCHD2;HSP90AA1;PINK1;DNAJC7;DNAJB6;BAG1;ABCD1;EIF4G1
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	35/1025	4.446398e-05	2.259165e-02	0	0	2.223345e+00	2.227976e+01	APP;PRAG1;ARAF;ASB13;ACVR1B;PTPRF;C3;LGALS1;CAND1;IRAK1;STK36;PSMB3;CSK;JAK3;PAK2;PARP3;UBE2I;RIPK3;CSNK2A1;GOLM1;LIMK2;DAPK2;KRT10;PSMB8;CLK3;PPP1CA;PTP4A2;PPM1A;PINK1;PSMA2;STK25;CTDSP1;STK17B;PSME1;CDK16
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	28/742	4.939145e-05	2.259165e-02	0	0	2.445046e+00	2.424443e+01	HDAC2;PPP1R13B;MAGED1;ARAF;HSPB1;PHB2;FLCN;LGALS1;IRAK1;MCF2L;BAG1;JAK3;PAK2;BCL2L14;HSP90AA1;EGLN2;ARHGEF12;RIPK3;ANXA4;DAPK2;NR1H4;PINK1;TMBIM4;STK17B;NEURL1;NGEF;BIRC2;SLC27A4
GO_Biological_Process_2021	T cell receptor signaling pathway (GO:0050852)	11/158	6.873920e-05	2.620109e-02	0	0	4.550639e+00	4.361874e+01	PSMA2;PSMB3;NFKBIZ;PSME1;HLA-DRA;BTN3A3;CSK;RBCK1;PAK2;PSMB8;HLA-DQB1
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	19/437	1.404555e-04	4.276394e-02	0	0	2.795527e+00	2.479806e+01	PRR5;HDAC2;ARHGEF12;PPP1R13B;CSNK2A1;DAPK2;ARAF;HSPB1;CHD4;RCN3;FLCN;TMBIM4;MCF2L;TRAF5;MDM2;PIP4K2B;PAK2;NGEF;BIRC2
GO_Biological_Process_2021	positive regulation of collagen metabolic process (GO:0010714)	4/17	1.495896e-04	4.276394e-02	0	0	1.843809e+01	1.623956e+02	HDAC2;CREB3L1;SUCO;VSIR
GO_Biological_Process_2021	proteasomal protein catabolic process (GO:0010498)	12/205	1.707643e-04	4.339312e-02	0	0	3.784003e+00	3.282708e+01	RCN3;IFI27;UBE2B;PSMA2;PSMB3;ENC1;PSME1;MDM2;STUB1;RBCK1;PSMB8;BIRC2
GO_Biological_Process_2021	protein ubiquitination (GO:0016567)	21/525	2.005713e-04	4.347625e-02	0	0	2.567524e+00	2.186078e+01	RNF10;UBE2B;UHRF2;USP9X;USP22;PSMB8;PINK1;HERC2;CAND1;UBE2Q1;PSMA2;PSMB3;CDC16;NEURL1;ENC1;UBR5;PSME1;MDM2;STUB1;RBCK1;BIRC2
GO_Biological_Process_2021	NIK/NF-kappaB signaling (GO:0038061)	7/74	2.262652e-04	4.347625e-02	0	0	6.301125e+00	5.289040e+01	IRAK1;PSMA2;PSMB3;PSME1;ZFP91;BIRC2;PSMB8
GO_Biological_Process_2021	regulation of peptidyl-serine phosphorylation (GO:0033135)	8/98	2.281220e-04	4.347625e-02	0	0	5.371193e+00	4.504084e+01	BCAR3;APP;HSP90AA1;PINK1;ARAF;ATP2B4;INPP5K;EIF4G1
GO_Biological_Process_2021	protein polyubiquitination (GO:0000209)	15/314	2.606596e-04	4.522126e-02	0	0	3.065265e+00	2.529547e+01	UBE2B;ZFP91;PSMB8;IFI27;UBE2Q1;PSMA2;PSMB3;CDC16;UBR5;TRAF5;PSME1;MDM2;STUB1;RBCK1;BIRC2
GO_Biological_Process_2021	antigen receptor-mediated signaling pathway (GO:0050851)	11/185	2.768245e-04	4.522126e-02	0	0	3.839188e+00	3.145111e+01	PSMA2;PSMB3;NFKBIZ;PSME1;HLA-DRA;BTN3A3;CSK;RBCK1;PAK2;PSMB8;HLA-DQB1
GO_Biological_Process_2021	regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	12/224	3.849452e-04	5.066237e-02	0	0	3.441509e+00	2.705856e+01	ANKRD17;PPM1A;NDFIP2;PINK1;LGALS1;IRAK1;TRAF5;NR1H4;HSPB1;RBCK1;LTBR;BIRC2
GO_Biological_Process_2021	phosphorylation (GO:0016310)	17/400	4.060098e-04	5.066237e-02	0	0	2.717435e+00	2.122082e+01	APP;CSNK2A1;PRAG1;LIMK2;DAPK2;ACVR1B;CLK3;PINK1;IRAK1;STK36;STK25;STK17B;PI4KA;CSK;JAK3;PAK2;CDK16
GO_Biological_Process_2021	cellular response to tumor necrosis factor (GO:0071356)	11/194	4.151841e-04	5.066237e-02	0	0	3.648690e+00	2.841158e+01	PSMA2;PSMB3;TRAF5;PSME1;INPP5K;CD58;LTB;LTBR;GBP2;PSMB8;BIRC2
GO_Biological_Process_2021	positive regulation of peptidase activity (GO:0010952)	4/22	4.306114e-04	5.066237e-02	0	0	1.331301e+01	1.031799e+02	RCN3;PINK1;PSME1;VSIR
GO_Biological_Process_2021	proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	4/22	4.306114e-04	5.066237e-02	0	0	1.331301e+01	1.031799e+02	PSMA2;PSMB3;ENC1;PSMB8
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	5/39	4.430465e-04	5.066237e-02	0	0	8.829826e+00	6.818246e+01	NDUFB8;NDUFB5;NDUFS3;NDUFS1;NDUFV1
GO_Biological_Process_2021	positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	10/171	5.925666e-04	6.312558e-02	0	0	3.762779e+00	2.796139e+01	ANKRD17;PPM1A;NDFIP2;PINK1;LGALS1;IRAK1;TRAF5;RBCK1;LTBR;BIRC2
GO_Biological_Process_2021	ATP-dependent chromatin remodeling (GO:0043044)	5/42	6.285323e-04	6.312558e-02	0	0	8.112654e+00	5.980748e+01	HDAC2;SMARCD2;NASP;SMARCA5;CHD4
GO_Biological_Process_2021	activation of protein kinase activity (GO:0032147)	8/114	6.348441e-04	6.312558e-02	0	0	4.556720e+00	3.354717e+01	PRR5;CCDC88A;PINK1;IRAK1;RIPK3;ZFP91;PHB2;PAK2
GO_Biological_Process_2021	negative regulation of programmed necrotic cell death (GO:0062099)	3/11	6.775023e-04	6.456033e-02	0	0	2.240881e+01	1.635193e+02	RIPK3;SLC25A4;BIRC2
GO_Biological_Process_2021	tumor necrosis factor-mediated signaling pathway (GO:0033209)	8/116	7.122540e-04	6.515699e-02	0	0	4.471879e+00	3.240805e+01	PSMA2;PSMB3;TRAF5;PSME1;LTB;LTBR;BIRC2;PSMB8
GO_Biological_Process_2021	TOR signaling (GO:0031929)	4/26	8.352281e-04	6.916529e-02	0	0	1.089024e+01	7.718793e+01	PRR5;FLCN;CCDC88A;PINK1
GO_Biological_Process_2021	positive regulation of hydrolase activity (GO:0051345)	9/149	8.772666e-04	6.916529e-02	0	0	3.886599e+00	2.735660e+01	BCAR3;RCN3;FLCN;PINK1;FNTA;RIPK3;HMGB2;PKP4;CALM3
GO_Biological_Process_2021	posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	3/12	8.922630e-04	6.916529e-02	0	0	1.991793e+01	1.398587e+02	SGTA;CHMP4A;SEC63
GO_Biological_Process_2021	ubiquitin-dependent protein catabolic process (GO:0006511)	15/354	9.049555e-04	6.916529e-02	0	0	2.697998e+00	1.890656e+01	NDFIP2;UBE2I;UBE2B;USP9X;PSMB8;PINK1;IFI27;PSMA2;PSMB3;CDC16;PSME1;MDM2;STUB1;RBCK1;BIRC2
