Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	transcription, DNA-templated (GO:0006351)	62/221	1.473844e-07	7.566717e-04	0	0	2.312434e+00	3.637509e+01	GMEB2;ELL;CCNT1;CCNH;SCX;RSF1;TTF2;TTF1;PWP1;NAT14;CDC73;RO60;SNAPC2;PKNOX1;ABT1;GTF2F2;THAP1;ETV7;RRAGC;NFX1;MED20;POLR1C;TP53;GTF3C2;GTF3C3;CBFB;RNMT;WDR61;CREBL2;RPAP1;FOXO3;MLLT3;POLR2C;HSF1;POLR2D;LEO1;POLR2F;POLR2G;POLR2I;RREB1;POLR2K;ZNF141;BRF1;TAF12;GTF2H1;SSRP1;GTF2H4;GTF2H5;DRAP1;XAB2;CDK7;POLR3A;ERCC3;COPS2;ERCC2;TCEA2;NFE2L3;PAF1;POLR3H;ERCC6;TAF4;POLR3K
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	84/350	1.740620e-06	2.760819e-03	0	0	1.875335e+00	2.486932e+01	ATF2;MRE11;TRRAP;SETD7;SMC5;ASH2L;POLB;PIDD1;UFL1;ENDOV;HPF1;HERC2;SUMO1;MACROD1;POLI;TOPBP1;ZNF385A;MEN1;LIG1;DTX3L;KMT5C;NSMCE3;ZBTB38;METTL3;UBE2E2;CSNK1E;BAZ1B;SPIDR;INIP;REXO4;KIN;RAD51D;RAD51C;RNF169;SLFN11;NSMCE4A;WAC;CEP63;TP53;FAN1;EPHA2;RTEL1;PRKDC;USP10;PNKP;XPA;ZBTB1;IGHMBP2;XIAP;HTRA2;ZBTB4;FAAP20;VCPIP1;MRNIP;SLX4;OARD1;RBBP5;POLD1;ATRIP;MORC2;UBQLN4;PLK3;MBD4;INTS3;XRCC3;NFATC2;GTF2H1;USP28;GTF2H4;FANCG;MAPK12;BATF;HINFP;RAD52;RAD50;BCL6;ERCC3;TDP1;RFWD3;BAX;ATM;RAD1;NRDE2;RAD9A
GO_Biological_Process_2021	DNA repair (GO:0006281)	74/298	1.870300e-06	2.760819e-03	0	0	1.959825e+00	2.584893e+01	MDC1;MRE11;TRRAP;MPG;NUCKS1;TENT4A;POLB;ALKBH5;ENDOV;HPF1;HERC2;SUMO1;EME2;POLI;TOPBP1;MEN1;PIAS4;SLC30A9;LIG1;DTX3L;KMT5C;NSMCE3;CSNK1E;COMMD1;BAZ1B;INIP;REXO4;RAD51D;NEIL2;RAD51C;NSMCE4A;FANCD2;UBE2V2;UBE2V1;TP53;FAN1;PRKDC;PNKP;XPA;ZBTB1;IGHMBP2;FAAP20;VCPIP1;MAPK8;SLX4;POLD1;ATRIP;PMS1;CDKN2D;FANCI;MBD4;KDM4B;INTS3;EYA3;XRCC3;RPA2;GTF2H1;MLH1;GTF2H4;GTF2H5;MLH3;FANCG;HINFP;RAD52;SMUG1;RAD50;ERCC3;TDP1;RFWD3;ERCC2;ATM;RAD1;ERCC6;RAD9A
GO_Biological_Process_2021	transcription by RNA polymerase II (GO:0006366)	78/320	2.151009e-06	2.760819e-03	0	0	1.912760e+00	2.496070e+01	RARG;GMEB2;MAML2;ELL;CCNT1;CCNH;ICE2;ZC3H8;PHAX;RORA;TTF2;MED18;CDC73;LSM10;SNAPC5;SNAPC2;PKNOX1;TEAD1;TEAD2;ABT1;MED1;GTF2F2;MED7;ETV7;NFX1;MED20;RARA;NOTCH2;SLBP;HDAC5;CBFB;RNMT;ZBTB1;WDR61;RPAP1;MLLT3;NR2C1;HDAC7;POLR2C;POLR2D;LEO1;E2F2;POLR2F;RPRD1B;POLR2G;NRBF2;RPRD1A;POLR2I;RREB1;POLR2K;WWTR1;CPSF4;ZNF141;TAF12;INTS3;NR1H2;NR1D2;GTF2H1;NR1D1;RPRD2;SSRP1;POU2F2;GTF2H4;GTF2H5;DRAP1;CDK7;TFCP2;ERCC3;COPS2;ERCC2;INTS5;NFE2L3;INTS4;PAF1;CDK12;ERCC6;CDK13;TAF4
GO_Biological_Process_2021	protein modification by small protein conjugation (GO:0032446)	94/409	3.199497e-06	3.285243e-03	0	0	1.773240e+00	2.243595e+01	RNF14;CCNF;FBXO25;UBE2D1;TNFAIP1;CDC73;UFL1;HERC2;SUMO1;CDC27;ENC1;TRIM26;ARIH1;NUP214;PIAS4;ARRDC4;VPS18;MYLIP;PIAS3;ANAPC7;USP5;DTX3L;NUP133;EIPR1;FBXW7;COMMD1;UCHL3;NUP93;RRAGA;NFX1;KCTD13;TRIM13;SDE2;WAC;UBE2V2;CBLL1;KLHL18;NUP205;TRIM52;CUL5;UHRF2;PRKDC;MGRN1;DCUN1D1;UBR3;WDR61;RNF6;BCL10;UBR1;DTX3;VCPIP1;POM121C;RNF139;NUP85;DDRGK1;UBD;LEO1;TRIM47;NUP88;NUP43;NAE1;ATG7;TRIM44;RNF20;UBE2H;TRIM41;CRBN;RNF25;WWP1;FBXL15;KLHL3;PEX10;NUP153;FBXO32;PEX14;CNOT4;KLHL9;SPSB2;SPSB1;ITCH;UFM1;RFWD3;UVSSA;OTULIN;TRIM35;UBA3;PAF1;CCDC22;LZTR1;SAE1;ASB2;TRIM33;ASB1;NUP37
GO_Biological_Process_2021	DNA-templated transcription, elongation (GO:0006354)	25/69	6.696705e-06	5.730147e-03	0	0	3.348951e+00	3.989905e+01	CCNT1;ELL;CCNH;WDR61;MLLT3;CDC73;POLR2C;POLR2D;LEO1;POLR2F;POLR2G;POLR2I;POLR2K;GTF2H1;SSRP1;GTF2F2;GTF2H4;GTF2H5;CDK7;ERCC3;ERCC2;TCEA2;PAF1;CDK12;CDK13
GO_Biological_Process_2021	transcription elongation from RNA polymerase II promoter (GO:0006368)	24/67	1.273393e-05	7.543650e-03	0	0	3.288816e+00	3.706903e+01	CCNT1;ELL;CCNH;WDR61;GTF2H1;SSRP1;MLLT3;GTF2F2;GTF2H4;CDC73;GTF2H5;CDK7;ERCC3;POLR2C;POLR2D;ERCC2;LEO1;POLR2F;PAF1;POLR2G;CDK12;POLR2I;CDK13;POLR2K
GO_Biological_Process_2021	7-methylguanosine mRNA capping (GO:0006370)	15/32	1.322416e-05	7.543650e-03	0	0	5.191009e+00	5.831302e+01	CCNH;RNMT;GTF2H1;GTF2F2;GTF2H4;GTF2H5;CDK7;ERCC3;POLR2C;POLR2D;ERCC2;POLR2F;POLR2G;POLR2I;POLR2K
GO_Biological_Process_2021	7-methylguanosine RNA capping (GO:0009452)	15/32	1.322416e-05	7.543650e-03	0	0	5.191009e+00	5.831302e+01	CCNH;RNMT;GTF2H1;GTF2F2;GTF2H4;GTF2H5;CDK7;ERCC3;POLR2C;POLR2D;ERCC2;POLR2F;POLR2G;POLR2I;POLR2K
GO_Biological_Process_2021	negative regulation of protein localization to nucleus (GO:1900181)	11/19	1.506596e-05	7.734863e-03	0	0	8.082444e+00	8.973997e+01	ILRUN;LATS1;GSK3B;FLCN;UFM1;MDFIC;POLR1A;SIN3A;SUFU;OTUD7B;LILRB4
