,names,scores,logfoldchanges,pvals,pvals_adj
0,IGLC3,13.497046,27.4159,1.9122848264861784e-38,1.7749827759444708e-34
1,LRP1,12.531153,26.738321,1.0462478396265953e-33,4.855636223707029e-30
2,IGHG2,12.155717,27.314821,6.195859141868902e-32,1.6042170349669656e-28
3,CLCN7,12.145521,26.638632,6.913238676866905e-32,1.6042170349669656e-28
4,VIM,12.116728,26.766998,9.416352911631089e-32,1.7480517545151952e-28
5,CCS,12.089009,26.55441,1.2672267804089355e-31,1.9603998292926234e-28
6,LCN2,11.925503,27.337975,7.2297336206580335e-31,9.586626780992551e-28
7,NBEAL2,11.665064,26.474487,1.116076477263444e-29,1.294927732744911e-26
8,GK,11.615173,26.548977,1.8754733989482626e-29,1.8308714472120246e-26
9,NPLOC4,11.610316,26.412807,1.9724967110666073e-29,1.8308714472120246e-26
10,EHD1,11.390416,26.402233,1.903063818667933e-28,1.6058398513523415e-25
11,FLCN,11.255405,26.363579,7.528179341914974e-28,5.823046720971233e-25
12,RBM33,11.193392,26.342768,1.4098520365367216e-27,1.0066343540872193e-24
13,ARHGEF1,11.140742,26.394419,2.3965883671114576e-27,1.5889380873948964e-24
14,ANKHD1,10.85832,26.205595,3.991676948869714e-26,2.4700496959605792e-23
15,ZFAND2B,10.779896,26.330803,8.629852372854954e-26,5.00639310780248e-23
16,AKAP13,10.72375,26.166992,1.494692277007707e-25,8.16101983246208e-23
17,ABLIM1,10.652674,26.28915,2.986280853401896e-25,1.5399254934042442e-22
18,DDX42,10.599189,26.123009,5.015025771545704e-25,2.3779839749874326e-22
19,ACP5,10.596969,26.593906,5.123861182907633e-25,2.3779839749874326e-22
20,ABHD17A,10.527382,26.232435,1.002593867343356e-24,4.431464893657633e-22
21,LBH,10.448061,26.162706,2.1457086557995915e-24,9.052939883241732e-22
22,ABCD1,10.411096,26.189043,3.054103137904221e-24,1.204289903802979e-21
23,RAB5IF,10.409063,26.078802,3.1138717616108054e-24,1.204289903802979e-21
24,OSER1,10.383187,26.13901,3.984250847964061e-24,1.4792726548320965e-21
25,FKBP1A,10.350528,26.20118,5.434420069977943e-24,1.9400879649821257e-21
26,SUB1,10.28416,26.113905,1.0187036649499544e-23,3.502076821505732e-21
27,TRIM26,10.2585535,26.119635,1.2970595903823304e-23,4.299752542117425e-21
28,PLD3,10.193488,26.176832,2.391072984758756e-23,7.653082567079576e-21
29,SUGP2,10.178273,26.161459,2.757507135930716e-23,8.531727078569635e-21
30,FGD5-AS1,10.070915,25.982712,7.504356251303398e-23,2.2469495072451014e-20
31,JMJD1C,10.052989,26.038237,8.862426699399881e-23,2.570657644494678e-20
32,DTX3L,9.912133,26.005013,3.2474106242082253e-22,9.134080428454772e-20
33,FNBP4,9.889611,26.001104,3.991329056174076e-22,1.0896328323355227e-19
34,R3HDM4,9.883805,25.95751,4.20904098998808e-22,1.1162376705448387e-19
35,FAAP20,9.878797,25.945911,4.406292119058257e-22,1.136088984697187e-19
36,SNHG9,9.852195,25.870773,5.617873621543906e-22,1.4093271068965011e-19
37,AC004687.1,9.807268,26.140299,8.457060597451086e-22,2.0657483280405519e-19
38,RUSC1,9.796565,25.996574,9.320574013314662e-22,2.2182966151688897e-19
39,CD37,9.786729,26.03935,1.0190966024094844e-21,2.364813665891208e-19
40,TEPSIN,9.775499,25.972467,1.128335636884387e-21,2.5544418003807023e-19
41,SH3D21,9.758743,25.999107,1.3132585296011756e-21,2.841625458274994e-19
42,TUBGCP2,9.758478,25.914755,1.3164177408513763e-21,2.841625458274994e-19
43,TNRC6A,9.723144,25.968748,1.8116669640111536e-21,3.821793809079893e-19
44,PRR15,9.71306,26.007797,1.9841806554242763e-21,4.092703298588474e-19
45,PAG1,9.665453,25.942127,3.0452882700656515e-21,6.144862113641169e-19
46,ABTB1,9.642529,25.944752,3.7406856200953174e-21,7.387456154409518e-19
47,STOM,9.639177,26.142607,3.85471864121021e-21,7.454062172440245e-19
48,ABHD2,9.613005,26.025032,4.872259202339017e-21,9.22312917736197e-19
49,AFF1,9.610821,25.949713,4.9682876413283616e-21,9.22312917736197e-19
50,UBD,9.580985,26.041815,6.4846008450679184e-21,1.180197353802361e-18
51,TIMP1,9.566238,26.182356,7.395177174031961e-21,1.309564161256386e-18
52,MADD,9.564994,25.89232,7.477580321761307e-21,1.309564161256386e-18
53,CFDP1,9.547473,25.980175,8.73897471224117e-21,1.5021326533152321e-18
54,RIC8A,9.48488,25.82707,1.5222315708916223e-20,2.568973352912007e-18
55,UBE2Q1,9.458916,25.846445,1.914604100806604e-20,3.1177816252082277e-18
56,MRPL55,9.458916,25.846445,1.914604100806604e-20,3.1177816252082277e-18
57,TNFRSF10B,9.440876,25.843647,2.244618496908153e-20,3.5921636014312885e-18
58,RAD50,9.423841,25.752975,2.6077129439386933e-20,4.1025070416337205e-18
59,CKMT1B,9.394245,25.929241,3.38194847332346e-20,5.2318742882313924e-18
60,SAR1A,9.34387,25.925415,5.2561414441282224e-20,7.997951620393141e-18
61,RASGRP2,9.280004,25.877506,9.167010582491598e-20,1.3532148680231254e-17
62,WDR26,9.279781,25.714535,9.184716298799493e-20,1.3532148680231254e-17
63,RAD9A,9.261237,25.80618,1.0788122594621269e-19,1.5646149050511658e-17
64,SRSF9,9.243133,25.803305,1.2619987530887192e-19,1.802134219410691e-17
65,GPCPD1,9.232387,25.813175,1.3849556385020034e-19,1.9477512479659994e-17
66,CD6,9.219385,25.798845,1.5496463951219787e-19,2.146838483510777e-17
67,WIPF1,9.208774,25.808744,1.698311871478553e-19,2.318195704568225e-17
68,GM2A,9.1869755,25.888401,2.049404137600035e-19,2.7568940877106556e-17
69,IDO1,9.17923,26.231936,2.19071333589861e-19,2.904885883401557e-17
70,TRAC,9.173717,25.773308,2.2971404038126287e-19,3.00310665185758e-17
71,NFKB2,9.109998,25.723652,3.96760570528813e-19,5.1149050217339476e-17
72,TBC1D10C,9.102281,25.96128,4.2381865369495435e-19,5.388883210406255e-17
73,TP53INP1,9.096714,25.734049,4.444624786458246e-19,5.575000982149385e-17
74,CLEC2D,9.091416,25.738384,4.650346281750256e-19,5.755268558294116e-17
75,VAMP5,9.075898,25.684452,5.308579823869477e-19,6.483452358573221e-17
76,ARF3,9.070144,25.796263,5.575460437795115e-19,6.720964127742112e-17
77,Z93241.1,9.060693,25.69512,6.042795316472616e-19,7.190926426602413e-17
78,BAX,9.04388,25.76187,6.971863104056336e-19,8.19149789010771e-17
79,RNF114,9.030434,25.747047,7.815559128681694e-19,9.068002479052935e-17
80,SBF1,9.008939,25.651995,9.378478366473195e-19,1.074704150587706e-16
81,LCP1,8.994526,25.897093,1.0595723429206352e-18,1.1993842057304069e-16
82,HEXB,8.991272,25.79915,1.0891407754337372e-18,1.2180005635633674e-16
83,ACACB,8.981618,25.625307,1.1817694077032417e-18,1.305855195512082e-16
84,SOS1,8.918509,25.669186,2.011335301686121e-18,2.196378149441244e-16
85,DAP,8.907031,25.737057,2.214828844329984e-18,2.390469922450106e-16
86,HNRNPH2,8.882373,25.767769,2.723388252821168e-18,2.905573535940929e-16
87,YTHDF2,8.874331,25.68756,2.9129867218532913e-18,3.0725389491184376e-16
88,ENTPD4,8.871147,25.57531,2.9916301471705237e-18,3.1200349467457077e-16
89,RUFY3,8.868207,25.639603,3.0661065567117668e-18,3.1621778954887356e-16
90,IFI27L2,8.854034,25.650589,3.4515842034441655e-18,3.520615887513049e-16
91,KDM6B,8.834962,25.647406,4.046941943345014e-18,3.955454288861013e-16
92,CHKA,8.834962,25.647406,4.046941943345014e-18,3.955454288861013e-16
93,SYTL1,8.834962,25.647406,4.046941943345014e-18,3.955454288861013e-16
94,NAA60,8.83492,25.598143,4.048353344557167e-18,3.955454288861013e-16
95,RASSF1,8.823282,25.757286,4.4604841270370435e-18,4.3127305903289415e-16
96,OFD1,8.818597,25.60943,4.63791781240301e-18,4.438057024198427e-16
97,SRGN,8.816719,25.847708,4.7109348697534385e-18,4.461928312352185e-16
98,HERC1,8.806089,25.555515,5.1463661199155315e-18,4.776857032505666e-16
99,PIN4,8.806089,25.555515,5.146366119915606e-18,4.776857032505666e-16
100,GID8,8.800751,25.711512,5.379827427993275e-18,4.944114671943919e-16
101,AC073111.4,8.782513,25.511654,6.2592179065793286e-18,5.695888294987189e-16
102,ZC3H3,8.774983,25.705713,6.662384692821705e-18,6.003908225123404e-16
103,GGA2,8.770069,25.628536,6.939310811006028e-18,6.149522777592846e-16
104,FBXL15,8.769771,25.578648,6.95647373030865e-18,6.149522777592846e-16
105,NCOA3,8.750007,25.57531,8.192647329324609e-18,7.173976651961417e-16
106,UBE2V1,8.732203,25.634636,9.490721990707057e-18,8.232979581097466e-16
107,ADGRE5,8.72619,25.647406,9.973454086204445e-18,8.563692420098733e-16
108,SOX4,8.724077,25.612694,1.0148741286477485e-17,8.563692420098733e-16
109,SYK,8.724077,25.612694,1.0148741286477706e-17,8.563692420098733e-16
