Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	233/485	2.362527e-34	1.330575e-30	0	0	3.203430e+00	2.480357e+02	CYFIP1;LGALS3;PSMD7;PNP;PSMD2;ANPEP;FTH1;PSMD3;PSMD1;PRSS3;B2M;GOLGA7;ARSA;PRKCD;HLA-B;HLA-C;ARMC8;MIF;UNC13D;DYNC1LI1;CSNK2B;STXBP2;MGST1;IQGAP1;IQGAP2;GNS;PLAC8;NCSTN;CYB5R3;NEU1;MLEC;LTA4H;ATG7;ATP6V0A1;GSDMD;CTSA;XRCC6;JUP;XRCC5;FUCA1;FUCA2;SURF4;PA2G4;PRDX6;TOLLIP;CYSTM1;GPI;PIGR;PYGB;SERPINA1;HEXB;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;AP2A2;CTSS;ACTR1B;STBD1;TIMP2;CTSH;CD36;RAC1;CTSD;SPTAN1;CTSB;CAP1;SERPINB1;DBNL;ANXA2;MME;SYK;PGAM1;GAA;TUBB;NME2;RHOG;COMMD3;ANO6;TMC6;RHOF;DYNLL1;RHOA;SERPINB6;APRT;PSMA5;VAMP8;CEACAM1;PSMA2;ALDOC;CD47;ALDOA;ATP6V0C;PAFAH1B2;VAMP2;RAB7A;CD63;CSTB;GRN;CAB39;GSTP1;CST3;NRAS;PGRMC1;CREG1;PSMB1;ORMDL3;CD59;AGA;METTL7A;CD58;DYNC1H1;AOC1;GSN;PTGES2;TUBB4B;SVIP;ERP44;PSMC2;LAMTOR2;LAMTOR1;YPEL5;CD68;LAMTOR3;ACTR10;FRK;HSPA1A;GHDC;ATP8A1;TMEM179B;APEH;SRP14;STK10;LAMP1;LAMP2;TOM1;COTL1;SIRPA;CAPN1;OSTF1;ACAA1;KCMF1;DGAT1;IST1;ADAM10;ATP11B;ATP11A;OLFM4;ILF2;ARHGAP45;EEF1A1;ACLY;SLC27A2;PPIA;KPNB1;VCL;FTL;RAB5B;VCP;RAB5C;BRI3;PSMD13;COPB1;PSEN1;PLD1;RAP1B;SDCBP;RAP1A;DPP7;ALDH3B1;PSAP;RAB6A;SLC15A4;ATP6V1D;AP1M1;HSPA8;MGAM;RAB4B;TRAPPC1;IDH1;ARPC5;EEF2;NFKB1;IGF2R;DIAPH1;MAN2B1;HSP90AB1;B4GALT1;DDX3X;SNAP23;HMGB1;SLC2A5;ALAD;HEBP2;ADGRE5;NAPRT;ITGAV;SNAP29;DSP;ACTR2;HSP90AA1;DYNLT1;ATP6AP2;NDUFC2;DDOST;DNAJC3;PKM;NPC2;DNAJC5;TMBIM1;CAT;DNASE1;PDXK;CANT1;MVP;FGL2;AGPAT2;CAND1;MAPK1;STOM;TMEM30A;PDAP1;MAPK14;CPPED1;RAB10;GALNS;PFKL;TSPAN14;RAB14;VAPA;GLB1;RAB18
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	231/481	4.893095e-34	1.377896e-30	0	0	3.200298e+00	2.454631e+02	CYFIP1;LGALS3;PSMD7;PNP;PSMD2;ANPEP;FTH1;PSMD3;PSMD1;PRSS3;B2M;GOLGA7;ARSA;PRKCD;HLA-B;HLA-C;ARMC8;MIF;UNC13D;DYNC1LI1;CSNK2B;STXBP2;MGST1;IQGAP1;IQGAP2;GNS;PLAC8;NCSTN;CYB5R3;NEU1;MLEC;LTA4H;ATG7;ATP6V0A1;GSDMD;CTSA;XRCC6;JUP;XRCC5;FUCA1;FUCA2;SURF4;PA2G4;PRDX6;TOLLIP;CYSTM1;GPI;PIGR;PYGB;SERPINA1;HEXB;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;AP2A2;CTSS;ACTR1B;STBD1;TIMP2;CTSH;CD36;RAC1;CTSD;SPTAN1;CTSB;CAP1;SERPINB1;DBNL;ANXA2;MME;PGAM1;GAA;TUBB;NME2;RHOG;COMMD3;ANO6;TMC6;RHOF;DYNLL1;RHOA;SERPINB6;APRT;PSMA5;VAMP8;CEACAM1;PSMA2;ALDOC;CD47;ALDOA;ATP6V0C;PAFAH1B2;VAMP2;RAB7A;CD63;CSTB;GRN;CAB39;GSTP1;CST3;NRAS;PGRMC1;CREG1;PSMB1;ORMDL3;CD59;AGA;METTL7A;CD58;DYNC1H1;AOC1;GSN;PTGES2;TUBB4B;SVIP;ERP44;PSMC2;LAMTOR2;LAMTOR1;YPEL5;CD68;LAMTOR3;ACTR10;FRK;HSPA1A;GHDC;ATP8A1;TMEM179B;APEH;SRP14;STK10;LAMP1;LAMP2;TOM1;COTL1;SIRPA;CAPN1;OSTF1;ACAA1;KCMF1;DGAT1;IST1;ADAM10;ATP11B;ATP11A;OLFM4;ILF2;ARHGAP45;EEF1A1;ACLY;SLC27A2;PPIA;KPNB1;VCL;FTL;RAB5B;VCP;RAB5C;BRI3;PSMD13;COPB1;PSEN1;PLD1;RAP1B;SDCBP;RAP1A;DPP7;ALDH3B1;PSAP;RAB6A;SLC15A4;ATP6V1D;AP1M1;HSPA8;MGAM;RAB4B;TRAPPC1;IDH1;ARPC5;EEF2;NFKB1;IGF2R;DIAPH1;MAN2B1;HSP90AB1;B4GALT1;DDX3X;SNAP23;HMGB1;SLC2A5;ALAD;HEBP2;ADGRE5;NAPRT;ITGAV;SNAP29;DSP;ACTR2;HSP90AA1;DYNLT1;ATP6AP2;NDUFC2;DDOST;DNAJC3;PKM;NPC2;DNAJC5;TMBIM1;CAT;PDXK;CANT1;MVP;FGL2;AGPAT2;CAND1;MAPK1;STOM;TMEM30A;PDAP1;MAPK14;CPPED1;RAB10;GALNS;PFKL;TSPAN14;RAB14;VAPA;GLB1;RAB18
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	233/488	7.824526e-34	1.468924e-30	0	0	3.165115e+00	2.412787e+02	CYFIP1;LGALS3;PSMD7;PNP;PSMD2;ANPEP;FTH1;PSMD3;PSMD1;PRSS3;B2M;GOLGA7;ARSA;PRKCD;HLA-B;HLA-C;ARMC8;MIF;UNC13D;DYNC1LI1;CSNK2B;STXBP2;MGST1;IQGAP1;IQGAP2;GNS;PLAC8;NCSTN;CYB5R3;NEU1;MLEC;LTA4H;ATG7;ATP6V0A1;GSDMD;CTSA;XRCC6;ACE;JUP;XRCC5;FUCA1;FUCA2;SURF4;PA2G4;PRDX6;TOLLIP;CYSTM1;GPI;PIGR;PYGB;SERPINA1;HEXB;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;AP2A2;CTSS;ACTR1B;STBD1;TIMP2;CTSH;CD36;RAC1;CTSD;SPTAN1;CTSB;CAP1;SERPINB1;DBNL;ANXA2;MME;PGAM1;GAA;TUBB;NME2;RHOG;COMMD3;ANO6;TMC6;RHOF;DYNLL1;RHOA;SERPINB6;APRT;PSMA5;VAMP8;CEACAM1;PSMA2;ALDOC;CD47;ALDOA;ATP6V0C;PAFAH1B2;VAMP2;RAB7A;CD63;CSTB;GRN;CAB39;GSTP1;CST3;NRAS;PGRMC1;CREG1;PSMB1;ORMDL3;CD59;AGA;METTL7A;CD58;DYNC1H1;AOC1;GSN;PTGES2;TUBB4B;SVIP;ERP44;PSMC2;LAMTOR2;LAMTOR1;YPEL5;CD68;LAMTOR3;ACTR10;FRK;HSPA1A;GHDC;ATP8A1;TMEM179B;APEH;SRP14;STK10;LAMP1;LAMP2;TOM1;COTL1;SIRPA;CAPN1;OSTF1;ACAA1;KCMF1;DGAT1;IST1;ADAM10;ATP11B;ATP11A;OLFM4;ILF2;ARHGAP45;EEF1A1;ACLY;SLC27A2;PPIA;KPNB1;VCL;FTL;KMT2E;RAB5B;VCP;RAB5C;BRI3;PSMD13;COPB1;PSEN1;PLD1;RAP1B;SDCBP;RAP1A;DPP7;ALDH3B1;PSAP;RAB6A;SLC15A4;ATP6V1D;AP1M1;HSPA8;MGAM;RAB4B;TRAPPC1;IDH1;ARPC5;EEF2;NFKB1;IGF2R;DIAPH1;MAN2B1;HSP90AB1;B4GALT1;DDX3X;SNAP23;HMGB1;SLC2A5;ALAD;HEBP2;ADGRE5;NAPRT;ITGAV;SNAP29;DSP;ACTR2;HSP90AA1;DYNLT1;ATP6AP2;NDUFC2;DDOST;DNAJC3;PKM;NPC2;DNAJC5;TMBIM1;CAT;PDXK;CANT1;MVP;FGL2;AGPAT2;CAND1;MAPK1;STOM;TMEM30A;PDAP1;MAPK14;CPPED1;RAB10;GALNS;PFKL;TSPAN14;RAB14;VAPA;GLB1;RAB18
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	60/71	6.200118e-28	8.729766e-25	0	0	1.846791e+01	1.156974e+03	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COA6;COX8A;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;UQCRH;CYC1;NDUFV2;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	59/70	2.299891e-27	2.590598e-24	0	0	1.815612e+01	1.113640e+03	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COX8A;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;UQCRH;CYC1;NDUFV2;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	380/1025	1.531558e-25	1.437623e-22	0	0	2.057413e+00	1.175572e+02	APP;GMFB;PGAP1;ARAF;ZDHHC6;DCAF8;PPP2R2A;DCAF7;UBE2L3;DCAF6;PSMD8;GOLGA2;PSMD9;NUB1;PPP4R1;PSMD7;PPP4R2;PSMD4;PPP2R1B;PPP2R1A;PSMD2;PSMD3;CDK20;PSMD1;PDK3;FBXO7;PDK2;PDK1;SKP1;ATG3;WSB1;CSNK2A1;WSB2;DAPK2;ALG5;PRKCD;COG3;CSNK1D;PRKCA;CSNK1E;PHKA2;PRKAB1;BCR;PSME1;SIK3;PSME2;SPARCL1;PRKD2;TRIB1;UBA52;RPN2;EPAS1;CTBP1;RPN1;DCUN1D1;ZC3HAV1;MTMR4;HIF1A;PRKCZ;TGOLN2;UGCG;NUAK2;STK38L;PSMF1;APOB;ATG7;ATG5;LHPP;CDK18;NUS1;YES1;ICMT;INSR;FUCA2;EIF2AK2;PTK6;SRPK1;PPP5C;WNK1;WNK2;CDK10;FBXL3;BAP1;CDK16;PIGS;ARF4;PIGT;SERPINA1;GPAA1;PRKAG2;AATK;MIA3;PTPRJ;PTPRK;PTPRH;WDR45;PRSS23;TRIOBP;PTPRF;DDA1;IKBKB;ANKRD9;PPP3CA;UBL5;SERP1;FASTK;ELOB;RAB8A;JAK1;DUSP5;BRD2;MAP4K2;PARP6;PARP3;PARP4;RIPK3;SYK;DUSP1;STRADB;MINK1;SIRT7;TYK2;PARP9;SUMF2;SUMF1;PARP8;DDB1;PSMA5;PSMA6;PSMA3;PSMA4;B3GNT8;PSMA1;MMP15;PSMA2;RARA;PICK1;FAM20C;SGK3;GAS6;SGK1;CHST5;PIGH;WDR45B;NEDD8;PSMA7;CAMKK2;PSMB6;CST3;PPP2CA;PPP2CB;PSMB4;PAK1;PSMB5;PSMB2;PSMB3;PSMB1;GCNT2;MGAT1;AGA;APOL1;MAP4K5;PAK4;EGLN3;GOLM1;CSNK1A1;MCRS1;GLYCTK;WWP2;KRT10;HIPK1;PSMB8;HIPK3;RAB11A;PSMB9;PPP1CA;KTN1;RAB11B;SPSB3;PDP1;PSMC5;PSMC6;TAOK3;PSMC4;PSMC1;STK17B;PSMC2;TAOK2;NUCB1;PKN2;COQ8B;COQ8A;FRK;ENGASE;PNPLA2;PRAG1;UBE2D2;UBE2D3;MPI;PARK7;FBXO21;FBXO22;CDC14B;PPP1CB;STK10;PPP1CC;STK11;PIM1;PIM3;SBF1;LARGE1;TGM2;MEN1;RAB2A;CSNK1G3;MORC3;FBXW5;IGFBP4;APLP2;DYRK1A;SHISA5;ADAM10;LMTK2;DYRK1B;PRPF4B;LMO7;FBXO11;PDIA6;FBXW2;NRBP1;RBX1;CTDNEP1;ERN2;ILF3;MAPKAPK2;TNIK;PHPT1;CSNK1G2;UBA7;CUL5;PSMD13;CUL3;STK39;FUT2;FUT4;HSP90B1;TIMM50;MTM1;FUT6;COP1;GRK2;IRAK1;MAN2A2;OARD1;MAN2A1;STK38;ABL1;IGFBP7;NAE1;MARK3;MARK2;WDTC1;UBE2I;NEK7;OGA;ISG15;B3GALT5;BTBD6;FBXO32;SSH2;CLK3;FBXO31;PTPRD;BMP2;COPS6;COPS5;STK24;CDK5;PTPRA;STK25;CDK3;COPS2;AAK1;STT3A;UBA3;CPE;MAN2B1;MELTF;STT3B;MAP3K13;RAB5A;MAP3K11;UBE2M;BMPR1A;ST6GALNAC1;GSK3A;DYRK2;BMPR2;PRKCSH;MAST2;NGLY1;PTEN;PIK3CD;ILK;PTPN22;DUSP16;UFL1;PPP6C;ILKAP;DSP;PDPK1;APOA1;PPP2R5A;PPP2R5D;OXSR1;PPP2R5C;RABGGTA;YWHAZ;DDOST;TGFBR2;DNAJC3;LATS1;PPM1A;PTP4A2;PPM1B;RCN1;NPC1;CTDSP1;DAD1;PEAK1;CTDSP2;ATG4B;BIRC6;B4GALT5;RAB1A;PRKAA1;CAMK2D;ROCK2;RAB1B;ASB13;TULP4;PDXP;GLRX;RNF7;ACVR1B;THBS1;PSMB10;PPM1G;CAND1;TNKS2;MKNK2;ERBB2;PTK2B;MAPK1;DCAF11;MAPK6;MAPK3;MBTPS1;PTPN18;SLC35A1;ATE1;USP25;CDK11A;FEM1B;CDC42BPG;LAMB1;FBXL15;CDC42BPB;BCKDK;CUL4A;PINK1;SNRK;ASB8;MGAT4A;PTPN9;CD247;P4HB;METAP1;CUL4B;METAP2
GO_Biological_Process_2021	regulation of mRNA catabolic process (GO:0061013)	80/122	1.246877e-23	1.003202e-20	0	0	6.464570e+00	3.409338e+02	YWHAB;FMR1;HSPB1;PSMD8;PSMD9;ZFP36;PSMD7;XPO1;PSMD4;KHSRP;PSMD2;PSMD3;PSMD1;TNPO1;UPF1;PCID2;DIS3;PRKCD;RC3H1;PRKCA;GTPBP1;YWHAZ;PSMA5;PSMA6;CARHSP1;PSMA3;PSMA4;XRN1;PSMA1;PSMA2;MAPKAPK2;PSME1;PSME2;PKP3;PABPC1;UBA52;SET;ANP32A;PSMD13;ZC3HAV1;ZFP36L2;PSMA7;PSMB10;ZFP36L1;FXR1;PSMB6;EXOSC6;PSMB4;FXR2;PSMB5;UBB;PSMB2;PCBP4;PSMB3;UBC;PSMB1;PSMF1;IGF2BP2;HSPA8;YTHDF1;YTHDF2;YTHDF3;PUM1;PSMB8;PUM2;PSMB9;MOV10;PSMC5;CNOT7;PSMC6;CNOT1;PSMC4;PSMC1;PSMC2;SERBP1;HNRNPD;VIM;CNOT8;EIF4G1;HSPA1A
GO_Biological_Process_2021	regulation of mRNA stability (GO:0043488)	90/146	1.462507e-23	1.029605e-20	0	0	5.461580e+00	2.871661e+02	FASTKD1;CELF1;YWHAB;FMR1;HNRNPU;HSPB1;YBX1;PSMD8;PSMD9;ZFP36;PSMD7;XPO1;PSMD4;KHSRP;PSMD2;PSMD3;PSMD1;METTL16;TNPO1;PCID2;DIS3;PRKCD;CIRBP;RC3H1;PRKCA;TENT5A;YWHAZ;PSMA5;PSMA6;CARHSP1;PSMA3;PSMA4;XRN1;PSMA1;PDE12;PSMA2;MAPKAPK2;PSME1;PSME2;PABPC1;UBA52;SET;ANP32A;PSMD13;ROCK2;GIGYF2;ZFP36L2;PSMA7;PSMB10;ZFP36L1;TBRG4;FXR1;PSMB6;EXOSC6;PSMB4;RIDA;FXR2;LARP1;PSMB5;UBB;PSMB2;PCBP4;PSMB3;UBC;PSMB1;PSMF1;IGF2BP2;PAIP1;HSPA8;NPM1;YTHDF1;TAF15;YTHDF2;YTHDF3;FUS;MEX3D;PUM1;PSMB8;PUM2;PSMB9;PSMC5;PSMC6;PSMC4;PSMC1;PSMC2;SERBP1;HNRNPD;VIM;EIF4G1;HSPA1A
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	129/251	7.852767e-23	4.914087e-20	0	0	3.609023e+00	1.836942e+02	HNRNPU;HNRNPR;CWC25;CCAR1;PNN;RAVER1;MAGOH;RAVER2;PAPOLA;MTREX;SNRPD3;TXNL4A;SRRM2;AQR;IK;PRPF4B;WBP11;SRRM1;PRPF6;DDX39B;HNRNPUL1;PSPC1;PRPF3;SNRPG;SRSF2;CD2BP2;SRSF3;SRSF4;SRSF5;SNRNP200;SNRPC;SRSF6;SRSF7;SNRPA;SRSF8;SF1;SNRPB;SRSF9;ZCCHC8;DDX5;DHX8;RBM8A;DHX9;YTHDC1;SNU13;PRPF8;PCBP1;PCBP2;DHX38;SYMPK;HSPA8;CPSF7;PRPF38A;FUS;NONO;CPSF2;CWC15;LSM4;HNRNPL;HNRNPM;LSM8;LSM7;HNRNPK;HNRNPF;HNRNPD;RNPS1;HNRNPC;DDX46;DDX42;PPWD1;YBX1;PQBP1;SYNCRIP;UBL5;PTBP1;RBM4;SART1;PCF11;SNRNP70;DHX15;DHX16;RBM5;RBM6;RBM17;RBM14;NCBP2;BUD31;PRPF40A;TFIP11;WDR33;SFPQ;HNRNPH1;SYF2;FRG1;HNRNPH2;SNRPA1;HNRNPH3;PABPC1;DNAJC8;SF3B4;SF3B2;SF3B6;DDX23;PRCC;SRSF1;U2AF1L4;PABPN1;POLR2A;PUF60;POLR2C;TRA2B;TRA2A;POLR2E;POLR2F;RALY;SNRPB2;POLR2H;HNRNPA1;POLR2I;SF3B1;SRSF10;POLR2J;SRSF11;HNRNPA0;POLR2L;SF3A1;HNRNPA3;SF3A2;HNRNPA2B1
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	136/274	3.566371e-22	2.008580e-19	0	0	3.365459e+00	1.662043e+02	HNRNPU;HNRNPR;CWC25;CCAR1;PNN;RAVER1;MAGOH;RAVER2;PAPOLA;MTREX;SNRPD3;TXNL4A;DDX17;SRRM2;AQR;IK;SCAF11;PRPF4B;WBP11;SRRM1;WDR77;PRPF6;DDX39B;HNRNPUL1;PSPC1;CLNS1A;PRPF3;SNRPG;SRSF2;CD2BP2;SRSF3;SRSF4;SRSF5;SNRNP200;SNRPC;SRSF6;SRSF7;SNRPA;SRSF8;SF1;SNRPB;SRSF9;ZCCHC8;DDX5;DHX8;RBM8A;DHX9;YTHDC1;DDX1;SNU13;PRPF8;PCBP1;PCBP2;DHX38;SYMPK;HSPA8;CPSF7;PRPF38A;FUS;NONO;CPSF2;CWC15;LSM4;SRPK1;HNRNPL;HNRNPM;LSM8;LSM7;HNRNPK;HNRNPF;HNRNPD;RNPS1;HNRNPC;DDX46;DDX42;PPWD1;YBX1;PQBP1;SYNCRIP;UBL5;PTBP1;RBM4;SART1;PCF11;SNRNP70;DHX15;DHX16;RBM5;RBM6;RBM17;RBM14;NCBP2;BUD31;PRPF40A;TFIP11;WDR33;SFPQ;HNRNPH1;SYF2;FRG1;STRAP;HNRNPH2;SNRPA1;HNRNPH3;PABPC1;DNAJC8;SF3B4;SF3B2;SF3B6;DDX23;PRCC;SRSF1;U2AF1L4;PABPN1;POLR2A;PUF60;POLR2C;TRA2B;TRA2A;POLR2E;POLR2F;RALY;SNRPB2;POLR2H;HNRNPA1;POLR2I;SF3B1;SRSF10;POLR2J;SRSF11;HNRNPA0;POLR2L;SF3A1;HNRNPA3;SF3A2;HNRNPA2B1
