,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG1,9.169958,2.5971465,4.149543850877999e-14,8.957224656709205e-12
1,CD79B,8.483034,25.641844,7.21614926896931e-17,3.044558977935143e-14
2,MMP12,7.4019074,25.339493,2.7115607555582093e-13,4.6608716542761664e-11
3,CR2,7.373236,25.395563,3.3288217834059024e-13,5.5175221059952834e-11
4,MUC1,7.2881436,2.7841966,1.3731618747508856e-11,1.3705041420900774e-09
5,ICAM1,7.165299,25.259089,1.4429730638114555e-12,2.0326109682170454e-10
6,CD19,7.0523744,25.114882,3.1514306328485098e-12,3.7989063810519306e-10
7,IGHG4,6.9520416,2.1233635,1.2483789624967408e-09,6.201983854013683e-08
8,MS4A1,6.912803,3.374246,1.0534947986155925e-10,7.352284752443557e-09
9,PRKCB,6.8247747,24.835663,1.4720158015209515e-11,1.4535373052890926e-09
10,IKZF1,6.7810855,24.872772,1.96880654391646e-11,1.8459052869325841e-09
11,CXCL10,6.779481,25.137934,1.9898887229551445e-11,1.8470147126469652e-09
12,COL7A1,6.318493,24.892805,3.8681249435446864e-10,2.272400995315303e-08
13,TCL1A,6.2674723,24.75284,5.311286660532112e-10,2.9698411315095824e-08
14,CALHM6,6.1213326,24.767471,1.3006138887928112e-09,6.353841113565723e-08
15,CNTRL,6.048132,24.537296,2.0226312340696277e-09,9.158079568114284e-08
16,IGHG3,6.0200853,2.225823,5.269746195465243e-08,1.4015410941635642e-06
17,VAV1,5.711196,24.511133,1.4527335969758304e-08,4.921267608441482e-07
18,FCRL1,5.6374044,24.389296,2.207475709998404e-08,6.922226196015266e-07
19,HLA-DOB,5.5925446,24.326529,2.8401201710695495e-08,8.671709022324855e-07
20,APBA2,5.5711684,24.3528,3.200468412553941e-08,9.582821872685703e-07
21,PPM1K,5.4265966,24.20447,7.102850044141893e-08,1.7770526714211605e-06
22,CSF2RB,5.416532,24.3528,7.502978256312702e-08,1.8571371780025199e-06
23,IGKC,5.383726,1.1931772,7.809029436931037e-07,1.246118173266458e-05
24,NUP188,5.32871,24.154394,1.2057456222201343e-07,2.7430712905508055e-06
25,BASP1,5.3029227,24.183893,1.3841475216663387e-07,3.0662666577820895e-06
26,PSIP1,5.229191,24.10255,2.046918253513955e-07,4.288825108152716e-06
27,CHTF18,5.20323,24.133099,2.3465265084498488e-07,4.7764164586472584e-06
28,CEP250,5.159652,24.01644,2.9472640337327055e-07,5.6874230272571666e-06
29,PACS1,5.159652,24.01644,2.9472640337327055e-07,5.6874230272571666e-06
30,PREX1,5.0804744,24.11149,4.4400720527774215e-07,7.910316467155565e-06
31,BANK1,5.0804744,24.11149,4.4400720527774215e-07,7.910316467155565e-06
32,DRAM1,5.0804744,24.11149,4.440072052777472e-07,7.910316467155565e-06
33,SPIDR,5.024865,23.993029,5.900980270597479e-07,9.940635003935718e-06
34,KLHL6,5.024865,23.993029,5.900980270597479e-07,9.940635003935718e-06
35,TAGAP,4.9524965,23.900024,8.509070273229331e-07,1.3251877563106485e-05
36,LTV1,4.9524965,23.900024,8.509070273229331e-07,1.3251877563106485e-05
37,MAPRE1,4.91984,23.935041,1.0021716132603163e-06,1.5274477691760683e-05
38,CMTM3,4.91984,23.935041,1.0021716132603163e-06,1.5274477691760683e-05
39,DOK3,4.879822,24.09763,1.2230722493023908e-06,1.7991373404159733e-05
40,IGLC2,4.8309975,1.8565307,6.4791045678158084e-06,6.865188196171956e-05
41,ZKSCAN8,4.8127413,23.874664,1.7023957362038806e-06,2.3444565613419018e-05
42,SLC2A6,4.7650213,23.945057,2.148563283379346e-06,2.8408781191349137e-05
43,ST3GAL5,4.737132,23.773558,2.459315048480338e-06,3.179298367687256e-05
44,CCDC32,4.737132,23.773558,2.459315048480338e-06,3.179298367687256e-05
45,SLAMF8,4.7181325,23.96924,2.6952915012713286e-06,3.413055349904567e-05
46,SH2B2,4.703428,23.811691,2.8927111967856267e-06,3.601038778912337e-05
47,SPSB2,4.703428,23.811691,2.8927111967856267e-06,3.601038778912337e-05
48,CD79A,4.673154,2.7555895,7.82918841511384e-06,7.950823508652808e-05
49,ERCC2,4.6260133,23.705976,4.183386910619177e-06,4.787940481426289e-05
50,HSPBP1,4.5917435,23.745888,4.917049598601914e-06,5.478998124156418e-05
51,NFATC2,4.5123787,23.635118,7.11956174412723e-06,7.375420994306802e-05
52,TTLL4,4.5123787,23.635118,7.11956174412723e-06,7.375420994306802e-05
53,SYNE3,4.5123787,23.635118,7.11956174412723e-06,7.375420994306802e-05
54,PTGS1,4.4775114,23.676983,8.361643549094476e-06,8.390570315967018e-05
55,FCRLA,4.429919,23.75728,1.0395552804618568e-05,0.00010103824202352832
56,DAPP1,4.396032,23.56065,1.2123572276472567e-05,0.0001136676746163822
57,CDC42EP3,4.396032,23.56065,1.2123572276472567e-05,0.0001136676746163822
58,PHACTR1,4.396032,23.56065,1.2123572276472567e-05,0.0001136676746163822
59,CMKLR1,4.396032,23.56065,1.2123572276472567e-05,0.0001136676746163822
60,CERS4,4.396032,23.56065,1.2123572276472567e-05,0.0001136676746163822
61,MYO18A,4.396032,23.56065,1.2123572276472567e-05,0.0001136676746163822
62,SLFN13,4.396032,23.56065,1.2123572276472567e-05,0.0001136676746163822
63,GRK3,4.396032,23.56065,1.2123572276472567e-05,0.0001136676746163822
64,GNG7,4.396032,23.56065,1.2123572276472567e-05,0.0001136676746163822
65,HAUS5,4.3605337,23.604671,1.4226671489585782e-05,0.00012925601950559986
66,C12orf4,4.3605337,23.604671,1.4226671489585782e-05,0.00012925601950559986
67,SLC39A8,4.3605337,23.604671,1.4226671489585782e-05,0.00012925601950559986
68,CD83,4.313116,23.688923,1.758452103652832e-05,0.00015231011259521154
69,ZNF267,4.276751,23.48218,2.06588883221028e-05,0.00017353466190566354
70,ATP8B2,4.276751,23.48218,2.06588883221028e-05,0.00017353466190566354
71,PRDM1,4.276751,23.48218,2.06588883221028e-05,0.00017353466190566354
72,KREMEN1,4.276751,23.48218,2.06588883221028e-05,0.00017353466190566354
73,WDFY4,4.2657766,23.717682,2.1683139203381165e-05,0.00018115472374958052
74,TSPAN11,4.240586,23.528593,2.4220433492746726e-05,0.00019893544935092145
75,APBB1,4.240586,23.528593,2.4220433492746817e-05,0.00019893544935092145
76,SIT1,4.2133822,23.573576,2.727722823192425e-05,0.00021891991318289137
77,TIMM10,4.2133822,23.573576,2.727722823192425e-05,0.00021891991318289137
78,DCAKD,4.2133822,23.573576,2.727722823192425e-05,0.00021891991318289137
79,SUSD3,4.1590505,23.604671,3.4516128125442994e-05,0.0002681512805212831
80,IL27RA,4.1542826,23.39925,3.523194377943902e-05,0.0002702668612898785
81,MAD2L2,4.1542826,23.39925,3.523194377943902e-05,0.0002702668612898785
82,FCF1,4.1542826,23.39925,3.523194377943902e-05,0.0002702668612898785
83,FBXO41,4.1174107,23.448332,4.126446724001443e-05,0.00030764400395326424
84,PTGES,4.1174107,23.448332,4.126446724001443e-05,0.00030764400395326424
85,POLR1A,4.1174107,23.448332,4.126446724001443e-05,0.00030764400395326424
86,METTL15,4.0901704,23.495815,4.633845086551768e-05,0.00033840558688728173
87,MMD,4.0283356,23.31132,6.0142713790614114e-05,0.00041505179881373987
88,CLIP4,4.0283356,23.31132,6.0142713790614114e-05,0.00041505179881373987
89,SOCS3,3.9907143,23.363398,7.036275627175936e-05,0.0004698612256938636
90,IRAK3,3.898572,23.217743,0.00010278292531949651,0.0006411499414083108
91,FRAT2,3.898572,23.217743,0.00010278292531949651,0.0006411499414083108
92,IFITM10,3.898572,23.217743,0.00010278292531949651,0.0006411499414083108
93,HHEX,3.898572,23.217743,0.00010278292531949651,0.0006411499414083108
94,IL21R,3.898572,23.217743,0.00010278292531949651,0.0006411499414083108
95,CWC27,3.898572,23.217743,0.00010278292531949651,0.0006411499414083108
96,SLC29A2,3.898572,23.217743,0.00010278292531949651,0.0006411499414083108
97,FP565260.1,3.8601556,23.273209,0.0001201013295778529,0.0007229445792098772
98,VCAN,3.8601556,23.273209,0.0001201013295778529,0.0007229445792098772
99,LEF1,3.8601556,23.273209,0.0001201013295778529,0.0007229445792098772
100,CCDC106,3.7645962,23.11774,0.0001758893274071799,0.000979366968802306
101,GPATCH11,3.7645962,23.11774,0.0001758893274071799,0.000979366968802306
102,CAVIN3,3.7645962,23.11774,0.0001758893274071799,0.000979366968802306
103,FAM117A,3.7645962,23.11774,0.0001758893274071799,0.000979366968802306
104,SNX10,3.7645962,23.11774,0.0001758893274071799,0.000979366968802306
105,THOC3,3.7645962,23.11774,0.0001758893274071799,0.000979366968802306
106,CASD1,3.7645962,23.11774,0.0001758893274071799,0.000979366968802306
107,CSF1,3.7253358,23.177069,0.00020524335968298769,0.0011069545988248062
108,LAMP3,3.6983263,23.234074,0.0002280494303464391,0.0012088833880500559
109,CXCL9,3.6644669,2.027974,0.0003910979344671404,0.001849297517943962
110,STAP1,3.642937,23.273209,0.0002824684307378994,0.0014390076696537775
111,UBAP1L,3.625941,23.010357,0.00030147115189398,0.001512570395610769
112,CDH11,3.625941,23.010357,0.00030147115189398,0.001512570395610769
113,LMNB2,3.625941,23.010357,0.00030147115189398,0.001512570395610769
114,C17orf67,3.625941,23.010357,0.00030147115189398,0.001512570395610769
115,TSTD3,3.625941,23.010357,0.00030147115189398,0.001512570395610769
116,LYAR,3.625941,23.010357,0.00030147115189398,0.001512570395610769
117,VASN,3.625941,23.010357,0.00030147115189398,0.001512570395610769
118,XRCC3,3.625941,23.010357,0.00030147115189398,0.001512570395610769
119,PHLDA3,3.625941,23.010357,0.00030147115189398,0.001512570395610769
120,TROAP,3.625941,23.010357,0.00030147115189398,0.001512570395610769
121,AL135999.1,3.625941,23.010357,0.00030147115189398,0.001512570395610769
122,ZNF814,3.5857847,23.07413,0.00035123647075433145,0.0017017334716531224
123,RBBP9,3.5857847,23.07413,0.00035123647075433145,0.0017017334716531224
124,CCL18,3.5857847,23.07413,0.00035123647075433145,0.0017017334716531224
125,PSPN,3.5857847,23.07413,0.00035123647075433145,0.0017017334716531224
126,PFAS,3.5857847,23.07413,0.00035123647075433145,0.0017017334716531224
127,SLC27A1,3.5857847,23.07413,0.00035123647075433145,0.0017017334716531224
128,NOTCH3,3.5857847,23.07413,0.00035123647075433145,0.0017017334716531224
129,TUBB6,3.5857847,23.07413,0.00035123647075433145,0.0017017334716531224
130,IGLC1,3.5667028,1.1501329,0.0006226378811368529,0.002655939711724388
131,RELT,3.5590317,23.135225,0.00038855516184324883,0.0018410255294686246
132,LINC02593,3.5590317,23.135225,0.00038855516184324883,0.0018410255294686246
133,RRP9,3.4820461,22.894413,0.0005176909281848198,0.0023146470112772144
134,KPNA5,3.4820461,22.894413,0.0005176909281848198,0.0023146470112772144
135,AC009041.2,3.4820461,22.894413,0.0005176909281848198,0.0023146470112772144
136,HMBS,3.4820461,22.894413,0.0005176909281848198,0.0023146470112772144
137,PRKAR2B,3.4820461,22.894413,0.0005176909281848198,0.0023146470112772144
138,ATRIP,3.4820461,22.894413,0.0005176909281848198,0.0023146470112772144
139,PRAF2,3.4820461,22.894413,0.0005176909281848198,0.0023146470112772144
140,HTRA1,3.4820461,22.894413,0.0005176909281848198,0.0023146470112772144
141,FADS2,3.4820461,22.894413,0.0005176909281848198,0.0023146470112772144
142,WRAP53,3.4820461,22.894413,0.0005176909281848198,0.0023146470112772144
143,DBN1,3.4820461,22.894413,0.0005176909281848198,0.0023146470112772144
144,SLC25A35,3.4820461,22.894413,0.0005176909281848198,0.0023146470112772144
145,TSPOAP1-AS1,3.4820461,22.894413,0.0005176909281848198,0.0023146470112772144
146,AC005332.5,3.4409409,22.963352,0.0006020757663103611,0.002597015896567952
147,TAB1,3.4409409,22.963352,0.0006020757663103611,0.002597015896567952
148,BCL2,3.4409409,22.963352,0.0006020757663103611,0.002597015896567952
149,ZNF554,3.4409409,22.963352,0.0006020757663103611,0.002597015896567952
150,LINC02362,3.4409409,22.963352,0.0006020757663103611,0.002597015896567952
151,TUBG2,3.4409409,22.963352,0.0006020757663103611,0.002597015896567952
152,PDZK1IP1,3.3780725,1.5698792,0.0010553692005604723,0.004029591493049076
153,BOK,3.3728056,23.010357,0.0007707044824188105,0.003144474288268747
154,P2RY8,3.3728056,23.010357,0.0007707044824188105,0.003144474288268747
155,FCGR2B,3.3322325,22.768414,0.0008909960513059984,0.003517421571797227
156,JAZF1,3.3322325,22.768414,0.0008909960513059984,0.003517421571797227
157,GFOD2,3.3322325,22.768414,0.0008909960513059984,0.003517421571797227
158,RDX,3.3322325,22.768414,0.0008909960513059984,0.003517421571797227
159,GPKOW,3.3322325,22.768414,0.0008909960513059984,0.003517421571797227
160,RIOX2,3.3322325,22.768414,0.0008909960513059984,0.003517421571797227
161,SETBP1,3.3322325,22.768414,0.0008909960513059984,0.003517421571797227
162,APOBEC3D,3.3322325,22.768414,0.0008909960513059984,0.003517421571797227
163,ARHGEF10,3.3322325,22.768414,0.0008909960513059984,0.003517421571797227
164,SNAPC2,3.3322325,22.768414,0.0008909960513059984,0.003517421571797227
165,ADO,3.3322325,22.768414,0.0008909960513059984,0.003517421571797227
166,SLC2A11,3.3322325,22.768414,0.0008909960513059984,0.003517421571797227
167,PRAM1,3.3322325,22.768414,0.0008909960513059984,0.003517421571797227
168,P2RY13,3.2901247,22.843437,0.0010340944819981822,0.003964669550560565
169,SNX29,3.2901247,22.843437,0.0010340944819981822,0.003964669550560565
170,ZGLP1,3.2901247,22.843437,0.0010340944819981822,0.003964669550560565
171,CD5,3.264357,22.914778,0.0011318761631692886,0.004267292667155701
172,MAFB,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
173,C12orf45,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
174,TMEM154,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
175,PTRH2,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
176,BACH2,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
177,POLB,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
178,ARHGEF15,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
179,DDX31,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
180,COQ10A,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
181,DPYSL3,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
182,ZC3H8,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
183,SLX4,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
184,ACTR8,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
185,A1BG,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
186,CPLX1,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
187,CDCA7L,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
188,ITGAM,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
189,SETD6,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
190,DHRS13,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
191,KIF11,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
192,TK1,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
193,TMEM47,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
194,DTNB,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
195,FAM49A,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
196,NLGN2,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
197,MELTF-AS1,3.1756616,22.630444,0.0015376780492840196,0.005416594934897256
198,NFE2L3,3.1325023,22.712732,0.001780310606828599,0.006115782032784255
199,OLFML2A,3.1325023,22.712732,0.001780310606828599,0.006115782032784255
200,MTAP,3.0112782,22.477972,0.0026625744747481354,0.008338062170921793
201,LOXL1,3.0112782,22.477972,0.0026625744747481354,0.008338062170921793
202,MAP7D3,3.0112782,22.477972,0.0026625744747481354,0.008338062170921793
203,SEPTIN4,3.0112782,22.477972,0.0026625744747481354,0.008338062170921793
204,LMOD1,3.0112782,22.477972,0.0026625744747481354,0.008338062170921793
205,CTSF,3.0112782,22.477972,0.0026625744747481354,0.008338062170921793
