,names,scores,logfoldchanges,pvals,pvals_adj
0,AL049543.1,9.510712,27.66317,5.939810290690385e-19,5.5133319118188155e-15
1,UQCR10,9.025134,27.564367,2.0694559974579406e-17,9.604345284202302e-14
2,ABCA7,8.76188,27.336075,1.358767771625848e-16,4.204027485410374e-13
3,SEMA3B,8.47696,27.392904,1.0044853181530578e-15,2.330908180774171e-12
4,TM9SF3,8.374707,27.19497,2.039866446766981e-15,3.2330986432308447e-12
5,PTPRC,8.371195,27.460812,2.0899150893541335e-15,3.2330986432308447e-12
6,SLC5A1,8.077161,27.149445,1.5558147548751507e-14,2.0630103649644497e-11
7,ANXA4,8.000407,27.176342,2.608407317698153e-14,3.026404590359282e-11
8,RAB5B,7.5944314,26.924414,3.808293057097815e-13,3.9276195728868795e-10
9,ANXA11,7.5636525,27.024948,4.649559205787483e-13,4.315720854811942e-10
10,ITGB4,7.430262,27.006401,1.0975065165955787e-12,9.260959533672874e-10
11,PARP12,7.289079,26.941246,2.6940186131482994e-12,2.08382339727021e-09
12,GPA33,7.1766634,26.962715,5.461914037950403e-12,3.899806623096588e-09
13,TMEM45B,7.1241026,26.847864,7.581467293905876e-12,5.0265128158595954e-09
14,PLS1,7.056787,26.822495,1.15106278321295e-11,7.035378836376255e-09
15,FAM3B,7.048342,26.777739,1.2127349858006903e-11,7.035378836376255e-09
16,MXD1,7.0307755,26.628761,1.351628408868339e-11,7.202130868740711e-09
17,ADAR,7.0174823,26.910172,1.467033217064171e-11,7.202130868740711e-09
18,ZNHIT1,7.016685,26.759678,1.4742564803498547e-11,7.202130868740711e-09
19,COX7B,6.9879193,26.929321,1.7595663129509894e-11,8.166147258405541e-09
20,KDELR2,6.9216614,26.727324,2.6397084242565888e-11,1.1667511235214121e-08
21,SECTM1,6.9100747,26.840414,2.832964946436168e-11,1.1952536651282052e-08
22,SELENOO,6.8827868,26.696812,3.3447719149102536e-11,1.3498336049650859e-08
23,BTF3,6.875026,26.870594,3.5062469897472137e-11,1.3560410232847349e-08
24,SULT1A2,6.810638,26.578794,5.1773735233026127e-11,1.9222552417317942e-08
25,TMEM120A,6.7133584,26.542511,9.283918403153366e-11,3.314358869925752e-08
26,MTRNR2L1,6.708721,3.5093782,4.173149381460402e-09,7.308523124285935e-07
27,ACIN1,6.667749,26.584879,1.2183125470493828e-10,4.188287800634211e-08
28,ARHGAP17,6.591115,26.527205,1.9177493168698214e-10,6.357338985423457e-08
29,HMGA1,6.579307,26.693707,2.0559231039457088e-10,6.580371810628988e-08
30,UQCRC2,6.55153,26.569979,2.4206639027065745e-10,7.489534114974141e-08
31,HNRNPF,6.5221524,26.611628,2.875524923905616e-10,8.609878175384493e-08
32,NUCB1,6.486013,26.554283,3.5512560248539245e-10,1.0300862007091915e-07
33,MZT2B,6.4788933,26.738394,3.7016759809582644e-10,1.0411804986440791e-07
34,RAP1B,6.4713855,26.51175,3.867057030363721e-10,1.055706569289296e-07
35,PDIA6,6.4478984,26.64053,4.432640633690824e-10,1.1755362960548066e-07
36,XPO1,6.4424214,26.505377,4.5757743727061087e-10,1.1797871590960584e-07
37,GBA,6.4095135,26.548737,5.536239406188723e-10,1.388847950493074e-07
38,AC073111.4,6.3770423,26.340347,6.676789511611181e-10,1.6308936907046046e-07
39,GGA1,6.372099,26.473877,6.869516043642344e-10,1.6349448183868779e-07
40,HPCAL1,6.3634048,26.444672,7.221795869684881e-10,1.6758177315603765e-07
41,CCND3,6.338694,26.518095,8.322622672891219e-10,1.8392996107089922e-07
42,SPTAN1,6.338694,26.518095,8.322622672891369e-10,1.8392996107089922e-07
43,YBX1,6.3236976,26.59964,9.069202961876698e-10,1.95768236958464e-07
44,RAB2A,6.262998,26.405132,1.2820989702721607e-09,2.7046460550150447e-07
45,PPCS,6.242691,26.428381,1.4387583829483589e-09,2.9676789578948147e-07
46,EIF3H,6.2107162,26.473877,1.7241657139832905e-09,3.4790665559115005e-07
47,JPT1,6.1985044,26.496141,1.8472127038232297e-09,3.64804857806111e-07
48,SLCO2B1,6.1733093,26.463762,2.128866619353471e-09,4.0829886231893694e-07
49,CAPG,6.1711044,26.395287,2.155423858395595e-09,4.0829886231893694e-07
50,HDGF,6.142015,26.280151,2.5377218004983916e-09,4.629990904753898e-07
51,MTPN,6.1415772,26.388424,2.543951046568076e-09,4.629990904753898e-07
52,NR2F6,6.089863,26.330084,3.3959173440827597e-09,6.061712459187726e-07
53,ANXA2,6.078297,2.8324885,1.7087491165635974e-07,1.183627559697262e-05
54,PRPF4B,6.037349,26.402119,4.5451114166445575e-09,7.670495303508143e-07
55,GLG1,6.037349,26.402119,4.5451114166445575e-09,7.670495303508143e-07
56,NSUN5,6.0253515,26.425413,4.856834673742306e-09,8.050203471727871e-07
57,CHMP1A,6.01101,26.262047,5.256937550899388e-09,8.560507780254056e-07
58,DNASE1L3,5.99712,26.41868,5.675088387010981e-09,9.082098346247572e-07
59,FIS1,5.9869695,26.287504,6.001057200885096e-09,9.131444744035322e-07
60,CHD3,5.9869695,26.287504,6.001057200885096e-09,9.131444744035322e-07
61,SMPD3,5.9869695,26.287504,6.001057200885096e-09,9.131444744035322e-07
62,SSR1,5.9352674,26.190905,7.967056578056418e-09,1.1738130025003123e-06
63,CYB5R3,5.9352674,26.190905,7.967056578056418e-09,1.1738130025003123e-06
64,DCAF11,5.907053,26.21754,9.292318790858424e-09,1.3068379244961898e-06
65,LRRFIP1,5.907053,26.21754,9.292318790858424e-09,1.3068379244961898e-06
66,RHOG,5.907053,26.21754,9.292318790858493e-09,1.3068379244961898e-06
67,SFI1,5.8951144,26.378473,9.915831604466215e-09,1.3737126709351552e-06
68,HMGN3,5.8628383,26.269485,1.1813285645342749e-08,1.5891437298561073e-06
69,PRPF38B,5.8628383,26.269485,1.1813285645342749e-08,1.5891437298561073e-06
70,SMPD4,5.845938,26.294823,1.2943783176916675e-08,1.6921717668752194e-06
71,LFNG,5.845938,26.294823,1.2943783176916675e-08,1.6921717668752194e-06
72,SDF4,5.8326473,26.262047,1.3906445413340847e-08,1.77424289858527e-06
73,PNN,5.832016,26.319754,1.3953860331472173e-08,1.77424289858527e-06
74,CLDN7,5.8264174,3.279011,1.8228751536814809e-07,1.2441122923876107e-05
75,CLPTM1L,5.8163114,26.287504,1.5185724809607927e-08,1.9047824011186593e-06
76,ARSA,5.8029203,26.312553,1.6319469288364822e-08,1.9767374204453766e-06
77,RCN2,5.8020234,26.171724,1.639827422692243e-08,1.9767374204453766e-06
78,SLC25A37,5.8020234,26.171724,1.639827422692243e-08,1.9767374204453766e-06
79,GMDS,5.778109,26.198689,1.8642354753549113e-08,2.200288641316492e-06
80,PRELID1,5.777264,26.276108,1.8726869496229568e-08,2.200288641316492e-06
81,PTPRF,5.758059,26.225195,2.0752408182921788e-08,2.3524194209612505e-06
82,GK,5.7577925,26.067387,2.078198583482251e-08,2.3524194209612505e-06
83,ARHGEF16,5.7577925,26.067387,2.078198583482251e-08,2.3524194209612505e-06
84,NEDD8,5.7542048,26.326168,2.118393685331863e-08,2.3690277334036567e-06
85,RAD23A,5.743913,26.425413,2.2379505459567827e-08,2.472935353282245e-06
86,PSMD3,5.724229,26.096212,2.4852289246073394e-08,2.7138699856712146e-06
87,SEC61B,5.688228,26.294823,3.008199672578082e-08,3.246756902426716e-06
88,FAM20C,5.6745896,26.344296,3.2331434921285886e-08,3.449429642981329e-06
89,ANKRD12,5.659462,26.287504,3.501835228154702e-08,3.693640294060448e-06
90,NDUFAB1,5.6521664,26.179605,3.639077966867718e-08,3.7388947942098353e-06
91,DUT,5.6521664,26.179605,3.639077966867718e-08,3.7388947942098353e-06
92,LMO7,5.6507883,26.016825,3.66558313157827e-08,3.7388947942098353e-06
93,MPHOSPH8,5.6214676,26.171724,4.276270223336542e-08,4.314384805761933e-06
94,ITSN2,5.616929,26.046602,4.3792596626737595e-08,4.324285977546578e-06
95,GUSB,5.616929,26.046602,4.3792596626737595e-08,4.324285977546578e-06
96,ARF6,5.6057444,26.198689,4.6434870931110526e-08,4.489671583151767e-06
97,PRDX6,5.6057444,26.198689,4.6434870931110705e-08,4.489671583151767e-06
98,COPE,5.5931125,26.225195,4.960583993225827e-08,4.746818621146612e-06
99,POLR2H,5.5884733,26.075815,5.0822618465481876e-08,4.7650055009757855e-06
