,names,scores,logfoldchanges,pvals,pvals_adj
0,CTSA,4.1918445,2.4061532,4.154703981751325e-05,0.3290361390662153
1,PLCB3,4.0633993,2.3304431,7.089768133294878e-05,0.3290361390662153
2,CSK,3.641338,1.7404014,0.0003360900551801355,0.8310259082855245
3,LIMK2,3.464918,3.7069297,0.0006849016897518743,0.8310259082855245
4,RASSF1,3.4509552,25.82549,0.0007522958742945868,0.8310259082855245
5,RUSC1,3.3272245,25.954847,0.0011387112215616767,0.8310259082855245
6,ADAM15,3.2372515,3.7069297,0.0014802470252593919,0.8310259082855245
7,NEURL1,3.2117865,2.8060937,0.0015677329361854849,0.8310259082855245
8,IGHG3,3.173502,1.1003547,0.0017014047818266018,0.8310259082855245
9,STK38,3.022646,2.340758,0.0028420678042676934,0.8310259082855245
10,NAGK,2.9305813,3.3475184,0.0038723264356521963,0.8310259082855245
11,NCOA7,2.9305813,3.3475184,0.0038723264356521963,0.8310259082855245
12,MYO1E,2.9071658,25.3546,0.0042844935287404025,0.8310259082855245
13,AKR7A2,2.9071658,25.3546,0.0042844935287404025,0.8310259082855245
14,GNS,2.9071658,25.3546,0.0042844935287404025,0.8310259082855245
15,MYO5C,2.9071658,25.3546,0.0042844935287404025,0.8310259082855245
16,SLC22A23,2.8728433,2.6577148,0.004565251539579752,0.8310259082855245
17,GDI1,2.8728433,2.6577148,0.004565251539579752,0.8310259082855245
18,PIGR,2.866664,0.5842371,0.004506350341827018,0.8310259082855245
19,OSBPL7,2.863036,2.0369768,0.0046425881096767005,0.8310259082855245
20,IDH1,2.8564944,2.274357,0.004759202942382882,0.8310259082855245
21,PBXIP1,2.8344285,25.555977,0.005318856932578526,0.8310259082855245
22,EIF6,2.7578373,1.6823722,0.006318053954922864,0.8310259082855245
23,MUC1,2.7520673,2.3679192,0.006537785349153209,0.8310259082855245
24,ZNF358,2.7382436,3.2904441,0.006875268970315901,0.8310259082855245
25,PLAC8,2.7380943,3.2061923,0.006859473870028098,0.8310259082855245
26,NR5A2,2.7380943,3.2061923,0.006859473870028098,0.8310259082855245
27,CYTH1,2.714916,2.233823,0.0072452415175732615,0.8310259082855245
28,RNF220,2.7085052,25.158144,0.007661731469350009,0.8310259082855245
29,RNASEK,2.7085052,25.158144,0.007661731469350009,0.8310259082855245
30,SLC9A8,2.7085052,25.158144,0.007661731469350009,0.8310259082855245
31,GALK1,2.7085052,25.158144,0.007661731469350009,0.8310259082855245
32,SCO2,2.680643,2.1748462,0.00798289483297532,0.8310259082855245
33,PRDM2,2.6688855,2.4726677,0.008284977763425948,0.8310259082855245
34,BIRC6,2.6552217,1.8946146,0.008538536901346497,0.8310259082855245
35,HID1,2.648329,2.1135478,0.008738050848655164,0.8310259082855245
36,REG1A,2.6411777,1.2279279,0.008807017989751259,0.8310259082855245
37,LTA4H,2.5415318,3.1434515,0.011970794510598185,0.8310259082855245
38,MRM1,2.5415318,3.1434515,0.011970794510598204,0.8310259082855245
39,TMEM41B,2.5415318,3.1434515,0.011970794510598204,0.8310259082855245
40,CTBP2,2.53608,3.05037,0.012122114426821647,0.8310259082855245
41,RNF103,2.53608,3.05037,0.012122114426821647,0.8310259082855245
42,KAT8,2.4993267,2.0685403,0.01326253272536663,0.8310259082855245
43,CAMLG,2.497618,24.931942,0.01374193899986594,0.8310259082855245
44,PFKFB2,2.497618,24.931942,0.01374193899986594,0.8310259082855245
45,RGL2,2.497618,24.931942,0.01374193899986594,0.8310259082855245
46,ANKRD52,2.497618,24.931942,0.01374193899986594,0.8310259082855245
47,NFRKB,2.497618,24.931942,0.01374193899986594,0.8310259082855245
48,BTBD10,2.497618,24.931942,0.01374193899986594,0.8310259082855245
49,MIR222HG,2.497618,24.931942,0.01374193899986594,0.8310259082855245
50,ACOT9,2.497618,24.931942,0.01374193899986594,0.8310259082855245
51,KCTD9,2.497618,24.931942,0.01374193899986594,0.8310259082855245
52,C11orf68,2.497618,24.931942,0.01374193899986594,0.8310259082855245
