,names,scores,logfoldchanges,pvals,pvals_adj
0,AKAP9,-3.3862994,-1.5224993,0.0011779061989779785,0.03313128890579878
1,IGHG1,-3.4761765,-1.2610018,0.0008878294796065058,0.026669363202937175
2,GOLGA4,-3.4933424,-2.1815314,0.0008876397740635671,0.026669363202937175
3,LUC7L3,-3.5639408,-1.4811898,0.0006753565245238668,0.02321725652085382
4,ACE,-3.592803,-1.8098428,0.0006411414332931882,0.022288669602349712
5,DEFA6,-3.8791955,-1.454485,0.00023866799870144286,0.01244559755026288
6,RCN3,-4.085298,-2.2959814,0.00012806397786711872,0.00814171125042874
7,APOB,-4.0947933,-1.6073407,0.00011941889510985156,0.0077004248570306565
8,DEFA5,-4.3463135,-1.6074507,4.6494501323674975e-05,0.004381649829093414
9,FABP6,-4.3884788,-2.3059845,4.5896333501590834e-05,0.004381649829093414
10,MTRNR2L12,-4.6525397,-1.1562669,1.2170686889684011e-05,0.0018220696082265643
11,MALAT1,-8.174525,-2.224455,3.2275061028954395e-12,2.7234283315523154e-09
