,names,scores,logfoldchanges,pvals,pvals_adj
0,IGLC1,6.789509,3.4491282,1.2932524721302758e-09,1.200396944631322e-05
1,CDC42SE2,6.08118,27.533659,9.467755128302111e-09,4.3939851550450095e-05
2,IGLC3,5.794327,3.9320836,3.774432949397791e-08,0.00010347605466304371
3,NPC2,5.766767,27.281681,4.459213732516428e-08,0.00010347605466304371
4,IGLC2,5.6008077,2.8687558,3.3262406618996874e-07,0.0004410595117678985
5,RARRES1,5.478807,27.141499,1.7666088169253757e-07,0.0003279532607740267
6,AC009133.1,5.362814,27.058031,3.0388531728009565e-07,0.0004410595117678985
7,IGHG3,5.260214,2.439846,3.3647743012022183e-06,0.0022308453616970707
8,GPNMB,5.2272167,27.07218,5.676959429076654e-07,0.0006586692177586188
9,IDO1,5.1583905,27.803345,7.766026147528569e-07,0.0008009361633484465
10,VAMP2,5.016612,26.702904,1.4685449329577185e-06,0.001239184915246686
11,MX1,5.016612,26.702904,1.4685449329577185e-06,0.001239184915246686
12,LCN2,4.981749,2.93049,2.5487839985406622e-06,0.001819831774958033
13,IGHG4,4.979143,1.7497159,1.0864260676908415e-05,0.004384437721872345
14,ZAP70,4.922476,26.592594,2.2276213936668505e-06,0.0017230651480013089
15,IGHM,4.9115524,2.256785,1.050437683640114e-05,0.004384437721872345
16,TYROBP,4.754345,26.779707,4.628258478488511e-06,0.0028104766146574782
17,HPS1,4.743711,26.562399,4.844605239659519e-06,0.0028104766146574782
18,MAEA,4.7114205,26.604794,5.5631655679725265e-06,0.0030374884001129997
19,MMP12,4.6120043,26.75288,8.482357437023479e-06,0.00424479811600955
20,NUDT22,4.604504,26.487192,8.754468601415756e-06,0.00424479811600955
21,UNC13D,4.5724134,26.531618,1.001695955868785e-05,0.004384437721872345
22,CSTB,4.5314326,26.51884,1.1886296425511926e-05,0.004597025142566737
23,MSN,4.5087943,26.562399,1.3058734956877766e-05,0.004848447114789577
24,IGHG2,4.4808655,2.8234005,1.818677436870176e-05,0.0054454722480738625
25,LRRC59,4.4631677,26.408222,1.5769476234304173e-05,0.005227581371671833
26,KSR1,4.4631677,26.408222,1.5769476234304173e-05,0.005227581371671833
27,FIBP,4.4631677,26.408222,1.5769476234304173e-05,0.005227581371671833
28,COMMD4,4.4313054,26.454897,1.7975601254649238e-05,0.0054454722480738625
29,CARD16,4.4313054,26.454897,1.7975601254649238e-05,0.0054454722480738625
30,HEXA,4.4079857,26.500227,1.9775404545176952e-05,0.00573610328088539
31,LPCAT1,4.3916445,26.544292,2.1138614593159375e-05,0.0059457157773850095
32,HAPLN3,4.381072,26.587166,2.206824887024898e-05,0.006024631941577972
33,MBD1,4.362322,26.274302,2.3814418854296146e-05,0.006315583880159337
34,LCK,4.3527727,26.531618,2.475397753709145e-05,0.0063824005416467456
35,NID1,4.3194456,26.325071,2.832023851646744e-05,0.007104552808374346
36,SLC25A6,4.2950163,3.048409,4.314881415405458e-05,0.0089405960680766
37,VIM,4.290933,3.0153213,4.606986811937674e-05,0.0089405960680766
38,DNASE1L3,4.287849,26.374247,3.215336519460222e-05,0.007652500916315329
39,ZBED5,4.287849,26.374247,3.215336519460222e-05,0.007652500916315329
40,AL021707.6,4.265238,26.421925,3.519694572416551e-05,0.008167451255292606
41,GTF3C5,4.21637,26.183487,4.274639220129544e-05,0.0089405960680766
42,C1QC,4.2105985,26.454897,4.373435847014259e-05,0.0089405960680766
43,TRIM25,4.202389,26.500227,4.517733975599299e-05,0.0089405960680766
44,USP4,4.1990066,26.544292,4.578494265592063e-05,0.0089405960680766
45,KCMF1,4.1730456,26.237251,5.071680958605722e-05,0.0089405960680766
46,TRIM8,4.1730456,26.237251,5.071680958605722e-05,0.0089405960680766
47,LAT,4.1730456,26.237251,5.071680958605722e-05,0.0089405960680766
48,CD79B,4.1730456,26.237251,5.071680958605722e-05,0.0089405960680766
49,ZGPAT,4.1730456,26.237251,5.071680958605722e-05,0.0089405960680766
50,SLC25A11,4.1730456,26.237251,5.071680958605722e-05,0.0089405960680766
51,YWHAQ,4.1713767,26.44148,5.1050591640601136e-05,0.0089405960680766
52,IFI27L2,4.1417627,26.28922,5.733648350972416e-05,0.009676313453404722
53,CCR7,4.1417627,26.28922,5.733648350972416e-05,0.009676313453404722
54,ICAM1,4.114955,26.555546,6.365967953347866e-05,0.010430537210668991
55,CDC42SE1,4.1133723,26.466803,6.405307272227241e-05,0.010430537210668991
56,ZNF768,4.078807,26.325071,7.324840352838814e-05,0.01171302717519687
57,PSMG3,4.067446,26.087027,7.653672822093981e-05,0.01171302717519687
58,UBXN1,4.067446,26.087027,7.653672822093981e-05,0.01171302717519687
59,ARL4A,4.065963,26.374247,7.697636906776654e-05,0.01171302717519687
60,COX17,4.059133,26.421925,7.903179565801682e-05,0.011831824633834066
61,ARHGAP12,4.023629,26.144178,9.058879528228688e-05,0.011842890110002632
62,IL7R,4.023629,26.144178,9.058879528228688e-05,0.011842890110002632
63,VPS41,4.023629,26.144178,9.058879528228688e-05,0.011842890110002632
64,CSNK1E,4.023629,26.144178,9.058879528228688e-05,0.011842890110002632
65,NCOA3,4.023629,26.144178,9.058879528228688e-05,0.011842890110002632
66,WDFY1,4.023629,26.144178,9.058879528228688e-05,0.011842890110002632
67,ABCC5,4.023629,26.144178,9.058879528228688e-05,0.011842890110002632
68,ENC1,4.023629,26.144178,9.058879528228688e-05,0.011842890110002632
69,RAC2,4.023629,26.144178,9.058879528228688e-05,0.011842890110002632
70,APOC1,4.010203,26.4931,9.536588278144406e-05,0.01229425172190783
71,AL360012.1,3.9927244,26.199297,0.00010194560878741939,0.012450778167958247
72,KIAA1671,3.9927244,26.199297,0.00010194560878741939,0.012450778167958247
73,STARD3,3.9927244,26.199297,0.00010194560878741939,0.012450778167958247
74,TSPAN4,3.9493134,26.183487,0.00012021106529630781,0.01430511677026063
75,TEAD3,3.9151587,25.984142,0.00013673060854122547,0.015290765162405481
76,AIF1,3.9151587,25.984142,0.00013673060854122547,0.015290765162405481
77,STAT5A,3.9151587,25.984142,0.00013673060854122547,0.015290765162405481
78,WASHC2A,3.9151587,25.984142,0.00013673060854122547,0.015290765162405481
79,PIDD1,3.9151587,25.984142,0.00013673060854122547,0.015290765162405481
80,TNFRSF13C,3.8708043,26.045156,0.0001614239585338011,0.016648190923452686
81,HCLS1,3.8708043,26.045156,0.0001614239585338011,0.016648190923452686
82,EHD2,3.8708043,26.045156,0.0001614239585338011,0.016648190923452686
83,DGCR8,3.8708043,26.045156,0.0001614239585338011,0.016648190923452686
84,CABIN1,3.8708043,26.045156,0.0001614239585338011,0.016648190923452686
85,TRIB2,3.8708043,26.045156,0.0001614239585338011,0.016648190923452686
86,TOMM6,3.8708043,26.045156,0.0001614239585338011,0.016648190923452686
87,RNF181,3.8403606,26.103848,0.00018076584810903116,0.01766177475945292
88,WBP1,3.8403606,26.103848,0.00018076584810903116,0.01766177475945292
89,DNASE2,3.8403606,26.103848,0.00018076584810903116,0.01766177475945292
90,SDC3,3.8403606,26.103848,0.00018076584810903116,0.01766177475945292
91,TAOK2,3.8403606,26.103848,0.00018076584810903116,0.01766177475945292
92,ANXA11,3.824664,2.7941456,0.0002670628530944587,0.022579261544834615
93,BORCS6,3.8205464,26.160393,0.00019451567922189957,0.018807234734767416
94,NOTCH1,3.8090253,26.214949,0.00020296109852122754,0.019421493984268394
95,SDHC,3.7781038,26.144178,0.0002273812229585422,0.021148365825537085
96,ORAI1,3.7781038,26.144178,0.0002273812229585422,0.021148365825537085
97,RABEP2,3.759047,25.873882,0.0002437917629101991,0.021148365825537085
98,IWS1,3.759047,25.873882,0.0002437917629101991,0.021148365825537085
99,DICER1,3.759047,25.873882,0.0002437917629101991,0.021148365825537085
100,IGF2R,3.759047,25.873882,0.0002437917629101991,0.021148365825537085
101,FGD3,3.759047,25.873882,0.0002437917629101991,0.021148365825537085
102,TMUB1,3.759047,25.873882,0.0002437917629101991,0.021148365825537085
103,SPPL3,3.759047,25.873882,0.0002437917629101991,0.021148365825537085
104,KLF2,3.759047,25.873882,0.0002437917629101991,0.021148365825537085
105,AL356488.2,3.714108,25.939337,0.00028704512629718645,0.022579261544834615
106,DLGAP4,3.714108,25.939337,0.00028704512629718645,0.022579261544834615
107,NCF4,3.714108,25.939337,0.00028704512629718645,0.022579261544834615
108,ATG13,3.714108,25.939337,0.00028704512629718645,0.022579261544834615
109,TCF7,3.714108,25.939337,0.00028704512629718645,0.022579261544834615
110,SPECC1L,3.714108,25.939337,0.00028704512629718645,0.022579261544834615
111,MAZ,3.714108,25.939337,0.00028704512629718645,0.022579261544834615
112,ZDHHC12,3.714108,25.939337,0.00028704512629718645,0.022579261544834615
113,FCMR,3.714108,25.939337,0.00028704512629718645,0.022579261544834615
114,HEATR5B,3.714108,25.939337,0.00028704512629718645,0.022579261544834615
115,EHMT1,3.684235,26.002117,0.00031971275419285925,0.023740590275344954
116,GTF3C1,3.684235,26.002117,0.00031971275419285925,0.023740590275344954
117,YME1L1,3.684235,26.002117,0.00031971275419285925,0.023740590275344954
118,CSNK1G3,3.684235,26.002117,0.00031971275419285925,0.023740590275344954
119,PTPRD,3.684235,26.002117,0.00031971275419285925,0.023740590275344954
120,HCFC1,3.684235,26.002117,0.00031971275419285925,0.023740590275344954
121,RUBCN,3.6558,26.120487,0.00035404754082162714,0.026081502173859867
122,ATN1,3.6224656,26.045156,0.00039873098418142177,0.027218519168541965
123,ENTPD4,3.6224656,26.045156,0.00039873098418142177,0.027218519168541965
124,SLC25A46,3.6224656,26.045156,0.00039873098418142177,0.027218519168541965
125,SERTAD1,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
126,AIMP1,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
127,ZNF518A,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
128,DOK3,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
129,TRAP1,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
130,ANO10,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
131,ITGA1,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
132,SMIM7,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
133,PRNP,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
134,VAC14,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
135,RAD21,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
136,CD22,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
137,BDH1,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
138,ACVRL1,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
139,DDHD1,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
140,LAPTM4B,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
141,C19orf53,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
142,TM9SF4,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
143,HEXIM1,3.5985608,25.755062,0.0004339949188692319,0.027218519168541965
144,ARL1,3.5529892,25.825684,0.0005095152439478707,0.029558253089525845
145,PHKA2,3.5529892,25.825684,0.0005095152439478707,0.029558253089525845
146,CCDC85C,3.5529892,25.825684,0.0005095152439478707,0.029558253089525845
147,NAGLU,3.5529892,25.825684,0.0005095152439478707,0.029558253089525845
148,FAM83G,3.5529892,25.825684,0.0005095152439478707,0.029558253089525845
149,SLC9A1,3.5529892,25.825684,0.0005095152439478707,0.029558253089525845
150,SEMA4D,3.5529892,25.825684,0.0005095152439478707,0.029558253089525845
151,SPTSSA,3.5529892,25.825684,0.0005095152439478707,0.029558253089525845
152,PKN1,3.5529892,25.825684,0.0005095152439478707,0.029558253089525845
153,KIF1B,3.5529892,25.825684,0.0005095152439478707,0.029558253089525845
154,LRRC1,3.5529892,25.825684,0.0005095152439478707,0.029558253089525845
155,USP20,3.5529892,25.825684,0.0005095152439478707,0.029558253089525845
156,UBE2M,3.5389917,26.183487,0.0005350909638913887,0.030849157309564407
157,H2AFJ,3.5361376,2.65991,0.0007217610319678203,0.038100588576040206
158,BAG1,3.5238323,25.893187,0.0005641495824998537,0.03154479773954001
159,CENPT,3.5238323,25.893187,0.0005641495824998537,0.03154479773954001
160,SMCO4,3.5238323,25.893187,0.0005641495824998537,0.03154479773954001
161,ACP1,3.5238323,25.893187,0.0005641495824998537,0.03154479773954001
162,PDLIM2,3.5067499,25.95784,0.0005986712783743386,0.03268745179923889
163,SERPINE2,3.5067499,25.95784,0.0005986712783743386,0.03268745179923889
