,names,scores,logfoldchanges,pvals,pvals_adj
0,CCDC107,5.0486856,26.818007,1.3711387716009968e-06,0.00498053875480415
1,AL049543.1,4.9540644,2.9857104,1.6097410325805267e-06,0.00498053875480415
2,IGHG4,4.7836275,1.4370202,4.646763567134818e-06,0.0071882037910368
3,LIMD1-AS1,4.7260284,1.8128905,5.491665124834299e-06,0.0071882037910368
4,ITGAV,4.6816645,26.84079,6.688519577068992e-06,0.0071882037910368
5,ZAP70,4.6718783,26.55562,6.969816216260634e-06,0.0071882037910368
6,IRF1,4.5847125,2.189111,9.714540889156764e-06,0.008387491799057102
7,TNFRSF6B,4.382651,3.3623457,1.9374439461746844e-05,0.014986128923661184
8,IGHG3,4.2820454,1.5908856,3.453751190980535e-05,0.02137181236978755
9,IGKC,4.256209,1.3142111,4.418473564310759e-05,0.023991101994614693
10,CTSC,4.245578,3.4742737,3.439610165789281e-05,0.02137181236978755
11,GBP4,4.2057643,2.9469573,4.0159409727462e-05,0.023297477568143894
12,UNC13D,4.1911116,26.350744,4.9109129271458366e-05,0.023991101994614693
13,MPND,4.1911116,26.350744,4.910912927145865e-05,0.023991101994614693
14,IGHA1,4.155147,1.5321778,6.249962841445777e-05,0.027624835759190332
15,CFLAR,4.1403456,2.712172,5.239185735212755e-05,0.024315060997122395
16,TYMP,4.114728,1.392003,7.359004824553419e-05,0.028756929593628727
17,SRP68,4.0841155,26.200096,7.43553447799062e-05,0.028756929593628727
18,NFATC2IP,4.0764546,3.2955933,6.725482470870003e-05,0.028375421952097895
19,ELOF1,4.039741,26.257404,8.812105083460125e-05,0.03271758375387075
20,FURIN,3.9645069,26.296824,0.00011718274743515133,0.04183424083434902
21,PIGQ,3.9299421,26.096947,0.00013340997076137997,0.04586338328174551
22,AC073140.1,3.9286916,0.9272026,0.0001857063995478342,0.05386646251884366
23,LINC02739,3.8984041,1.4759048,0.00016191268541047393,0.04847979180580707
24,NKTR,3.8881142,2.614431,0.00014036854327731382,0.04653217209642953
25,TAPBPL,3.885066,26.158115,0.00015768808497832964,0.04847979180580707
26,LAT,3.885066,26.158115,0.00015768808497832964,0.04847979180580707
27,MMP12,3.8225808,26.328377,0.0001985744342972421,0.05585357270142428
28,ARHGEF1,3.8095617,26.200096,0.0002082764921106613,0.056859482346210535
29,JAK3,3.7585542,2.0242198,0.00024013015259795025,0.06368251646897641
30,ZNF224,3.7266233,26.052032,0.0002814766982955153,0.06884417957229853
31,PARP8,3.7266233,26.052032,0.0002814766982955153,0.06884417957229853
32,MTMR10,3.6964343,26.114967,0.00031372274907404184,0.07466601427962197
33,KDM4B,3.6508584,26.096947,0.00036909606670509096,0.0815702307418251
34,CEP170B,3.645032,3.0294976,0.0003451574325723089,0.08009378222840427
35,C1S,3.6412656,1.883692,0.00036521421391067914,0.0815702307418251
36,MAPK14,3.6098824,25.867334,0.00042665242543946065,0.0860910394115016
37,SLC66A1,3.6098824,25.867334,0.00042665242543946065,0.0860910394115016
38,PI4KB,3.6098824,25.867334,0.00042665242543946065,0.0860910394115016
39,WASHC2A,3.6098824,25.867334,0.00042665242543946065,0.0860910394115016
40,PIP5K1C,3.563861,25.938112,0.0005013617643985386,0.0969508311905674
41,MLPH,3.5501058,2.4348848,0.0005005882076823313,0.0969508311905674
42,RIN2,3.509139,26.132778,0.0006062285036576118,0.11483699940714188
43,INTS3,3.4878645,25.986422,0.0006523139764112966,0.1210955665809931
44,LPAR2,3.442777,25.7382,0.0007610857500956937,0.12554886860971803
45,DICER1,3.442777,25.7382,0.0007610857500956937,0.12554886860971803
46,EFTUD2,3.442777,25.7382,0.0007610857500956937,0.12554886860971803
47,TNRC6B,3.442777,25.7382,0.0007610857500956937,0.12554886860971803
48,WDR11,3.442777,25.7382,0.0007610857500956937,0.12554886860971803
49,AIF1,3.442777,25.7382,0.0007610857500956937,0.12554886860971803
50,DNM2,3.4347148,1.6084611,0.0007709852952762257,0.12554886860971803
51,WDR74,3.4166133,0.78351194,0.0010325400188822347,0.15458123314943392
52,SPON2,3.3961127,25.815058,0.0008914354135919896,0.14024243235526862
53,PLCB2,3.3961127,25.815058,0.0008914354135919896,0.14024243235526862
54,RABGGTB,3.3685281,2.9237165,0.0009152758868203849,0.14159317969111357
55,IGHG2,3.3549325,1.9560448,0.0009658481686058253,0.14696725739343067
56,IGHM,3.3471825,1.297907,0.0010767224520255312,0.15863710793176158
57,IKZF3,3.3199437,25.867334,0.0011500015596841555,0.16678616370294266
58,C1QA,3.3061392,1.1785207,0.0012170263720666114,0.16785924797477716
59,CPNE5,3.2699094,25.597094,0.0013563287651484905,0.16785924797477716
60,CELF2,3.2699094,25.597094,0.0013563287651484905,0.16785924797477716
61,CEP95,3.2699094,25.597094,0.0013563287651484905,0.16785924797477716
62,DDHD1,3.2699094,25.597094,0.0013563287651484905,0.16785924797477716
63,AKAP11,3.2699094,25.597094,0.0013563287651484905,0.16785924797477716
64,RDH13,3.2699094,25.597094,0.0013563287651484905,0.16785924797477716
65,APBA2,3.2699094,25.597094,0.0013563287651484905,0.16785924797477716
66,THAP9-AS1,3.2699094,25.597094,0.0013563287651484905,0.16785924797477716
67,METTL4,3.2699094,25.597094,0.0013563287651484905,0.16785924797477716
68,IFFO1,3.2699094,25.597094,0.0013563287651484905,0.16785924797477716
69,TMC6,3.2197912,2.2602813,0.0015297655944564175,0.18683268747032192
70,IGLC1,3.1978168,1.2834766,0.0017287717860058624,0.20425110635362445
71,AARS,3.1952822,25.760927,0.0017289660099476223,0.20425110635362445
72,RNF213,3.1910334,1.2369353,0.0017850732564081292,0.20425110635362445
73,MXD1,3.1898124,1.6949073,0.0017402730519729046,0.20425110635362445
74,TMEM41A,3.1820195,25.836678,0.00180441615179888,0.20425110635362445
75,MUC1,3.1816268,1.6747539,0.0017791727710609192,0.20425110635362445
76,SCO2,3.1638563,2.0648217,0.0018274021866098154,0.20436080838689527
77,FNDC3B,3.135545,25.815058,0.002093612198784064,0.2286224521072198
78,TPRA1,3.135545,25.815058,0.002093612198784064,0.2286224521072198
79,JCHAIN,3.1143057,1.0919956,0.0023573909172921828,0.2288612782971682
80,RAP1B,3.0947723,1.9987863,0.002293539922955638,0.2288612782971682
81,CRIPT,3.0902457,25.44149,0.0024163332550228922,0.2288612782971682
82,ZNF800,3.0902457,25.44149,0.0024163332550228922,0.2288612782971682
83,NUP153,3.0902457,25.44149,0.0024163332550228922,0.2288612782971682
84,PSMC2,3.0902457,25.44149,0.0024163332550228922,0.2288612782971682
85,ITPA,3.0902457,25.44149,0.0024163332550228922,0.2288612782971682
86,MED24,3.0902457,25.44149,0.0024163332550228922,0.2288612782971682
87,ITGAE,3.0902457,25.44149,0.0024163332550228922,0.2288612782971682
88,DNMT3A,3.0902457,25.44149,0.0024163332550228922,0.2288612782971682
89,ST5,3.0902457,25.44149,0.0024163332550228922,0.2288612782971682
90,SDC2,3.0902457,25.44149,0.0024163332550228922,0.2288612782971682
91,LINC01089,3.0902457,25.44149,0.0024163332550228922,0.2288612782971682
92,ADAM28,3.0611248,2.76106,0.0025268438993481116,0.2369107583206987
93,WDR6,3.0530274,1.9978731,0.0026146344646314984,0.2426903710070957
94,FMNL1,3.0421882,25.534443,0.002808574192693873,0.2436372491269582
95,KLRK1,3.0421882,25.534443,0.002808574192693873,0.2436372491269582
96,SULF2,3.0421882,25.534443,0.002808574192693873,0.2436372491269582
97,ZMYM2,3.0421882,25.534443,0.002808574192693873,0.2436372491269582
98,SIN3B,3.0421882,25.534443,0.002808574192693873,0.2436372491269582
99,IQCE,3.0421882,25.534443,0.002808574192693873,0.2436372491269582
100,PLEKHA7,3.0303872,2.7101336,0.0027884668532879068,0.2436372491269582
101,PPP1R12C,3.0253413,1.9734131,0.002875717159618267,0.24488446491354818
102,NXF1,3.0249496,2.207706,0.0028556870438640894,0.24488446491354818
103,IGHG1,3.022395,0.9799118,0.003003132945898673,0.24550371810183455
104,SLCO2A1,3.0164893,25.622015,0.00304168579850366,0.24550371810183455
105,VCL,3.0164893,25.622015,0.00304168579850366,0.24550371810183455
106,EPB41L2,3.0164893,25.622015,0.00304168579850366,0.24550371810183455
107,RASSF1,3.0128367,2.8582253,0.002941178279375674,0.24550371810183455
108,PIM2,3.0093775,2.8244355,0.0029729776233916815,0.24550371810183455
109,BIRC3,3.0080318,1.2459867,0.003124082689232601,0.24784389334578633
110,IDO1,2.9953668,2.4523847,0.003106568641442969,0.24784389334578633
111,GBP2,2.9803627,1.5968999,0.003347177653074112,0.26107985693978075
112,TALDO1,2.974119,2.218608,0.0033383887307924733,0.26107985693978075
113,AUP1,2.966169,1.7023134,0.003529725011004883,0.27195946478428573
