,names,scores,logfoldchanges,pvals,pvals_adj
0,IGLC2,7.4988494,3.5263379,2.5517157974771068e-12,2.3685026032182506e-08
1,IGLC3,7.22753,28.787445,2.2772404255159102e-11,7.045781876546227e-08
2,IGHG1,7.163874,2.8307774,4.700253989816386e-11,8.725551506695139e-08
3,LINC02739,6.791464,2.615938,4.465350607388528e-10,5.921054905397187e-07
4,IGHG3,5.767057,2.9778218,1.5014698075852632e-07,0.00011613868961672011
5,IGHM,5.737862,2.1444137,7.237655143360581e-08,6.107265003697538e-05
6,TMEM107,5.621714,1.7439483,2.4273232411602934e-07,0.00015962891871059546
7,IGLC1,5.2257285,2.0578265,7.0225498877424e-07,0.00037600591274788097
8,IGHG4,4.9642186,1.8448541,4.7763868151875355e-06,0.0021111629723128906
9,TNFRSF6B,4.651552,2.8736997,6.585959397061292e-06,0.0027786761419783144
10,MS4A1,4.4545083,26.719038,1.627559260672556e-05,0.00629458544065111
11,C1QC,4.2090545,26.44495,4.385615054333739e-05,0.014538313905116344
12,MUC1,4.1779866,1.897518,5.076909850864876e-05,0.01573387091213828
13,CD79B,4.171544,26.227362,5.085284716269644e-05,0.01573387091213828
14,NFRKB,4.0660605,26.077173,7.672104211199824e-05,0.021579536754047505
15,IGKC,4.0350933,1.4021986,0.00014399241045663714,0.03517204089101331
16,AIF1,3.913929,25.974312,0.00013701065281536138,0.034371158903572556
17,TNFRSF13C,3.869618,26.03531,0.00016173886227257705,0.03849384922087334
18,IGHG2,3.8092132,2.8427613,0.00023269545396288702,0.0479973156374115
19,KLF2,3.757965,25.864073,0.00024421103595511257,0.04822908161139053
