,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,8.421717,3.1125674,1.9930725579612063e-13,1.8499699482995917e-09
1,IGHA1,7.1709943,2.5151613,1.1521286147672851e-10,5.347028901134971e-07
2,JCHAIN,5.2374816,2.2657614,8.352453592832816e-07,0.002584249141622473
3,PLA2G2A,5.139046,2.1083689,1.2954903223164068e-06,0.003006185292935222
4,IGKC,5.042461,1.8407366,2.019460805554452e-06,0.0037489270394312846
5,IGHG4,4.980304,1.9941204,3.091110377141176e-06,0.004781947753437399
6,S100A6,4.7912517,1.9159054,5.424387033930643e-06,0.007192737206992032
7,LCN2,4.7822533,3.3675225,8.094226247687629e-06,0.00939132600387957
8,AL049543.1,4.631433,4.1680083,1.5354705229381443e-05,0.014252237393911854
9,DMBT1,4.581356,2.1818106,1.4142533635177043e-05,0.014252237393911854
10,IGHG2,4.4904857,3.5722275,2.729591568210088e-05,0.023032789941932762
11,AL627171.2,4.3434887,1.132246,3.22201750599203e-05,0.024922305408848353
