,names,scores,logfoldchanges,pvals,pvals_adj
0,IRF1,-2.4924226,-1.2638961,0.01448750414668853,0.04997139111466478
1,SON,-2.4942043,-1.1529787,0.014444064370126755,0.04987715977809395
2,MIDN,-2.4968731,-1.2696043,0.014308789238464919,0.04950211767105158
3,SLC27A2,-2.4970553,-1.6134979,0.014317704652270521,0.0495145061782321
4,BLOC1S1,-2.4972694,-1.4365846,0.0142993681279113,0.04948796978496372
5,ZCCHC14,-2.4982882,-1.7486986,0.0143276162071554,0.04953032910049028
6,PNN,-2.4983263,-1.8826394,0.01447411515070759,0.049943768337869086
7,HNRNPM,-2.4990342,-1.4654022,0.014231035809987257,0.049398831110060486
8,KLF6,-2.5012963,-1.8383294,0.014385605416237521,0.04969378097265227
9,IARS2,-2.5029335,-1.9675875,0.014279556129399473,0.04943783662554491
10,SACM1L,-2.5029335,-1.9675875,0.014279556129399473,0.04943783662554491
11,LRRC59,-2.5029335,-1.9675875,0.014279556129399473,0.04943783662554491
12,DQX1,-2.5029335,-1.9675875,0.014279556129399473,0.04943783662554491
13,VPS52,-2.5029335,-1.9675875,0.014279556129399473,0.04943783662554491
14,SNRPG,-2.5029335,-1.9675875,0.014279556129399473,0.04943783662554491
15,JKAMP,-2.5029335,-1.9675875,0.014279556129399473,0.04943783662554491
16,MYO1D,-2.5031726,-1.3935479,0.014077933670834174,0.048977278985263425
17,PSMB2,-2.5060952,-2.3698876,0.014381187467067189,0.04969378097265227
18,UBXN4,-2.5069323,-1.7233016,0.013948163720205685,0.04868259054861075
19,SNX1,-2.5072355,-1.5189832,0.013998070637365792,0.048717694659178586
20,LTB,-2.507523,-1.5640264,0.013950778572453297,0.04868259054861075
21,LRATD1,-2.5077786,-1.397645,0.013982739323701384,0.04868259054861075
22,TRA2B,-2.5085025,-1.8746086,0.014135806968715641,0.04908662936162312
23,UXT,-2.5085025,-1.8746086,0.014135806968715641,0.04908662936162312
24,ACCS,-2.5085025,-1.8746086,0.014135806968715641,0.04908662936162312
25,PRRC2B,-2.5085025,-1.8746086,0.01413580696871564,0.04908662936162312
26,SREBF2,-2.5150428,-2.3150113,0.013980137586329086,0.04868259054861075
27,GSPT1,-2.5150428,-2.3150113,0.013980137586329086,0.04868259054861075
28,CACUL1,-2.5150428,-2.3150113,0.013980137586329086,0.04868259054861075
29,NANS,-2.5150428,-2.3150113,0.013980137586329086,0.04868259054861075
30,MIEF1,-2.5150428,-2.3150113,0.013980137586329086,0.04868259054861075
31,MAFG,-2.5150428,-2.3150113,0.013980137586329086,0.04868259054861075
32,PAGR1,-2.5150428,-2.3150113,0.013980137586329086,0.04868259054861075
33,EMD,-2.5150428,-2.3150113,0.013980137586329086,0.04868259054861075
34,IFNAR2,-2.5150428,-2.3150113,0.013980137586329086,0.04868259054861075
35,PRKD2,-2.5164673,-1.8533258,0.013757537603465382,0.04816954509066981
36,CD46,-2.5176313,-1.2343681,0.013544307952760598,0.047458764219525815
37,ARHGEF5,-2.5181391,-2.09299,0.013797004224413073,0.04827131293290696
38,CYP27A1,-2.5187354,-1.4018918,0.013529970489676527,0.0474264297904749
39,UBXN1,-2.5195022,-2.5645366,0.014092039334211067,0.04900798392661938
40,SFPQ,-2.5209296,-1.3763783,0.01363503334422083,0.04775863377398406
41,SRSF8,-2.5218675,-2.1934426,0.013844496965018372,0.04841922412558423
42,TRIB1,-2.5223057,-1.6757499,0.013475984797698872,0.04730865767482637
43,SLC39A9,-2.5232718,-1.7585282,0.013455481330136113,0.04727243667915345
44,BABAM1,-2.5232718,-1.7585282,0.013455481330136113,0.04727243667915345
45,NGEF,-2.5245392,-1.6727904,0.013496216341344361,0.047332704525055
46,ACTR1A,-2.5247464,-2.0212424,0.013473940661665611,0.04730865767482637
47,CGGBP1,-2.5254521,-1.6174823,0.013291101993038523,0.046748013906549285
48,CSAD,-2.5264626,-2.318171,0.013498132824587436,0.047332704525055
49,VAV2,-2.5265017,-1.4961495,0.013240048493313105,0.04658609936123284
50,RERE,-2.526729,-1.9217447,0.013441510937789539,0.047259130501728225
51,CPSF6,-2.5282338,-2.5713608,0.013778484920688887,0.04822469722241111
52,H2AFZ,-2.532351,-2.2082393,0.013481321420483888,0.04730949921547503
53,NCOR2,-2.5334175,-1.8005761,0.01313957498386706,0.04625010807745698
54,TNNC2,-2.5352325,-1.8266225,0.013003005822764663,0.04587377424815721
55,IER2,-2.5356472,-1.4741124,0.013011826877497287,0.04588745329670586
56,ATP5F1C,-2.5369527,-1.6669346,0.012874786833132708,0.045455979986739364
57,TRAPPC5,-2.5391428,-1.7642705,0.012857931480518293,0.04541374429306347
