Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	53/71	1.030012e-27	5.520865e-24	0	0	1.554904e+01	9.662210e+02	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COA6;COX8A;NDUFC2;NDUFC1;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;UQCRH;CYC1;NDUFV2;NDUFV1;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	52/70	4.834537e-27	1.295656e-23	0	0	1.525086e+01	9.241107e+02	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COX8A;NDUFC2;NDUFC1;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;UQCRH;CYC1;NDUFV2;NDUFV1;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	157/485	2.869547e-19	5.126925e-16	0	0	2.565011e+00	1.095130e+02	ATP8A1;SRP14;STK10;LGALS3;PNP;LAMP1;PSMD2;ANPEP;FTH1;LAMP2;TOM1;SIRPA;OSTF1;PRSS3;ACAA1;B2M;GOLGA7;KCMF1;ARSA;DGAT1;IST1;PRKCD;HLA-B;HLA-C;ADAM10;ATP11B;ATP11A;MIF;OLFM4;EEF1A1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;RAB5B;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;SDCBP;NCSTN;RAP1A;PSAP;NEU1;MLEC;RAB6A;ATG7;SLC15A4;ATP6V1D;ATP6V0A1;CTSA;HSPA8;XRCC6;MGAM;TRAPPC1;JUP;XRCC5;FUCA1;FUCA2;SURF4;PA2G4;ARPC5;EEF2;PRDX6;NFKB1;DIAPH1;TOLLIP;SERPINA1;HSP90AB1;DDX3X;HEXB;SNAP23;CTSZ;GDI2;PTPRJ;MAGT1;HMGB1;SLC2A5;AP2A2;ACTR1B;STBD1;NAPRT;CTSH;CD36;RAC1;CTSD;SPTAN1;DSP;ACTR2;SERPINB1;HSP90AA1;DBNL;MME;SYK;DYNLT1;PGAM1;ATP6AP2;NME2;RHOG;NDUFC2;COMMD3;ANO6;RHOF;DYNLL1;RHOA;PSMA5;VAMP8;DNAJC3;CEACAM1;PSMA2;TMBIM1;CAT;ALDOC;DNASE1;PAFAH1B2;RAB7A;CD63;GRN;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;CREG1;PSMB1;ORMDL3;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;TUBB4B;SVIP;CPPED1;RAB10;PFKL;RAB14;VAPA;RAB18;LAMTOR2;LAMTOR1;YPEL5;CD68;LAMTOR3;FRK
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	155/481	7.883081e-19	1.056333e-15	0	0	2.546522e+00	1.061502e+02	ATP8A1;SRP14;STK10;LGALS3;PNP;LAMP1;PSMD2;ANPEP;FTH1;LAMP2;TOM1;SIRPA;OSTF1;PRSS3;ACAA1;B2M;GOLGA7;KCMF1;ARSA;DGAT1;IST1;PRKCD;HLA-B;HLA-C;ADAM10;ATP11B;ATP11A;MIF;OLFM4;EEF1A1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;RAB5B;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;SDCBP;NCSTN;RAP1A;PSAP;NEU1;MLEC;RAB6A;ATG7;SLC15A4;ATP6V1D;ATP6V0A1;CTSA;HSPA8;XRCC6;MGAM;TRAPPC1;JUP;XRCC5;FUCA1;FUCA2;SURF4;PA2G4;ARPC5;EEF2;PRDX6;NFKB1;DIAPH1;TOLLIP;SERPINA1;HSP90AB1;DDX3X;HEXB;SNAP23;CTSZ;GDI2;PTPRJ;MAGT1;HMGB1;SLC2A5;AP2A2;ACTR1B;STBD1;NAPRT;CTSH;CD36;RAC1;CTSD;SPTAN1;DSP;ACTR2;SERPINB1;HSP90AA1;DBNL;MME;DYNLT1;PGAM1;ATP6AP2;NME2;RHOG;NDUFC2;COMMD3;ANO6;RHOF;DYNLL1;RHOA;PSMA5;VAMP8;DNAJC3;CEACAM1;PSMA2;TMBIM1;CAT;ALDOC;PAFAH1B2;RAB7A;CD63;GRN;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;CREG1;PSMB1;ORMDL3;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;TUBB4B;SVIP;CPPED1;RAB10;PFKL;RAB14;VAPA;RAB18;LAMTOR2;LAMTOR1;YPEL5;CD68;LAMTOR3;FRK
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	156/488	1.415020e-18	1.516901e-15	0	0	2.516534e+00	1.034280e+02	ATP8A1;SRP14;STK10;LGALS3;PNP;LAMP1;PSMD2;ANPEP;FTH1;LAMP2;TOM1;SIRPA;OSTF1;PRSS3;ACAA1;B2M;GOLGA7;KCMF1;ARSA;DGAT1;IST1;PRKCD;HLA-B;HLA-C;ADAM10;ATP11B;ATP11A;MIF;OLFM4;EEF1A1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;RAB5B;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;SDCBP;NCSTN;RAP1A;PSAP;NEU1;MLEC;RAB6A;ATG7;SLC15A4;ATP6V1D;ATP6V0A1;CTSA;HSPA8;XRCC6;MGAM;ACE;TRAPPC1;JUP;XRCC5;FUCA1;FUCA2;SURF4;PA2G4;ARPC5;EEF2;PRDX6;NFKB1;DIAPH1;TOLLIP;SERPINA1;HSP90AB1;DDX3X;HEXB;SNAP23;CTSZ;GDI2;PTPRJ;MAGT1;HMGB1;SLC2A5;AP2A2;ACTR1B;STBD1;NAPRT;CTSH;CD36;RAC1;CTSD;SPTAN1;DSP;ACTR2;SERPINB1;HSP90AA1;DBNL;MME;DYNLT1;PGAM1;ATP6AP2;NME2;RHOG;NDUFC2;COMMD3;ANO6;RHOF;DYNLL1;RHOA;PSMA5;VAMP8;DNAJC3;CEACAM1;PSMA2;TMBIM1;CAT;ALDOC;PAFAH1B2;RAB7A;CD63;GRN;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;CREG1;PSMB1;ORMDL3;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;TUBB4B;SVIP;CPPED1;RAB10;PFKL;RAB14;VAPA;RAB18;LAMTOR2;LAMTOR1;YPEL5;CD68;LAMTOR3;FRK
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	272/1025	2.075442e-18	1.854061e-15	0	0	1.959084e+00	7.976676e+01	APP;PGAP1;ZDHHC6;DCAF8;PPP2R2A;DCAF7;UBE2L3;PSMD8;GOLGA2;NUB1;PPP4R1;PPP4R2;PPP2R1B;PSMD2;CDK20;PDK3;PDK2;SKP1;WSB1;WSB2;DAPK2;PRKCD;CSNK1D;PHKA2;PRKAB1;BCR;PSME1;PRKD2;TRIB1;EPAS1;CTBP1;DCUN1D1;MTMR4;PRKCZ;TGOLN2;UGCG;NUAK2;PSMF1;APOB;ATG7;ATG5;LHPP;ICMT;INSR;FUCA2;EIF2AK2;PTK6;SRPK1;WNK2;FBXL3;BAP1;PIGS;ARF4;PIGT;SERPINA1;GPAA1;PRKAG2;AATK;MIA3;PTPRJ;PTPRK;PTPRH;PRSS23;TRIOBP;PTPRF;DDA1;IKBKB;ANKRD9;PPP3CA;UBL5;SERP1;FASTK;UBXN7;RAB8A;DUSP5;BRD2;PARP6;PARP3;PARP4;RIPK3;SYK;DUSP1;STRADB;SIRT7;TYK2;SUMF2;PSMA5;PSMA4;B3GNT8;PSMA1;MMP15;PSMA2;RARA;PICK1;FAM20C;SGK3;GAS6;SGK1;CHST5;PIGH;PSMA7;CAMKK2;PSMB6;CST3;PPP2CA;PPP2CB;PSMB4;PSMB5;PSMB3;PSMB1;MGAT1;MAP4K5;CSNK1A1;GLYCTK;KRT10;HIPK3;RAB11A;KTN1;RAB11B;SPSB3;PDP1;PSMC5;PSMC6;TAOK3;STK17B;TAOK2;NUCB1;PKN2;COQ8A;FRK;ENGASE;PNPLA2;PRAG1;UBE2D3;MPI;PARK7;FBXO21;FBXO22;CDC14B;PPP1CB;STK10;PPP1CC;STK11;PIM1;PIM3;SBF1;LARGE1;TGM2;MEN1;RAB2A;FBXW5;IGFBP4;APLP2;DYRK1A;SHISA5;ADAM10;LMTK2;DYRK1B;PRPF4B;LMO7;FBXO11;PDIA6;FBXW2;RBX1;CTDNEP1;ILF3;MAPKAPK2;TNIK;PHPT1;UBA7;CUL5;CUL3;STK39;FUT4;HSP90B1;FUT6;COP1;GRK2;IRAK1;MAN2A2;OARD1;MAN2A1;STK38;ABL1;NAE1;MARK3;UBE2I;OGA;B3GALT5;BTBD6;FBXO32;SSH2;FBXO31;PTPRD;BMP2;COPS5;STK24;CDK3;COPS2;AAK1;MELTF;STT3B;RAB5A;MAP3K11;BMPR1A;ST6GALNAC1;GSK3A;DYRK2;BMPR2;PRKCSH;MAST2;NGLY1;ILK;PTPN21;PTPN22;DUSP16;UFL1;ILKAP;DSP;PDPK1;APOA1;PPP2R5D;OXSR1;PPP2R5C;RABGGTA;YWHAZ;TGFBR2;DNAJC3;LATS1;PPM1A;PTP4A2;RCN1;CTDSP1;DAD1;PEAK1;CTDSP2;ATG4B;BIRC6;RAB1A;CAMK2D;ROCK2;RAB1B;ASB13;TULP4;PDXP;GLRX;RNF7;ACVR1B;THBS1;TNKS2;MKNK2;ERBB2;PTK2B;RBBP7;DCAF11;MAPK6;MAPK3;ATE1;USP25;CDK11A;FEM1B;LAMB1;FBXL15;CDC42BPB;CUL4A;PINK1;SNRK;MGAT4A;CD247;P4HB;METAP1;CUL4B
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	31/39	3.871141e-18	2.964188e-15	0	0	2.033435e+01	8.152648e+02	NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFB1;NDUFV2;NDUFV1;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS2;NDUFS1
GO_Biological_Process_2021	endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	78/185	2.734028e-17	1.831798e-14	0	0	3.859522e+00	1.471951e+02	ARF4;MCFD2;PGAP1;SERPINA1;GOLT1A;KDELR1;CTSZ;MIA2;MIA3;IER3IP1;GOLGA2;TFG;CAPZB;TRAPPC12;TMED2;TMED7;SPTAN1;TMED5;TMED4;RAB2A;SEC13;ARFGAP3;DYNLL1;DYNLL2;BET1L;COPZ1;DYNC1LI2;TBC1D20;KDELR2;GAS6;ERGIC2;ERGIC1;COPB2;DCTN5;RAB1A;COPA;SEC23A;TMED10;SAR1A;DCTN2;SAR1B;DCTN1;COPB1;CUL3;GOSR2;RAB1B;ATL2;USO1;KLHL12;LMAN1;SCFD1;LMAN2;YKT6;SPTBN1;SEC31A;BCAP31;SEC16B;DYNC1H1;TRAPPC1;SEC24A;SEC16A;TRAPPC4;TRAPPC5;GBF1;YIF1A;ARCN1;CNIH1;VAPA;GOLGB1;CAPZA1;CAPZA2;HYOU1;GOPC;SEC24D;SEC24C;CNIH4;COPE;BET1
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	35/52	1.972717e-16	1.174863e-13	0	0	1.081157e+01	3.909673e+02	ABCD4;ACADVL;ABCD3;ACAA2;ECHS1;ECI1;ECI2;ETFDH;ETFA;CROT;ETFB;MTLN;SCP2;ACADM;ACAA1;ACAD11;HADH;DECR2;ABCD1;ACADS;DECR1;ACOT8;PEX2;HADHB;HADHA;BDH2;ACOX2;ACOX1;EHHADH;IVD;ECHDC1;ECHDC2;SLC27A2;CRAT;PPARD
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	41/70	7.879507e-16	4.223416e-13	0	0	7.432956e+00	2.584966e+02	ABCD4;ACADVL;FAAH;ABCD3;ACAA2;ECHS1;ABHD3;ECI1;ABHD2;ECI2;CROT;MTLN;SCP2;HACL1;ACADM;ACAA1;ACAD11;HADH;ABCD1;ACADS;DECR1;ACOT8;PHYH;ACBD5;PEX2;AIG1;ALDH3A2;HADHB;HADHA;BDH2;ACOX1;ILVBL;EHHADH;ECHDC1;ECHDC2;ADTRP;SLC27A2;LPIN2;LPIN3;PPARD;SLC27A4
