,names,scores,logfoldchanges,pvals,pvals_adj
0,ANXA4,4.279661,27.87278,6.840836467233047e-05,0.3373736160915293
1,ABCA7,4.176271,27.602442,9.741520159420356e-05,0.3373736160915293
2,REG1A,4.0309525,1.827455,0.00015874185781558666,0.3373736160915293
3,UQCR10,3.960463,3.6234362,0.00016265384557449152,0.3373736160915293
4,PGGHG,3.900591,2.175326,0.00018173541052118582,0.3373736160915293
5,PSMD3,3.8332593,27.12229,0.000305536336527683,0.38593841150809094
6,DMBT1,3.7683306,1.8140029,0.0002897725558144767,0.38593841150809094
7,SLC12A9,3.7424479,27.266321,0.00041014468457030174,0.3868487121698542
8,CCDC88B,3.689888,3.6110854,0.00041677301461953703,0.3868487121698542
9,SAMHD1,3.6177754,3.5484607,0.0005265910786711965,0.40178710946224877
10,RAP1B,3.5779607,27.068031,0.0006925871311566452,0.40178710946224877
11,TNFRSF6B,3.5537913,3.5421019,0.0006515969421361284,0.40178710946224877
12,CAPG,3.5443797,27.144001,0.0007695889766991058,0.4201955812777118
13,POLD4,3.5360641,2.06855,0.0006426164266876658,0.40178710946224877
14,TAGLN2,3.5179706,2.255684,0.0006747844539486833,0.40178710946224877
15,MUC13,3.459512,1.6462715,0.0008385391399493987,0.4324066831672399
16,PTEN,3.4299717,26.84252,0.001097689443152236,0.46312515506086616
17,NUCB1,3.4299717,26.84252,0.001097689443152236,0.46312515506086616
18,PXN,3.4299717,26.84252,0.001097689443152236,0.46312515506086616
19,IL32,3.398989,1.8668932,0.0010215150780919383,0.46312515506086616
20,NEDD8,3.374943,26.929424,0.0012991655833917912,0.47432556927358666
21,ACIN1,3.374943,26.929424,0.0012991655833917912,0.47432556927358666
22,TFF3,3.3279314,1.3683277,0.0012796331040889485,0.47432556927358666
23,LCN2,3.311538,2.2011044,0.0013286430511865173,0.47432556927358666
24,B2M,3.2778695,1.0467408,0.0017972814172330226,0.4935625010261153
25,SRP14,3.2739656,3.191266,0.0015447085874193624,0.4935625010261153
26,MTCH1,3.2547472,3.1296039,0.0016298385703995661,0.4935625010261153
