Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to zinc ion (GO:0071294)	6/18	1.225245e-13	3.712007e-11	0	0	4.157917e+02	1.236168e+04	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H
GO_Biological_Process_2021	cellular response to copper ion (GO:0071280)	6/19	1.788919e-13	3.712007e-11	0	0	3.837885e+02	1.126496e+04	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H
GO_Biological_Process_2021	response to copper ion (GO:0046688)	6/23	6.628710e-13	9.169715e-11	0	0	2.934265e+02	8.228323e+03	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H
GO_Biological_Process_2021	cellular response to cadmium ion (GO:0071276)	6/27	1.935821e-12	1.837940e-10	0	0	2.374881e+02	6.405170e+03	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H
GO_Biological_Process_2021	cellular zinc ion homeostasis (GO:0006882)	6/28	2.461251e-12	1.837940e-10	0	0	2.266818e+02	6.059285e+03	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H
GO_Biological_Process_2021	response to cadmium ion (GO:0046686)	6/29	3.100140e-12	1.837940e-10	0	0	2.168152e+02	5.745511e+03	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H
GO_Biological_Process_2021	response to zinc ion (GO:0010043)	6/29	3.100140e-12	1.837940e-10	0	0	2.168152e+02	5.745511e+03	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H
GO_Biological_Process_2021	zinc ion homeostasis (GO:0055069)	6/30	3.871207e-12	2.008189e-10	0	0	2.077708e+02	5.459689e+03	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H
GO_Biological_Process_2021	cellular response to metal ion (GO:0071248)	8/131	1.414976e-11	6.524613e-10	0	0	5.867554e+01	1.465793e+03	SLC12A2;MT2A;MT1M;MT1F;MT1G;DPEP1;MT1H;MT1X
GO_Biological_Process_2021	cellular transition metal ion homeostasis (GO:0046916)	6/96	5.647438e-09	2.343687e-07	0	0	5.522222e+01	1.048784e+03	MT2A;MT1M;MT1F;MT1G;MT1H;MT1X
GO_Biological_Process_2021	cellular divalent inorganic cation homeostasis (GO:0072503)	6/111	1.358184e-08	5.124056e-07	0	0	4.729762e+01	8.567743e+02	MT2A;MT1M;MT1F;MT1G;MT1H;MT1X
GO_Biological_Process_2021	negative regulation of growth (GO:0045926)	6/126	2.908965e-08	1.006017e-06	0	0	4.135417e+01	7.176140e+02	MT2A;MT1M;MT1F;MT1G;MT1H;MT1X
GO_Biological_Process_2021	innate immune response in mucosa (GO:0002227)	3/21	3.976981e-06	1.269575e-04	0	0	1.231605e+02	1.531499e+03	DEFA6;DEFA5;APOA4
GO_Biological_Process_2021	mucosal immune response (GO:0002385)	3/28	9.726842e-06	2.883314e-04	0	0	8.864444e+01	1.023012e+03	DEFA6;DEFA5;APOA4
GO_Biological_Process_2021	lipid transport (GO:0006869)	4/109	2.050698e-05	5.625596e-04	0	0	2.910623e+01	3.141943e+02	FABP2;SCP2;ATP8B1;APOA4
GO_Biological_Process_2021	cellular response to erythropoietin (GO:0036018)	2/5	2.168904e-05	5.625596e-04	0	0	4.754048e+02	5.105231e+03	MT2A;MT1X
GO_Biological_Process_2021	chylomicron remodeling (GO:0034371)	2/9	7.779049e-05	1.899003e-03	0	0	2.037041e+02	1.927344e+03	APOA4;APOB
GO_Biological_Process_2021	phospholipid transport (GO:0015914)	3/59	9.354404e-05	2.121908e-03	0	0	3.951190e+01	3.665550e+02	SCP2;ATP8B1;APOA4
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	2/10	9.714759e-05	2.121908e-03	0	0	1.782321e+02	1.646737e+03	APOA4;APOB
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	3/64	1.192828e-04	2.475119e-03	0	0	3.626412e+01	3.276105e+02	REG3A;DEFA6;DEFA5
GO_Biological_Process_2021	triglyceride-rich lipoprotein particle remodeling (GO:0034370)	2/13	1.679192e-04	3.318403e-03	0	0	1.296039e+02	1.126521e+03	APOA4;APOB
