,names,scores,logfoldchanges,pvals,pvals_adj
0,MT1F,-3.7053473,-1.94292,0.0002600151744955472,0.04826921699335338
1,PEPD,-3.706993,-1.6471248,0.00025269966795350485,0.04786853710090677
2,MT1H,-3.7393212,-2.3400009,0.00023559682259407808,0.04774934138946138
3,MAPKAPK5-AS1,-3.7433925,-25.724419,0.0002499324001557242,0.04786853710090677
4,LRIG2,-3.7433925,-25.724419,0.0002499324001557242,0.04786853710090677
5,MT1X,-3.7861314,-2.0545466,0.00019327434798001482,0.04271363090358327
6,PLA2R1,-3.8236196,-25.953682,0.00018576304216526868,0.04205494042385424
7,SELENBP1,-3.8390627,-1.1524758,0.00015145985566821397,0.03615207445050556
8,NCOR1,-3.8409238,-1.6030936,0.0001518994724811158,0.03615207445050556
9,APOA4,-3.853447,-1.6574101,0.00014308682446805958,0.03615207445050556
10,ATP8B1,-3.875678,-1.9679921,0.0001346088055313188,0.03569825522690574
11,CES2,-3.956694,-1.1185529,9.524646959889375e-05,0.02679023426717975
12,TRIM38,-3.9923856,-2.5671084,8.770317747805523e-05,0.02626002881778415
13,SLC12A2,-3.9936416,-1.6162211,8.371531905059846e-05,0.025901519714255167
14,CTNND1,-4.0249057,-1.3693837,7.267235441506174e-05,0.024090885488592964
15,NDUFV1,-4.027899,-1.3067207,7.212667250428057e-05,0.024090885488592964
16,SCP2,-4.0406985,-1.3557988,6.837788621787072e-05,0.024090885488592964
17,APOB,-4.0420012,-1.2495261,6.784373484515386e-05,0.024090885488592964
18,DPEP1,-4.056749,-1.2957507,6.3768645157027e-05,0.024090885488592964
19,FABP2,-4.2566857,-1.3319215,2.8230535559290857e-05,0.01191071959369717
20,MT1M,-4.3770494,-3.2494009,1.9291220032923602e-05,0.008953055217279843
21,CYB5A,-4.40591,-2.036726,1.4880386972508011e-05,0.007673319548823297
22,MT1G,-4.4295626,-1.6460999,1.3694507257160815e-05,0.007477200962409805
23,MT2A,-4.453946,-1.3206879,1.2206864178364864e-05,0.007081507081473917
24,HNRNPU,-4.5155497,-1.5697855,9.257106614420644e-06,0.006137461685360886
25,CLCA1,-4.7674937,-1.3683923,2.9435190447917843e-06,0.002732174377375734
26,REG3A,-4.7987213,-1.5242811,2.5977640887060834e-06,0.0026791606968188737
27,MALAT1,-6.2322016,-1.3806107,1.5984487120050648e-09,4.945600314943671e-06
28,DEFA6,-6.6740613,-1.8939577,1.3203959096388363e-10,6.127957416633839e-07
29,DEFA5,-6.751666,-2.0524716,8.52734173355364e-11,6.127957416633839e-07
