,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG4,5.8832574,1.4187047,1.3990529758956476e-08,3.24650243056585e-05
1,IGKC,5.7090917,1.3062054,3.293696241808413e-08,6.114417703293137e-05
2,IGHG3,5.106451,1.6164957,6.954119855717699e-07,0.0010304646718329313
3,AL627171.2,5.06367,1.0325603,7.771226786070373e-07,0.0010304646718329313
4,IGHM,5.0220494,1.5741359,1.076185506648674e-06,0.001248644234089124
5,LCN2,4.812018,2.5222292,3.343177909192719e-06,0.002821034304829711
6,IGLC3,4.7635436,2.5887377,4.16751871303161e-06,0.0032235757245299506
7,IGLC2,4.6493454,1.6720369,5.966667571231142e-06,0.004260200645859035
8,IGHA1,4.4770007,1.2296365,1.1549432746070236e-05,0.007081507081473917
9,TNFRSF6B,4.363877,2.4904203,2.2351747439881364e-05,0.009879472368427561
10,JCHAIN,4.168935,1.0892775,4.220516713922007e-05,0.01703253745157568
11,REG1A,3.8006425,1.1147144,0.0001804931950276597,0.04188344590616843
12,TYROBP,3.7873423,3.6788478,0.00022207779558938457,0.04684832042410608
13,UNC13D,3.7732325,4.369262,0.00023663754620935394,0.04774934138946138
14,LINC02739,3.7676222,0.9538262,0.0002081493631958467,0.04493121835311277
15,CD24,3.6715775,1.4574995,0.00031103973921269284,0.050075679942597366
16,MUC1,3.6024656,1.4540635,0.0004036653889468833,0.05854409594070267
17,IGLC1,3.4571402,1.110902,0.0006422947259234526,0.08056458981110118
18,JAK3,3.3659642,1.2685933,0.000893032779385583,0.10108695436898757
19,IGHG2,3.346945,1.8502177,0.0009802041992123176,0.10541493233499637
20,ISG20,3.3125324,1.6050476,0.0010885562709602463,0.11168632363587186
21,S100A11,3.211017,1.3198271,0.001514814693158887,0.13264632058396972
22,CD55,3.2015007,1.638014,0.0016017166382175855,0.13663496155278673
23,CCR7,3.163516,3.1603892,0.0018779375918279255,0.14772048074022717
24,TIMP1,3.081305,1.4370788,0.0023395151532274693,0.16934754127919469
25,LAMC2,3.0765243,2.4070976,0.0024331674221728995,0.16934754127919469
26,GM2A,2.9806097,1.7093034,0.0032419621270240637,0.17805853528424473
27,ITGB2,2.9642215,1.5466626,0.003391282662469053,0.18195309637594076
28,CD36,2.9255002,3.7075503,0.003984199322852133,0.20098553323213858
29,CD53,2.8256638,2.260724,0.005267999754298253,0.20765177844601876
30,ACP5,2.824576,1.684291,0.005281806094438024,0.20765177844601876
31,CYBA,2.8034487,1.0237908,0.005507607214591072,0.20809334971219715
32,IDO1,2.7963977,1.7632132,0.0057414454500700225,0.21402448460863435
33,MMP12,2.7609208,2.1194553,0.006372295058429384,0.22749093358592898
34,CD68,2.7357397,1.0896345,0.006693246848929755,0.2356540398161488
35,TRIB2,2.7131515,2.4582572,0.007358264872813107,0.24926793631186592
36,C1S,2.7082324,0.98436433,0.007272687386974589,0.24818045708050787
37,GBP4,2.7029529,1.2263836,0.007440579597302201,0.25044324964936293
38,HAPLN3,2.7019298,1.7975814,0.007519142806475885,0.2519352027289666
39,ICAM1,2.6763575,2.019822,0.008117595176133396,0.2634528616254202
40,GPNMB,2.6642182,1.5403597,0.008322081941684345,0.2660109845248561
41,FBN1,2.6593394,25.287354,0.00881411727104488,0.2702028667515411
42,IL7R,2.6433072,2.154389,0.008945526559922107,0.2702028667515411
43,CSF1R,2.6230419,1.994787,0.00946088469018001,0.2702028667515411
44,ZDHHC12,2.6068487,2.7888224,0.010003355043791715,0.2738971726149696
45,VIM,2.5823305,1.0533962,0.01045367334113347,0.2821071955957368
46,MGAT2,2.5818849,2.2174704,0.01056444327076434,0.2834079839284237
47,TGFBI,2.5628145,1.6276331,0.011143998982838974,0.2915340106472848
48,IGHG1,2.5305967,0.6854132,0.012004720346438276,0.3012070817042843
49,ATF3,2.5221612,3.377928,0.012698536087469936,0.3115420014001832
50,LAT2,2.5221612,3.377928,0.012698536087469936,0.3115420014001832
51,EDIL3,2.5219266,2.334952,0.012585851385656736,0.3115249934977755
52,MZB1,2.51957,1.1721683,0.012489014793975078,0.309954639886836
53,SHMT2,2.4979992,24.943087,0.013737548349974964,0.3115420014001832
54,CHMP4A,2.4901228,1.994787,0.01370450184104683,0.3115420014001832
55,DENND3,2.4876955,2.154389,0.013814380664774369,0.3115420014001832
56,S100A6,2.484125,0.6409505,0.013633873638039742,0.3115420014001832
57,SLC12A9,2.4708664,1.4101124,0.014288725370730082,0.3150307574610846
58,ABCA7,2.4694588,1.410942,0.014332003661114217,0.3152361563565454
59,SERPINE2,2.4573562,2.8124533,0.015098464335289193,0.32277242476432255
60,EHD2,2.4544842,2.0402184,0.015058251348084025,0.32277242476432255
61,C1QB,2.4462724,0.9036708,0.015199853672294409,0.3228490658723952
62,APOL1,2.4282434,1.0531453,0.015948664783593993,0.3267891976188067
63,DNASE1L3,2.4221587,1.6887441,0.01631926631243743,0.3269589008570183
