,names,scores,logfoldchanges,pvals,pvals_adj
0,KIF11,-3.0190477,-23.230433,0.00263723964714637,0.04743964807134226
1,LMNB2,-3.0190477,-23.230433,0.00263723964714637,0.04743964807134226
2,MIF4GD,-3.0190477,-23.230433,0.00263723964714637,0.04743964807134226
3,SLC29A2,-3.0190477,-23.230433,0.00263723964714637,0.04743964807134226
4,SLC41A3,-3.0190477,-23.230433,0.00263723964714637,0.04743964807134226
5,NSUN6,-3.0190477,-23.230433,0.00263723964714637,0.04743964807134226
6,GRASP,-3.0190477,-23.230433,0.00263723964714637,0.04743964807134226
7,PHLDB2,-3.0190477,-23.230433,0.00263723964714637,0.04743964807134226
8,MYOM3,-3.0190477,-23.230433,0.00263723964714637,0.04743964807134226
9,RAD50,-3.0290666,-1.5520861,0.002686865693387975,0.04823885370604871
10,TUBGCP2,-3.042837,-1.4512078,0.0025724833344839128,0.04743964807134226
11,DDC,-3.0523777,-1.4757723,0.0024778137672124157,0.046182866239489244
12,STAU2,-3.062984,-1.3558615,0.0024285840054475132,0.04544781600516899
13,SEPSECS,-3.0995479,-2.0001714,0.002097026079774053,0.040299370750440495
14,AC067930.8,-3.131017,-1.1014802,0.001994800263053284,0.03865498129783003
15,PEX10,-3.1413338,-23.465698,0.0017598703235933491,0.03482967237439971
16,CTNNBIP1,-3.1413338,-23.465698,0.0017598703235933491,0.03482967237439971
17,ALDH7A1,-3.1413338,-23.465698,0.0017598703235933491,0.03482967237439971
18,ESS2,-3.1413338,-23.465698,0.0017598703235933491,0.03482967237439971
19,C8orf58,-3.1413338,-23.465698,0.0017598703235933491,0.03482967237439971
20,SLTM,-3.1620185,-1.1515056,0.0017740102632638607,0.03496043155756933
21,KCNJ13,-3.1803873,-1.5603337,0.0016783425043967338,0.033792570771823176
22,RRP36,-3.1848927,-23.38322,0.0015188528813687052,0.031259406751362136
23,TSTD3,-3.1848927,-23.38322,0.0015188528813687052,0.031259406751362136
24,SEH1L,-3.1848927,-23.38322,0.0015188528813687052,0.031259406751362136
