,names,scores,logfoldchanges,pvals,pvals_adj
0,LINC02739,5.632944,1.9953011,1.4352504131980155e-07,0.00044406647784346604
1,IGKC,5.5204544,1.7151127,4.7652225140658063e-07,0.0010553811620482641
2,AL627171.2,5.286885,1.3806555,1.006069721827724e-06,0.001334048451143562
3,IGHG3,4.896041,1.9248272,4.262510026195965e-06,0.004945577257893869
4,IGHG4,4.7585683,1.5521951,7.324209108185743e-06,0.007553700993575563
5,IGHA1,4.735939,1.7659854,9.172546167452882e-06,0.008447687584792453
6,IGHM,4.658922,1.7548888,1.0011265183442897e-05,0.008447687584792453
7,AL049543.1,4.53162,2.9575148,1.107352466110712e-05,0.008565371325366358
8,RASGRP2,4.2778254,3.530228,3.218611983875065e-05,0.021339397453091682
9,MUC1,4.133426,2.065751,6.149346535554922e-05,0.03567389658938799
10,CCDC107,4.11857,26.406652,7.004937519756255e-05,0.03624248055448233
11,TNFRSF6B,4.0027885,2.649144,9.508269021844371e-05,0.04645039634776813
