,names,scores,logfoldchanges,pvals,pvals_adj
0,LINC02739,5.632944,1.9953011,1.4352504131980155e-07,0.00044406647784346604
1,IGKC,5.5204544,1.7151127,4.7652225140658063e-07,0.0010553811620482641
2,AL627171.2,5.286885,1.3806555,1.006069721827724e-06,0.001334048451143562
3,IGHG3,4.896041,1.9248272,4.262510026195965e-06,0.004945577257893869
4,IGHG4,4.7585683,1.5521951,7.324209108185743e-06,0.007553700993575563
5,IGHA1,4.735939,1.7659854,9.172546167452882e-06,0.008447687584792453
6,IGHM,4.658922,1.7548888,1.0011265183442897e-05,0.008447687584792453
7,AL049543.1,4.53162,2.9575148,1.107352466110712e-05,0.008565371325366358
8,RASGRP2,4.2778254,3.530228,3.218611983875065e-05,0.021339397453091682
9,MUC1,4.133426,2.065751,6.149346535554922e-05,0.03567389658938799
10,CCDC107,4.11857,26.406652,7.004937519756255e-05,0.03624248055448233
11,TNFRSF6B,4.0027885,2.649144,9.508269021844371e-05,0.04645039634776813
12,REG1A,3.907447,1.5302728,0.0001807333755389832,0.06383537708892202
13,LIMD1-AS1,3.9042158,1.5467682,0.00015866968636333778,0.06383537708892202
14,SNHG12,3.856736,1.517786,0.00017726617443219146,0.06383537708892202
15,PARM1,3.850529,26.535656,0.0001898395820788831,0.06383537708892202
16,CD55,3.8077295,2.4001005,0.0002037900286686052,0.06383537708892202
17,IDO1,3.8061304,2.8438966,0.00019777581785863533,0.06383537708892202
18,ARHGEF1,3.804269,3.2061417,0.00019929890702084397,0.06383537708892202
19,ITGAV,3.7023976,26.381863,0.0003229612575177205,0.09367894975873381
20,IGLC1,3.697468,1.4543078,0.00035707213618648727,0.10043465357827197
21,FURIN,3.6331804,26.072271,0.00041194791978025263,0.109248588325723
22,CDC42SE1,3.6331804,26.072271,0.00041194791978025263,0.109248588325723
23,WDR74,3.6063333,0.8812476,0.000558305760531255,0.1295548517312777
24,SPRYD3,3.586225,26.143364,0.0004850152944928382,0.11543364008929549
25,PIM2,3.586225,26.143364,0.0004850152944928382,0.11543364008929549
26,UBD,3.565205,2.552776,0.0004741335552726845,0.11543364008929549
27,TAPBPL,3.462801,25.942598,0.0007397514527644585,0.15540242847481175
28,PIGQ,3.462801,25.942598,0.0007397514527644585,0.15540242847481175
29,PLAUR,3.4508674,26.47169,0.0007701477817109826,0.15540242847481175
30,SCO2,3.4324028,2.49596,0.0007541367743424673,0.15540242847481175
31,FHL2,3.4285202,26.292948,0.0008302498681984777,0.1611188459876058
32,KLRK1,3.4152796,26.01977,0.0008679101809287104,0.1611188459876058
