,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,5.1822796,4.013756,4.0509021433797345e-05,0.2408550064587204
1,AL627171.2,4.750625,2.3450568,7.78458327274468e-05,0.2408550064587204
2,IGKC,4.746327,2.7041593,7.58416308839215e-05,0.2408550064587204
3,JCHAIN,4.1272874,3.5717738,0.0004840116838309946,0.7322454041054806
4,DMBT1,4.0404444,3.9674542,0.0006744842594575267,0.7322454041054806
5,ACTB,3.8848515,2.3281667,0.000456468845135711,0.7322454041054806
6,MT-CO1,3.7900627,1.9982207,0.0005802349983088452,0.7322454041054806
7,IFI27,3.7570944,2.9460864,0.0009056677107169401,0.7322454041054806
8,IGHA1,3.7540896,2.8908417,0.0009566595772746663,0.7322454041054806
9,MYL6,3.737732,1.975838,0.0006440019109298091,0.7322454041054806
10,PLA2G2A,3.611627,3.1483097,0.00147518364183083,0.7322454041054806
11,VMP1,3.5844638,28.545507,0.0022846545171105997,0.7322454041054806
12,MUC1,3.5844638,28.545507,0.0022846545171105997,0.7322454041054806
13,MT-CO2,3.5655363,1.9379987,0.001201551164730857,0.7322454041054806
14,UQCR10,3.5356998,28.65778,0.002539621083179578,0.7322454041054806
15,OST4,3.5356998,28.65778,0.002539621083179578,0.7322454041054806
16,TMEM176A,3.3970609,3.6621327,0.0026186011414167914,0.7322454041054806
17,B2M,3.3784842,2.096075,0.001870044822315267,0.7322454041054806
18,SLC3A1,3.3561635,2.9957237,0.0026269157034560222,0.7322454041054806
19,HLA-C,3.3462813,2.467635,0.002343407581139076,0.7322454041054806
20,FAM3B,3.3436618,4.192885,0.0033620212529610056,0.7322454041054806
21,ACTG1,3.337037,2.4692504,0.0022156336252371856,0.7322454041054806
22,HLA-DRA,3.3158422,2.6315165,0.002333272247843246,0.7322454041054806
23,METRNL,3.2891004,28.204826,0.004330794818932677,0.7322454041054806
24,COPE,3.2891004,28.204826,0.004330794818932677,0.7322454041054806
25,PTP4A2,3.2891004,28.204826,0.004330794818932677,0.7322454041054806
26,HLA-DRB1,3.2837915,2.463771,0.003135514357912944,0.7322454041054806
27,S100A6,3.280945,2.6338277,0.0024262650642764435,0.7322454041054806
28,IGLC2,3.2540987,3.105509,0.0035573790530691106,0.7322454041054806
29,MUC13,3.206691,1.9883088,0.002831832229060839,0.7322454041054806
30,BIRC3,3.1748981,2.8446567,0.004288043799304329,0.7322454041054806
31,PSME2,3.1644006,4.067495,0.00487962300680028,0.7322454041054806
32,ALPI,3.0809035,2.694546,0.004835629197910445,0.7322454041054806
33,ST14,2.9455466,2.4976354,0.007206403202045999,0.7322454041054806
34,CD74,2.9244554,1.6791676,0.0071097352419774796,0.7322454041054806
35,MVP,2.9218397,2.519681,0.006601396251685444,0.7322454041054806
36,MT-ND4,2.9098463,1.2094238,0.006205483501711453,0.7322454041054806
37,ATP5F1B,2.9060216,2.3512192,0.006809279337134955,0.7322454041054806
38,KRT18,2.8956525,2.4951854,0.007803316612662785,0.7322454041054806
39,PLAAT4,2.8791857,2.9700012,0.009041078500728945,0.7322454041054806
40,ARHGEF18,2.83285,28.104616,0.011482483312033578,0.7322454041054806
41,PPP1R14D,2.8095655,28.374538,0.012060077630895196,0.7322454041054806
42,GOSR2,2.8095655,28.374538,0.012060077630895196,0.7322454041054806
43,ODF3B,2.8095655,28.374538,0.012060077630895196,0.7322454041054806
44,ATP5MC2,2.805581,28.244364,0.012161686349624962,0.7322454041054806
45,TAPBP,2.7768803,2.1184435,0.009519140261683252,0.7322454041054806
46,PIGR,2.7588909,1.8200269,0.009750331709321727,0.7322454041054806
47,ANPEP,2.757353,1.8073927,0.009233915978599468,0.7322454041054806
48,H3F3A,2.7404323,3.3156786,0.011708861037686357,0.7322454041054806
49,TMSB10,2.734303,1.756024,0.0106818310541692,0.7322454041054806
50,KRT8,2.7263634,1.9411652,0.010299421458874887,0.7322454041054806
51,C19orf33,2.722219,2.0369165,0.010626900591356,0.7322454041054806
52,MTG1,2.6916378,3.5070367,0.013819900814912665,0.7322454041054806
53,S100A14,2.6916378,3.5070367,0.013819900814912665,0.7322454041054806
54,PDZK1IP1,2.690361,28.527048,0.015483344590731151,0.7322454041054806
55,CYBA,2.690361,28.527048,0.015483344590731151,0.7322454041054806
56,IGHM,2.6885817,2.7499616,0.013606882848960541,0.7322454041054806
57,EXOC3L4,2.6550372,3.390141,0.014778556088543147,0.7322454041054806
58,COX7B,2.6398735,3.1330955,0.014649292922828402,0.7322454041054806
59,BTBD2,2.6398735,3.1330955,0.014649292922828402,0.7322454041054806
60,CYP27A1,2.6398735,3.1330955,0.014649292922828402,0.7322454041054806
