,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG3,4.4524436,29.643267,0.00034958264355869156,0.3852911432158849
1,MUC1,3.5844638,28.545507,0.0022846545171105997,0.3852911432158849
2,LINC02739,3.3976583,2.617002,0.0021811065337595486,0.3852911432158849
3,IGLC2,3.201546,3.0288455,0.003954786547307806,0.3852911432158849
4,LPCAT1,2.9154758,27.953499,0.009640967245002527,0.3852911432158849
5,IGLC3,2.8095655,28.374538,0.012060077630895196,0.3852911432158849
6,ADD1,2.59817,3.0577712,0.015909257147007545,0.39330488021631227
7,REG1A,2.485615,1.4666862,0.01933280334097285,0.39330488021631227
8,LARP4B,2.4827306,27.838127,0.023772588589455065,0.39330488021631227
9,PDZK1IP1,2.2893248,3.3799932,0.033043237191153076,0.4002828542459018
10,DMBT1,2.2203116,1.5673789,0.03513940052213035,0.4002828542459018
11,ING4,2.2038927,27.3112,0.041604739016260044,0.4002828542459018
12,IGHG4,2.202893,1.339503,0.03466221672469348,0.4002828542459018
13,AL627171.2,2.1925347,1.0790585,0.037758677441115614,0.4002828542459018
14,IGHG1,2.0145144,2.9992392,0.056893831831086164,0.4157436110027178
15,TMEM107,1.9965249,1.4666988,0.05394213047308014,0.4157436110027178
16,IGHM,1.9660563,1.7055583,0.06010118876280996,0.4157436110027178
17,IGKC,1.9406759,1.1281508,0.060766639700245054,0.4157436110027178
18,GNAI2,1.8651701,2.5146515,0.07411192903919347,0.4157436110027178
19,NUCKS1,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
20,EMILIN1,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
21,COMMD2,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
22,COG2,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
23,C8orf58,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
24,PIGO,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
25,MMP12,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
26,SPCS3,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
27,Z93241.1,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
28,THUMPD3,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
29,MZB1,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
30,GATAD2A,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
31,SERPING1,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
32,PPP3CB,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
33,MAPKAPK5,1.8439089,26.86776,0.08269790631271431,0.4157436110027178
34,AC007952.4,1.8388485,1.2098529,0.07547100603506189,0.4157436110027178
35,CPT1B,1.7876774,27.141348,0.09166774452775779,0.4157436110027178
36,ABI1,1.7876774,27.141348,0.09166774452775779,0.4157436110027178
37,TRIM25,1.7876774,27.141348,0.09166774452775779,0.4157436110027178
38,CARD16,1.7876774,27.141348,0.09166774452775779,0.4157436110027178
39,CRIPAK,1.7603844,1.931005,0.08973336430417353,0.4157436110027178
40,CEP350,1.6857464,1.7798877,0.10259445897337124,0.4506775997117046
41,UBD,1.6237401,2.567741,0.11860267727902482,0.46526875550212443
42,MTRNR2L1,1.615313,1.3239903,0.11689193881566515,0.46526875550212443
43,CYBA,1.6072612,1.7417592,0.12065720334694241,0.46526875550212443
44,RBM26,1.5514599,2.3777502,0.1341905696805122,0.46526875550212443
45,AC009133.1,1.5514599,2.3777502,0.1341905696805122,0.46526875550212443
46,MROH6,1.5514599,2.3777502,0.1341905696805122,0.46526875550212443
47,IFITM3,1.5449584,1.931005,0.13525025729778614,0.46526875550212443
48,FDX1,1.4910191,2.1641438,0.14811915599583705,0.46526875550212443
49,MSL2,1.4910191,2.1641438,0.14811915599583705,0.46526875550212443
50,SNHG8,1.4910191,2.1641438,0.14811915599583705,0.46526875550212443
51,HLA-DPA1,1.488799,1.2262759,0.14829186394967872,0.46526875550212443
52,RNF170,1.4577379,26.254574,0.16313885284404722,0.46526875550212443
53,COQ5,1.4577379,26.254574,0.16313885284404722,0.46526875550212443
54,HGSNAT,1.4577379,26.254574,0.16313885284404722,0.46526875550212443
55,DHX36,1.4577379,26.254574,0.16313885284404722,0.46526875550212443
56,AP3M2,1.4577379,26.254574,0.16313885284404722,0.46526875550212443
57,SDHAF1,1.4577379,26.254574,0.16313885284404722,0.46526875550212443
58,IKBKE,1.4577379,26.254574,0.16313885284404722,0.46526875550212443
59,AKAP11,1.4577379,26.254574,0.16313885284404722,0.46526875550212443
