,names,scores,logfoldchanges,pvals,pvals_adj
0,FCGBP,-3.5110989,-1.3546855,0.0009232755241201184,0.046698303677268384
1,GNAS,-3.5149705,-1.3070612,0.0008825471135346454,0.04610484957744656
2,CANX,-3.5270212,-1.5292107,0.0009257151343048247,0.046698303677268384
3,GRK2,-3.5305188,-1.6779506,0.0009025229594362163,0.04637507220086672
4,ZFP36L1,-3.5364525,-2.119361,0.0009577958890629626,0.048055467255580644
5,HSD17B11,-3.5467987,-2.5005386,0.0009773834589218199,0.0487745874500663
6,AQP1,-3.5518801,-3.3534663,0.0009905855490272074,0.04916906452444138
7,SRSF11,-3.562053,-2.0008764,0.0008638627220582791,0.04555894196673266
8,ERBB2,-3.5658123,-2.463318,0.0009043189041539406,0.04637507220086672
9,HADHA,-3.575404,-1.8086152,0.0008381454383901958,0.04547654599030585
10,NDUFA10,-3.5776477,-2.1836,0.000860027613886109,0.04555894196673266
11,SULT1B1,-3.5788476,-3.142362,0.0009097571674497037,0.04639761553993489
12,GDA,-3.5840485,-2.1799903,0.000853647861531865,0.04553769799275156
13,HNRNPH1,-3.584101,-1.3060359,0.0007291040265507711,0.04256316713486954
14,CALM2,-3.584431,-1.6989919,0.0007831090333798711,0.04346175765957207
15,PHIP,-3.584903,-3.1306732,0.0008870124965641243,0.04610484957744656
16,LUC7L3,-3.59052,-1.859182,0.0007813315078342036,0.04346175765957207
17,TSPAN3,-3.5969577,-1.5113444,0.0007230342201240552,0.04247597234931317
18,TPR,-3.5974724,-2.8479748,0.000842702640630533,0.04547654599030585
19,EPHX2,-3.6040535,-2.9203627,0.0008318249492597444,0.04541764222958204
20,BTF3,-3.6081414,-2.2215922,0.0007911478075302073,0.04346175765957207
21,SPPL2B,-3.6106367,-2.4212413,0.0007867280967326084,0.04346175765957207
22,XPNPEP2,-3.6122854,-3.7072878,0.0008503465697433636,0.04553769799275156
23,ATP1A1,-3.6138084,-1.6230537,0.0007343215223797343,0.042599827317054334
24,PEBP1,-3.615922,-1.9495035,0.0007568204720906373,0.04321998216480577
25,MLXIPL,-3.6177156,-2.7660546,0.0007913205176112561,0.04346175765957207
26,VIL1,-3.6218877,-2.2179027,0.0007796952139753995,0.04346175765957207
27,FTH1,-3.6232383,-1.5481609,0.0007073122226291413,0.04215430115230462
28,AUP1,-3.6466784,-1.7189062,0.0006502618085664715,0.04078196018320263
29,SNHG7,-3.6533167,-2.1891556,0.0006714849250696423,0.04155148716330946
30,TGOLN2,-3.6540723,-2.192721,0.0006879780396415408,0.0420119221312683
31,PRPF4B,-3.654838,-2.7376742,0.0007102637325077548,0.04215430115230462
32,HOXB5,-3.658828,-3.2266026,0.000713017160193043,0.04215430115230462
33,OGT,-3.6712492,-1.7405024,0.0005972901613834781,0.038041272702235666
34,RAB1A,-3.6736927,-2.2408535,0.0006299799126216653,0.039778731625539444
35,GALNT7,-3.6773775,-4.2547984,0.0007005415523050728,0.04215430115230462
36,NCOR1,-3.6935833,-2.1545699,0.0005943784323015343,0.038041272702235666
37,SULT1A2,-3.7021637,-2.1258292,0.0005752210499329352,0.03780803628500353
38,C6orf62,-3.7037945,-2.0766058,0.0005784034855064104,0.03780803628500353
39,ADIRF,-3.7159722,-2.3129945,0.0005763970397769367,0.03780803628500353
40,HDHD3,-3.717669,-2.1390393,0.0005503383640431459,0.03678321955790594
41,TP53I13,-3.720192,-3.0744858,0.0005983652030302097,0.038041272702235666
42,MYO15B,-3.7337708,-1.5381737,0.0005070605121346476,0.03565557328510453
43,GBA2,-3.7350523,-2.286157,0.0005508368367322696,0.03678321955790594
44,ANAPC5,-3.7367213,-2.667682,0.0005493612425172752,0.03678321955790594
45,ACY1,-3.740123,-2.010517,0.0005044319657508495,0.03565557328510453
46,CBR1,-3.7424653,-1.9252174,0.0005126819325010626,0.035779802236653106
47,SLC46A3,-3.762337,-2.9644125,0.0005266922626874809,0.03621301912789035
48,APOA4,-3.7675872,-3.4182315,0.000533096474887701,0.03638383441108559
49,LGALS2,-3.7697473,-2.2560806,0.0004908163016981321,0.03504428394124663
50,SRRM2,-3.772936,-1.5069346,0.0004511297688719515,0.03342057479558548
51,PCK1,-3.7762146,-4.382178,0.0005266022795456133,0.03621301912789035
52,DHRS11,-3.7794592,-2.112586,0.0004682689334298971,0.03395681437575238
53,MTTP,-3.7938945,-2.3755348,0.00045790909653804936,0.033467025465087986
54,GUCY2C,-3.8009286,-3.5142953,0.0004798634610519153,0.0345278499649913
55,MAOA,-3.809976,-2.9886353,0.0004536729610260472,0.03342057479558548
56,H1FX,-3.8217835,-2.0868201,0.0003775530164929057,0.030461043581428038
57,ATP5MD,-3.8222115,-1.8932602,0.0003829618254196738,0.030461043581428038
58,TKFC,-3.8267262,-2.8466418,0.00042228512290764966,0.03234990929767295
59,KHK,-3.827824,-2.609025,0.00042869881729672767,0.03235107660283111
60,MGST1,-3.8299513,-2.3771567,0.0003995952519883416,0.030908692741298222
61,HADHB,-3.8378649,-1.9254501,0.00038724446699078954,0.030461043581428038
62,CDHR1,-3.843158,-5.5240483,0.0004433632391452596,0.03318788375601855
63,SUSD2,-3.8518052,-3.3726068,0.0003956636609027349,0.030861765550413325
64,EIF4G2,-3.858988,-1.7658037,0.00032654579720580004,0.0278073219235251
65,CES2,-3.8811944,-1.8745167,0.0003353354144688605,0.028041291145044715
66,TRPM4,-3.8857756,-2.9764862,0.0003654062558452371,0.029751761989083254
67,PDXDC1,-3.890178,-2.102868,0.00033199597133172314,0.028014423690009584
68,ACOX1,-3.896421,-2.7333608,0.0003522922899473164,0.028937849869831778
69,LYPLA1,-3.9121976,-3.4612403,0.0003403950039393761,0.028210235951475794
70,ABR,-3.9125288,-2.3166177,0.00031269085026143414,0.026975823268025008
71,GNA11,-3.93274,-1.9164808,0.00027153825631777754,0.024470078593607874
72,IDH1,-3.9427717,-3.2372875,0.0003082404783870294,0.026975823268025008
73,CFL1,-3.952755,-1.2122844,0.00021128283252258679,0.02059040122983058
74,CYB5A,-3.9549112,-4.2695074,0.00031387512529053015,0.026975823268025008
75,SLC5A9,-3.9557836,-4.207558,0.0003123911058334677,0.026975823268025008
76,DNASE1,-3.984637,-2.5730526,0.00026725719499048184,0.024320404744133845
77,MS4A8,-3.9987206,-3.351987,0.00026264335232041504,0.024137184121169233
78,MT1G,-4.0022855,-2.4771929,0.00024249185806121258,0.022735448752769446
79,ATP5F1B,-4.003787,-1.5490899,0.00020210291178943178,0.019956587523718147
80,HNRNPA1,-4.027117,-1.9589903,0.00021489125621434698,0.02059040122983058
81,FBP1,-4.0281034,-3.667314,0.0002449611991316504,0.02273729850339979
82,TNFRSF14,-4.0293226,-1.559619,0.0001921303458948178,0.01917584807092149
83,PPP1R16A,-4.0544066,-1.9214988,0.00018448925000431066,0.018817903500439687
84,DST,-4.063223,-2.0816488,0.0001744966768073726,0.01819863094523632
85,SLC23A1,-4.064876,-3.67626,0.00021517656962869705,0.02059040122983058
86,APOC3,-4.080457,-5.556031,0.00022042818679871522,0.020877698263935453
87,MT-CO2,-4.083189,-1.2333249,0.00012846743803241817,0.015287625125857763
88,MBNL1,-4.1097245,-2.209981,0.00015703510915417594,0.016948835850803035
89,HNRNPH3,-4.11063,-2.9968688,0.0001818201909902692,0.018751722364129763
90,PIGR,-4.1228094,-1.3472047,0.00011321923868730614,0.015012871049936795
91,PPDPF,-4.1367807,-2.721234,0.00016501920128371306,0.017405775299038917
92,PTGR1,-4.1401277,-2.3331497,0.0001454497681165625,0.01666746602046831
93,CMBL,-4.1490216,-3.2638018,0.00016142657840111476,0.017222545985277556
94,DPEP1,-4.162482,-2.582054,0.0001537664547432127,0.016948835850803035
95,CDHR5,-4.168198,-2.0707827,0.00013780109398395262,0.015988371929488102
96,RBM39,-4.170224,-1.8590251,0.00012792271295144065,0.015287625125857763
97,LENG8,-4.1785975,-1.6365838,0.00011202980241013907,0.015012871049936795
98,ANO9,-4.17954,-1.8003777,0.00012013443222498314,0.015068754052868833
99,GSTA1,-4.1825194,-3.6779425,0.00015227716320424345,0.016948835850803035
100,SLC5A12,-4.1924,-3.6936188,0.00014839932116790752,0.016798079257079483
101,AMN,-4.209625,-2.4231098,0.00012442202064705412,0.015287625125857763
102,NAALADL1,-4.2188315,-3.705852,0.00013713699579200844,0.015988371929488102
103,PCK2,-4.224481,-3.004235,0.00012801323513820728,0.015287625125857763
104,TPM1,-4.2270064,-2.3078241,0.00011936146974540829,0.015068754052868833
105,LGALS4,-4.2365265,-1.5604932,9.031398492421569e-05,0.0132551607133213
106,SELENOP,-4.2389474,-1.9216336,0.00010524928771802162,0.014366527773509951
107,GAS6,-4.2442145,-3.0783594,0.00011944731424218572,0.015068754052868833
108,MT-ATP8,-4.2999854,-3.706361,0.00010280371841574813,0.014242150960223493
109,KLF5,-4.3010397,-2.2595267,9.139520422889066e-05,0.0132551607133213
110,OAT,-4.304321,-3.1926103,0.00010153199284609044,0.014242150960223493
111,DGAT1,-4.3291373,-2.2359767,8.294363274603154e-05,0.012621029494240404
112,FABP6,-4.3314633,-3.952961,9.831016228634262e-05,0.014038691174489725
113,MEP1A,-4.366723,-2.653121,8.005684736956961e-05,0.01238479428807242
114,FGFR3,-4.373181,-3.9361434,8.44964857029806e-05,0.012649941617662355
115,PDIA6,-4.3803134,-2.4587095,6.892683762576314e-05,0.011347948846536308
116,FABP2,-4.417181,-2.7522535,6.968682226379763e-05,0.011347948846536308
117,GUCA2A,-4.436965,-2.892431,6.48666713196219e-05,0.011347948846536308
118,INF2,-4.447356,-1.972781,5.109911841216702e-05,0.009775545909288853
119,APOA1,-4.449947,-3.711549,6.762880381302565e-05,0.011347948846536308
120,IRF3,-4.4504557,-2.0777152,5.160544597663799e-05,0.009775545909288853
121,RBP2,-4.451876,-2.6944268,6.081785246161021e-05,0.011068849148013057
122,ELMO3,-4.4570746,-3.4088912,6.31692417949624e-05,0.011275709660400788
123,SELENBP1,-4.473379,-2.133135,4.7780748518087315e-05,0.009503655578947045
124,ABO,-4.487335,-3.123893,5.6255812152728853e-05,0.010443328968032585
125,AKAP9,-4.508423,-2.6545255,4.812236718492901e-05,0.009503655578947045
126,ACADS,-4.5316496,-2.2119741,4.218105549427954e-05,0.008700545713286727
127,DDX5,-4.53941,-1.7111673,3.6062859806955324e-05,0.007607624198367258
128,EWSR1,-4.590085,-2.6138563,3.524985312935629e-05,0.007607624198367258
129,HNRNPA2B1,-4.596929,-1.8106239,3.0248020023167605e-05,0.007019053046376043
130,SRSF5,-4.6255236,-2.4223526,3.2377818284383556e-05,0.007155497840848765
131,MT2A,-4.629663,-2.3677223,3.13586877794456e-05,0.0070993009748491235
132,ACE,-4.6871433,-2.928536,2.7941581969159626e-05,0.006825099048361569
133,MGAM,-4.687982,-3.3431594,3.0046349203315857e-05,0.007019053046376043
134,PTMA,-4.711536,-1.7028922,2.0589658535060025e-05,0.005308700292289643
135,SI,-4.714132,-2.2798202,2.3507645459028894e-05,0.005897242301370438
136,APOB,-4.8086095,-3.1979449,2.0250859151836986e-05,0.005308700292289643
137,PBLD,-4.9369674,-3.020053,1.3325849643581816e-05,0.003748198072476558
138,MT-CO1,-5.154605,-1.5764247,2.812955906740724e-06,0.0009011112113269079
139,CLCA1,-5.220659,-3.0112894,5.287048017321216e-06,0.0015830445063475976
140,ENPEP,-5.2926903,-2.9663148,3.8026740654090346e-06,0.0011765473558375554
141,REG3A,-5.3731604,-2.5141923,2.815365775531171e-06,0.0009011112113269079
142,MT-ND2,-5.907819,-1.6806837,1.9671777104868202e-07,8.694925480351745e-05
143,MT-ND1,-6.259193,-1.6115582,4.729841370269272e-08,2.4390215332688548e-05
144,ALDOB,-6.3036537,-2.6807818,8.6486129453596e-08,4.225075018885674e-05
145,MT-ND4,-7.173602,-1.6713982,5.132724323418251e-10,3.8330473007215906e-07
146,MT-ND3,-7.3639817,-1.9970973,1.0433229181401699e-09,6.917230947269326e-07
147,NEAT1,-7.409514,-2.6758652,1.6196006703271323e-09,1.0022088947984295e-06
148,MT-CO3,-7.80802,-2.1247268,9.866565075136958e-11,9.158145702742123e-08
149,MT-ATP6,-7.930731,-1.9119142,7.141684174458786e-11,7.365456945258494e-08
150,DEFA5,-8.070495,-3.5261278,2.6555615587056685e-10,2.2408111261732742e-07
151,MT-CYB,-8.118405,-1.9449021,2.4252203255936107e-11,3.215842151737128e-08
152,DEFA6,-9.450278,-4.092307,4.375734039308753e-12,8.123112670572767e-09
153,MALAT1,-10.852766,-3.542781,1.4222688456587517e-14,3.300374856351133e-11
