,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,6.8153586,2.1875243,3.2549680002693655e-06,0.0002602945774763285
1,REG1A,5.6329875,3.8394032,4.0039135508297645e-05,0.0014308061708925399
2,IGKC,4.54181,2.3262036,0.0003418125943505239,0.006229898566682807
3,MUC13,4.452245,1.6164975,0.00030130822544844786,0.0057768952913470045
4,JCHAIN,4.3423195,2.9146261,0.0005291998278456997,0.008627994958180882
5,DMBT1,4.0556593,3.7304125,0.0009862612294505846,0.013003518084886829
6,IGHA1,3.893817,2.6597002,0.0013267008188190545,0.016451174694160225
7,ACTB,3.7481747,1.6204499,0.0015550060394199747,0.01784124358207195
8,MYL6,3.6242037,1.145128,0.0016410148798068713,0.018252070865237113
9,IGLC2,3.2737134,2.3692465,0.004828153612444061,0.03846774406069165
10,KRT8,3.273335,1.9150784,0.0045947192464844576,0.03663933337273946
11,MUC1,3.2482896,3.2051504,0.005236459200610295,0.03961272559092482
12,MT-CO2,3.139188,1.313502,0.005813007042526372,0.04330363673252792
13,MT-CO1,3.1221392,1.32433,0.005866142378676193,0.04366442145859858
