,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,5.9629016,2.441415,2.5743401634943534e-08,0.0002389502539755459
1,PLCG2,5.6241007,3.1457982,1.7073212111202367e-07,0.0007923677740809019
2,AL627171.2,4.996966,1.1542722,2.430492496529207e-06,0.007519943784261366
3,DMBT1,4.4228225,2.094537,2.2379244258100237e-05,0.04481016233683181
4,PLA2G2A,4.3942795,1.8903786,2.4138204232294665e-05,0.04481016233683181
5,CLTC,4.3399286,27.439907,4.391595668273036e-05,0.06793798498818386
6,IGLC3,3.9426553,2.1335783,0.00013727753352841027,0.16997166577183706
7,LCN2,3.9004395,3.209022,0.00017678737579254807,0.16997166577183706
8,SPINK1,3.8885324,3.1638165,0.00018311965715560986,0.16997166577183706
9,S100A6,3.8730783,1.607199,0.0001764277465832516,0.16997166577183706
10,IGHA1,3.8386126,1.4741049,0.00022148854171647375,0.17484962141947613
11,AL049543.1,3.8198938,2.9548385,0.00022604993072976873,0.17484962141947613
12,IGKC,3.5936344,1.2305737,0.0005534054718395576,0.36676840879401507
13,KRT8,3.5876784,1.6504514,0.00048482119011377983,0.3461623297412388
14,FTL,3.5277221,1.1959391,0.0006068476657397342,0.36676840879401507
15,TM4SF20,3.5148566,3.6716254,0.0006851725539312158,0.36676840879401507
16,MUC1,3.4709466,2.0887306,0.0007351713882709552,0.36676840879401507
17,COL1A2,3.4650977,1.9684249,0.0007359236491490785,0.36676840879401507
18,GAS5,3.4614902,1.2581681,0.0007507648962601041,0.36676840879401507
19,ANXA2,3.3932178,1.71313,0.0009364935780050257,0.4346266695521324
20,UBE2R2,3.3709993,26.508877,0.0011863897110580156,0.5005486044563864
21,TSPAN6,3.3709993,26.508877,0.0011863897110580156,0.5005486044563864
22,IGHG3,3.313027,1.4561477,0.0013664999429592094,0.516707129445643
23,GRINA,3.3054006,3.3473701,0.001323007639618077,0.516707129445643
24,PSMA6,3.2889292,26.676317,0.0015331517010898391,0.516707129445643
25,ARF1,3.2730927,3.228178,0.0014507059285987461,0.516707129445643
26,PSAP,3.2429538,1.3694942,0.0015586942064725279,0.516707129445643
27,ATP1A1,3.2397313,1.8949481,0.0015547783410461203,0.516707129445643
28,JCHAIN,3.234683,1.3214504,0.001704574219605584,0.5301000985812063
29,LINC02739,3.216209,1.1275398,0.001713316414289613,0.5301000985812063
30,ETS2,3.1953287,2.5073473,0.0018056375692974674,0.5406428360715836
31,CALR,3.1778245,2.1115901,0.0019070517018392667,0.5531641842647523
32,COL18A1,3.1661384,2.4545903,0.0019738226848176076,0.5551824897114253
33,SNHG1,3.1344373,0.9434349,0.002217469158737275,0.5826729506569593
34,IGHM,3.133537,1.2510637,0.0022439727784219522,0.5826729506569593
35,IGLC2,3.1289403,1.473971,0.0022598821615654532,0.5826729506569593
36,IGLC1,3.0933104,1.3741904,0.0025642982607071473,0.6175653390264538
37,LRP10,3.0847218,2.5223694,0.002568100825224875,0.6175653390264538
38,TNFRSF6B,3.0834842,2.5939007,0.002594812348850646,0.6175653390264538
39,TSPAN1,3.040256,1.8745627,0.002905321602826493,0.6741798779358876
40,CD63,3.0160458,1.7429676,0.0031268829194343495,0.6910411251949912
41,CXCL9,2.9929044,2.6349137,0.003445045086911251,0.7381414956296569
42,GPRC5A,2.9704425,26.17361,0.003992964312373567,0.7381414956296569
43,AIF1,2.9704425,26.17361,0.003992964312373567,0.7381414956296569
44,SERTAD1,2.9704425,26.17361,0.003992964312373567,0.7381414956296569
45,DLG1,2.9704425,26.17361,0.003992964312373567,0.7381414956296569
46,VDAC2,2.9704425,26.17361,0.003992964312373567,0.7381414956296569
47,PPP2CA,2.9704425,26.17361,0.003992964312373567,0.7381414956296569
48,EPCAM,2.9337535,1.4130139,0.004015461038072369,0.7381414956296569
49,IGHG4,2.930846,1.219236,0.004435625833742593,0.7549466708584033
