,names,scores,logfoldchanges,pvals,pvals_adj
0,AATK,-3.025258,-1.2146022,0.0026899181875988053,0.04944122894513289
1,ATRX,-3.0331435,-1.7001033,0.0026009084820633912,0.048186891278467855
2,AL158152.1,-3.037153,-24.185846,0.002579160154857529,0.04787952911477517
3,ZKSCAN8,-3.037153,-24.185846,0.002579160154857529,0.04787952911477517
4,ATP9B,-3.037153,-24.185846,0.002579160154857529,0.04787952911477517
5,AGO3,-3.037153,-24.185846,0.002579160154857529,0.04787952911477517
6,ANKRA2,-3.037153,-24.185846,0.002579160154857529,0.04787952911477517
7,TMEM11,-3.037153,-24.185846,0.002579160154857529,0.04787952911477517
8,MTFR1,-3.037153,-24.185846,0.002579160154857529,0.04787952911477517
9,GABPB2,-3.037153,-24.185846,0.002579160154857529,0.04787952911477517
10,ALDH6A1,-3.037153,-24.185846,0.002579160154857529,0.04787952911477517
11,SLC45A4,-3.037153,-24.185846,0.002579160154857529,0.04787952911477517
12,HIRIP3,-3.037153,-24.185846,0.002579160154857529,0.04787952911477517
13,HSPA1B,-3.037153,-24.185846,0.002579160154857529,0.04787952911477517
14,TM7SF2,-3.0421042,-2.8502302,0.0024869408409618787,0.04769375908401046
15,VPS35,-3.0437794,-1.611282,0.002499490858854492,0.04773718961293702
16,KCNJ13,-3.0448308,-1.6658024,0.002487049756070386,0.04769375908401046
17,GRAMD1C,-3.0543718,-1.4708476,0.002411682668377773,0.046895195976967424
18,RAP1GAP,-3.060031,-2.248144,0.0023497111407675955,0.04601269790844899
19,BCL2L14,-3.0600593,-1.7696731,0.0023616938281202375,0.04605302964834463
20,TP53I13,-3.066934,-1.4311324,0.002311263400342033,0.045706098316436246
21,PRAG1,-3.0675006,-2.3154786,0.002290012475715541,0.045508216599401005
22,CYP2C9,-3.0744555,-1.5757449,0.002253311545761158,0.04494244926157346
23,LAMA1,-3.0799441,-24.554035,0.002244865014534973,0.04490697643300349
24,PPARA,-3.0803041,-2.1604629,0.002213415347103853,0.04456598970025589
25,AZI2,-3.0972564,-2.7575982,0.002075979990120012,0.0421646526658511
26,SYNRG,-3.0998373,-2.213325,0.002065410942258879,0.042041983258874815
27,SUPT6H,-3.1101832,-1.9848114,0.001997092657325107,0.0408499646121559
28,THRAP3,-3.11897,-1.4514303,0.0019603530872689553,0.04043554968006765
29,CPNE2,-3.124072,-2.804629,0.0018990142869657132,0.03943322284477796
30,CEL,-3.1350276,-2.702235,0.0018362582478815683,0.038387723100983595
31,SFSWAP,-3.1364045,-2.248144,0.0018279041120819392,0.03838598635372072
32,TDG,-3.1364045,-2.248144,0.0018279041120819392,0.03838598635372072
33,CPSF7,-3.138848,-1.5324006,0.001834410805010184,0.038387723100983595
34,SLC2A2,-3.1437666,-1.9636513,0.0017947544863149056,0.03796310103236245
35,LIPA,-3.1466775,-1.5214431,0.0017936043354787397,0.03796310103236245
36,FBLIM1,-3.159806,-1.2523019,0.0017203883792649042,0.0367941127565365
37,PITX2,-3.1619387,-24.422276,0.001713121150261041,0.03672330373377132
38,LSM6,-3.1619387,-24.422276,0.001713121150261041,0.03672330373377132
39,BTD,-3.1619387,-24.422276,0.001713121150261041,0.03672330373377132
40,LYSMD4,-3.1619387,-24.422276,0.001713121150261041,0.03672330373377132
41,FBXO22,-3.1619387,-24.422276,0.001713121150261041,0.03672330373377132
42,SLC34A3,-3.1619387,-24.422276,0.001713121150261041,0.03672330373377132
43,PTPRD,-3.1827288,-2.3058815,0.0015627666531114349,0.03486980982434439
44,MYSM1,-3.1910493,-2.2381113,0.0015237187375677728,0.03424493298330283
45,FBXO44,-3.2064388,-24.33937,0.001475837508649308,0.03333022811504349
46,PCID2,-3.2064388,-24.33937,0.001475837508649308,0.03333022811504349
47,CTIF,-3.2064388,-24.33937,0.001475837508649308,0.03333022811504349
48,UCK2,-3.2064388,-24.33937,0.001475837508649308,0.03333022811504349
49,NEDD4,-3.2064388,-24.33937,0.001475837508649308,0.03333022811504349
50,PNPT1,-3.2064388,-24.33937,0.001475837508649308,0.03333022811504349
51,PBLD,-3.216554,-1.046649,0.001427278960065023,0.03279208739436521
52,RGMB,-3.2258415,-2.2723734,0.0013525664457492384,0.031152659427901814
53,WDR33,-3.2258415,-2.2723734,0.0013525664457492384,0.031152659427901814
54,PDK3,-3.236472,-1.717174,0.0013106639663663733,0.030413957339531693
55,HNF1A-AS1,-3.2411058,-2.8371258,0.0012792415980535216,0.029915764655345085
56,NR3C2,-3.2411058,-2.8371258,0.0012792415980535216,0.029915764655345085
57,CROT,-3.242232,-2.0044277,0.0012827487969001663,0.029915764655345085
58,AGAP3,-3.244252,-1.9685609,0.0012777554711207056,0.029915764655345085
59,FLVCR1,-3.248977,-1.4909245,0.001280411705067519,0.029915764655345085
60,TAZ,-3.2576172,-1.8738848,0.001215575580211846,0.028783093202873353
61,HECTD3,-3.2755568,-1.4976536,0.001147032601485368,0.02736955425960716
62,IYD,-3.285741,-2.9551353,0.0010968666571886999,0.02651428422307636
63,NUMA1,-3.2924705,-1.1949975,0.001112190542136394,0.02681390288859743
64,GRB7,-3.2950816,-2.3386686,0.001064092673436879,0.026129386758838916
65,ORC2,-3.2980142,-24.625992,0.0010802172877810172,0.026294126035701717
66,EWSR1,-3.312253,-1.2340443,0.001028813158646083,0.025465183302807844
67,SLC52A1,-3.3153121,-1.9030509,0.0009949180464703296,0.024958998127939457
68,RPA1,-3.3168032,-2.9672549,0.0009845103828676886,0.024849018132100064
69,ABCG2,-3.3179703,-1.5393426,0.0009997819094277214,0.02501341154530488
70,CDK20,-3.32465,-24.554035,0.0009851797751145037,0.024849018132100064
71,MGAT3,-3.32465,-24.554035,0.0009851797751145037,0.024849018132100064
72,PLCH2,-3.3682084,-24.478395,0.0008463539145305537,0.0217830226446698
73,TRAF6,-3.3682084,-24.478395,0.0008463539145305537,0.0217830226446698
74,MXD3,-3.3682084,-24.478395,0.0008463539145305537,0.0217830226446698
75,PLA2G12A,-3.3682084,-24.478395,0.0008463539145305537,0.0217830226446698
76,ZRANB1,-3.3682084,-24.478395,0.0008463539145305537,0.0217830226446698
77,MCRIP2,-3.3688014,-1.5801888,0.0008319435222248806,0.0217830226446698
78,CHP2,-3.3691547,-1.314415,0.00083469358808444,0.0217830226446698
79,SMPD3,-3.3715591,-1.131107,0.0008471957740493211,0.0217830226446698
80,KIF12,-3.375083,-1.802106,0.0008069185762454399,0.021338513460712746
81,MGAT4B,-3.3798938,-1.130826,0.0008119002916760243,0.021409257123116074
82,MED13L,-3.3813548,-2.9126518,0.0007842587777143859,0.020918074640071636
83,PAFAH1B1,-3.3840523,-1.9059263,0.0007825236314711903,0.020918074640071636
84,C1orf122,-3.3894,-2.384018,0.0007637118149638785,0.020487783429175493
85,SUCLG1,-3.4180508,-1.4370632,0.0007051880032767692,0.019195176089193463
86,ANKIB1,-3.425998,-2.9964533,0.0006688323972441916,0.018421668579289573
87,MIA2,-3.4268389,-1.2760072,0.0006894816040771641,0.018878372416059695
